Sample ID	Score	Activity
NCGC00261900-01	0.037455493	0
NCGC00260869-01	0.016122054	0
NCGC00261776-01	0.035666667	0
NCGC00261380-01	0.043030156	0
NCGC00261842-01	0.280262648	0
NCGC00261662-01	0.388192641	0
NCGC00261190-01	0.095121322	0
NCGC00260731-01	0.094682043	0
NCGC00261926-01	0.018731549	0
NCGC00261579-01	0.102535896	0
NCGC00260921-01	0.052676153	0
NCGC00261119-01	0.013078159	0
NCGC00260957-01	0.026067480	0
NCGC00261812-01	0.073285216	0
NCGC00260831-01	0.376671889	0
NCGC00261544-01	0.041001287	0
NCGC00261619-01	0.008571429	0
NCGC00261633-01	0.005979604	0
NCGC00261395-01	0.135810081	0
NCGC00261717-01	0.015002099	0
NCGC00261947-01	0.050018182	0
NCGC00261424-01	0.298302357	0
NCGC00261861-01	0.063396775	0
NCGC00261924-01	0.006822854	0
NCGC00261052-01	0.000434761	0
NCGC00261683-01	0.195136469	0
NCGC00261026-01	0.006000000	0
NCGC00261057-01	0.017016853	0
NCGC00261738-01	0.005503147	0
NCGC00261348-01	0.047111101	0
NCGC00261503-01	0.009148060	0
NCGC00260693-01	0.039317462	0
NCGC00260703-01	0.038264919	0
NCGC00260716-01	0.000429866	0
NCGC00260782-01	0.005768303	0
NCGC00260802-01	0.004081141	0
NCGC00260823-01	0.001052501	0
NCGC00261313-01	0.003159325	0
NCGC00260757-01	0.010746400	0
NCGC00260826-01	0.013868327	0
NCGC00261005-01	0.091890405	0
NCGC00260980-01	0.010666667	0
NCGC00261816-01	0.020207463	0
NCGC00260698-01	0.055046197	0
NCGC00260889-01	0.145500000	0
NCGC00260811-01	0.190585498	0
NCGC00261165-01	0.115063217	0
NCGC00261060-01	0.000079924	0
NCGC00261541-01	0.016597754	0
NCGC00261649-01	0.000132262	0
NCGC00261110-01	0.038964516	0
NCGC00261130-01	0.002000000	0
NCGC00260846-01	0.036206882	0
NCGC00261030-01	0.000281592	0
NCGC00261162-01	0.002603612	0
NCGC00261058-01	0.069241438	0
NCGC00261404-01	0.080622449	0
NCGC00261423-01	0.037382690	0
NCGC00261856-01	0.037382690	0
NCGC00261342-01	0.068422115	0
NCGC00261935-01	0.000540905	0
NCGC00261069-01	0.002019924	0
NCGC00261101-01	0.022557831	0
NCGC00261183-01	0.035001167	0
NCGC00261716-01	0.049039904	0
NCGC00260742-01	0.025088400	0
NCGC00261529-01	0.002091900	0
NCGC00261170-01	0.061147500	0
NCGC00261565-01	0.043605150	0
NCGC00260990-01	0.099440476	0
NCGC00261340-01	0.009240394	0
NCGC00261079-01	0.016418546	0
NCGC00261389-01	0.046750000	0
NCGC00261744-01	0.010012071	0
NCGC00261420-01	0.023769186	0
NCGC00261215-01	0.079209029	0
NCGC00261826-01	0.003058608	0
NCGC00260706-01	0.031848155	0
NCGC00261123-01	0.131042311	0
NCGC00261367-01	0.035811364	0
NCGC00261507-01	0.007371939	0
NCGC00261169-01	0.102903643	0
NCGC00261730-01	0.063168793	0
NCGC00261624-01	0.015034648	0
NCGC00261641-01	0.023045859	0
NCGC00261853-01	0.038281867	0
NCGC00260911-01	0.003973761	0
NCGC00260798-01	0.056059752	0
NCGC00261384-01	0.025404762	0
NCGC00260785-01	0.009037510	0
NCGC00261597-01	0.009082425	0
NCGC00261025-01	0.002103016	0
NCGC00260789-01	0.138525912	0
NCGC00260866-01	0.181723082	0
NCGC00261189-01	0.145823521	0
NCGC00261270-01	0.052448827	0
NCGC00261611-01	0.008658050	0
NCGC00261160-01	0.044083793	0
NCGC00261085-01	0.000679822	0
NCGC00261817-01	0.029640732	0
NCGC00261866-01	0.000041073	0
NCGC00260852-01	0.050696530	0
NCGC00261290-01	0.000020891	0
NCGC00261304-01	0.074000000	0
NCGC00261704-01	0.029514984	0
NCGC00260850-01	0.016157156	0
NCGC00260972-01	0.012928709	0
NCGC00261364-01	0.000118388	0
NCGC00261392-01	0.074749783	0
NCGC00261638-01	0.160615130	0
NCGC00261820-01	0.010942100	0
NCGC00261808-01	0.038956313	0
NCGC00260790-01	0.001112065	0
NCGC00260940-01	0.249250831	0
NCGC00261081-01	0.006347387	0
NCGC00261506-01	0.028014796	0
NCGC00261133-01	0.038809463	0
NCGC00261399-01	0.113158239	0
NCGC00260696-01	0.003692571	0
NCGC00261903-01	0.067333333	0
NCGC00261178-01	0.072343319	0
NCGC00261568-01	0.195046266	0
NCGC00260830-01	0.040342970	0
NCGC00261113-01	0.003191243	0
NCGC00261327-01	0.001884135	0
NCGC00261602-01	0.146308696	0
NCGC00260858-01	0.149821638	0
NCGC00261071-01	0.169051847	0
NCGC00261076-01	0.119742168	0
NCGC00261192-01	0.061010054	0
NCGC00261495-01	0.014251230	0
NCGC00261577-01	0.065333333	0
NCGC00261510-01	0.052082350	0
NCGC00261679-01	0.000045830	0
NCGC00261941-01	0.159010874	0
NCGC00261343-01	0.000359911	0
NCGC00261607-01	0.221762695	0
NCGC00261782-01	0.088332239	0
NCGC00261914-01	0.018432143	0
NCGC00261475-01	0.182606886	0
NCGC00261764-01	0.030530632	0
NCGC00261802-01	0.107510798	0
NCGC00261813-01	0.130424987	0
NCGC00260795-01	0.019400000	0
NCGC00261352-01	0.081044633	0
NCGC00261009-01	0.233860504	0
NCGC00261944-01	0.089108065	0
NCGC00261166-01	0.164070931	0
NCGC00261332-01	0.052160827	0
NCGC00261333-01	0.024280066	0
NCGC00261260-01	0.169528755	0
NCGC00261915-01	0.034888889	0
NCGC00261238-01	0.018401349	0
NCGC00261682-01	0.082000000	0
NCGC00261049-01	0.111359370	0
NCGC00260910-01	0.033735456	0
NCGC00261272-01	0.129166752	0
NCGC00260708-01	0.000538308	0
NCGC00261390-01	0.000205719	0
NCGC00260948-01	0.001202126	0
NCGC00261840-01	0.004176349	0
NCGC00260881-01	0.001015797	0
NCGC00261153-01	0.086921660	0
NCGC00261406-01	0.002358295	0
NCGC00261053-01	0.000578173	0
NCGC00261129-01	0.000727153	0
NCGC00261381-01	0.045166667	0
NCGC00261426-01	0.112662733	0
NCGC00260979-01	0.000223655	0
NCGC00260993-01	0.120198736	0
NCGC00261108-01	0.016253905	0
NCGC00261441-01	0.328533333	0
NCGC00261877-01	0.085392637	0
NCGC00260815-01	0.007378462	0
NCGC00261542-01	0.032000000	0
NCGC00261958-01	0.025005935	0
NCGC00261787-01	0.086142857	0
NCGC00261065-01	0.155433333	0
NCGC00261804-01	0.117666667	0
NCGC00260875-01	0.056042297	0
NCGC00261451-01	0.042596302	0
NCGC00261739-01	0.067642117	0
NCGC00261948-01	0.123500000	0
NCGC00261382-01	0.077383434	0
NCGC00261663-01	0.210344995	0
NCGC00260892-01	0.011007559	0
NCGC00261297-01	0.019918723	0
NCGC00261321-01	0.005675950	0
NCGC00261446-01	0.076744589	0
NCGC00261474-01	0.009369794	0
NCGC00260834-01	0.185289434	0
NCGC00260840-01	0.119728467	0
NCGC00260947-01	0.268740121	0
NCGC00261080-01	0.042069643	0
NCGC00261563-01	0.017103505	0
NCGC00261873-01	0.076100581	0
NCGC00260803-01	0.201996686	0
NCGC00260833-01	0.188711199	0
NCGC00261008-01	0.169745608	0
NCGC00261155-01	0.026449026	0
NCGC00261643-01	0.147847841	0
NCGC00261037-01	0.026595387	0
NCGC00261126-01	0.004002827	0
NCGC00260871-01	0.058790474	0
NCGC00260713-01	0.037800000	0
NCGC00261487-01	0.089116500	0
NCGC00261545-01	0.069000000	0
NCGC00261480-01	0.162375000	0
NCGC00261838-01	0.013772036	0
NCGC00261627-01	0.000213774	0
NCGC00261639-01	0.000801744	0
NCGC00261177-01	0.000230028	0
NCGC00260692-01	0.001007541	0
NCGC00260775-01	0.001030135	0
NCGC00260876-01	0.001982839	0
NCGC00261598-01	0.026769939	0
NCGC00260707-01	0.044936626	0
NCGC00261554-01	0.046702098	0
NCGC00261713-01	0.388100000	0
NCGC00261737-01	0.060825934	0
NCGC00261882-01	0.000162085	0
NCGC00261933-01	0.169670798	0
NCGC00261201-01	0.051045431	0
NCGC00261398-01	0.044009051	0
NCGC00261601-01	0.015063726	0
NCGC00261003-01	0.562611111	1
NCGC00261019-01	0.114877300	0
NCGC00261519-01	0.008854255	0
NCGC00261732-01	0.005323986	0
NCGC00261718-01	0.376170441	0
NCGC00260743-01	0.005821700	0
NCGC00260751-01	0.002479253	0
NCGC00260867-01	0.001748850	0
NCGC00260982-01	0.013709487	0
NCGC00261176-01	0.011146622	0
NCGC00261289-01	0.002365394	0
NCGC00261440-01	0.007512499	0
NCGC00261657-01	0.405666667	0
NCGC00260822-01	0.046076123	0
NCGC00261142-01	0.039295019	0
NCGC00261582-01	0.000004808	0
NCGC00261825-01	0.070349697	0
NCGC00261833-01	0.008326520	0
NCGC00261835-01	0.015827850	0
NCGC00261860-01	0.048513781	0
NCGC00261906-01	0.067370600	0
NCGC00261916-01	0.040589773	0
NCGC00261939-01	0.004134463	0
NCGC00261869-01	0.001306649	0
NCGC00261163-01	0.014241859	0
NCGC00261653-01	0.000054567	0
NCGC00261248-01	0.036040071	0
NCGC00260770-01	0.080381359	0
NCGC00261013-01	0.003077211	0
NCGC00261910-01	0.652348028	1
NCGC00261686-01	0.004036210	0
NCGC00261147-01	0.010195466	0
NCGC00261578-01	0.000356889	0
NCGC00261336-01	0.072440867	0
NCGC00261593-01	0.048873083	0
