Sample ID	Score	Activity
NCGC00261900-01	0.002246797	0
NCGC00260869-01	0.012373201	0
NCGC00261776-01	0.002992383	0
NCGC00261380-01	0.006423865	0
NCGC00261842-01	0.164948356	1
NCGC00261662-01	0.121353147	1
NCGC00261190-01	0.013641860	0
NCGC00260731-01	0.129916014	1
NCGC00261926-01	0.007293692	0
NCGC00261579-01	0.003191954	0
NCGC00260921-01	0.003384372	0
NCGC00261119-01	0.000451154	0
NCGC00260957-01	0.000393340	0
NCGC00261812-01	0.009949586	0
NCGC00260831-01	0.293190136	1
NCGC00261544-01	0.000665997	0
NCGC00261619-01	0.001519123	0
NCGC00261633-01	0.000175607	0
NCGC00261395-01	0.002685262	0
NCGC00261717-01	0.002601187	0
NCGC00261947-01	0.001594378	0
NCGC00261424-01	0.003298820	0
NCGC00261861-01	0.000972636	0
NCGC00261924-01	0.000346729	0
NCGC00261052-01	0.001864674	0
NCGC00261683-01	0.008755403	0
NCGC00261026-01	0.002122103	0
NCGC00261057-01	0.001061342	0
NCGC00261738-01	0.000864326	0
NCGC00261348-01	0.000502165	0
NCGC00261503-01	0.000875390	0
NCGC00260693-01	0.000725146	0
NCGC00260703-01	0.000597149	0
NCGC00260716-01	0.000339021	0
NCGC00260782-01	0.000770965	0
NCGC00260802-01	0.000757987	0
NCGC00260823-01	0.000628948	0
NCGC00261313-01	0.000415655	0
NCGC00260757-01	0.000551182	0
NCGC00260826-01	0.000131379	0
NCGC00261005-01	0.000734048	0
NCGC00260980-01	0.000756623	0
NCGC00261816-01	0.001527956	0
NCGC00260698-01	0.000727475	0
NCGC00260889-01	0.000800435	0
NCGC00260811-01	0.001690201	0
NCGC00261165-01	0.006443657	0
NCGC00261060-01	0.000486357	0
NCGC00261541-01	0.000626588	0
NCGC00261649-01	0.001731705	0
NCGC00261110-01	0.000958253	0
NCGC00261130-01	0.000897191	0
NCGC00260846-01	0.002504381	0
NCGC00261030-01	0.000734411	0
NCGC00261162-01	0.000590405	0
NCGC00261058-01	0.000968323	0
NCGC00261404-01	0.000476849	0
NCGC00261423-01	0.005805973	0
NCGC00261856-01	0.704030334	1
NCGC00261342-01	0.000876362	0
NCGC00261935-01	0.001201949	0
NCGC00261069-01	0.004659484	0
NCGC00261101-01	0.001154800	0
NCGC00261183-01	0.001728677	0
NCGC00261716-01	0.000348500	0
NCGC00260742-01	0.000426403	0
NCGC00261529-01	0.000815093	0
NCGC00261170-01	0.000475695	0
NCGC00261565-01	0.001786960	0
NCGC00260990-01	0.043300955	1
NCGC00261340-01	0.000738875	0
NCGC00261079-01	0.003058410	0
NCGC00261389-01	0.000314166	0
NCGC00261744-01	0.000583012	0
NCGC00261420-01	0.003160606	0
NCGC00261215-01	0.000452047	0
NCGC00261826-01	0.000416778	0
NCGC00260706-01	0.003661079	0
NCGC00261123-01	0.002087524	0
NCGC00261367-01	0.000594141	0
NCGC00261507-01	0.000646390	0
NCGC00261169-01	0.001207565	0
NCGC00261730-01	0.003143245	0
NCGC00261624-01	0.001663588	0
NCGC00261641-01	0.000692480	0
NCGC00261853-01	0.001498655	0
NCGC00260911-01	0.000926095	0
NCGC00260798-01	0.002273490	0
NCGC00261384-01	0.000659454	0
NCGC00260785-01	0.001026542	0
NCGC00261597-01	0.000638089	0
NCGC00261025-01	0.001763086	0
NCGC00260789-01	0.001506479	0
NCGC00260866-01	0.013631950	0
NCGC00261189-01	0.006449815	0
NCGC00261270-01	0.001313766	0
NCGC00261611-01	0.000400603	0
NCGC00261160-01	0.012276401	0
NCGC00261085-01	0.000550288	0
NCGC00261817-01	0.001378024	0
NCGC00261866-01	0.000578301	0
NCGC00260852-01	0.003129302	0
NCGC00261290-01	0.000939879	0
NCGC00261304-01	0.001813934	0
NCGC00261704-01	0.001646713	0
NCGC00260850-01	0.000677284	0
NCGC00260972-01	0.000851056	0
NCGC00261364-01	0.000600174	0
NCGC00261392-01	0.002251890	0
NCGC00261638-01	0.000838759	0
NCGC00261820-01	0.000441038	0
NCGC00261808-01	0.001256958	0
NCGC00260790-01	0.002354394	0
NCGC00260940-01	0.020098892	1
NCGC00261081-01	0.000772575	0
NCGC00261506-01	0.003465605	0
NCGC00261133-01	0.001620155	0
NCGC00261399-01	0.002645991	0
NCGC00260696-01	0.001513183	0
NCGC00261903-01	0.017419949	1
NCGC00261178-01	0.005940170	0
NCGC00261568-01	0.080374523	1
NCGC00260830-01	0.000613028	0
NCGC00261113-01	0.000721134	0
NCGC00261327-01	0.000579469	0
NCGC00261602-01	0.003964578	0
NCGC00260858-01	0.010561687	0
NCGC00261071-01	0.019684374	1
NCGC00261076-01	0.002143225	0
NCGC00261192-01	0.001478743	0
NCGC00261495-01	0.000683593	0
NCGC00261577-01	0.003339406	0
NCGC00261510-01	0.001021958	0
NCGC00261679-01	0.002191775	0
NCGC00261941-01	0.084326704	1
NCGC00261343-01	0.001060464	0
NCGC00261607-01	0.003295730	0
NCGC00261782-01	0.001474079	0
NCGC00261914-01	0.001304575	0
NCGC00261475-01	0.019301833	1
NCGC00261764-01	0.002478507	0
NCGC00261802-01	0.004747446	0
NCGC00261813-01	0.002768815	0
NCGC00260795-01	0.001428151	0
NCGC00261352-01	0.006008689	0
NCGC00261009-01	0.009872714	0
NCGC00261944-01	0.005888712	0
NCGC00261166-01	0.002394837	0
NCGC00261332-01	0.005813948	0
NCGC00261333-01	0.000957562	0
NCGC00261260-01	0.002105014	0
NCGC00261915-01	0.001336194	0
NCGC00261238-01	0.003297638	0
NCGC00261682-01	0.001609405	0
NCGC00261049-01	0.002091903	0
NCGC00260910-01	0.002479006	0
NCGC00261272-01	0.010440432	0
NCGC00260708-01	0.000637847	0
NCGC00261390-01	0.000649085	0
NCGC00260948-01	0.000542930	0
NCGC00261840-01	0.000196456	0
NCGC00260881-01	0.001760534	0
NCGC00261153-01	0.000903602	0
NCGC00261406-01	0.000423467	0
NCGC00261053-01	0.000632840	0
NCGC00261129-01	0.000649036	0
NCGC00261381-01	0.001784946	0
NCGC00261426-01	0.020133354	1
NCGC00260979-01	0.013574105	0
NCGC00260993-01	0.389165967	1
NCGC00261108-01	0.002236709	0
NCGC00261441-01	0.088232307	1
NCGC00261877-01	0.001544309	0
NCGC00260815-01	0.003134236	0
NCGC00261542-01	0.001412344	0
NCGC00261958-01	0.001161482	0
NCGC00261787-01	0.000780329	0
NCGC00261065-01	0.002112116	0
NCGC00261804-01	0.007509075	0
NCGC00260875-01	0.005011227	0
NCGC00261451-01	0.002594673	0
NCGC00261739-01	0.001821793	0
NCGC00261948-01	0.008878199	0
NCGC00261382-01	0.001253829	0
NCGC00261663-01	0.000914577	0
NCGC00260892-01	0.002150652	0
NCGC00261297-01	0.003817630	0
NCGC00261321-01	0.000490462	0
NCGC00261446-01	0.009155179	0
NCGC00261474-01	0.000786154	0
NCGC00260834-01	0.027147878	1
NCGC00260840-01	0.134942327	1
NCGC00260947-01	0.019096990	1
NCGC00261080-01	0.005326909	0
NCGC00261563-01	0.006289697	0
NCGC00261873-01	0.003195395	0
NCGC00260803-01	0.201490630	1
NCGC00260833-01	0.069035777	1
NCGC00261008-01	0.015739626	1
NCGC00261155-01	0.005353312	0
NCGC00261643-01	0.256247233	1
NCGC00261037-01	0.000648549	0
NCGC00261126-01	0.002689359	0
NCGC00260871-01	0.001885159	0
NCGC00260713-01	0.001093352	0
NCGC00261487-01	0.002030133	0
NCGC00261545-01	0.010874890	0
NCGC00261480-01	0.001841391	0
NCGC00261838-01	0.001061226	0
NCGC00261627-01	0.000150485	0
NCGC00261639-01	0.000895940	0
NCGC00261177-01	0.001230564	0
NCGC00260692-01	0.000329516	0
NCGC00260775-01	0.000916866	0
NCGC00260876-01	0.000816845	0
NCGC00261598-01	0.000357398	0
NCGC00260707-01	0.000827789	0
NCGC00261554-01	0.029118243	1
NCGC00261713-01	0.288109021	1
NCGC00261737-01	0.010844015	0
NCGC00261882-01	0.000713730	0
NCGC00261933-01	0.001442008	0
NCGC00261201-01	0.001111979	0
NCGC00261398-01	0.002462055	0
NCGC00261601-01	0.001698575	0
NCGC00261003-01	0.079384033	1
NCGC00261019-01	0.001071042	0
NCGC00261519-01	0.000670551	0
NCGC00261732-01	0.000356140	0
NCGC00261718-01	0.002476958	0
NCGC00260743-01	0.000598114	0
NCGC00260751-01	0.000326257	0
NCGC00260867-01	0.001142458	0
NCGC00260982-01	0.001540966	0
NCGC00261176-01	0.000913067	0
NCGC00261289-01	0.001561943	0
NCGC00261440-01	0.001024787	0
