Sample ID	Score	Activity
NCGC00261900-01	0.107325129	0
NCGC00260869-01	0.015471998	0
NCGC00261776-01	0.334113006	0
NCGC00261380-01	0.038983632	0
NCGC00261842-01	0.131542207	0
NCGC00261662-01	0.694865616	1
NCGC00261190-01	0.038572312	0
NCGC00260731-01	0.127381459	0
NCGC00261926-01	0.018441681	0
NCGC00261579-01	0.11982899	0
NCGC00260921-01	0.030479969	0
NCGC00261119-01	0.080445652	0
NCGC00260957-01	0.051097749	0
NCGC00261812-01	0.217789487	0
NCGC00260831-01	0.251586704	0
NCGC00261544-01	0.003598369	0
NCGC00261619-01	0.043871091	0
NCGC00261633-01	9.21304E-05	0
NCGC00261395-01	0.04856155	0
NCGC00261717-01	0.125834769	0
NCGC00261947-01	0.067732731	0
NCGC00261424-01	0.008607066	0
NCGC00261861-01	0.034017141	0
NCGC00261924-01	0.039282564	0
NCGC00261052-01	0.070639614	0
NCGC00261683-01	0.159475488	0
NCGC00261026-01	0.051588234	0
NCGC00261057-01	0.005277223	0
NCGC00261738-01	0.022159614	0
NCGC00261348-01	0.0052732	0
NCGC00261503-01	0.000127347	0
NCGC00260693-01	0.000172564	0
NCGC00260703-01	0.000101037	0
NCGC00260716-01	4.50155E-05	0
NCGC00260782-01	0.000301554	0
NCGC00260802-01	5.32437E-05	0
NCGC00260823-01	0.039604949	0
NCGC00261313-01	5.32178E-05	0
NCGC00260757-01	0.005223173	0
NCGC00260826-01	0.000136413	0
NCGC00261005-01	0.000183179	0
NCGC00260980-01	0.054244067	0
NCGC00261816-01	0.010073285	0
NCGC00260698-01	0.008574783	0
NCGC00260889-01	0.054212197	0
NCGC00260811-01	0.012232938	0
NCGC00261165-01	0.061141896	0
NCGC00261060-01	7.09955E-05	0
NCGC00261541-01	0.000110567	0
NCGC00261649-01	0.000104603	0
NCGC00261110-01	0.051892095	0
NCGC00261130-01	0.03523228	0
NCGC00260846-01	0.114815967	0
NCGC00261030-01	0.050474445	0
NCGC00261162-01	0.018668778	0
NCGC00261058-01	0.02914711	0
NCGC00261404-01	0.000268227	0
