Sample ID	Score	Activity
NCGC00261900-01	0.000033368	0
NCGC00260869-01	0.000262422	0
NCGC00261776-01	0.547722587	1
NCGC00261380-01	0.000079345	0
NCGC00261842-01	0.471781027	1
NCGC00261662-01	0.218645545	1
NCGC00261190-01	0.000933511	0
NCGC00260731-01	0.025938021	1
NCGC00261926-01	0.000068580	0
NCGC00261579-01	0.000055266	0
NCGC00260921-01	0.000066098	0
NCGC00261119-01	0.000004909	0
NCGC00260957-01	0.180097252	1
NCGC00261812-01	0.000423139	0
NCGC00260831-01	0.100139611	1
NCGC00261544-01	0.000006989	0
NCGC00261619-01	0.000028234	0
NCGC00261633-01	0.000001573	0
NCGC00261395-01	0.000032017	0
NCGC00261717-01	0.547722559	1
NCGC00261947-01	0.000028521	0
NCGC00261424-01	0.000040920	0
NCGC00261861-01	0.058609052	1
NCGC00261924-01	0.000004281	0
NCGC00261052-01	0.000025411	0
NCGC00261683-01	0.392982493	1
NCGC00261026-01	0.000144293	0
NCGC00261057-01	0.000010969	0
NCGC00261738-01	0.000009544	0
NCGC00261348-01	0.000004478	0
NCGC00261503-01	0.000008173	0
NCGC00260693-01	0.000006466	0
NCGC00260703-01	0.000005159	0
NCGC00260716-01	0.000003087	0
NCGC00260782-01	0.000007805	0
NCGC00260802-01	0.000006688	0
NCGC00260823-01	0.000005668	0
NCGC00261313-01	0.000003745	0
NCGC00260757-01	0.000005873	0
NCGC00260826-01	0.000001147	0
NCGC00261005-01	0.000006689	0
NCGC00260980-01	0.000007497	0
NCGC00261816-01	0.000014273	0
NCGC00260698-01	0.000006932	0
NCGC00260889-01	0.000007420	0
NCGC00260811-01	0.000017474	0
NCGC00261165-01	0.000075145	0
NCGC00261060-01	0.000004335	0
NCGC00261541-01	0.000005471	0
NCGC00261649-01	0.000015132	0
NCGC00261110-01	0.000012565	0
NCGC00261130-01	0.000011838	0
NCGC00260846-01	0.000030438	0
NCGC00261030-01	0.000009680	0
NCGC00261162-01	0.000007175	0
NCGC00261058-01	0.000009644	0
NCGC00261404-01	0.000004348	0
NCGC00261423-01	1.000000000	1
NCGC00261856-01	1.000000000	1
NCGC00261342-01	0.000009374	0
NCGC00261935-01	0.000011508	0
NCGC00261069-01	0.000199969	0
NCGC00261101-01	0.000011859	0
NCGC00261183-01	0.000021517	0
NCGC00261716-01	0.000003231	0
NCGC00260742-01	0.000004269	0
NCGC00261529-01	0.000008624	0
NCGC00261170-01	0.000004732	0
NCGC00261565-01	0.000017727	0
NCGC00260990-01	0.004527011	0
