Sample ID	Score	Activity
NCGC00356965-01	0.841579148	1
NCGC00357057-01	0.738614612	1
NCGC00261475-01	0.608576019	1
NCGC00261764-01	0.470812312	1
NCGC00261441-01	0.469241196	1
NCGC00260866-01	0.453346859	1
NCGC00261662-01	0.43872437	1
NCGC00261856-01	0.411890332	1
NCGC00357132-01	0.408253404	1
NCGC00357019-01	0.389006056	0
NCGC00357149-01	0.376349642	0
NCGC00261910-01	0.365302939	0
NCGC00261260-01	0.360798602	0
NCGC00357249-01	0.332853674	0
NCGC00261713-01	0.332368438	0
NCGC00261813-01	0.322209396	0
NCGC00261941-01	0.2927863	0
NCGC00261392-01	0.29180485	0
NCGC00357007-01	0.291627918	0
NCGC00357108-01	0.283277789	0
NCGC00260833-01	0.273840177	0
NCGC00260858-01	0.269601799	0
NCGC00261554-01	0.242927485	0
NCGC00260852-01	0.240369354	0
NCGC00357014-01	0.239523124	0
NCGC00261812-01	0.238559127	0
NCGC00357072-01	0.238559127	0
NCGC00260803-01	0.237331885	0
NCGC00261619-01	0.237233773	0
NCGC00357169-01	0.236605832	0
NCGC00357111-01	0.235822738	0
NCGC00261704-01	0.23211177	0
NCGC00261718-01	0.228953895	0
NCGC00356995-01	0.227762809	0
NCGC00357146-01	0.226549277	0
NCGC00261446-01	0.218704968	0
NCGC00261730-01	0.215061755	0
NCGC00260731-01	0.214662809	0
NCGC00357043-01	0.206465162	0
NCGC00357034-01	0.205399748	0
NCGC00261192-01	0.202878477	0
NCGC00357077-01	0.202517978	0
NCGC00261190-01	0.201241281	0
NCGC00261737-01	0.196916492	0
NCGC00357178-01	0.193255859	0
NCGC00260962-01	0.192438244	0
NCGC00261877-01	0.18363038	0
NCGC00357167-01	0.183401136	0
NCGC00357151-01	0.181713003	0
NCGC00261944-01	0.181560063	0
NCGC00261825-01	0.17835868	0
NCGC00260993-01	0.178213943	0
NCGC00357012-01	0.177718769	0
NCGC00357175-01	0.176575924	0
NCGC00261903-01	0.174381831	0
NCGC00261842-01	0.168829472	0
NCGC00261802-01	0.167510415	0
NCGC00357117-01	0.166990766	0
NCGC00261079-01	0.166818802	0
NCGC00261272-01	0.165404338	0
NCGC00357127-01	0.163628952	0
NCGC00261643-01	0.163552854	0
NCGC00261948-01	0.162184624	0
NCGC00261835-01	0.153577781	0
NCGC00260875-01	0.153123798	0
NCGC00357170-01	0.153036193	0
NCGC00261542-01	0.153022471	0
NCGC00357275-01	0.15080105	0
NCGC00356988-01	0.148894046	0
NCGC00261399-01	0.143850538	0
NCGC00357209-01	0.14254423	0
NCGC00261028-01	0.141772619	0
