Sample ID	Score	Activity
NCGC00261348-01	0.1685	0
NCGC00260693-01	0.2293	0
NCGC00261503-01	0.1272	0
NCGC00261119-01	0.6112	1
NCGC00260716-01	0.0169	0
NCGC00260703-01	0.0978	0
NCGC00260823-01	0.0451	0
NCGC00260731-01	0.7547	1
NCGC00261579-01	0.8619	1
NCGC00260782-01	0.141	0
NCGC00261057-01	0.5273	1
NCGC00261683-01	0.302	0
NCGC00261738-01	0.3828	0
NCGC00261313-01	0.057	0
NCGC00260826-01	0.0514	0
NCGC00261633-01	0.0921	0
NCGC00260757-01	0.0401	0
NCGC00261052-01	0.6124	1
NCGC00261005-01	0.1999	0
NCGC00261190-01	0.6015	1
NCGC00260802-01	0.1071	0
NCGC00261842-01	0.538	1
NCGC00261544-01	0.3766	0
NCGC00261541-01	0.193	0
NCGC00261812-01	0.4693	0
NCGC00261662-01	0.6009	1
NCGC00261649-01	0.1629	0
NCGC00260831-01	0.5445	1
NCGC00261380-01	0.3502	0
NCGC00260869-01	0.1435	0
NCGC00261060-01	0.2281	0
NCGC00260846-01	0.5983	1
NCGC00261162-01	0.1541	0
NCGC00261395-01	0.3966	0
NCGC00261030-01	0.5494	1
NCGC00261856-01	0.4524	0
NCGC00261935-01	0.5681	1
NCGC00261926-01	0.5039	1
NCGC00261423-01	0.5	1
NCGC00261183-01	0.3528	0
NCGC00261924-01	0.1322	0
NCGC00261069-01	0.2581	0
NCGC00260921-01	0.4712	0
NCGC00261110-01	0.265	0
NCGC00261101-01	0.2707	0
NCGC00260889-01	0.5036	1
NCGC00261619-01	0.2945	0
NCGC00261165-01	0.1341	0
NCGC00260698-01	0.104	0
NCGC00261776-01	0.3158	0
NCGC00261861-01	0.0495	0
NCGC00261026-01	0.2788	0
NCGC00261079-01	0.4486	0
NCGC00260990-01	0.804	1
NCGC00261340-01	0.23	0
NCGC00260811-01	0.1717	0
NCGC00261130-01	0.1335	0
NCGC00260980-01	0.3659	0
NCGC00261730-01	0.1109	0
NCGC00261716-01	0.037	0
NCGC00260706-01	0.5245	1
NCGC00261816-01	0.4373	0
NCGC00261404-01	0.0551	0
NCGC00261565-01	0.7224	1
NCGC00261424-01	0.0959	0
NCGC00261507-01	0.3759	0
NCGC00261744-01	0.1172	0
NCGC00261367-01	0.5368	1
NCGC00261058-01	0.4022	0
NCGC00260789-01	0.3377	0
NCGC00261717-01	0.0708	0
NCGC00261420-01	0.7087	1
NCGC00261123-01	0.5347	1
NCGC00260742-01	0.0338	0
NCGC00261529-01	0.3233	0
NCGC00261597-01	0.5212	1
NCGC00261389-01	0.1335	0
NCGC00261169-01	0.2475	0
NCGC00261270-01	0.5436	1
NCGC00261826-01	0.0909	0
NCGC00261641-01	0.5006	1
NCGC00260866-01	0.5428	1
NCGC00261624-01	0.2851	0
NCGC00261947-01	0.1911	0
NCGC00261025-01	0.4348	0
NCGC00261853-01	0.4705	0
NCGC00261364-01	0.3515	0
NCGC00261820-01	0.1592	0
NCGC00260852-01	0.5044	1
NCGC00260911-01	0.2206	0
NCGC00261817-01	0.4035	0
NCGC00261085-01	0.1372	0
NCGC00261189-01	0.5245	1
NCGC00261704-01	0.5287	1
NCGC00261808-01	0.5	0
NCGC00261290-01	0.2137	0
NCGC00261342-01	0.3891	0
NCGC00261215-01	0.1873	0
NCGC00261866-01	0.2068	0
NCGC00260972-01	0.3026	0
NCGC00261304-01	0.1435	0
NCGC00261392-01	0.4004	0
NCGC00261638-01	0.6159	1
NCGC00261170-01	0.0702	0
NCGC00261384-01	0.1535	0
NCGC00260696-01	0.3872	0
NCGC00261113-01	0.0984	0
NCGC00261133-01	0.3778	0
NCGC00260940-01	0.5679	1
NCGC00261327-01	0.1203	0
NCGC00261568-01	0.5037	1
NCGC00261178-01	0.1936	0
NCGC00261076-01	0.2137	0
NCGC00261399-01	0.2462	0
NCGC00261611-01	0.0432	0
NCGC00261602-01	0.5556	1
NCGC00260798-01	0.1842	0
NCGC00261506-01	0.5185	1
NCGC00261071-01	0.2137	0
NCGC00261160-01	0.2738	0
NCGC00261679-01	0.5201	1
NCGC00261941-01	0.6626	1
NCGC00260790-01	0.3089	0
NCGC00260830-01	0.0934	0
NCGC00261903-01	0.2876	0
NCGC00261081-01	0.0727	0
NCGC00261577-01	0.4893	0
NCGC00260850-01	0.0952	0
NCGC00261607-01	0.6056	1
NCGC00260708-01	0.0896	0
NCGC00260785-01	0.1592	0
NCGC00261192-01	0.0984	0
NCGC00261390-01	0.1523	0
NCGC00261782-01	0.3584	0
NCGC00260948-01	0.1541	0
NCGC00260881-01	0.4492	0
NCGC00261009-01	0.557	1
NCGC00261166-01	0.5273	1
NCGC00261352-01	0.344	0
