Sample ID	Score	Activity
NCGC00261776-01	0.1801	1
NCGC00261380-01	-0.6988	0
NCGC00261842-01	0.6125	1
NCGC00261662-01	0.7123	1
NCGC00261190-01	0.1107	1
NCGC00260731-01	0.8592	1
NCGC00261926-01	-0.1592	0
NCGC00261579-01	0.0504	1
NCGC00260921-01	0.2635	1
NCGC00261119-01	-0.5644	0
NCGC00261812-01	0.4578	1
NCGC00260831-01	-0.1545	0
NCGC00261544-01	-0.0315	0
NCGC00261619-01	0.0095	1
NCGC00261395-01	0.705	1
NCGC00261717-01	-0.6213	0
NCGC00261947-01	-0.6514	0
NCGC00261424-01	-0.1947	0
NCGC00261861-01	-0.1558	0
NCGC00261924-01	-0.0724	0
NCGC00261026-01	0.0839	1
NCGC00261057-01	-0.6525	0
NCGC00261738-01	-0.0774	0
NCGC00261348-01	-0.6108	0
NCGC00261503-01	-0.6832	0
NCGC00260693-01	-0.8204	0
NCGC00260703-01	-0.8242	0
NCGC00260716-01	-0.484	0
NCGC00260782-01	-0.4462	0
NCGC00260802-01	-0.3879	0
NCGC00260823-01	-0.6768	0
NCGC00260757-01	-0.4006	0
NCGC00260826-01	-0.3271	0
NCGC00260889-01	-0.2507	0
NCGC00260811-01	-0.347	0
NCGC00261165-01	-0.4406	0
NCGC00261060-01	-0.8262	0
NCGC00261541-01	-0.6704	0
NCGC00261649-01	-0.5514	0
NCGC00261110-01	0.0256	1
NCGC00261130-01	-0.0136	0
NCGC00260846-01	-0.0876	0
NCGC00261030-01	0.0635	1
NCGC00261162-01	-0.0372	0
NCGC00261058-01	0.0003	1
NCGC00261404-01	-0.5689	0
NCGC00261423-01	-0.4086	0
NCGC00261856-01	0.2713	1
NCGC00261342-01	-0.4135	0
NCGC00261069-01	0.1994	1
NCGC00261101-01	-0.2985	0
NCGC00261716-01	-0.7006	0
NCGC00260742-01	-0.7737	0
NCGC00261529-01	-0.3666	0
NCGC00261170-01	-0.1985	0
NCGC00261565-01	-0.5734	0
NCGC00260990-01	0.2098	1
NCGC00261340-01	0.1316	1
NCGC00261079-01	-0.3094	0
NCGC00261389-01	-0.2402	0
NCGC00261744-01	-0.678	0
NCGC00261420-01	-0.644	0
NCGC00261215-01	-0.5563	0
NCGC00261826-01	-0.3455	0
NCGC00261123-01	-0.0247	0
NCGC00261367-01	-0.7711	0
NCGC00261507-01	-0.4989	0
