Sample ID	Score	Activity
NCGC00261900	0.6464	1
NCGC00260869	0.4992	0
NCGC00261776	0.789	1
NCGC00261380	0.5182	0
NCGC00261842	0.2296	0
NCGC00261662	0.9428	1
NCGC00261190	0.667	1
NCGC00260731	0.647	1
NCGC00261926	0.5224	0
NCGC00261579	0.4766	0
NCGC00260921	0.547	0
NCGC00261119	0.556	0
NCGC00260957	0.3682	0
NCGC00261812	0.655	1
NCGC00260831	0.7166	1
NCGC00261544	0.2188	0
NCGC00261619	0.4712	0
NCGC00261633	0.2688	0
NCGC00261395	0.699	1
NCGC00261717	0.6048	1
NCGC00261947	0.503	0
NCGC00261424	0.3636	0
NCGC00261861	0.2656	0
NCGC00261924	0.2888	0
NCGC00261052	0.3034	0
NCGC00261683	0.7796	1
NCGC00261026	0.5626	0
NCGC00261057	0.6284	1
NCGC00261738	0.5744	0
NCGC00261348	0.1776	0
NCGC00261503	0.4118	0
NCGC00260693	0.2188	0
NCGC00260703	0.1806	0
NCGC00260716	0.0716	0
NCGC00260782	0.213	0
NCGC00260802	0.1288	0
NCGC00260823	0.1402	0
NCGC00261313	0.086	0
NCGC00260757	0.1214	0
NCGC00260826	0.1048	0
NCGC00261005	0.2406	0
NCGC00260980	0.3638	0
NCGC00261816	0.449	0
NCGC00260698	0.2644	0
NCGC00260889	0.7008	1
NCGC00260811	0.324	0
NCGC00261165	0.5356	0
NCGC00261060	0.2628	0
NCGC00261541	0.2858	0
NCGC00261649	0.2038	0
NCGC00261110	0.6816	1
NCGC00261130	0.686	1
NCGC00260846	0.5748	0
NCGC00261030	0.5652	0
NCGC00261162	0.4674	0
NCGC00261058	0.4174	0
NCGC00261404	0.413	0
NCGC00261423	0.7958	1
NCGC00261856	0.7368	1
NCGC00261342	0.3	0
NCGC00261935	0.454	0
NCGC00261069	0.5482	0
NCGC00261101	0.3974	0
NCGC00261183	0.5586	0
NCGC00261716	0.3068	0
NCGC00260742	0.3328	0
NCGC00261529	0.383	0
NCGC00261170	0.362	0
NCGC00261565	0.48	0
NCGC00260990	0.9044	1
NCGC00261340	0.2468	0
NCGC00261079	0.7908	1
NCGC00261389	0.4178	0
NCGC00261744	0.1868	0
NCGC00261420	0.3546	0
NCGC00261215	0.2798	0
NCGC00261826	0.3104	0
NCGC00260706	0.6206	1
NCGC00261123	0.7134	1
NCGC00261367	0.4172	0
NCGC00261507	0.3732	0
NCGC00261169	0.3514	0
NCGC00261730	0.3604	0
NCGC00261624	0.61	1
NCGC00261641	0.509	0
NCGC00261853	0.6388	1
NCGC00260911	0.3702	0
NCGC00260798	0.3224	0
NCGC00261384	0.5606	0
NCGC00260785	0.4606	0
NCGC00261597	0.437	0
NCGC00261025	0.6854	1
NCGC00260789	0.6406	1
NCGC00260866	0.9578	1
NCGC00261189	0.5726	0
NCGC00261270	0.3902	0
NCGC00261611	0.3634	0
NCGC00261160	0.365	0
NCGC00261085	0.2712	0
NCGC00261817	0.3882	0
NCGC00261866	0.7364	1
NCGC00260852	0.9436	1
NCGC00261290	0.7704	1
NCGC00261304	0.437	0
NCGC00261704	0.7422	1
NCGC00260850	0.5194	0
NCGC00260972	0.4858	0
NCGC00261364	0.2332	0
NCGC00261392	0.5472	0
NCGC00261638	0.5726	0
NCGC00261820	0.2958	0
NCGC00261808	0.5158	0
NCGC00260790	0.7342	1
NCGC00260940	0.8686	1
NCGC00261081	0.4374	0
NCGC00261506	0.553	0
NCGC00261133	0.6906	1
NCGC00261399	0.488	0
NCGC00260696	0.841	1
NCGC00261903	0.5162	0
NCGC00261178	0.3214	0
NCGC00261568	0.8068	1
NCGC00260830	0.2366	0
NCGC00261113	0.4384	0
NCGC00261327	0.3338	0
NCGC00261602	0.6924	1
NCGC00260858	0.5692	0
NCGC00261071	0.6468	1
NCGC00261076	0.5016	0
NCGC00261192	0.2836	0
NCGC00261577	0.3896	0
NCGC00261510	0.5226	0
NCGC00261679	0.922	1
NCGC00261941	0.9064	1
NCGC00261343	0.288	0
NCGC00261607	0.704	1
NCGC00261782	0.6412	1
NCGC00261914	0.4506	0
NCGC00261475	0.557	0
NCGC00261764	0.5116	0
NCGC00261802	0.3996	0
NCGC00261813	0.5448	0
NCGC00260795	0.4498	0
NCGC00261352	0.5164	0
NCGC00261009	0.8038	1
NCGC00261944	0.7016	1
NCGC00261166	0.408	0
NCGC00261332	0.7688	1
NCGC00261333	0.4154	0
NCGC00261260	0.498	0
NCGC00261915	0.7156	1
NCGC00261238	0.5198	0
NCGC00261682	0.6016	1
NCGC00261049	0.4698	0
NCGC00260910	0.5628	0
NCGC00261272	0.838	1
NCGC00260708	0.1194	0
NCGC00261390	0.1006	0
NCGC00260948	0.2426	0
NCGC00261840	0.1708	0
NCGC00260881	0.2502	0
NCGC00261153	0.4808	0
NCGC00261406	0.176	0
NCGC00261053	0.1278	0
NCGC00261129	0.1388	0
NCGC00261381	0.4562	0
NCGC00261426	0.9408	1
NCGC00260979	0.666	1
NCGC00260993	0.5554	0
NCGC00261108	0.7246	1
NCGC00261441	0.3854	0
NCGC00261877	0.794	1
NCGC00260815	0.4004	0
NCGC00261542	0.7426	1
NCGC00261958	0.4778	0
NCGC00261787	0.7604	1
NCGC00261065	0.537	0
NCGC00261804	0.4638	0
NCGC00260875	0.5056	0
NCGC00261451	0.076	0
NCGC00261739	0.4936	0
NCGC00261948	0.3452	0
NCGC00261382	0.3408	0
NCGC00261663	0.3766	0
NCGC00260892	0.766	1
NCGC00261297	0.8094	1
NCGC00261321	0.459	0
NCGC00261446	0.8482	1
NCGC00261474	0.4616	0
NCGC00260834	0.4168	0
NCGC00260840	0.3548	0
NCGC00260947	0.4366	0
NCGC00261080	0.5026	0
NCGC00261563	0.509	0
NCGC00261873	0.5146	0
NCGC00260803	0.5448	0
NCGC00260833	0.4988	0
NCGC00261008	0.5476	0
NCGC00261155	0.5576	0
NCGC00261643	0.5566	0
NCGC00261037	0.6228	1
NCGC00261126	0.692	1
NCGC00260871	0.2876	0
NCGC00260713	0.3282	0
NCGC00261487	0.598	0
NCGC00261545	0.649	1
NCGC00261480	0.629	1
NCGC00261838	0.5186	0
NCGC00261627	0.062	0
NCGC00261639	0.2734	0
NCGC00261177	0.2302	0
NCGC00260692	0.1742	0
NCGC00260775	0.1002	0
NCGC00260876	0.1	0
NCGC00261598	0.2324	0
NCGC00260707	0.3216	0
NCGC00261554	0.34	0
NCGC00261713	0.9724	1
NCGC00261737	0.594	0
NCGC00261882	0.679	1
NCGC00261933	0.6214	1
NCGC00261201	0.447	0
NCGC00261398	0.572	0
NCGC00261601	0.5564	0
NCGC00261003	0.541	0
NCGC00261019	0.2248	0
NCGC00261519	0.0808	0
NCGC00261732	0.055	0
NCGC00261718	0.2848	0
NCGC00260743	0.2128	0
NCGC00260751	0.1786	0
NCGC00260867	0.0814	0
NCGC00260982	0.2034	0
NCGC00261176	0.2084	0
NCGC00261440	0.198	0
NCGC00261657	0.0954	0
NCGC00260822	0.633	1
NCGC00261142	0.2782	0
