Sample ID	Score	Activity
NCGC00260691	0.22771	0
NCGC00260692	0.04376	0
NCGC00260693	0.09851	0
NCGC00260696	0.27849	0
NCGC00260698	0.19316	0
NCGC00260703	0.08028	0
NCGC00260706	0.21670	0
NCGC00260707	0.31957	0
NCGC00260708	0.02707	0
NCGC00260713	0.40123	0
NCGC00260716	0.02923	0
NCGC00260728	0.22349	0
NCGC00260731	0.39760	0
NCGC00260742	0.20542	0
NCGC00260743	0.05543	0
NCGC00260751	0.05144	0
NCGC00260757	0.03018	0
NCGC00260770	0.07548	0
NCGC00260775	0.07297	0
NCGC00260782	0.12194	0
NCGC00260785	0.36239	0
NCGC00260789	0.46793	0
NCGC00260790	0.39460	0
NCGC00260795	0.40548	0
NCGC00260798	0.40667	0
NCGC00260802	0.04881	0
NCGC00260803	0.83058	1
NCGC00260811	0.29852	0
NCGC00260815	0.55640	1
NCGC00260817	0.07674	0
NCGC00260821	0.20078	0
NCGC00260822	0.62158	1
NCGC00260823	0.07151	0
NCGC00260826	0.09593	0
NCGC00260830	0.35342	0
NCGC00260831	0.66132	1
NCGC00260833	0.79340	1
NCGC00260834	0.76156	1
NCGC00260840	0.76672	1
NCGC00260846	0.28991	0
NCGC00260850	0.33957	0
NCGC00260852	0.29186	0
NCGC00260858	0.40543	0
NCGC00260866	0.42989	0
NCGC00260867	0.04800	0
NCGC00260869	0.75199	1
NCGC00260871	0.40240	0
NCGC00260875	0.28954	0
NCGC00260876	0.07658	0
NCGC00260881	0.14242	0
NCGC00260889	0.20627	0
NCGC00260890	0.22881	0
NCGC00260892	0.19449	0
NCGC00260910	0.24050	0
NCGC00260911	0.10239	0
NCGC00260921	0.43330	0
NCGC00260940	0.39612	0
NCGC00260947	0.74620	1
NCGC00260948	0.05694	0
NCGC00260957	0.42400	0
NCGC00260962	0.31783	0
NCGC00260972	0.39533	0
NCGC00260979	0.70256	1
NCGC00260980	0.35958	0
NCGC00260982	0.11878	0
NCGC00260990	0.32766	0
NCGC00260993	0.82766	1
NCGC00261003	0.42595	0
NCGC00261005	0.15649	0
NCGC00261007	0.16766	0
NCGC00261008	0.72209	1
NCGC00261009	0.42107	0
NCGC00261013	0.15379	0
NCGC00261018	0.30749	0
NCGC00261019	0.17781	0
NCGC00261025	0.16807	0
NCGC00261026	0.51670	1
NCGC00261028	0.25681	0
NCGC00261030	0.39627	0
NCGC00261037	0.19782	0
NCGC00261049	0.54127	1
NCGC00261052	0.14682	0
NCGC00261053	0.12356	0
NCGC00261057	0.26346	0
NCGC00261058	0.26221	0
NCGC00261060	0.11517	0
NCGC00261065	0.45573	0
NCGC00261071	0.41964	0
NCGC00261075	0.13980	0
NCGC00261076	0.25095	0
NCGC00261079	0.18357	0
NCGC00261080	0.74234	1
NCGC00261081	0.48113	0
NCGC00261085	0.12390	0
NCGC00261101	0.38628	0
NCGC00261108	0.56267	1
NCGC00261110	0.14739	0
NCGC00261113	0.19953	0
NCGC00261119	0.22180	0
NCGC00261123	0.28316	0
NCGC00261129	0.12165	0
NCGC00261130	0.21077	0
NCGC00261133	0.37841	0
NCGC00261141	0.16617	0
NCGC00261142	0.28513	0
NCGC00261146	0.07641	0
NCGC00261147	0.22823	0
NCGC00261150	0.14118	0
NCGC00261153	0.28113	0
NCGC00261155	0.73539	1
NCGC00261160	0.50025	1
NCGC00261161	0.07726	0
NCGC00261162	0.31742	0
NCGC00261163	0.47972	0
NCGC00261165	0.39964	0
NCGC00261166	0.51646	1
NCGC00261169	0.26853	0
NCGC00261170	0.29394	0
NCGC00261176	0.05016	0
NCGC00261177	0.23069	0
NCGC00261178	0.44105	0
NCGC00261183	0.40483	0
NCGC00261189	0.60494	1
NCGC00261190	0.42804	0
NCGC00261192	0.45868	0
NCGC00261201	0.37351	0
NCGC00261215	0.23838	0
NCGC00261238	0.26621	0
NCGC00261246	0.14182	0
NCGC00261248	0.17968	0
NCGC00261254	0.06974	0
NCGC00261260	0.39847	0
NCGC00261261	0.08263	0
NCGC00261270	0.19018	0
NCGC00261272	0.23601	0
NCGC00261286	0.20162	0
NCGC00261290	0.30314	0
NCGC00261293	0.14825	0
NCGC00261294	0.16189	0
NCGC00261297	0.38461	0
NCGC00261304	0.53558	1
NCGC00261313	0.07439	0
NCGC00261321	0.21393	0
NCGC00261327	0.19757	0
NCGC00261330	0.20398	0
NCGC00261332	0.53252	1
NCGC00261333	0.45226	0
NCGC00261336	0.19630	0
NCGC00261340	0.29822	0
NCGC00261342	0.24918	0
NCGC00261343	0.32056	0
NCGC00261348	0.12838	0
NCGC00261349	0.17041	0
NCGC00261352	0.55274	1
NCGC00261364	0.22037	0
NCGC00261367	0.24862	0
NCGC00261380	0.37891	0
NCGC00261381	0.35664	0
NCGC00261382	0.49489	0
NCGC00261384	0.29695	0
NCGC00261389	0.29006	0
NCGC00261390	0.03855	0
NCGC00261392	0.41694	0
NCGC00261395	0.48532	0
NCGC00261398	0.50354	1
NCGC00261399	0.49143	0
NCGC00261404	0.12873	0
NCGC00261406	0.13560	0
NCGC00261420	0.42724	0
NCGC00261423	0.32062	0
NCGC00261424	0.26202	0
NCGC00261426	0.40067	0
NCGC00261440	0.06436	0
NCGC00261441	0.79680	1
NCGC00261446	0.25174	0
NCGC00261470	0.16731	0
NCGC00261473	0.36482	0
NCGC00261474	0.16849	0
NCGC00261475	0.54112	1
NCGC00261480	0.30301	0
NCGC00261487	0.49810	0
NCGC00261503	0.25061	0
NCGC00261506	0.44864	0
NCGC00261507	0.23560	0
NCGC00261510	0.40390	0
NCGC00261519	0.13191	0
NCGC00261529	0.20055	0
NCGC00261541	0.14609	0
NCGC00261542	0.36483	0
NCGC00261544	0.30571	0
NCGC00261545	0.51000	1
NCGC00261554	0.45493	0
NCGC00261563	0.72971	1
NCGC00261565	0.44713	0
NCGC00261568	0.62728	1
NCGC00261577	0.32985	0
NCGC00261578	0.15083	0
NCGC00261579	0.28648	0
NCGC00261582	0.17391	0
NCGC00261583	0.22146	0
