Sample ID	Score	Activity
NCGC00261900-01	0.03493	0
NCGC00260869-01	0.03468	0
NCGC00261776-01	0.03426	0
NCGC00261380-01	0.03611	0
NCGC00261842-01	0.03896	0
NCGC00261662-01	0.04148	0
NCGC00261190-01	0.03522	0
NCGC00260731-01	0.03151	0
NCGC00261926-01	0.03469	0
NCGC00261579-01	0.03317	0
NCGC00260921-01	0.03378	0
NCGC00261119-01	0.03096	0
NCGC00260957-01	0.03468	0
NCGC00261812-01	0.03582	0
NCGC00260831-01	0.0549	0
NCGC00261544-01	0.03179	0
NCGC00261619-01	0.03539	0
NCGC00261633-01	0.02712	0
NCGC00261395-01	0.03526	0
NCGC00261717-01	0.03482	0
NCGC00261947-01	0.03487	0
NCGC00261424-01	0.03377	0
NCGC00261861-01	0.03287	0
NCGC00261924-01	0.02822	0
NCGC00261052-01	0.03716	0
NCGC00261683-01	0.03408	0
NCGC00261026-01	0.03435	0
NCGC00261057-01	0.03214	0
NCGC00261738-01	0.03333	0
NCGC00261348-01	0.02523	0
NCGC00261503-01	0.03179	0
NCGC00260693-01	0.02917	0
NCGC00260703-01	0.02747	0
NCGC00260716-01	0.02059	0
NCGC00260782-01	0.04244	0
NCGC00260802-01	0.02673	0
NCGC00260823-01	0.02396	0
NCGC00261313-01	0.01842	0
NCGC00260757-01	0.02665	0
NCGC00260826-01	0.02136	0
NCGC00261005-01	0.02759	0
NCGC00260980-01	0.03406	0
NCGC00261816-01	0.03339	0
NCGC00260698-01	0.03326	0
NCGC00260889-01	0.03217	0
NCGC00260811-01	0.03231	0
NCGC00261165-01	0.03507	0
NCGC00261060-01	0.03088	0
NCGC00261541-01	0.02789	0
NCGC00261649-01	0.03168	0
NCGC00261110-01	0.03263	0
NCGC00261130-01	0.03393	0
NCGC00260846-01	0.03029	0
NCGC00261030-01	0.03248	0
NCGC00261162-01	0.02635	0
NCGC00261058-01	0.03442	0
NCGC00261404-01	0.03307	0
NCGC00261423-01	0.03401	0
NCGC00261856-01	0.03435	0
NCGC00261342-01	0.03478	0
NCGC00261935-01	0.02279	0
NCGC00261069-01	0.03643	0
NCGC00261101-01	0.03378	0
NCGC00261183-01	0.033	0
NCGC00261716-01	0.03335	0
NCGC00260742-01	0.03418	0
NCGC00261529-01	0.03358	0
NCGC00261170-01	0.0312	0
NCGC00261565-01	0.03382	0
NCGC00260990-01	0.03589	0
NCGC00261340-01	0.02788	0
NCGC00261079-01	0.03672	0
NCGC00261389-01	0.0346	0
NCGC00261744-01	0.03375	0
NCGC00261420-01	0.03184	0
NCGC00261215-01	0.03465	0
NCGC00261826-01	0.03363	0
NCGC00260706-01	0.03171	0
NCGC00261123-01	0.03377	0
NCGC00261367-01	0.03338	0
NCGC00261507-01	0.0328	0
NCGC00261169-01	0.03357	0
NCGC00261730-01	0.03084	0
NCGC00261624-01	0.03023	0
NCGC00261641-01	0.03243	0
NCGC00261853-01	0.0356	0
NCGC00260911-01	0.03416	0
NCGC00260798-01	0.03235	0
NCGC00261384-01	0.03334	0
NCGC00260785-01	0.03447	0
NCGC00261597-01	0.0335	0
NCGC00261025-01	0.02462	0
NCGC00260789-01	0.03272	0
NCGC00260866-01	0.03709	0
NCGC00261189-01	0.03403	0
NCGC00261270-01	0.03421	0
NCGC00261611-01	0.03468	0
NCGC00261160-01	0.035	0
NCGC00261085-01	0.03366	0
NCGC00261817-01	0.03438	0
NCGC00261866-01	0.0315	0
NCGC00260852-01	0.03392	0
NCGC00261290-01	0.03137	0
NCGC00261304-01	0.03471	0
NCGC00261704-01	0.03559	0
NCGC00260850-01	0.03407	0
NCGC00260972-01	0.03425	0
NCGC00261364-01	0.02378	0
NCGC00261392-01	0.03305	0
NCGC00261638-01	0.03535	0
NCGC00261820-01	0.03448	0
NCGC00261808-01	0.03394	0
NCGC00260790-01	0.03335	0
NCGC00260940-01	0.03446	0
NCGC00261081-01	0.03385	0
NCGC00261506-01	0.03492	0
NCGC00261133-01	0.03322	0
NCGC00261399-01	0.03461	0
NCGC00260696-01	0.02913	0
NCGC00261903-01	0.03594	0
NCGC00261178-01	0.03434	0
NCGC00261568-01	0.03484	0
NCGC00260830-01	0.03444	0
NCGC00261113-01	0.032	0
NCGC00261327-01	0.03112	0
NCGC00261602-01	0.03395	0
NCGC00260858-01	0.03632	0
NCGC00261071-01	0.03432	0
NCGC00261076-01	0.03388	0
NCGC00261192-01	0.03532	0
NCGC00261495-01	0.03143	0
NCGC00261577-01	0.03459	0
NCGC00261510-01	0.03432	0
NCGC00261679-01	0.031	0
NCGC00261941-01	0.03492	0
NCGC00261343-01	0.03377	0
NCGC00261607-01	0.03545	0
NCGC00261782-01	0.03433	0
NCGC00261914-01	0.03454	0
NCGC00261475-01	0.03496	0
NCGC00261764-01	0.03512	0
NCGC00261802-01	0.03492	0
NCGC00261813-01	0.03483	0
NCGC00260795-01	0.03122	0
NCGC00261352-01	0.03465	0
NCGC00261009-01	0.03509	0
NCGC00261944-01	0.03514	0
NCGC00261166-01	0.03513	0
NCGC00261332-01	0.03555	0
NCGC00261333-01	0.0349	0
NCGC00261260-01	0.03498	0
NCGC00261915-01	0.03459	0
NCGC00261238-01	0.03506	0
NCGC00261682-01	0.03476	0
NCGC00261049-01	0.03484	0
NCGC00260910-01	0.03464	0
NCGC00261272-01	0.0359	0
NCGC00260708-01	0.03397	0
NCGC00261390-01	0.04674	0
NCGC00260948-01	0.02246	0
NCGC00261840-01	0.02225	0
NCGC00260881-01	0.02491	0
NCGC00261153-01	0.03454	0
NCGC00261406-01	0.02471	0
NCGC00261053-01	0.02351	0
NCGC00261129-01	0.02243	0
NCGC00261381-01	0.03474	0
NCGC00261426-01	0.03563	0
NCGC00260979-01	0.05202	0
NCGC00260993-01	0.11307	0
NCGC00261108-01	0.0372	0
NCGC00261441-01	0.0365	0
NCGC00261877-01	0.03595	0
NCGC00260815-01	0.03491	0
NCGC00261542-01	0.03402	0
NCGC00261958-01	0.03213	0
NCGC00261787-01	0.03268	0
NCGC00261065-01	0.03461	0
NCGC00261804-01	0.0347	0
NCGC00260875-01	0.03411	0
NCGC00261451-01	0.02277	0
NCGC00261739-01	0.0349	0
NCGC00261948-01	0.03498	0
NCGC00261382-01	0.03495	0
NCGC00261663-01	0.03464	0
NCGC00260892-01	0.03459	0
NCGC00261297-01	0.06388	0
NCGC00261321-01	0.03359	0
NCGC00261446-01	0.0348	0
NCGC00261474-01	0.03125	0
NCGC00260834-01	0.036	0
NCGC00260840-01	0.48501	0
NCGC00260947-01	0.03485	0
NCGC00261080-01	0.02755	0
NCGC00261563-01	0.03492	0
NCGC00261873-01	0.03454	0
NCGC00260803-01	0.04569	0
NCGC00260833-01	0.04934	0
NCGC00261008-01	0.03515	0
NCGC00261155-01	0.03506	0
NCGC00261643-01	0.0482	0
NCGC00261037-01	0.03593	0
NCGC00261126-01	0.02272	0
NCGC00260871-01	0.03335	0
NCGC00260713-01	0.03433	0
NCGC00261487-01	0.03385	0
NCGC00261545-01	0.04229	0
NCGC00261480-01	0.03523	0
NCGC00261838-01	0.03421	0
NCGC00261627-01	0.02552	0
NCGC00261639-01	0.02938	0
NCGC00261177-01	0.0141	0
NCGC00260692-01	0.02065	0
NCGC00260775-01	0.01844	0
NCGC00260876-01	0.00843	0
NCGC00261598-01	0.02173	0
NCGC00260707-01	0.03548	0
NCGC00261554-01	0.04113	0
NCGC00261713-01	0.04371	0
NCGC00261737-01	0.03505	0
NCGC00261882-01	0.0349	0
NCGC00261933-01	0.0349	0
NCGC00261201-01	0.03348	0
NCGC00261398-01	0.03488	0
NCGC00261601-01	0.02281	0
NCGC00261003-01	0.06151	0
NCGC00261019-01	0.02915	0
NCGC00261519-01	0.02387	0
NCGC00261732-01	0.02846	0
NCGC00261718-01	0.05518	0
NCGC00260743-01	0.0272	0
NCGC00260751-01	0.01918	0
NCGC00260867-01	0.03681	0
NCGC00260982-01	0.03004	0
