Sample ID	Score	Activity
NCGC00261900-01	-1.52771	0
NCGC00260869-01	0.00552	1
NCGC00261776-01	0.09231	1
NCGC00261380-01	-0.09513	0
NCGC00261842-01	-0.73692	0
NCGC00261662-01	1.27197	1
NCGC00261190-01	0.27446	1
NCGC00260731-01	0.14917	1
NCGC00261926-01	0.5633	1
NCGC00261579-01	-0.43875	0
NCGC00260921-01	0.48573	1
NCGC00261119-01	-0.43341	0
NCGC00260957-01	-0.55984	0
NCGC00261812-01	0.39062	1
NCGC00260831-01	0.72778	1
NCGC00261544-01	-0.93091	0
NCGC00261619-01	0.85115	1
NCGC00261633-01	-2.30914	0
NCGC00261395-01	1.44903	1
NCGC00261717-01	-1.27544	0
NCGC00261947-01	-1.32252	0
NCGC00261424-01	-0.42967	0
NCGC00261861-01	-0.38756	0
NCGC00261924-01	-1.53176	0
NCGC00261052-01	0.08967	1
NCGC00261683-01	0.35507	1
NCGC00261026-01	0.21559	1
NCGC00261057-01	-0.63842	0
NCGC00261738-01	-0.54789	0
NCGC00261348-01	-1.11535	0
NCGC00261503-01	0.06664	1
NCGC00260693-01	-2.0797	0
NCGC00260703-01	-1.75397	0
NCGC00260716-01	-2.2463	0
NCGC00260782-01	0.50018	1
NCGC00260802-01	-0.62565	0
NCGC00260823-01	-1.42448	0
NCGC00261313-01	-2.4181	0
NCGC00260757-01	-0.49095	0
NCGC00260826-01	-0.21659	0
NCGC00261005-01	-0.40899	0
NCGC00260980-01	-0.81907	0
NCGC00261816-01	-0.13373	0
NCGC00260698-01	-1.58206	0
NCGC00260889-01	-0.22269	0
NCGC00260811-01	-0.03835	0
NCGC00261165-01	0.1224	1
NCGC00261060-01	-0.81531	0
NCGC00261541-01	-0.39994	0
NCGC00261649-01	-0.61334	0
NCGC00261110-01	0.64369	1
NCGC00261130-01	0.42658	1
NCGC00260846-01	1.49725	1
NCGC00261030-01	1.54222	1
NCGC00261162-01	1.92639	1
NCGC00261058-01	-0.11086	0
NCGC00261404-01	-0.74276	0
NCGC00261423-01	-0.93345	0
NCGC00261856-01	0.77535	1
NCGC00261342-01	-1.05197	0
NCGC00261935-01	1.19854	1
NCGC00261069-01	1.75655	1
NCGC00261101-01	-0.84511	0
NCGC00261183-01	-0.56336	0
NCGC00261716-01	-1.32491	0
NCGC00260742-01	-1.27462	0
NCGC00261529-01	-0.53113	0
NCGC00261170-01	-0.69972	0
NCGC00261565-01	-1.28404	0
NCGC00260990-01	0.39931	1
NCGC00261340-01	-0.42595	0
NCGC00261079-01	0.83643	1
NCGC00261389-01	-1.40744	0
NCGC00261744-01	-1.096	0
NCGC00261420-01	-0.97631	0
NCGC00261215-01	-0.71998	0
NCGC00261826-01	-1.02361	0
NCGC00260706-01	-0.63416	0
NCGC00261123-01	0.40358	1
NCGC00261367-01	-0.65271	0
NCGC00261507-01	-0.65094	0
NCGC00261169-01	-0.04886	0
NCGC00261730-01	0.28554	1
NCGC00261624-01	-0.86846	0
NCGC00261641-01	-0.74451	0
NCGC00261853-01	-0.75637	0
NCGC00260911-01	-0.26045	0
NCGC00260798-01	-0.7062	0
NCGC00261384-01	-0.12657	0
NCGC00260785-01	-0.21234	0
NCGC00261597-01	0.96989	1
NCGC00261025-01	0.11915	1
NCGC00260789-01	-1.0718	0
NCGC00260866-01	0.4011	1
NCGC00261189-01	-1.63228	0
NCGC00261270-01	-0.79702	0
NCGC00261611-01	-2.43155	0
NCGC00261160-01	-0.24096	0
NCGC00261085-01	-1.14602	0
NCGC00261817-01	-1.2776	0
NCGC00261866-01	-0.27164	0
NCGC00260852-01	0.50634	1
NCGC00261290-01	-0.63882	0
NCGC00261304-01	0.68278	1
NCGC00261704-01	-0.01166	0
NCGC00260850-01	-0.95633	0
NCGC00260972-01	-0.54942	0
NCGC00261364-01	-0.54331	0
NCGC00261392-01	-0.6565	0
NCGC00261638-01	0.47795	1
NCGC00261820-01	-0.05175	0
NCGC00261808-01	-0.75867	0
NCGC00260790-01	-0.2407	0
NCGC00260940-01	-0.03785	0
NCGC00261081-01	-0.85137	0
NCGC00261506-01	0.75433	1
NCGC00261133-01	0.31463	1
NCGC00261399-01	-0.20904	0
NCGC00260696-01	-0.40623	0
NCGC00261903-01	0.77182	1
NCGC00261178-01	-0.3758	0
NCGC00261568-01	0.26437	1
NCGC00260830-01	-1.42967	0
NCGC00261113-01	-0.63604	0
NCGC00261327-01	-0.93999	0
NCGC00261602-01	0.43991	1
NCGC00260858-01	0.57153	1
NCGC00261071-01	0.86484	1
NCGC00261076-01	-0.33609	0
NCGC00261192-01	-0.55673	0
NCGC00261495-01	0.31261	1
NCGC00261577-01	-0.75014	0
NCGC00261510-01	-1.28844	0
NCGC00261679-01	1.2014	1
NCGC00261941-01	0.56355	1
NCGC00261343-01	-0.74975	0
NCGC00261607-01	0.2417	1
NCGC00261782-01	0.87491	1
NCGC00261914-01	-1.3108	0
NCGC00261475-01	0.34916	1
NCGC00261764-01	-0.04646	0
NCGC00261802-01	1.01955	1
NCGC00261813-01	-0.472	0
NCGC00260795-01	-0.21221	0
NCGC00261352-01	0.42296	1
NCGC00261009-01	0.83153	1
NCGC00261944-01	-0.27149	0
NCGC00261166-01	1.38961	1
NCGC00261332-01	-0.31485	0
NCGC00261333-01	-0.11143	0
NCGC00261260-01	-0.86252	0
NCGC00261915-01	-0.43784	0
NCGC00261238-01	-0.08497	0
NCGC00261682-01	0.00515	1
NCGC00261049-01	-0.97372	0
NCGC00260910-01	-0.07442	0
NCGC00261272-01	-0.60871	0
NCGC00260708-01	-0.18583	0
NCGC00261390-01	0.05815	1
NCGC00260948-01	-0.43767	0
NCGC00261840-01	-2.73964	0
NCGC00260881-01	-0.29236	0
NCGC00261153-01	-0.29878	0
NCGC00261406-01	-1.87834	0
NCGC00261053-01	-0.0896	0
NCGC00261129-01	0.09287	1
NCGC00261381-01	-0.30657	0
NCGC00261426-01	1.2338	1
NCGC00260979-01	1.14489	1
NCGC00260993-01	0.83121	1
NCGC00261108-01	0.49191	1
NCGC00261441-01	-0.34185	0
NCGC00261877-01	1.20109	1
NCGC00260815-01	-0.24859	0
NCGC00261542-01	0.23843	1
NCGC00261958-01	-0.09765	0
NCGC00261787-01	-0.93157	0
NCGC00261065-01	0.71815	1
NCGC00261804-01	0.27794	1
NCGC00260875-01	1.43016	1
NCGC00261451-01	0.16741	1
NCGC00261739-01	0.12696	1
NCGC00261948-01	0.3223	1
NCGC00261382-01	-0.63833	0
NCGC00261663-01	0.05047	1
NCGC00260892-01	-0.51	0
NCGC00261297-01	0.08617	1
NCGC00261321-01	-0.13471	0
NCGC00261446-01	-0.29923	0
NCGC00261474-01	-0.33666	0
NCGC00260834-01	-0.57205	0
NCGC00260840-01	0.00449	1
NCGC00260947-01	0.1749	1
NCGC00261080-01	-0.53499	0
NCGC00261563-01	-0.07833	0
NCGC00261873-01	0.11182	1
NCGC00260803-01	0.87742	1
