Sample ID	Score	Activity
NCGC00261900-01	0.101013042	0
NCGC00260869-01	0.047467376	0
NCGC00261776-01	0.079880774	0
NCGC00261380-01	0.089587382	0
NCGC00261842-01	0.080833811	0
NCGC00261662-01	0.518807791	1
NCGC00260731-01	0.143756874	0
NCGC00261926-01	0.029667701	0
NCGC00261579-01	0.120055069	0
NCGC00261119-01	0.062670042	0
NCGC00260957-01	0.003569579	0
NCGC00261812-01	0.182265950	0
NCGC00260831-01	0.541280396	1
NCGC00261544-01	0.013454280	0
NCGC00261619-01	0.036407494	0
NCGC00261633-01	0.002743510	0
NCGC00261395-01	0.250084202	0
NCGC00261717-01	0.028299688	0
NCGC00261947-01	0.212868449	0
NCGC00261424-01	0.024082289	0
NCGC00261861-01	0.021070295	0
NCGC00261924-01	0.013105098	0
NCGC00261683-01	0.106572839	0
NCGC00261026-01	0.013066499	0
NCGC00261057-01	0.020896728	0
NCGC00261738-01	0.012395590	0
NCGC00261348-01	0.008863099	0
NCGC00261503-01	0.004695437	0
NCGC00260693-01	0.007960257	0
NCGC00260703-01	0.003685946	0
NCGC00260716-01	0.004646992	0
NCGC00260782-01	0.005731979	0
NCGC00260802-01	0.005849632	0
NCGC00260823-01	0.009221711	0
NCGC00261313-01	0.004510043	0
NCGC00260757-01	0.011501286	0
NCGC00260826-01	0.005261871	0
NCGC00261005-01	0.014582793	0
NCGC00260980-01	0.011862440	0
NCGC00261816-01	0.026022226	0
NCGC00260698-01	0.013200255	0
NCGC00260889-01	0.025617582	0
NCGC00260811-01	0.019310105	0
NCGC00261165-01	0.024123090	0
NCGC00261060-01	0.004104830	0
NCGC00261541-01	0.012410678	0
NCGC00261649-01	0.006026635	0
NCGC00261110-01	0.018448800	0
NCGC00261130-01	0.030326552	0
NCGC00261162-01	0.003872601	0
NCGC00261058-01	0.019596967	0
NCGC00261404-01	0.006812707	0
NCGC00261423-01	0.086321838	0
NCGC00261856-01	0.042924509	0
NCGC00261342-01	0.031126052	0
NCGC00261935-01	0.008183267	0
NCGC00261101-01	0.024353247	0
NCGC00261183-01	0.029774360	0
NCGC00261716-01	0.015505377	0
NCGC00260742-01	0.005443576	0
NCGC00261529-01	0.021508568	0
NCGC00261170-01	0.005520068	0
NCGC00261565-01	0.050304366	0
NCGC00260990-01	0.131617799	0
NCGC00261340-01	0.020717201	0
NCGC00261079-01	0.051561403	0
NCGC00261389-01	0.009565086	0
NCGC00261744-01	0.010344399	0
NCGC00261420-01	0.012979676	0
NCGC00261215-01	0.007655074	0
NCGC00261826-01	0.010245156	0
NCGC00260706-01	0.030983978	0
NCGC00261123-01	0.060029264	0
NCGC00261367-01	0.007706146	0
NCGC00261507-01	0.015581951	0
NCGC00261169-01	0.012718243	0
NCGC00261730-01	0.047688800	0
NCGC00261624-01	0.049157093	0
NCGC00261641-01	0.003510902	0
NCGC00261853-01	0.031702740	0
NCGC00260911-01	0.012345783	0
NCGC00260798-01	0.030133063	0
NCGC00261384-01	0.004368202	0
NCGC00260785-01	0.019796862	0
NCGC00261597-01	0.003951621	0
NCGC00261025-01	0.013532718	0
NCGC00260789-01	0.029297357	0
NCGC00260866-01	0.111705235	0
NCGC00261189-01	0.046165574	0
NCGC00261270-01	0.030398041	0
NCGC00261611-01	0.011447080	0
NCGC00261160-01	0.047779251	0
NCGC00261085-01	0.005422407	0
NCGC00261817-01	0.035920684	0
NCGC00261866-01	0.016112511	0
NCGC00260852-01	0.012702143	0
NCGC00261290-01	0.015161895	0
NCGC00261304-01	0.079080771	0
NCGC00261704-01	0.214153538	0
NCGC00260850-01	0.016043272	0
NCGC00260972-01	0.034157510	0
NCGC00261364-01	0.007641546	0
NCGC00261392-01	0.016489396	0
NCGC00261820-01	0.004909442	0
NCGC00261808-01	0.031575408	0
NCGC00260790-01	0.019314354	0
NCGC00260940-01	0.555558225	1
NCGC00261081-01	0.024467340	0
NCGC00261506-01	0.124173813	0
NCGC00261133-01	0.048224456	0
NCGC00261399-01	0.035243246	0
NCGC00260696-01	0.117757195	0
NCGC00261903-01	0.202243858	0
NCGC00261178-01	0.011222954	0
NCGC00261568-01	0.419091599	0
NCGC00260830-01	0.003041598	0
NCGC00261113-01	0.007618306	0
NCGC00261327-01	0.002144620	0
NCGC00261602-01	0.022544922	0
NCGC00260858-01	0.230150883	0
NCGC00261071-01	0.043615451	0
NCGC00261076-01	0.015680209	0
NCGC00261192-01	0.005403779	0
NCGC00261577-01	0.136438154	0
NCGC00261510-01	0.034433381	0
NCGC00261941-01	0.811897858	1
NCGC00261343-01	0.013596716	0
NCGC00261607-01	0.133024054	0
NCGC00261782-01	0.061258537	0
NCGC00261914-01	0.025626959	0
NCGC00261475-01	0.037268522	0
NCGC00261764-01	0.032595041	0
NCGC00261813-01	0.102597361	0
NCGC00260795-01	0.015266240	0
NCGC00261352-01	0.177299212	0
NCGC00261009-01	0.249757245	0
NCGC00261944-01	0.163429523	0
NCGC00261166-01	0.111158276	0
NCGC00261332-01	0.051017666	0
NCGC00261333-01	0.026112103	0
NCGC00261260-01	0.044605708	0
NCGC00261915-01	0.122361425	0
NCGC00261238-01	0.023257580	0
NCGC00261682-01	0.035997729	0
NCGC00261049-01	0.014017412	0
NCGC00260910-01	0.013465631	0
NCGC00261272-01	0.137726530	0
NCGC00260708-01	0.006965899	0
NCGC00261390-01	0.001982870	0
NCGC00260948-01	0.005303548	0
NCGC00261840-01	0.002968771	0
NCGC00260881-01	0.015614875	0
NCGC00261153-01	0.033818321	0
NCGC00261406-01	0.001793283	0
NCGC00261053-01	0.002658999	0
NCGC00261129-01	0.002962605	0
NCGC00261381-01	0.018930695	0
NCGC00261426-01	0.515826509	1
NCGC00260979-01	0.034106674	0
NCGC00260993-01	0.722438926	1
NCGC00261108-01	0.057677659	0
NCGC00261441-01	0.118969614	0
NCGC00261877-01	0.091842809	0
NCGC00260815-01	0.033028875	0
NCGC00261542-01	0.031143230	0
NCGC00261958-01	0.016958100	0
NCGC00261787-01	0.033685008	0
NCGC00261065-01	0.013446254	0
NCGC00261804-01	0.190670054	0
NCGC00260875-01	0.024042177	0
NCGC00261739-01	0.030638237	0
NCGC00261948-01	0.094851455	0
NCGC00261382-01	0.012184887	0
NCGC00261663-01	0.018619235	0
NCGC00260892-01	0.014334660	0
NCGC00261297-01	0.032148014	0
NCGC00261321-01	0.011904688	0
NCGC00261446-01	0.068071396	0
NCGC00261474-01	0.009321728	0
NCGC00260834-01	0.131409820	0
NCGC00260840-01	0.643317233	1
NCGC00260947-01	0.098375965	0
NCGC00261080-01	0.264554873	0
NCGC00261563-01	0.113778651	0
NCGC00261873-01	0.128814694	0
NCGC00260803-01	0.632544789	1
NCGC00260833-01	0.319375578	0
NCGC00261008-01	0.102691206	0
NCGC00261155-01	0.170560692	0
NCGC00261643-01	0.803820485	1
NCGC00261037-01	0.016062915	0
NCGC00260871-01	0.006875019	0
NCGC00260713-01	0.020165268	0
NCGC00261487-01	0.029590643	0
NCGC00261545-01	0.104707344	0
NCGC00261480-01	0.038775857	0
NCGC00261838-01	0.027950629	0
NCGC00261627-01	0.006986024	0
NCGC00261639-01	0.002342850	0
NCGC00261177-01	0.005345823	0
NCGC00260692-01	0.007658734	0
NCGC00260775-01	0.008678045	0
NCGC00260876-01	0.009371584	0
NCGC00261598-01	0.004598482	0
NCGC00260707-01	0.007699819	0
NCGC00261713-01	0.628095367	1
NCGC00261737-01	0.196597294	0
NCGC00261882-01	0.022603421	0
NCGC00261933-01	0.017276536	0
NCGC00261201-01	0.006303852	0
NCGC00261398-01	0.010603840	0
NCGC00261601-01	0.059590080	0
NCGC00261003-01	0.251217467	0
NCGC00261019-01	0.011603658	0
NCGC00261519-01	0.002405637	0
NCGC00261732-01	0.005371537	0
NCGC00261718-01	0.012350405	0
NCGC00260743-01	0.004715744	0
NCGC00260751-01	0.005540703	0
NCGC00260867-01	0.006651463	0
NCGC00260982-01	0.032312788	0
NCGC00261176-01	0.007845446	0
NCGC00261440-01	0.028262719	0
NCGC00261657-01	0.004687679	0
NCGC00260822-01	0.128579914	0
NCGC00261142-01	0.013678240	0
NCGC00261582-01	0.012046790	0
NCGC00261825-01	0.166581482	0
NCGC00261833-01	0.033453338	0
NCGC00261835-01	0.153483210	0
NCGC00261860-01	0.013161987	0
NCGC00261906-01	0.061556259	0
NCGC00261916-01	0.049907762	0
NCGC00261939-01	0.020796462	0
NCGC00261869-01	0.005167753	0
NCGC00261163-01	0.009211700	0
NCGC00261653-01	0.003214666	0
NCGC00261248-01	0.010533001	0
NCGC00260770-01	0.006137654	0
NCGC00261013-01	0.004944320	0
NCGC00261910-01	0.863407629	1
NCGC00261686-01	0.003290911	0
NCGC00261147-01	0.004433483	0
NCGC00261578-01	0.003021265	0
NCGC00261336-01	0.003027814	0
NCGC00261593-01	0.012421030	0
NCGC00260821-01	0.012124884	0
NCGC00261007-01	0.003101468	0
NCGC00261246-01	0.002052816	0
NCGC00261949-01	0.001627300	0
NCGC00260890-01	0.004526900	0
NCGC00261294-01	0.005125430	0
NCGC00261330-01	0.008990217	0
NCGC00261470-01	0.003272688	0
NCGC00260691-01	0.002240284	0
NCGC00261693-01	0.006902598	0
NCGC00261293-01	0.010667256	0
NCGC00261018-01	0.017554097	0
NCGC00261075-01	0.013911931	0
NCGC00261150-01	0.012709117	0
NCGC00261767-01	0.006114717	0
NCGC00261824-01	0.042668449	0
NCGC00261146-01	0.005266120	0
NCGC00260817-01	0.011377916	0
NCGC00261161-01	0.004756421	0
NCGC00260728-01	0.006697208	0
NCGC00261286-01	0.046221510	0
NCGC00261254-01	0.011090026	0
NCGC00261261-01	0.008241286	0
NCGC00261691-01	0.009288889	0
NCGC00261921-01	0.008236367	0
NCGC00260962-01	0.072360147	0
NCGC00261028-01	0.011008343	0
NCGC00261349-01	0.033540237	0
NCGC00261672-01	0.005871386	0
NCGC00261141-01	0.014339861	0
NCGC00261752-01	0.016057107	0
NCGC00261828-01	0.063900864	0
NCGC00261913-01	0.019589298	0
NCGC00261473-01	0.009489222	0
NCGC00356953-01	0.023571923	0
NCGC00357009-01	0.004814331	0
NCGC00357188-01	0.002562550	0
NCGC00357201-01	0.068186217	0
NCGC00357189-01	0.000956345	0
NCGC00357163-01	0.004473464	0
NCGC00357001-01	0.121063156	0
NCGC00357030-01	0.004991012	0
NCGC00357091-01	0.015834709	0
NCGC00357004-01	0.010990943	0
NCGC00357103-01	0.002061393	0
NCGC00357289-01	0.028172216	0
NCGC00356999-01	0.006685225	0
NCGC00357116-01	0.018107535	0
NCGC00357010-01	0.011938749	0
NCGC00357057-01	0.169978805	0
NCGC00356995-01	0.046821428	0
NCGC00357205-01	0.014027035	0
NCGC00357028-01	0.021088949	0
NCGC00357271-01	0.016089733	0
NCGC00357213-01	0.002650210	0
NCGC00357198-01	0.001605135	0
NCGC00357079-01	0.005381723	0
NCGC00356984-01	0.068186217	0
NCGC00357080-01	0.001705987	0
NCGC00357173-01	0.001712659	0
NCGC00357277-01	0.011580996	0
NCGC00357145-01	0.014630694	0
NCGC00357157-01	0.005045841	0
NCGC00357160-01	0.003917297	0
NCGC00357107-01	0.000904057	0
NCGC00357106-01	0.003131425	0
NCGC00357204-01	0.004352125	0
NCGC00357214-01	0.008882774	0
NCGC00357124-01	0.002751254	0
NCGC00356983-01	0.006768674	0
NCGC00357092-01	0.000956371	0
NCGC00357042-01	0.002533425	0
NCGC00357036-01	0.005088098	0
NCGC00357089-01	0.005227618	0
NCGC00357170-01	0.013499461	0
NCGC00357132-01	0.114798775	0
NCGC00357265-01	0.003537705	0
NCGC00357260-01	0.005003333	0
NCGC00357023-01	0.011244454	0
NCGC00357033-01	0.003123251	0
NCGC00357120-01	0.014432487	0
NCGC00356963-01	0.001874303	0
NCGC00357139-01	0.002608532	0
NCGC00357279-01	0.004022463	0
NCGC00356973-01	0.001411212	0
NCGC00357143-01	0.002032548	0
