Sample ID	Score	Activity
NCGC00261776-01	1.702	1
NCGC00261380-01	-1.987	0
NCGC00261842-01	-3.66	0
NCGC00261662-01	3.527	1
NCGC00261190-01	5.92	1
NCGC00260731-01	1.749	1
NCGC00261926-01	-0.92	0
NCGC00261579-01	0.337	1
NCGC00260921-01	2.082	1
NCGC00261119-01	-0.028	0
NCGC00261812-01	5.75	1
NCGC00260831-01	2.355	1
NCGC00261544-01	0.101	1
NCGC00261619-01	2.273	1
NCGC00261395-01	1.797	1
NCGC00261717-01	-5.797	0
NCGC00261947-01	-10.378	0
NCGC00261424-01	-4.322	0
NCGC00261861-01	-3.23	0
NCGC00261924-01	-1.35	0
NCGC00261026-01	-2.801	0
NCGC00261057-01	-2.17	0
NCGC00261738-01	0.389	1
NCGC00261348-01	-4.607	0
NCGC00261503-01	-4.972	0
NCGC00260693-01	-7.241	0
NCGC00260703-01	-7.041	0
NCGC00260716-01	-2.932	0
NCGC00260782-01	-2.777	0
NCGC00260802-01	-1.632	0
NCGC00260823-01	-1.567	0
NCGC00260757-01	-1.465	0
NCGC00260826-01	-3.313	0
NCGC00260889-01	-3.305	0
NCGC00260811-01	-0.858	0
NCGC00261165-01	-6.001	0
NCGC00261060-01	-5.473	0
NCGC00261541-01	-2.623	0
NCGC00261649-01	-3.37	0
NCGC00261110-01	3.583	1
NCGC00261130-01	3.543	1
NCGC00260846-01	1.756	1
NCGC00261030-01	1.149	1
NCGC00261162-01	1.433	1
NCGC00261058-01	0.742	1
NCGC00261404-01	-2.909	0
NCGC00261423-01	0.173	1
NCGC00261856-01	-0.647	0
NCGC00261342-01	-4.005	0
NCGC00261069-01	3.231	1
NCGC00261101-01	-2.267	0
NCGC00261716-01	-5.411	0
NCGC00260742-01	-6.536	0
NCGC00261529-01	-2.016	0
NCGC00261170-01	0.989	1
NCGC00261565-01	-3.302	0
NCGC00260990-01	3.572	1
NCGC00261340-01	2.17	1
NCGC00261079-01	-1.918	0
NCGC00261389-01	-4.191	0
NCGC00261744-01	-5.317	0
NCGC00261420-01	-0.765	0
NCGC00261215-01	-4.287	0
NCGC00261826-01	-1.483	0
NCGC00261123-01	-0.018	0
NCGC00261367-01	-1.684	0
NCGC00261507-01	-0.79	0
NCGC00261169-01	-3.161	0
NCGC00261730-01	-0.873	0
NCGC00261624-01	-1.545	0
NCGC00261641-01	-2.484	0
NCGC00261853-01	-2.518	0
NCGC00260911-01	-2.537	0
NCGC00261384-01	1.924	1
NCGC00260785-01	-1.347	0
NCGC00261025-01	-1.935	0
NCGC00260789-01	2.885	1
NCGC00260866-01	2.881	1
NCGC00261189-01	-0.003	0
NCGC00261270-01	0.654	1
NCGC00261611-01	-0.666	0
NCGC00261817-01	1.073	1
NCGC00261866-01	0.791	1
NCGC00260852-01	2.94	1
NCGC00261290-01	3.056	1
NCGC00261304-01	3.368	1
NCGC00261704-01	0.68	1
NCGC00260850-01	0.638	1
NCGC00260972-01	-0.059	0
NCGC00261392-01	0.386	1
NCGC00261638-01	1.904	1
NCGC00261820-01	0.45	1
NCGC00261808-01	0.098	1
NCGC00260790-01	0.99	1
NCGC00260940-01	6.279	1
NCGC00261081-01	-0.696	0
NCGC00261506-01	5.187	1
NCGC00261133-01	2.258	1
NCGC00261399-01	3.721	1
NCGC00260696-01	1.636	1
NCGC00261903-01	-0.987	0
NCGC00261178-01	-1.936	0
NCGC00261568-01	1.417	1
NCGC00260830-01	-1.692	0
NCGC00261113-01	-3.957	0
NCGC00261327-01	-0.783	0
NCGC00261602-01	0.009	1
NCGC00260858-01	4.673	1
NCGC00261071-01	-0.529	0
NCGC00261076-01	-2.952	0
NCGC00261192-01	-4.306	0
NCGC00261577-01	1.295	1
NCGC00261510-01	-0.09	0
NCGC00261679-01	2.074	1
NCGC00261941-01	4.249	1
NCGC00261343-01	-3.965	0
NCGC00261607-01	0.325	1
NCGC00261782-01	2.83	1
NCGC00261475-01	3.761	1
NCGC00261764-01	2.206	1
NCGC00261802-01	3.344	1
NCGC00261813-01	-0.891	0
NCGC00260795-01	0.848	1
NCGC00261352-01	1.588	1
NCGC00261009-01	2.785	1
NCGC00261944-01	3.038	1
NCGC00261166-01	3.599	1
NCGC00261332-01	2.896	1
NCGC00261333-01	-2.438	0
NCGC00261260-01	-1.021	0
NCGC00261915-01	-1.866	0
NCGC00261682-01	0.275	1
NCGC00260910-01	-2.635	0
NCGC00261272-01	1.72	1
NCGC00260708-01	-2.852	0
NCGC00261390-01	-2.33	0
NCGC00260948-01	-2.117	0
NCGC00261840-01	-4.167	0
NCGC00261153-01	-3.247	0
NCGC00261406-01	-4.121	0
NCGC00261053-01	-4.874	0
NCGC00261129-01	-3.797	0
NCGC00261381-01	0.044	1
NCGC00261426-01	3.786	1
NCGC00260979-01	-2.846	0
NCGC00260993-01	0.674	1
NCGC00261108-01	-1.027	0
NCGC00261877-01	1.321	1
NCGC00261542-01	0.535	1
NCGC00261787-01	-1.005	0
NCGC00261065-01	2.978	1
NCGC00261804-01	1.198	1
NCGC00260875-01	0.653	1
NCGC00261451-01	1.855	1
NCGC00261948-01	-3.49	0
NCGC00261382-01	-3.887	0
NCGC00261297-01	1.793	1
NCGC00261321-01	2.183	1
NCGC00261446-01	2.272	1
NCGC00261474-01	2.724	1
NCGC00260803-01	0.396	1
NCGC00260833-01	0.812	1
NCGC00261008-01	-2.873	0
NCGC00261155-01	-1.738	0
NCGC00261643-01	-1.302	0
NCGC00261126-01	1.15	1
NCGC00260871-01	2.422	1
NCGC00260713-01	-0.154	0
NCGC00261487-01	2.683	1
NCGC00261545-01	-2.927	0
NCGC00261480-01	0.919	1
NCGC00261838-01	1.878	1
NCGC00261627-01	-4.643	0
NCGC00261177-01	-1.87	0
NCGC00260775-01	-0.845	0
NCGC00260707-01	-1.28	0
NCGC00261554-01	4.754	1
NCGC00261713-01	4.874	1
NCGC00261737-01	-2.206	0
NCGC00261882-01	3.735	1
NCGC00261933-01	-4.722	0
NCGC00261201-01	-4.616	0
NCGC00261398-01	-13.654	0
NCGC00261003-01	-1.715	0
NCGC00261019-01	-4.326	0
NCGC00261519-01	-2.504	0
NCGC00261732-01	-2.714	0
NCGC00260982-01	-1.672	0
NCGC00261176-01	-0.904	0
NCGC00261657-01	-1.328	0
NCGC00260822-01	3.849	1
NCGC00261142-01	-3.124	0
NCGC00261582-01	-7.963	0
NCGC00261825-01	0.13	1
NCGC00261833-01	-3.376	0
NCGC00261835-01	-1.012	0
NCGC00261860-01	-1.879	0
NCGC00261906-01	-0.235	0
NCGC00261916-01	0.466	1
NCGC00261939-01	-2.762	0
NCGC00261869-01	0.584	1
NCGC00261163-01	-9.131	0
NCGC00260770-01	0.161	1
NCGC00261013-01	-2.373	0
NCGC00261910-01	3.293	1
NCGC00261686-01	-5.683	0
NCGC00261147-01	-3.522	0
NCGC00261578-01	-3.159	0
NCGC00261336-01	-1.384	0
NCGC00261593-01	-4.06	0
NCGC00260821-01	-4.158	0
NCGC00261007-01	-7.362	0
NCGC00261246-01	-2.071	0
NCGC00261949-01	-1.134	0
NCGC00260890-01	-2.048	0
NCGC00261294-01	-0.669	0
NCGC00261330-01	0.862	1
NCGC00261470-01	-2.168	0
NCGC00260691-01	-1.829	0
NCGC00261693-01	-3.174	0
NCGC00261293-01	-5.447	0
NCGC00261018-01	-0.394	0
NCGC00261075-01	-0.527	0
NCGC00261150-01	-1.368	0
NCGC00261767-01	-3.634	0
NCGC00261824-01	-5.884	0
NCGC00261146-01	-2.632	0
NCGC00260817-01	-0.718	0
NCGC00261161-01	-0.546	0
NCGC00260728-01	1.859	1
NCGC00261254-01	-2.117	0
NCGC00261261-01	-2.297	0
NCGC00261691-01	-3.047	0
NCGC00261921-01	-2.541	0
NCGC00261028-01	1.174	1
NCGC00261349-01	-0.154	0
NCGC00261583-01	3.24	1
NCGC00261672-01	0.247	1
NCGC00261620-01	0.037	1
NCGC00261141-01	-0.874	0
NCGC00261752-01	-2.313	0
NCGC00261828-01	-3.118	0
NCGC00261913-01	-3.075	0
NCGC00357057-01	0.966	1
NCGC00357171-01	-1.186	0
NCGC00356995-01	-6.044	0
NCGC00357205-01	-0.405	0
NCGC00357185-01	1.264	1
NCGC00357028-01	3.733	1
NCGC00357064-01	0.003	1
NCGC00357196-01	1.489	1
NCGC00357271-01	1.324	1
NCGC00357213-01	-3.333	0
NCGC00357198-01	-3.164	0
NCGC00357079-01	-3.662	0
NCGC00357080-01	-3.813	0
NCGC00357173-01	-3.111	0
NCGC00357277-01	1.527	1
NCGC00357240-01	-0.407	0
NCGC00357145-01	-3.103	0
NCGC00357157-01	-2.366	0
NCGC00357160-01	-3.766	0
NCGC00357107-01	-4.184	0
NCGC00357106-01	-3.942	0
NCGC00357047-01	-2.898	0
NCGC00357174-01	-0.435	0
NCGC00357090-01	-0.435	0
NCGC00357204-01	-4.699	0
NCGC00357214-01	-3.546	0
NCGC00357124-01	-5.074	0
NCGC00356983-01	-3.046	0
NCGC00357092-01	-2.723	0
NCGC00357042-01	-3.195	0
NCGC00357036-01	-4.972	0
NCGC00357089-01	-7.357	0
NCGC00357170-01	-7.408	0
NCGC00357132-01	-7.014	0
NCGC00357265-01	-2.834	0
NCGC00357260-01	-2.932	0
NCGC00357023-01	-2.755	0
NCGC00357114-01	-0.116	0
NCGC00357033-01	-4.011	0
NCGC00357120-01	-4.153	0
NCGC00356963-01	-0.982	0
NCGC00357055-01	1.422	1
NCGC00357139-01	0.003	1
NCGC00357242-01	0.252	1
NCGC00357161-01	1.272	1
NCGC00357279-01	-1.89	0
NCGC00356973-01	-5.685	0
NCGC00357143-01	-3.744	0
NCGC00357182-01	-1.285	0
NCGC00356971-01	-2.394	0
NCGC00357084-01	-1.399	0
NCGC00357112-01	-6.142	0
NCGC00356962-01	-3.296	0
NCGC00356993-01	-5.646	0
NCGC00357284-01	6.654	1
NCGC00357046-01	-1.099	0
NCGC00357000-01	-0.883	0
NCGC00357012-01	-0.88	0
