Sample ID	Score	Activity
NCGC00260691	0.06983	0
NCGC00260692	0.11076	0
NCGC00260693	0.09990	0
NCGC00260696	0.81619	1
NCGC00260698	0.51624	1
NCGC00260703	0.08014	0
NCGC00260706	0.42698	0
NCGC00260707	0.40991	0
NCGC00260708	0.02550	0
NCGC00260713	0.47688	0
NCGC00260716	0.02427	0
NCGC00260728	0.57465	1
NCGC00260731	0.55284	1
NCGC00260742	0.38108	0
NCGC00260743	0.05339	0
NCGC00260751	0.06757	0
NCGC00260757	0.05173	0
NCGC00260770	0.09029	0
NCGC00260775	0.03253	0
NCGC00260782	0.04296	0
NCGC00260785	0.71184	1
NCGC00260789	0.47059	0
NCGC00260790	0.77274	1
NCGC00260795	0.72774	1
NCGC00260798	0.50353	1
NCGC00260802	0.04125	0
NCGC00260803	0.56704	1
NCGC00260811	0.56946	1
NCGC00260815	0.35291	0
NCGC00260817	0.33918	0
NCGC00260821	0.07077	0
NCGC00260822	0.74446	1
NCGC00260823	0.07336	0
NCGC00260826	0.07580	0
NCGC00260830	0.35550	0
NCGC00260831	0.86834	1
NCGC00260833	0.46222	0
NCGC00260834	0.37700	0
NCGC00260840	0.38448	0
NCGC00260846	0.66979	1
NCGC00260850	0.53208	1
NCGC00260852	0.68799	1
NCGC00260858	0.82242	1
NCGC00260866	0.85744	1
NCGC00260867	0.03066	0
NCGC00260869	0.41269	0
NCGC00260871	0.43338	0
NCGC00260875	0.64557	1
NCGC00260876	0.05287	0
NCGC00260881	0.06964	0
NCGC00260889	0.45130	0
NCGC00260890	0.57668	1
NCGC00260892	0.65035	1
NCGC00260910	0.58636	1
NCGC00260911	0.40192	0
NCGC00260921	0.78718	1
NCGC00260940	0.90340	1
NCGC00260947	0.52034	1
NCGC00260948	0.08795	0
NCGC00260957	0.72198	1
NCGC00260962	0.76596	1
NCGC00260972	0.56269	1
NCGC00260979	0.45949	0
NCGC00260980	0.48637	0
NCGC00260982	0.15321	0
NCGC00260990	0.87471	1
NCGC00260993	0.42519	0
NCGC00261003	0.02773	0
NCGC00261005	0.15466	0
NCGC00261007	0.10854	0
NCGC00261008	0.35100	0
NCGC00261009	0.83268	1
NCGC00261013	0.53559	1
NCGC00261018	0.50651	1
NCGC00261019	0.05619	0
NCGC00261025	0.30048	0
NCGC00261026	0.54192	1
NCGC00261028	0.67900	1
NCGC00261030	0.64609	1
NCGC00261037	0.69911	1
NCGC00261049	0.45606	0
NCGC00261052	0.42920	0
NCGC00261053	0.01299	0
