Sample ID	Score	Activity
NCGC00261900-01	0.005068531	0
NCGC00260869-01	0.009985126	0
NCGC00261776-01	0.990433708	1
NCGC00261380-01	0.089437389	1
NCGC00261842-01	0.006126117	0
NCGC00261662-01	0.999990059	1
NCGC00261190-01	0.026634333	0
NCGC00260731-01	0.037967505	0
NCGC00261926-01	0.009148865	0
NCGC00261579-01	0.670547174	1
NCGC00260921-01	0.117551248	1
NCGC00261119-01	0.247368363	1
NCGC00260957-01	0.229571676	1
NCGC00261812-01	0.991755413	1
NCGC00260831-01	0.997013806	1
NCGC00261544-01	0.005659947	0
NCGC00261619-01	0.191327096	1
NCGC00261633-01	0.001475560	0
NCGC00261395-01	0.021283887	0
NCGC00261717-01	0.001868189	0
NCGC00261947-01	0.001751068	0
NCGC00261424-01	0.002567591	0
NCGC00261861-01	0.008079200	0
NCGC00261924-01	0.006714478	0
NCGC00261052-01	0.008563962	0
NCGC00261683-01	0.747711268	1
NCGC00261026-01	0.118508990	1
NCGC00261057-01	0.008345516	0
NCGC00261738-01	0.004684882	0
NCGC00261348-01	0.001708391	0
NCGC00261503-01	0.002306758	0
NCGC00260693-01	0.001327714	0
NCGC00260703-01	0.001785785	0
NCGC00260716-01	0.001644952	0
NCGC00260782-01	0.001568180	0
NCGC00260802-01	0.001699026	0
NCGC00260823-01	0.002665480	0
NCGC00261313-01	0.001929037	0
NCGC00260757-01	0.002059427	0
NCGC00260826-01	0.003087304	0
NCGC00261005-01	0.003117190	0
NCGC00260980-01	0.005358885	0
NCGC00261816-01	0.010267455	0
NCGC00260698-01	0.001958238	0
NCGC00260889-01	0.007045302	0
NCGC00260811-01	0.013329142	0
NCGC00261165-01	0.001192556	0
NCGC00261060-01	0.001247828	0
NCGC00261541-01	0.002062527	0
NCGC00261649-01	0.001249171	0
NCGC00261110-01	0.636138251	1
NCGC00261130-01	0.797393439	1
NCGC00260846-01	0.256514357	1
NCGC00261030-01	0.019775882	0
NCGC00261162-01	0.039179068	0
NCGC00261058-01	0.011613141	0
NCGC00261404-01	0.007085637	0
NCGC00261423-01	0.249741905	1
NCGC00261856-01	0.787906912	1
NCGC00261342-01	0.001770495	0
NCGC00261935-01	0.005593308	0
NCGC00261069-01	0.225868694	1
NCGC00261101-01	0.013053390	0
NCGC00261183-01	0.004757342	0
NCGC00261716-01	0.002964436	0
NCGC00260742-01	0.003164629	0
NCGC00261529-01	0.014249516	0
NCGC00261170-01	0.037251631	0
NCGC00261565-01	0.003927199	0
NCGC00260990-01	0.992194158	1
NCGC00261340-01	0.425906159	1
NCGC00261079-01	0.008087527	0
NCGC00261389-01	0.002829858	0
NCGC00261744-01	0.002463749	0
NCGC00261420-01	0.007627586	0
NCGC00261215-01	0.002240846	0
NCGC00261826-01	0.003254208	0
NCGC00260706-01	0.017607750	0
NCGC00261123-01	0.029217714	0
NCGC00261367-01	0.004387022	0
NCGC00261507-01	0.007196490	0
NCGC00261169-01	0.003962664	0
NCGC00261730-01	0.006182620	0
NCGC00261624-01	0.003538428	0
NCGC00261641-01	0.003767194	0
NCGC00261853-01	0.038442265	0
NCGC00260911-01	0.016385158	0
NCGC00260798-01	0.007258069	0
NCGC00261384-01	0.146474816	1
NCGC00260785-01	0.048242284	0
NCGC00261597-01	0.018538905	0
NCGC00261025-01	0.002546162	0
NCGC00260789-01	0.012820856	0
NCGC00260866-01	0.946235986	1
NCGC00261189-01	0.011001360	0
NCGC00261270-01	0.052431284	0
NCGC00261611-01	0.011255154	0
NCGC00261160-01	0.601436166	1
NCGC00261085-01	0.003499184	0
NCGC00261817-01	0.007663411	0
NCGC00261866-01	0.093330232	1
NCGC00260852-01	0.251708401	1
NCGC00261290-01	0.970637830	1
NCGC00261304-01	0.043917066	0
NCGC00261704-01	0.916416717	1
