Sample ID	Score	Activity
NCGC00261900	0.1728	0
NCGC00260869	0.2472	0
NCGC00261776	0.9194	1
NCGC00261380	0.7854	1
NCGC00261842	0.425	0
NCGC00261662	0.954	1
NCGC00261190	0.783	1
NCGC00260731	0.847	1
NCGC00261926	0.5452	1
NCGC00261579	0.8126	1
NCGC00260921	0.826	1
NCGC00261119	0.6098	1
NCGC00260957	0.553	1
NCGC00261812	0.9064	1
NCGC00260831	0.9342	1
NCGC00261544	0.2598	0
NCGC00261619	0.785	1
NCGC00261633	0.0544	0
NCGC00261395	0.6842	1
NCGC00261717	0.137	0
NCGC00261947	0.096	0
NCGC00261424	0.1406	0
NCGC00261861	0.1646	0
NCGC00261924	0.544	1
NCGC00261052	0.2328	0
NCGC00261683	0.8858	1
NCGC00261026	0.4182	0
NCGC00261057	0.5328	1
NCGC00261738	0.4588	0
NCGC00261348	0.083	0
NCGC00261503	0.1324	0
NCGC00260693	0.0718	0
NCGC00260703	0.069	0
NCGC00260716	0.0162	0
NCGC00260782	0.1502	0
NCGC00260802	0.0996	0
NCGC00260823	0.0288	0
NCGC00261313	0.0088	0
NCGC00260757	0.131	0
NCGC00260826	0.0638	0
NCGC00261005	0.185	0
NCGC00260980	0.32	0
NCGC00261816	0.4036	0
NCGC00260698	0.5382	1
NCGC00260889	0.4674	0
NCGC00260811	0.4268	0
NCGC00261165	0.1432	0
NCGC00261060	0.0664	0
NCGC00261541	0.1902	0
NCGC00261649	0.0974	0
NCGC00261110	0.7612	1
NCGC00261130	0.743	1
NCGC00260846	0.7228	1
NCGC00261030	0.513	1
NCGC00261162	0.3626	0
NCGC00261058	0.6408	1
NCGC00261404	0.4698	0
NCGC00261423	0.827	1
NCGC00261856	0.7692	1
NCGC00261342	0.1472	0
NCGC00261935	0.1048	0
NCGC00261069	0.54	1
NCGC00261101	0.401	0
NCGC00261183	0.5452	1
NCGC00261716	0.1746	0
NCGC00260742	0.3862	0
NCGC00261529	0.6484	1
NCGC00261170	0.516	1
NCGC00261565	0.6014	1
NCGC00260990	0.8872	1
NCGC00261340	0.6174	1
NCGC00261079	0.5376	1
NCGC00261389	0.4646	0
NCGC00261744	0.376	0
NCGC00261420	0.5428	1
NCGC00261215	0.324	0
NCGC00261826	0.3614	0
NCGC00260706	0.5852	1
NCGC00261123	0.7272	1
NCGC00261367	0.269	0
NCGC00261507	0.3572	0
NCGC00261169	0.3088	0
NCGC00261730	0.1612	0
NCGC00261624	0.4488	0
NCGC00261641	0.5422	1
NCGC00261853	0.8588	1
NCGC00260911	0.427	0
NCGC00260798	0.4352	0
NCGC00261384	0.6146	1
NCGC00260785	0.7762	1
NCGC00261597	0.4238	0
NCGC00261025	0.6234	1
NCGC00260789	0.514	1
NCGC00260866	0.932	1
NCGC00261189	0.4982	0
NCGC00261270	0.7486	1
NCGC00261611	0.2998	0
NCGC00261160	0.3768	0
NCGC00261085	0.335	0
NCGC00261817	0.5484	1
NCGC00261866	0.5462	1
NCGC00260852	0.7354	1
NCGC00261290	0.8002	1
NCGC00261304	0.6236	1
NCGC00261704	0.773	1
NCGC00260850	0.4828	0
NCGC00260972	0.623	1
NCGC00261364	0.27	0
NCGC00261392	0.655	1
NCGC00261638	0.6306	1
NCGC00261820	0.2448	0
NCGC00261808	0.3872	0
NCGC00260790	0.7386	1
NCGC00260940	0.8352	1
NCGC00261081	0.5526	1
NCGC00261506	0.8276	1
NCGC00261133	0.1768	0
NCGC00261399	0.7984	1
NCGC00260696	0.8808	1
NCGC00261903	0.7522	1
NCGC00261178	0.5752	1
NCGC00261568	0.84	1
NCGC00260830	0.3154	0
NCGC00261113	0.3754	0
NCGC00261327	0.2142	0
NCGC00261602	0.511	1
NCGC00260858	0.8352	1
NCGC00261071	0.5348	1
NCGC00261076	0.247	0
NCGC00261192	0.3486	0
NCGC00261577	0.69	1
NCGC00261510	0.4884	0
NCGC00261679	0.8214	1
NCGC00261941	0.919	1
NCGC00261343	0.2554	0
NCGC00261607	0.657	1
NCGC00261782	0.6702	1
NCGC00261914	0.2766	0
NCGC00261475	0.6352	1
NCGC00261764	0.7776	1
NCGC00261802	0.6572	1
NCGC00261813	0.4886	0
NCGC00260795	0.7538	1
NCGC00261352	0.7894	1
NCGC00261009	0.8926	1
NCGC00261944	0.8056	1
NCGC00261166	0.7474	1
NCGC00261332	0.8032	1
NCGC00261333	0.3644	0
NCGC00261260	0.7208	1
NCGC00261915	0.8856	1
NCGC00261238	0.3544	0
NCGC00261682	0.5954	1
NCGC00261049	0.4778	0
NCGC00260910	0.6784	1
NCGC00261272	0.8128	1
NCGC00260708	0.0638	0
NCGC00261390	0.0552	0
NCGC00260948	0.1294	0
NCGC00261840	0.0506	0
NCGC00260881	0.0704	0
NCGC00261153	0.223	0
NCGC00261406	0.1036	0
NCGC00261053	0.06	0
