Sample ID	Score	Activity
NCGC00261900-01	0.011942136	0
NCGC00260869-01	0.027521383	0
NCGC00261776-01	0.115870092	0
NCGC00261380-01	0.188627484	0
NCGC00261842-01	0.090774632	0
NCGC00261662-01	0.768631575	1
NCGC00261190-01	0.232791367	0
NCGC00260731-01	0.111893894	0
NCGC00261926-01	0.065286403	0
NCGC00261579-01	0.242198844	0
NCGC00260921-01	0.308116908	0
NCGC00261119-01	0.216259685	0
NCGC00260957-01	0.176684038	0
NCGC00261812-01	0.297676187	0
NCGC00260831-01	0.211397487	0
NCGC00261544-01	0.198925220	0
NCGC00261619-01	0.106145731	0
NCGC00261633-01	0.010799465	0
NCGC00261395-01	0.051543290	0
NCGC00261717-01	0.004004645	0
NCGC00261947-01	0.022748334	0
NCGC00261424-01	0.003000000	0
NCGC00261861-01	0.040506993	0
NCGC00261924-01	0.020450185	0
NCGC00261052-01	0.047008532	0
NCGC00261683-01	0.291063158	0
NCGC00261026-01	0.042961284	0
NCGC00261057-01	0.116389618	0
NCGC00261738-01	0.021932736	0
NCGC00261348-01	0.071116255	0
NCGC00261503-01	0.040374957	0
NCGC00260693-01	0.023447088	0
NCGC00260703-01	0.011358347	0
NCGC00260716-01	0.004342426	0
NCGC00260782-01	0.007347341	0
NCGC00260802-01	0.008217147	0
NCGC00260823-01	0.019641002	0
NCGC00261313-01	0.020156926	0
NCGC00260757-01	0.004392784	0
NCGC00260826-01	0.012930128	0
NCGC00261005-01	0.028961818	0
NCGC00260980-01	0.065072388	0
NCGC00261816-01	0.058559209	0
NCGC00260698-01	0.038906126	0
NCGC00260889-01	0.116544601	0
NCGC00260811-01	0.420488130	0
NCGC00261165-01	0.076360659	0
NCGC00261060-01	0.033146721	0
NCGC00261541-01	0.011573515	0
NCGC00261649-01	0.047057239	0
NCGC00261110-01	0.182153493	0
NCGC00261130-01	0.186523502	0
NCGC00260846-01	0.310119934	0
NCGC00261030-01	0.209494148	0
NCGC00261162-01	0.225665166	0
NCGC00261058-01	0.098446599	0
NCGC00261404-01	0.028880042	0
NCGC00261423-01	0.169568771	0
NCGC00261856-01	0.181671071	0
NCGC00261342-01	0.038314396	0
NCGC00261935-01	0.077242901	0
NCGC00261069-01	0.256703552	0
NCGC00261101-01	0.058902964	0
NCGC00261183-01	0.082020202	0
NCGC00261716-01	0.050211146	0
NCGC00260742-01	0.111119929	0
NCGC00261529-01	0.056774124	0
NCGC00261170-01	0.131630470	0
NCGC00261565-01	0.077588979	0
NCGC00260990-01	0.321831934	0
NCGC00261340-01	0.128182227	0
NCGC00261079-01	0.046868062	0
NCGC00261389-01	0.051987719	0
NCGC00261744-01	0.049520394	0
NCGC00261420-01	0.085836776	0
NCGC00261215-01	0.071336565	0
NCGC00261826-01	0.076570975	0
NCGC00260706-01	0.087611926	0
NCGC00261123-01	0.098297439	0
NCGC00261367-01	0.075581295	0
NCGC00261507-01	0.024349383	0
NCGC00261169-01	0.088348358	0
NCGC00261730-01	0.033032078	0
NCGC00261624-01	0.081772069	0
NCGC00261641-01	0.092658512	0
NCGC00261853-01	0.080529843	0
NCGC00260911-01	0.042689109	0
NCGC00260798-01	0.093481481	0
NCGC00261384-01	0.050521492	0
NCGC00260785-01	0.173166737	0
NCGC00261597-01	0.156101847	0
NCGC00261025-01	0.036510708	0
NCGC00260789-01	0.132965075	0
NCGC00260866-01	0.292329034	0
NCGC00261189-01	0.249973167	0
NCGC00261270-01	0.082392632	0
NCGC00261611-01	0.060508995	0
NCGC00261160-01	0.043636413	0
NCGC00261085-01	0.046351365	0
NCGC00261817-01	0.090145798	0
NCGC00261866-01	0.146438629	0
NCGC00260852-01	0.236351244	0
NCGC00261290-01	0.114891871	0
NCGC00261304-01	0.122845791	0
