Sample ID	Score	Activity
NCGC00261900-01	0.016959070	0
NCGC00260869-01	0.046277781	0
NCGC00261776-01	0.897904508	1
NCGC00261380-01	0.263015003	0
NCGC00261842-01	0.047972492	0
NCGC00261662-01	0.999185294	1
NCGC00261190-01	0.069833043	0
NCGC00260731-01	0.133341019	0
NCGC00261926-01	0.033204292	0
NCGC00261579-01	0.795651280	1
NCGC00260921-01	0.286086573	0
NCGC00261119-01	0.477065717	1
NCGC00260957-01	0.280743520	0
NCGC00261812-01	0.973943185	1
NCGC00260831-01	0.968395036	1
NCGC00261544-01	0.026833410	0
NCGC00261619-01	0.292567959	0
NCGC00261633-01	0.012472845	0
NCGC00261395-01	0.059269772	0
NCGC00261717-01	0.014552787	0
NCGC00261947-01	0.013856519	0
NCGC00261424-01	0.019749491	0
NCGC00261861-01	0.045212493	0
NCGC00261924-01	0.031629261	0
NCGC00261052-01	0.026736087	0
NCGC00261683-01	0.822387174	1
NCGC00261026-01	0.223263222	0
NCGC00261057-01	0.035326100	0
NCGC00261738-01	0.025988585	0
NCGC00261348-01	0.014440587	0
NCGC00261503-01	0.016768660	0
NCGC00260693-01	0.011365172	0
NCGC00260703-01	0.015333536	0
NCGC00260716-01	0.014168944	0
NCGC00260782-01	0.012765322	0
NCGC00260802-01	0.014634636	0
NCGC00260823-01	0.022669193	0
NCGC00261313-01	0.016356473	0
NCGC00260757-01	0.017793882	0
NCGC00260826-01	0.026502844	0
NCGC00261005-01	0.025850958	0
NCGC00260980-01	0.024238270	0
NCGC00261816-01	0.057965284	0
NCGC00260698-01	0.014057968	0
NCGC00260889-01	0.048807252	0
NCGC00260811-01	0.050358582	0
NCGC00261165-01	0.009986345	0
NCGC00261060-01	0.010715040	0
NCGC00261541-01	0.017598201	0
NCGC00261649-01	0.010828124	0
NCGC00261110-01	0.639116617	1
NCGC00261130-01	0.688229094	1
NCGC00260846-01	0.344836249	0
NCGC00261030-01	0.058824638	0
NCGC00261162-01	0.115298637	0
NCGC00261058-01	0.050219662	0
NCGC00261404-01	0.041571431	0
NCGC00261423-01	0.310765916	0
NCGC00261856-01	0.740595340	1
NCGC00261342-01	0.011567425	0
NCGC00261935-01	0.025698165	0
NCGC00261069-01	0.321581720	0
NCGC00261101-01	0.059515659	0
NCGC00261183-01	0.025574767	0
NCGC00261716-01	0.023161269	0
