Sample ID	Score	Activity
NCGC00261900-01	0.000846115	0
NCGC00260869-01	0.001734071	0
NCGC00261776-01	0.972188392	1
NCGC00261380-01	0.041085017	1
NCGC00261842-01	0.001097839	0
NCGC00261662-01	0.999996901	1
NCGC00261190-01	0.012074590	0
NCGC00260731-01	0.007752063	0
NCGC00261926-01	0.001602497	0
NCGC00261579-01	0.388392125	1
NCGC00260921-01	0.039065782	0
NCGC00261119-01	0.057912962	1
NCGC00260957-01	0.054180345	1
NCGC00261812-01	0.997052105	1
NCGC00260831-01	0.999062428	1
NCGC00261544-01	0.001219314	0
NCGC00261619-01	0.159169968	1
NCGC00261633-01	0.000246318	0
NCGC00261395-01	0.003777424	0
NCGC00261717-01	0.000312104	0
NCGC00261947-01	0.000292286	0
NCGC00261424-01	0.000430517	0
NCGC00261861-01	0.001440484	0
NCGC00261924-01	0.001146251	0
NCGC00261052-01	0.001821079	0
NCGC00261683-01	0.894871328	1
NCGC00261026-01	0.073574671	1
NCGC00261057-01	0.001395945	0
NCGC00261738-01	0.000836145	0
NCGC00261348-01	0.000286261	0
NCGC00261503-01	0.000385864	0
NCGC00260693-01	0.000221741	0
NCGC00260703-01	0.000298256	0
NCGC00260716-01	0.000274909	0
NCGC00260782-01	0.000261837	0
NCGC00260802-01	0.000283634	0
NCGC00260823-01	0.000446173	0
NCGC00261313-01	0.000322436	0
NCGC00260757-01	0.000343948	0
NCGC00260826-01	0.000516494	0
NCGC00261005-01	0.000521181	0
NCGC00260980-01	0.000894740	0
NCGC00261816-01	0.001829513	0
NCGC00260698-01	0.000332872	0
NCGC00260889-01	0.001196194	0
NCGC00260811-01	0.002295968	0
NCGC00261165-01	0.000199304	0
NCGC00261060-01	0.000209615	0
NCGC00261541-01	0.000344413	0
NCGC00261649-01	0.000208597	0
NCGC00261110-01	0.788583434	1
NCGC00261130-01	0.920096959	1
NCGC00260846-01	0.149661068	1
NCGC00261030-01	0.005498478	0
NCGC00261162-01	0.011246384	0
NCGC00261058-01	0.003119508	0
NCGC00261404-01	0.001234814	0
NCGC00261423-01	0.106483430	1
NCGC00261856-01	0.873087870	1
NCGC00261342-01	0.000297384	0
NCGC00261935-01	0.001012789	0
NCGC00261069-01	0.242331785	1
NCGC00261101-01	0.002213062	0
NCGC00261183-01	0.000794191	0
NCGC00261716-01	0.000496580	0
NCGC00260742-01	0.000528926	0
NCGC00261529-01	0.004979865	0
NCGC00261170-01	0.016516590	0
NCGC00261565-01	0.000667566	0
NCGC00260990-01	0.996471278	1
NCGC00261340-01	0.158442565	1
NCGC00261079-01	0.001418430	0
NCGC00261389-01	0.000475415	0
NCGC00261744-01	0.000411719	0
NCGC00261420-01	0.001285376	0
NCGC00261215-01	0.000374242	0
NCGC00261826-01	0.000544447	0
NCGC00260706-01	0.003042057	0
NCGC00261123-01	0.006437197	0
NCGC00261367-01	0.000784179	0
NCGC00261507-01	0.001661715	0
NCGC00261169-01	0.000669095	0
NCGC00261730-01	0.001035492	0
NCGC00261624-01	0.000595082	0
NCGC00261641-01	0.000656493	0
NCGC00261853-01	0.015645021	0
NCGC00260911-01	0.004598767	0
NCGC00260798-01	0.001256950	0
NCGC00261384-01	0.093187338	1
NCGC00260785-01	0.015005247	0
NCGC00261597-01	0.003540409	0
NCGC00261025-01	0.000430370	0
NCGC00260789-01	0.003246539	0
NCGC00260866-01	0.981456824	1
NCGC00261189-01	0.002238935	0
NCGC00261270-01	0.010956461	0
NCGC00261611-01	0.002043352	0
NCGC00261160-01	0.468410954	1
NCGC00261085-01	0.000584518	0
NCGC00261817-01	0.001556019	0
NCGC00261866-01	0.059712206	1
NCGC00260852-01	0.107774835	1
NCGC00261290-01	0.982118055	1
