Sample ID	Score	Activity
NCGC00261900-01	0.091930883	0
NCGC00260869-01	0.177187547	0
NCGC00261776-01	0.758054324	1
NCGC00261380-01	0.189280529	0
NCGC00261842-01	0.10572733	0
NCGC00261662-01	0.896835633	1
NCGC00261190-01	0.249939863	0
NCGC00260731-01	0.275834656	0
NCGC00261926-01	0.177101966	0
NCGC00261579-01	0.510519006	1
NCGC00260921-01	0.307492631	0
NCGC00261119-01	0.420773491	0
NCGC00260957-01	0.231796393	0
NCGC00261812-01	0.677404881	1
NCGC00260831-01	0.536941779	1
NCGC00261544-01	0.032817623	0
NCGC00261619-01	0.377379378	0
NCGC00261633-01	0.005781057	0
NCGC00261395-01	0.355804946	0
NCGC00261717-01	0.003933498	0
NCGC00261947-01	0.00090863	0
NCGC00261424-01	0.008174946	0
NCGC00261861-01	0.142901221	0
NCGC00261924-01	0.090342974	0
NCGC00261052-01	0.373414344	0
NCGC00261683-01	0.450507727	0
NCGC00261026-01	0.286820335	0
NCGC00261057-01	0.060628047	0
NCGC00261738-01	0.09008859	0
NCGC00261348-01	0.007889785	0
NCGC00261503-01	0.028027414	0
NCGC00260693-01	0.000404722	0
NCGC00260703-01	0.000380993	0
NCGC00260716-01	0.00031995	0
NCGC00260782-01	0.030589094	0
NCGC00260802-01	0.000291563	0
NCGC00260823-01	0.000519719	0
NCGC00261313-01	0.010767503	0
NCGC00260757-01	0.008056741	0
NCGC00260826-01	0.000225288	0
NCGC00261005-01	0.004447431	0
NCGC00260980-01	0.051225432	0
NCGC00261816-01	0.140547356	0
NCGC00260698-01	0.068466504	0
NCGC00260889-01	0.098597276	0
NCGC00260811-01	0.127645732	0
NCGC00261165-01	0.014394263	0
NCGC00261060-01	0.013569771	0
NCGC00261541-01	0.00093918	0
NCGC00261649-01	0.08818392	0
NCGC00261110-01	0.521062867	1
NCGC00261130-01	0.505538477	1
NCGC00260846-01	0.525144581	1
NCGC00261030-01	0.176657729	0
NCGC00261162-01	0.196042649	0
NCGC00261058-01	0.274587033	0
NCGC00261404-01	0.132145416	0
NCGC00261423-01	0.323032985	0
NCGC00261856-01	0.34836835	0
NCGC00261342-01	0.021279115	0
NCGC00261935-01	0.188741244	0
NCGC00261069-01	0.332426103	0
NCGC00261101-01	0.207344645	0
NCGC00261183-01	0.077228146	0
NCGC00261716-01	0.00040135	0
NCGC00260742-01	0.056400934	0
NCGC00261529-01	0.20720819	0
NCGC00261170-01	0.174920256	0
NCGC00261565-01	0.082625309	0
NCGC00260990-01	0.726022791	1
NCGC00261340-01	0.426099246	0
NCGC00261079-01	0.100935432	0
NCGC00261389-01	0.017104148	0
NCGC00261744-01	0.01349609	0
NCGC00261420-01	0.08226653	0
NCGC00261215-01	0.01864561	0
NCGC00261826-01	0.022871152	0
NCGC00260706-01	0.118996505	0
NCGC00261123-01	0.388682159	0
NCGC00261367-01	0.204147171	0
NCGC00261507-01	0.207516853	0
NCGC00261169-01	0.01232297	0
NCGC00261730-01	0.077364628	0
NCGC00261624-01	0.008152246	0
NCGC00261641-01	0.065840719	0
NCGC00261853-01	0.257149623	0
NCGC00260911-01	0.304553437	0
NCGC00260798-01	0.125671223	0
NCGC00261384-01	0.506772555	1
NCGC00260785-01	0.345224502	0
NCGC00261597-01	0.240767763	0
NCGC00261025-01	0.044466068	0
NCGC00260789-01	0.113310131	0
NCGC00260866-01	0.52576778	1
NCGC00261189-01	0.199419096	0
NCGC00261270-01	0.205482644	0
NCGC00261611-01	0.191137156	0
NCGC00261160-01	0.44650947	0
NCGC00261085-01	0.067558901	0
NCGC00261817-01	0.215771618	0
NCGC00261866-01	0.440613949	0
NCGC00260852-01	0.546747909	1
NCGC00261290-01	0.689542543	1
NCGC00261304-01	0.36251265	0
NCGC00261704-01	0.623734756	1
NCGC00260850-01	0.365903557	0
NCGC00260972-01	0.315248786	0
NCGC00261364-01	0.076762715	0
NCGC00261392-01	0.399537611	0
NCGC00261638-01	0.338847464	0
NCGC00261820-01	0.01568953	0
NCGC00261808-01	0.129821936	0
NCGC00260790-01	0.284533159	0
NCGC00260940-01	0.763276929	1
NCGC00261081-01	0.182781619	0
NCGC00261506-01	0.594096626	1
NCGC00261133-01	0.216080328	0
NCGC00261399-01	0.452633547	0
NCGC00260696-01	0.274892848	0
NCGC00261903-01	0.225956538	0
NCGC00261178-01	0.302377296	0
NCGC00261568-01	0.404986587	0
NCGC00260830-01	0.065422884	0
NCGC00261113-01	0.020262098	0
NCGC00261327-01	0.003901525	0
NCGC00261602-01	0.30288911	0
NCGC00260858-01	0.495016066	0
NCGC00261071-01	0.126757656	0
NCGC00261076-01	0.061952504	0
NCGC00261192-01	0.128708182	0
NCGC00261495-01	0.064519624	0
NCGC00261577-01	0.232420155	0
NCGC00261510-01	0.288947989	0
NCGC00261679-01	0.553625598	1
NCGC00261941-01	0.532797523	1
NCGC00261343-01	0.152572685	0
NCGC00261607-01	0.34142542	0
NCGC00261782-01	0.207733489	0
NCGC00261914-01	0.236473033	0
NCGC00261475-01	0.250978357	0
NCGC00261764-01	0.353175794	0
NCGC00261802-01	0.428449737	0
NCGC00261813-01	0.224563539	0
NCGC00260795-01	0.302173064	0
NCGC00261352-01	0.293533451	0
NCGC00261009-01	0.695615347	1
NCGC00261944-01	0.594500909	1
NCGC00261166-01	0.35635376	0
NCGC00261332-01	0.704216681	1
NCGC00261333-01	0.261578241	0
NCGC00261260-01	0.261677313	0
NCGC00261915-01	0.531191596	1
NCGC00261238-01	0.186645149	0
NCGC00261682-01	0.252878873	0
NCGC00261049-01	0.119775921	0
NCGC00260910-01	0.069623546	0
NCGC00261272-01	0.600094762	1
NCGC00260708-01	0.000275713	0
NCGC00261390-01	0.00033395	0
NCGC00260948-01	0.11901072	0
NCGC00261840-01	0.030720755	0
NCGC00260881-01	0.000163244	0
NCGC00261153-01	0.007365755	0
NCGC00261406-01	0.007967101	0
NCGC00261053-01	0.000197115	0
NCGC00261129-01	0.004047722	0
NCGC00261381-01	0.459638527	0
NCGC00261426-01	0.663937388	1
NCGC00260979-01	0.207829746	0
NCGC00260993-01	0.122822322	0
NCGC00261108-01	0.208627754	0
NCGC00261441-01	0.114090731	0
NCGC00261877-01	0.23274298	0
NCGC00260815-01	0.055266458	0
NCGC00261542-01	0.214619727	0
NCGC00261958-01	0.407582187	0
NCGC00261787-01	0.198210168	0
NCGC00261065-01	0.366817778	0
NCGC00261804-01	0.527088546	1
NCGC00260875-01	0.388267367	0
NCGC00261451-01	0.087440844	0
NCGC00261739-01	0.163201639	0
NCGC00261948-01	0.185008553	0
NCGC00261382-01	0.125265241	0
NCGC00261663-01	0.051443984	0
NCGC00260892-01	0.459622922	0
NCGC00261297-01	0.522339877	1
NCGC00261321-01	0.39757838	0
NCGC00261446-01	0.67219008	1
NCGC00261474-01	0.594219832	1
NCGC00260834-01	0.075594431	0
NCGC00260840-01	0.051144101	0
NCGC00260947-01	0.189026175	0
NCGC00261080-01	0.113191186	0
NCGC00261563-01	0.091798832	0
NCGC00261873-01	0.124114442	0
NCGC00260803-01	0.214443878	0
NCGC00260833-01	0.119981372	0
