Sample ID	Score	Activity
NCGC00261900-01	1	0
NCGC00260869-01	2	0
NCGC00261776-01	3	0
NCGC00261380-01	4	0
NCGC00261842-01	5	0
NCGC00261662-01	6	0
NCGC00261190-01	7	1
NCGC00260731-01	8	0
NCGC00261926-01	9	0
NCGC00261579-01	10	0
NCGC00260921-01	11	0
NCGC00261119-01	12	0
NCGC00260957-01	13	0
NCGC00261812-01	14	0
NCGC00260831-01	15	0
NCGC00261544-01	16	0
NCGC00261619-01	17	0
NCGC00261633-01	18	0
NCGC00261395-01	19	1
NCGC00261717-01	20	0
NCGC00261947-01	21	0
NCGC00261424-01	22	1
NCGC00261861-01	23	0
NCGC00261924-01	24	0
NCGC00261052-01	25	0
NCGC00261683-01	26	0
NCGC00261026-01	27	0
NCGC00261057-01	28	0
NCGC00261738-01	29	0
NCGC00261348-01	30	0
NCGC00261503-01	31	0
NCGC00260693-01	32	0
NCGC00260703-01	33	0
NCGC00260716-01	34	0
NCGC00260782-01	35	0
NCGC00260802-01	36	0
NCGC00260823-01	37	0
NCGC00261313-01	38	0
NCGC00260757-01	39	0
NCGC00260826-01	40	0
NCGC00261005-01	41	0
NCGC00260980-01	42	0
NCGC00261816-01	43	0
NCGC00260698-01	44	0
NCGC00260889-01	45	0
NCGC00260811-01	46	0
NCGC00261165-01	47	0
NCGC00261060-01	48	0
NCGC00261541-01	49	0
NCGC00261649-01	50	0
NCGC00261110-01	51	0
NCGC00261130-01	52	0
NCGC00260846-01	53	0
NCGC00261030-01	54	0
NCGC00261162-01	55	0
NCGC00261058-01	56	0
NCGC00261404-01	57	0
NCGC00261423-01	58	0
NCGC00261856-01	59	0
NCGC00261342-01	60	0
NCGC00261935-01	61	0
NCGC00261069-01	62	0
NCGC00261101-01	63	0
NCGC00261183-01	64	0
NCGC00261716-01	65	0
NCGC00260742-01	66	0
NCGC00261529-01	67	0
NCGC00261170-01	68	0
NCGC00261565-01	69	0
NCGC00260990-01	70	0
NCGC00261340-01	71	0
NCGC00261079-01	72	0
NCGC00261389-01	73	0
NCGC00261744-01	74	0
NCGC00261420-01	75	0
NCGC00261215-01	76	0
NCGC00261826-01	77	0
NCGC00260706-01	78	0
NCGC00261123-01	79	0
NCGC00261367-01	80	0
NCGC00261507-01	81	0
NCGC00261169-01	82	0
NCGC00261730-01	83	0
NCGC00261624-01	84	0
NCGC00261641-01	85	0
NCGC00261853-01	86	0
NCGC00260911-01	87	0
NCGC00260798-01	88	0
NCGC00261384-01	89	0
NCGC00260785-01	90	0
NCGC00261597-01	91	0
NCGC00261025-01	92	0
NCGC00260789-01	93	0
NCGC00260866-01	94	0
NCGC00261189-01	95	0
NCGC00261270-01	96	0
NCGC00261611-01	97	0
NCGC00261160-01	98	0
NCGC00261085-01	99	0
NCGC00261817-01	100	0
NCGC00261866-01	101	0
NCGC00260852-01	102	0
NCGC00261290-01	103	0
NCGC00261304-01	104	0
NCGC00261704-01	105	0
NCGC00260850-01	106	0
NCGC00260972-01	107	0
NCGC00261364-01	108	0
NCGC00261392-01	109	0
NCGC00261638-01	110	0
NCGC00261820-01	111	0
NCGC00261808-01	112	0
NCGC00260790-01	113	0
NCGC00260940-01	114	0
NCGC00261081-01	115	0
NCGC00261506-01	116	0
NCGC00261133-01	117	0
NCGC00261399-01	118	0
NCGC00260696-01	119	0
NCGC00261903-01	120	0
NCGC00261178-01	121	0
NCGC00261568-01	122	0
NCGC00260830-01	123	0
NCGC00261113-01	124	0
NCGC00261327-01	125	0
NCGC00261602-01	126	0
NCGC00260858-01	127	0
NCGC00261071-01	128	0
NCGC00261076-01	129	0
NCGC00261192-01	130	0
NCGC00261495-01	131	0
NCGC00261577-01	132	0
NCGC00261510-01	133	0
NCGC00261679-01	134	0
NCGC00261941-01	135	0
NCGC00261343-01	136	0
NCGC00261607-01	137	0
NCGC00261782-01	138	0
NCGC00261914-01	139	0
NCGC00261475-01	140	0
NCGC00261764-01	141	0
NCGC00261802-01	142	0
NCGC00261813-01	143	0
NCGC00260795-01	144	0
NCGC00261352-01	145	0
NCGC00261009-01	146	0
NCGC00261944-01	147	0
NCGC00261166-01	148	0
NCGC00261332-01	149	0
NCGC00261333-01	150	0
NCGC00261260-01	151	0
NCGC00261915-01	152	0
NCGC00261238-01	153	0
NCGC00261682-01	154	0
NCGC00261049-01	155	0
NCGC00260910-01	156	0
NCGC00261272-01	157	0
NCGC00260708-01	158	0
NCGC00261390-01	159	0
NCGC00260948-01	160	0
NCGC00261840-01	161	0
NCGC00260881-01	162	0
NCGC00261153-01	163	0
NCGC00261406-01	164	0
NCGC00261053-01	165	0
NCGC00261129-01	166	0
NCGC00261381-01	167	0
NCGC00261426-01	168	0
NCGC00260979-01	169	0
NCGC00260993-01	170	0
NCGC00261108-01	171	0
NCGC00261441-01	172	0
NCGC00261877-01	173	0
NCGC00260815-01	174	0
NCGC00261542-01	175	0
NCGC00261958-01	176	0
NCGC00261787-01	177	0
NCGC00261065-01	178	0
NCGC00261804-01	179	0
NCGC00260875-01	180	0
NCGC00261451-01	181	0
NCGC00261739-01	182	0
NCGC00261948-01	183	0
NCGC00261382-01	184	0
NCGC00261663-01	185	0
NCGC00260892-01	186	0
NCGC00261297-01	187	0
NCGC00261321-01	188	0
NCGC00261446-01	189	0
NCGC00261474-01	190	0
NCGC00260834-01	191	0
NCGC00260840-01	192	0
NCGC00260947-01	193	0
NCGC00261080-01	194	0
NCGC00261563-01	195	0
NCGC00261873-01	196	0
NCGC00260803-01	197	0
NCGC00260833-01	198	0
NCGC00261008-01	199	0
NCGC00261155-01	200	0
NCGC00261643-01	201	0
NCGC00261037-01	202	0
NCGC00261126-01	203	0
NCGC00260871-01	204	0
NCGC00260713-01	205	0
NCGC00261487-01	206	0
NCGC00261545-01	207	0
NCGC00261480-01	208	0
NCGC00261838-01	209	0
NCGC00261627-01	210	0
NCGC00261639-01	211	0
NCGC00261177-01	212	0
NCGC00260692-01	213	0
NCGC00260775-01	214	0
NCGC00260876-01	215	0
NCGC00261598-01	216	0
NCGC00260707-01	217	0
NCGC00261554-01	218	0
NCGC00261713-01	219	0
NCGC00261737-01	220	0
NCGC00261882-01	221	0
NCGC00261933-01	222	0
NCGC00261201-01	223	0
NCGC00261398-01	224	0
NCGC00261601-01	225	0
NCGC00261003-01	226	0
NCGC00261019-01	227	0
NCGC00261519-01	228	0
NCGC00261732-01	229	0
NCGC00261718-01	230	0
NCGC00260743-01	231	0
NCGC00260751-01	232	0
NCGC00260867-01	233	0
NCGC00260982-01	234	0
NCGC00261176-01	235	0
NCGC00261289-01	236	0
NCGC00261440-01	237	0
NCGC00261657-01	238	0
NCGC00260822-01	239	0
NCGC00261142-01	240	0
NCGC00261582-01	241	0
NCGC00261825-01	242	0
NCGC00261833-01	243	0
NCGC00261835-01	244	0
NCGC00261860-01	245	0
NCGC00261906-01	246	0
NCGC00261916-01	247	0
NCGC00261939-01	248	0
NCGC00261869-01	249	0
NCGC00261163-01	250	0
NCGC00261653-01	251	0
NCGC00261248-01	252	0
NCGC00260770-01	253	0
NCGC00261013-01	254	0
NCGC00261910-01	255	0
NCGC00261686-01	256	0
NCGC00261147-01	257	0
NCGC00261578-01	258	0
NCGC00261336-01	259	0
NCGC00261593-01	260	0
NCGC00260821-01	261	0
NCGC00261007-01	262	0
NCGC00261246-01	263	0
NCGC00261949-01	264	0
NCGC00260890-01	265	0
NCGC00261294-01	266	0
NCGC00261330-01	267	0
NCGC00261470-01	268	0
NCGC00260691-01	269	0
NCGC00261693-01	270	0
NCGC00261293-01	271	0
NCGC00261018-01	272	0
NCGC00261075-01	273	0
NCGC00261150-01	274	0
NCGC00261767-01	275	0
NCGC00261824-01	276	0
NCGC00261146-01	277	0
NCGC00260817-01	278	0
NCGC00261161-01	279	0
NCGC00260728-01	280	0
NCGC00261286-01	281	0
NCGC00261254-01	282	0
NCGC00261261-01	283	0
