Sample ID	Score	Activity
NCGC00357014-01	1.367822476	1
NCGC00357263-01	1.308763995	1
NCGC00356965-01	0.970724938	1
NCGC00357011-01	0.930668343	1
NCGC00357178-01	0.91046425	1
NCGC00357288-01	0.89371528	1
NCGC00261812-01	0.870492168	1
NCGC00357072-01	0.870492168	1
NCGC00357110-01	0.853243518	1
NCGC00357148-01	0.834957664	1
NCGC00357109-01	0.828251116	1
NCGC00261739-01	0.801622146	1
NCGC00357154-01	0.754910132	1
NCGC00357057-01	0.749635421	1
NCGC00261662-01	0.72675017	1
NCGC00357126-01	0.721366013	1
NCGC00260921-01	0.718693576	1
NCGC00357038-01	0.68520921	1
NCGC00357175-01	0.683252226	1
NCGC00260990-01	0.677499971	1
NCGC00357167-01	0.671421913	1
NCGC00261475-01	0.668352883	1
NCGC00261474-01	0.659832807	1
NCGC00357097-01	0.619738483	1
NCGC00260803-01	0.616570811	1
NCGC00261776-01	0.614170658	1
NCGC00261683-01	0.610601772	1
NCGC00261713-01	0.601386464	1
NCGC00260962-01	0.595238049	1
NCGC00357185-01	0.59216197	1
NCGC00356988-01	0.59019517	1
NCGC00260957-01	0.579829412	1
NCGC00260833-01	0.571675919	1
NCGC00260866-01	0.555257989	1
NCGC00261542-01	0.545131866	1
NCGC00261704-01	0.54360068	1
NCGC00357219-01	0.540945394	1
NCGC00261009-01	0.53443764	1
NCGC00261802-01	0.531282192	1
NCGC00260850-01	0.525324688	1
NCGC00261110-01	0.519444364	1
NCGC00261381-01	0.519003477	1
NCGC00357117-01	0.50526267	1
NCGC00357140-01	0.50286786	1
NCGC00261332-01	0.488563798	1
NCGC00260940-01	0.488345073	1
NCGC00357280-01	0.486026865	1
NCGC00261426-01	0.48437964	1
NCGC00261065-01	0.482730641	1
NCGC00261290-01	0.48071691	1
NCGC00357201-01	0.480403473	1
NCGC00261882-01	0.477698868	1
NCGC00260831-01	0.476702784	1
NCGC00356949-01	0.475877052	1
NCGC00261813-01	0.473362406	1
NCGC00261130-01	0.46671788	1
NCGC00357230-01	0.459609343	1
NCGC00261545-01	0.459491621	1
NCGC00357249-01	0.449845294	1
NCGC00357284-01	0.449687308	1
NCGC00261160-01	0.446569444	1
NCGC00261679-01	0.44397246	1
NCGC00356984-01	0.438780585	1
NCGC00261028-01	0.437507537	1
NCGC00261529-01	0.435172718	1
NCGC00261446-01	0.434293632	1
NCGC00260785-01	0.420353367	1
NCGC00261554-01	0.41737656	1
NCGC00261321-01	0.41555229	1
NCGC00357052-01	0.414885813	1
NCGC00356942-01	0.414304219	1
NCGC00357180-01	0.412914601	1
NCGC00356958-01	0.399454359	1
NCGC00260696-01	0.398622789	1
NCGC00261506-01	0.397559242	1
NCGC00261838-01	0.396524559	1
NCGC00357243-01	0.395623096	1
NCGC00357253-01	0.383648301	1
NCGC00357013-01	0.38352196	1
NCGC00261384-01	0.378196551	1
NCGC00356986-01	0.370338986	1
NCGC00357177-01	0.367472029	1
NCGC00261583-01	0.366618085	1
NCGC00261568-01	0.363884856	1
NCGC00356953-01	0.36373172	1
NCGC00260822-01	0.36254773	1
NCGC00260789-01	0.361675866	1
NCGC00261764-01	0.361461179	1
NCGC00357250-01	0.360627373	1
NCGC00260911-01	0.359824418	1
NCGC00261441-01	0.349680529	1
NCGC00261926-01	0.343716341	1
NCGC00261480-01	0.343137261	1
NCGC00261941-01	0.339635192	1
NCGC00357111-01	0.339230526	1
NCGC00261910-01	0.330450334	1
NCGC00260993-01	0.329493921	1
NCGC00261866-01	0.327717366	1
NCGC00261487-01	0.324644927	1
NCGC00260858-01	0.323758777	1
NCGC00357096-01	0.32215642	0
NCGC00261682-01	0.317448177	0
NCGC00261804-01	0.316901416	0
NCGC00261619-01	0.308256525	0
NCGC00356978-01	0.307040564	0
NCGC00261958-01	0.306938977	0
NCGC00260713-01	0.302243213	0
NCGC00357221-01	0.30143156	0
NCGC00261392-01	0.295019243	0
NCGC00261856-01	0.294805999	0
NCGC00261643-01	0.292672222	0
NCGC00356994-01	0.292388081	0
NCGC00261944-01	0.291830692	0
NCGC00357275-01	0.286676868	0
NCGC00261166-01	0.282268371	0
NCGC00357271-01	0.279514181	0
NCGC00261178-01	0.279440415	0
NCGC00260910-01	0.279012802	0
NCGC00356950-01	0.277177286	0
NCGC00261853-01	0.276710911	0
NCGC00261297-01	0.276346209	0
NCGC00357195-01	0.27542575	0
NCGC00261286-01	0.274018336	0
NCGC00261638-01	0.271339185	0
NCGC00357236-01	0.270093938	0
NCGC00261069-01	0.269710657	0
NCGC00261119-01	0.264668563	0
NCGC00357212-01	0.264095001	0
NCGC00261399-01	0.26187007	0
NCGC00357045-01	0.261114235	0
NCGC00260892-01	0.260294984	0
NCGC00261123-01	0.258702258	0
NCGC00357085-01	0.255533815	0
NCGC00356989-01	0.25268711	0
NCGC00260811-01	0.248782173	0
NCGC00357051-01	0.248525132	0
NCGC00261079-01	0.247469887	0
NCGC00357128-01	0.24666944	0
NCGC00357028-01	0.246547213	0
NCGC00260947-01	0.244932036	0
NCGC00357055-01	0.23854907	0
NCGC00261577-01	0.238263197	0
NCGC00357209-01	0.236009533	0
NCGC00260728-01	0.234037828	0
NCGC00260795-01	0.230845646	0
NCGC00357153-01	0.229291467	0
NCGC00357012-01	0.227928555	0
NCGC00261018-01	0.227000537	0
NCGC00261395-01	0.225018614	0
NCGC00357196-01	0.225012584	0
NCGC00261238-01	0.219790015	0
NCGC00357067-01	0.216887626	0
NCGC00261052-01	0.21367172	0
NCGC00357116-01	0.21271617	0
NCGC00261037-01	0.211143156	0
NCGC00357188-01	0.21015393	0
NCGC00357134-01	0.210072276	0
NCGC00261693-01	0.209471466	0
NCGC00261833-01	0.209029611	0
NCGC00357273-01	0.205529904	0
NCGC00261340-01	0.204900222	0
NCGC00357255-01	0.203937469	0
NCGC00261071-01	0.203058361	0
NCGC00357122-01	0.201465919	0
NCGC00260875-01	0.200140822	0
NCGC00260869-01	0.199874126	0
NCGC00261352-01	0.199336737	0
NCGC00357222-01	0.197371915	0
NCGC00357277-01	0.19704785	0
NCGC00261672-01	0.195775242	0
NCGC00261611-01	0.195293352	0
NCGC00260846-01	0.195216268	0
NCGC00261921-01	0.194598266	0
NCGC00261254-01	0.194401864	0
NCGC00261817-01	0.193615599	0
NCGC00261691-01	0.193122455	0
NCGC00357228-01	0.191486093	0
NCGC00357017-01	0.190401632	0
NCGC00261808-01	0.188227982	0
NCGC00261737-01	0.184977033	0
NCGC00261081-01	0.184560339	0
NCGC00357151-01	0.183868111	0
NCGC00261389-01	0.18376654	0
NCGC00356938-01	0.182079495	0
NCGC00357095-01	0.181375465	0
NCGC00261049-01	0.181176931	0
NCGC00261327-01	0.180374938	0
NCGC00260852-01	0.17959996	0
NCGC00356951-01	0.178687428	0
NCGC00357285-01	0.177388078	0
NCGC00261133-01	0.177250011	0
NCGC00356961-01	0.176806783	0
NCGC00357082-01	0.17450501	0
NCGC00261108-01	0.173104439	0
NCGC00261261-01	0.170428326	0
NCGC00261826-01	0.16988641	0
NCGC00261916-01	0.169883154	0
NCGC00261304-01	0.169151264	0
NCGC00261190-01	0.166087982	0
NCGC00261510-01	0.161257747	0
NCGC00357104-01	0.160508664	0
NCGC00357118-01	0.159562623	0
NCGC00261906-01	0.155635896	0
NCGC00261914-01	0.15465702	0
NCGC00261126-01	0.153507674	0
NCGC00261013-01	0.152717654	0
NCGC00357075-01	0.152110426	0
NCGC00261336-01	0.151749848	0
NCGC00357010-01	0.150052326	0
NCGC00357246-01	0.14803309	0
NCGC00357081-01	0.147595832	0
NCGC00261825-01	0.146368492	0
