Sample ID	Score	Activity
NCGC00261348-01	0.2355	0
NCGC00260693-01	0.143	0
NCGC00261503-01	0.1881	0
NCGC00261119-01	0.6123	1
NCGC00260716-01	0.0309	0
NCGC00260703-01	0.1616	0
NCGC00260823-01	0.0568	0
NCGC00260731-01	0.6323	1
NCGC00261579-01	0.6145	1
NCGC00260782-01	0.167	0
NCGC00261057-01	0.551	1
NCGC00261683-01	0.5967	1
NCGC00261738-01	0.5142	1
NCGC00261313-01	0.233	0
NCGC00260826-01	0.0445	0
NCGC00261633-01	0.1386	0
NCGC00260757-01	0.0672	0
NCGC00261052-01	0.502	1
NCGC00261005-01	0.2648	0
NCGC00261190-01	0.5455	1
NCGC00260802-01	0.2027	0
NCGC00261842-01	0.3097	0
NCGC00261544-01	0.4912	0
NCGC00261541-01	0.2822	0
NCGC00261812-01	0.6452	1
NCGC00261662-01	0.777	1
NCGC00261649-01	0.2402	0
NCGC00260831-01	0.6667	1
NCGC00261380-01	0.6196	1
NCGC00260869-01	0.244	0
NCGC00261060-01	0.2825	0
NCGC00260846-01	0.612	1
NCGC00261162-01	0.5415	1
NCGC00261395-01	0.5326	1
NCGC00261030-01	0.5549	1
NCGC00261856-01	0.6344	1
NCGC00261935-01	0.5756	1
NCGC00261926-01	0.5036	1
NCGC00261423-01	0.6247	1
NCGC00261183-01	0.4369	0
NCGC00261924-01	0.304	0
NCGC00261069-01	0.527	1
NCGC00260921-01	0.5931	1
NCGC00261110-01	0.6409	1
NCGC00261101-01	0.5032	1
NCGC00260889-01	0.5	1
NCGC00261619-01	0.5938	1
NCGC00261165-01	0.2049	0
NCGC00260698-01	0.2326	0
NCGC00261776-01	0.6246	1
NCGC00261861-01	0.1023	0
NCGC00261026-01	0.5345	1
NCGC00261079-01	0.453	0
NCGC00260990-01	0.6403	1
NCGC00261340-01	0.6427	1
NCGC00260811-01	0.4744	0
NCGC00261130-01	0.6939	1
NCGC00260980-01	0.4741	0
NCGC00261730-01	0.4091	0
NCGC00261716-01	0.1181	0
NCGC00260706-01	0.5521	1
NCGC00261816-01	0.5134	1
NCGC00261404-01	0.2251	0
NCGC00261565-01	0.5282	1
NCGC00261424-01	0.0505	0
NCGC00261507-01	0.5353	1
NCGC00261744-01	0.3002	0
NCGC00261367-01	0.5401	1
NCGC00261058-01	0.5403	1
NCGC00260789-01	0.5855	1
NCGC00261717-01	0.0549	0
NCGC00261420-01	0.5974	1
NCGC00261123-01	0.6093	1
NCGC00260742-01	0.1032	0
NCGC00261529-01	0.5006	1
NCGC00261597-01	0.5761	1
NCGC00261389-01	0.227	0
