Sample ID	Score	Activity
NCGC00261776-01	0.2825	1
NCGC00261380-01	-0.324	0
NCGC00261842-01	-0.5603	0
NCGC00261662-01	0.8672	1
NCGC00261190-01	0.9482	1
NCGC00260731-01	0.372	1
NCGC00261926-01	-0.1225	0
NCGC00261579-01	-0.0098	0
NCGC00260921-01	0.5274	1
NCGC00261119-01	-0.0665	0
NCGC00261812-01	0.66	1
NCGC00260831-01	0.5858	1
NCGC00261544-01	-0.059	0
NCGC00261619-01	0.2692	1
NCGC00261395-01	0.3805	1
NCGC00261717-01	-0.6259	0
NCGC00261947-01	-0.9231	0
NCGC00261424-01	-0.5397	0
NCGC00261861-01	-0.5441	0
NCGC00261924-01	-0.3296	0
NCGC00261026-01	-0.2401	0
NCGC00261057-01	-0.3655	0
NCGC00261738-01	-0.009	0
NCGC00261348-01	-0.665	0
NCGC00261503-01	-0.6231	0
NCGC00260693-01	-0.9548	0
NCGC00260703-01	-0.9556	0
NCGC00260716-01	-0.7159	0
NCGC00260782-01	-0.5962	0
NCGC00260802-01	-0.4749	0
NCGC00260823-01	-0.3063	0
NCGC00260757-01	-0.4478	0
NCGC00260826-01	-0.6872	0
NCGC00260889-01	-0.4415	0
NCGC00260811-01	-0.168	0
NCGC00261165-01	-0.6015	0
NCGC00261060-01	-0.7846	0
NCGC00261541-01	-0.5791	0
NCGC00261649-01	-0.6263	0
NCGC00261110-01	0.5019	1
NCGC00261130-01	0.5878	1
NCGC00260846-01	0.5125	1
NCGC00261030-01	0.3328	1
NCGC00261162-01	0.3752	1
NCGC00261058-01	0.0319	1
NCGC00261404-01	-0.5543	0
NCGC00261423-01	0.0678	1
NCGC00261856-01	-0.1108	0
NCGC00261342-01	-0.4049	0
NCGC00261069-01	0.6581	1
NCGC00261101-01	-0.3467	0
NCGC00261716-01	-0.6482	0
NCGC00260742-01	-0.8126	0
NCGC00261529-01	-0.3726	0
NCGC00261170-01	0.1608	1
NCGC00261565-01	-0.4128	0
NCGC00260990-01	0.7421	1
NCGC00261340-01	0.4685	1
NCGC00261079-01	-0.4416	0
NCGC00261389-01	-0.472	0
NCGC00261744-01	-0.5935	0
NCGC00261420-01	-0.2452	0
NCGC00261215-01	-0.5082	0
NCGC00261826-01	-0.3311	0
NCGC00261123-01	-0.0125	0
NCGC00261367-01	-0.2445	0
NCGC00261507-01	-0.1494	0
NCGC00261169-01	-0.3412	0
NCGC00261730-01	-0.0658	0
NCGC00261624-01	-0.2775	0
NCGC00261641-01	-0.5199	0
NCGC00261853-01	-0.3554	0
NCGC00260911-01	-0.5127	0
NCGC00261384-01	0.3262	1
NCGC00260785-01	-0.1725	0
NCGC00261025-01	-0.5305	0
NCGC00260789-01	0.5026	1
NCGC00260866-01	0.473	1
NCGC00261189-01	-0.0447	0
NCGC00261270-01	0.0389	1
NCGC00261611-01	-0.1091	0
NCGC00261817-01	0.1499	1
NCGC00261866-01	0.2059	1
NCGC00260852-01	0.6784	1
NCGC00261290-01	0.5868	1
NCGC00261304-01	0.4497	1
NCGC00261704-01	0.0502	1
NCGC00260850-01	0.0097	1
NCGC00260972-01	-0.0905	0
NCGC00261392-01	0.0489	1
NCGC00261638-01	0.4502	1
NCGC00261820-01	0.1675	1
NCGC00261808-01	0.0309	1
NCGC00260790-01	0.2175	1
NCGC00260940-01	0.7867	1
NCGC00261081-01	-0.1083	0
NCGC00261506-01	0.5137	1
NCGC00261133-01	0.3002	1
NCGC00261399-01	0.6139	1
NCGC00260696-01	0.3476	1
NCGC00261903-01	-0.1558	0
NCGC00261178-01	-0.1937	0
NCGC00261568-01	0.1697	1
NCGC00260830-01	-0.2312	0
NCGC00261113-01	-0.6054	0
NCGC00261327-01	-0.1529	0
NCGC00261602-01	0.0249	1
NCGC00260858-01	0.6371	1
NCGC00261071-01	-0.0924	0
NCGC00261076-01	-0.4527	0
NCGC00261192-01	-0.4527	0
NCGC00261577-01	0.198	1
NCGC00261510-01	-0.0589	0
NCGC00261679-01	0.5658	1
NCGC00261941-01	0.6743	1
NCGC00261343-01	-0.4673	0
NCGC00261607-01	0.0175	1
NCGC00261782-01	0.338	1
NCGC00261475-01	0.3724	1
NCGC00261764-01	0.2926	1
NCGC00261802-01	0.412	1
NCGC00261813-01	-0.1274	0
NCGC00260795-01	-0.0394	0
NCGC00261352-01	0.2871	1
NCGC00261009-01	0.4269	1
NCGC00261944-01	0.419	1
NCGC00261166-01	0.4464	1
NCGC00261332-01	0.4135	1
NCGC00261333-01	-0.2491	0
NCGC00261260-01	-0.1828	0
NCGC00261915-01	-0.3102	0
NCGC00261682-01	-0.0208	0
NCGC00260910-01	-0.4215	0
NCGC00261272-01	0.3418	1
NCGC00260708-01	-0.6412	0
NCGC00261390-01	-0.5342	0
NCGC00260948-01	-0.5857	0
NCGC00261840-01	-0.8906	0
NCGC00261153-01	-0.6049	0
NCGC00261406-01	-0.7658	0
NCGC00261053-01	-0.8591	0
NCGC00261129-01	-0.7624	0
NCGC00261381-01	0.0518	1
NCGC00261426-01	0.5221	1
NCGC00260979-01	-0.3383	0
NCGC00260993-01	0.1207	1
NCGC00261108-01	-0.1559	0
NCGC00261877-01	0.215	1
NCGC00261542-01	-0.0014	0
NCGC00261787-01	-0.2232	0
NCGC00261065-01	0.5201	1
NCGC00261804-01	0.2224	1
NCGC00260875-01	0.0488	1
NCGC00261451-01	0.2553	1
NCGC00261948-01	-0.3011	0
NCGC00261382-01	-0.3693	0
NCGC00261297-01	0.2076	1
NCGC00261321-01	0.3366	1
NCGC00261446-01	0.2791	1
NCGC00261474-01	0.3759	1
NCGC00260803-01	0.0398	1
NCGC00260833-01	0.1147	1
NCGC00261008-01	-0.2204	0
NCGC00261155-01	-0.1762	0
NCGC00261643-01	-0.1645	0
NCGC00261126-01	0.2129	1
NCGC00260871-01	0.3476	1
NCGC00260713-01	-0.0361	0
NCGC00261487-01	0.4157	1
NCGC00261545-01	-0.2592	0
NCGC00261480-01	0.0488	1
NCGC00261838-01	0.1658	1
NCGC00261627-01	-0.7355	0
NCGC00261177-01	-0.6059	0
NCGC00260775-01	-0.3496	0
NCGC00260707-01	-0.348	0
NCGC00261554-01	0.8382	1
NCGC00261713-01	0.8128	1
NCGC00261737-01	-0.2361	0
