Sample ID	Score	Activity
NCGC00261900	0.217	0
NCGC00260869	0.5118	0
NCGC00261776	0.8992	1
NCGC00261380	0.8002	1
NCGC00261842	0.4858	0
NCGC00261662	0.9908	1
NCGC00261190	0.6342	1
NCGC00260731	0.6328	1
NCGC00261926	0.662	1
NCGC00261579	0.6584	1
NCGC00260921	0.7992	1
NCGC00261119	0.6558	1
NCGC00260957	0.7282	1
NCGC00261812	0.8612	1
NCGC00260831	0.8652	1
NCGC00261544	0.238	0
NCGC00261619	0.8766	1
NCGC00261633	0.037	0
NCGC00261395	0.8492	1
NCGC00261717	0.093	0
NCGC00261947	0.079	0
NCGC00261424	0.298	0
NCGC00261861	0.3944	0
NCGC00261924	0.5744	0
NCGC00261052	0.8672	1
NCGC00261683	0.7608	1
NCGC00261026	0.6066	1
NCGC00261057	0.438	0
NCGC00261738	0.5854	0
NCGC00261348	0.1166	0
NCGC00261503	0.2678	0
NCGC00260693	0.1192	0
NCGC00260703	0.131	0
NCGC00260716	0.0058	0
NCGC00260782	0.121	0
NCGC00260802	0.069	0
NCGC00260823	0.042	0
NCGC00261313	0.0034	0
NCGC00260757	0.0572	0
NCGC00260826	0.0588	0
NCGC00261005	0.2788	0
NCGC00260980	0.4824	0
NCGC00261816	0.678	1
NCGC00260698	0.389	0
NCGC00260889	0.6244	1
NCGC00260811	0.6816	1
NCGC00261165	0.0984	0
NCGC00261060	0.0812	0
NCGC00261541	0.1228	0
NCGC00261649	0.0722	0
NCGC00261110	0.8624	1
NCGC00261130	0.8054	1
NCGC00260846	0.8086	1
NCGC00261030	0.5476	0
NCGC00261162	0.7338	1
NCGC00261058	0.662	1
NCGC00261404	0.6764	1
NCGC00261423	0.8846	1
NCGC00261856	0.8312	1
NCGC00261342	0.2004	0
NCGC00261935	0.7368	1
NCGC00261069	0.567	0
NCGC00261101	0.6424	1
NCGC00261183	0.5872	0
NCGC00261716	0.1448	0
NCGC00260742	0.344	0
NCGC00261529	0.8136	1
NCGC00261170	0.6586	1
NCGC00261565	0.5604	0
NCGC00260990	0.9068	1
