Sample ID	Score	Activity
NCGC00260691	0.03082	0
NCGC00260692	0.06902	0
NCGC00260693	0.04651	0
NCGC00260696	0.71461	1
NCGC00260698	0.30255	0
NCGC00260703	0.03507	0
NCGC00260706	0.29370	0
NCGC00260707	0.25434	0
NCGC00260708	0.00917	0
NCGC00260713	0.36110	0
NCGC00260716	0.00617	0
NCGC00260728	0.35174	0
NCGC00260731	0.40243	0
NCGC00260742	0.26103	0
NCGC00260743	0.02085	0
NCGC00260751	0.01505	0
NCGC00260757	0.01948	0
NCGC00260770	0.04149	0
NCGC00260775	0.02129	0
NCGC00260782	0.01559	0
NCGC00260785	0.56798	1
NCGC00260789	0.39513	0
NCGC00260790	0.63167	1
NCGC00260795	0.57419	1
NCGC00260798	0.38825	0
NCGC00260802	0.01309	0
NCGC00260803	0.47199	0
NCGC00260811	0.48829	0
NCGC00260815	0.25786	0
NCGC00260817	0.14942	0
NCGC00260821	0.03232	0
NCGC00260822	0.61775	1
NCGC00260823	0.03658	0
NCGC00260826	0.02793	0
NCGC00260830	0.26153	0
NCGC00260831	0.81745	1
NCGC00260833	0.34386	0
NCGC00260834	0.29755	0
NCGC00260840	0.30746	0
NCGC00260846	0.51757	1
NCGC00260850	0.36125	0
NCGC00260852	0.58563	1
NCGC00260858	0.74192	1
NCGC00260866	0.76788	1
NCGC00260867	0.01135	0
NCGC00260869	0.27724	0
NCGC00260871	0.29571	0
NCGC00260875	0.56498	1
NCGC00260876	0.02294	0
NCGC00260881	0.05556	0
NCGC00260889	0.24107	0
NCGC00260890	0.47630	0
NCGC00260892	0.54943	1
NCGC00260910	0.44824	0
NCGC00260911	0.30694	0
NCGC00260921	0.65114	1
NCGC00260940	0.84230	1
NCGC00260947	0.43371	0
NCGC00260948	0.03378	0
NCGC00260957	0.66279	1
NCGC00260962	0.63472	1
NCGC00260972	0.40217	0
NCGC00260979	0.31658	0
NCGC00260980	0.32938	0
NCGC00260982	0.06494	0
NCGC00260990	0.78874	1
NCGC00260993	0.28361	0
NCGC00261003	0.00998	0
NCGC00261005	0.07187	0
NCGC00261007	0.05391	0
NCGC00261008	0.27523	0
NCGC00261009	0.77190	1
NCGC00261013	0.42656	0
NCGC00261018	0.37426	0
NCGC00261019	0.02455	0
NCGC00261025	0.12954	0
NCGC00261026	0.40050	0
NCGC00261028	0.53870	1
NCGC00261030	0.55225	1
NCGC00261037	0.59577	1
NCGC00261049	0.36653	0
NCGC00261052	0.26214	0
NCGC00261053	0.00423	0
NCGC00261057	0.34022	0
