Sample ID	Score	Activity
NCGC00261900-01	0.16656	0
NCGC00260869-01	0.20319	0
NCGC00261776-01	0.38238	0
NCGC00261380-01	0.19554	0
NCGC00261842-01	0.0993	0
NCGC00261662-01	0.58851	1
NCGC00261190-01	0.23653	0
NCGC00260731-01	0.0926	0
NCGC00261926-01	0.21132	0
NCGC00261579-01	0.15689	0
NCGC00260921-01	0.25892	0
NCGC00261119-01	0.18164	0
NCGC00260957-01	0.44514	0
NCGC00261812-01	0.45472	0
NCGC00260831-01	0.54107	1
NCGC00261544-01	0.11111	0
NCGC00261619-01	0.275	0
NCGC00261633-01	0.00849	0
NCGC00261395-01	0.31443	0
NCGC00261717-01	0.13127	0
NCGC00261947-01	0.16067	0
NCGC00261424-01	0.19078	0
NCGC00261861-01	0.11427	0
NCGC00261924-01	0.04303	0
NCGC00261052-01	0.28078	0
NCGC00261683-01	0.51144	1
NCGC00261026-01	0.21708	0
NCGC00261057-01	0.17139	0
NCGC00261738-01	0.14681	0
NCGC00261348-01	0.01417	0
NCGC00261503-01	0.045	0
NCGC00260693-01	0.03006	0
NCGC00260703-01	0.03	0
NCGC00260716-01	0.00644	0
NCGC00260782-01	0.07071	0
NCGC00260802-01	0.01333	0
NCGC00260823-01	0.01294	0
NCGC00261313-01	0.01242	0
NCGC00260757-01	0.01139	0
NCGC00260826-01	0.006	0
NCGC00261005-01	0.02756	0
NCGC00260980-01	0.13519	0
NCGC00261816-01	0.08802	0
NCGC00260698-01	0.07064	0
NCGC00260889-01	0.10756	0
NCGC00260811-01	0.16656	0
NCGC00261165-01	0.11428	0
NCGC00261060-01	0.02994	0
NCGC00261541-01	0.02399	0
NCGC00261649-01	0.03406	0
NCGC00261110-01	0.57233	1
NCGC00261130-01	0.58844	1
NCGC00260846-01	0.28182	0
NCGC00261030-01	0.12866	0
NCGC00261162-01	0.10722	0
NCGC00261058-01	0.20988	0
NCGC00261404-01	0.0865	0
NCGC00261423-01	0.19353	0
NCGC00261856-01	0.26364	0
NCGC00261342-01	0.17222	0
NCGC00261935-01	0.08571	0
NCGC00261069-01	0.18196	0
NCGC00261101-01	0.17708	0
NCGC00261183-01	0.14166	0
NCGC00261716-01	0.09255	0
NCGC00260742-01	0.13556	0
NCGC00261529-01	0.19639	0
NCGC00261170-01	0.13115	0
NCGC00261565-01	0.15436	0
NCGC00260990-01	0.39225	0
NCGC00261340-01	0.32203	0
NCGC00261079-01	0.158	0
NCGC00261389-01	0.22558	0
NCGC00261744-01	0.13525	0
NCGC00261420-01	0.09234	0
NCGC00261215-01	0.08981	0
NCGC00261826-01	0.1396	0
NCGC00260706-01	0.15848	0
NCGC00261123-01	0.22743	0
NCGC00261367-01	0.20022	0
NCGC00261507-01	0.23639	0
NCGC00261169-01	0.123	0
NCGC00261730-01	0.13833	0
NCGC00261624-01	0.08544	0
NCGC00261641-01	0.14664	0
NCGC00261853-01	0.35133	0
NCGC00260911-01	0.39792	0
NCGC00260798-01	0.04889	0
NCGC00261384-01	0.32987	0
NCGC00260785-01	0.29264	0
NCGC00261597-01	0.36611	0
NCGC00261025-01	0.07206	0
NCGC00260789-01	0.41776	0
NCGC00260866-01	0.51608	1
NCGC00261189-01	0.14488	0
NCGC00261270-01	0.13516	0
NCGC00261611-01	0.15306	0
NCGC00261160-01	0.24314	0
NCGC00261085-01	0.14467	0
NCGC00261817-01	0.25996	0
NCGC00261866-01	0.35037	0
NCGC00260852-01	0.24304	0
NCGC00261290-01	0.38928	0
NCGC00261304-01	0.36893	0
NCGC00261704-01	0.31934	0
NCGC00260850-01	0.30168	0
NCGC00260972-01	0.18437	0
NCGC00261364-01	0.06606	0
NCGC00261392-01	0.24877	0
NCGC00261638-01	0.19061	0
NCGC00261820-01	0.08578	0
NCGC00261808-01	0.14287	0
NCGC00260790-01	0.15801	0
NCGC00260940-01	0.40994	0
NCGC00261081-01	0.17593	0
NCGC00261506-01	0.33172	0
NCGC00261133-01	0.13344	0
NCGC00261399-01	0.3468	0
NCGC00260696-01	0.17757	0
NCGC00261903-01	0.24378	0
NCGC00261178-01	0.24183	0
NCGC00261568-01	0.26267	0
NCGC00260830-01	0.20214	0
NCGC00261113-01	0.05073	0
NCGC00261327-01	0.11198	0
NCGC00261602-01	0.18767	0
NCGC00260858-01	0.27383	0
NCGC00261071-01	0.26872	0
NCGC00261076-01	0.23157	0
NCGC00261192-01	0.36117	0
NCGC00261495-01	0.18028	0
NCGC00261577-01	0.27919	0
NCGC00261510-01	0.2231	0
NCGC00261679-01	0.43999	0
NCGC00261941-01	0.37822	0
NCGC00261343-01	0.09856	0
NCGC00261607-01	0.20422	0
NCGC00261782-01	0.23476	0
NCGC00261914-01	0.14456	0
NCGC00261475-01	0.41122	0
NCGC00261764-01	0.36294	0
NCGC00261802-01	0.40589	0
NCGC00261813-01	0.31291	0
NCGC00260795-01	0.13237	0
NCGC00261352-01	0.25511	0
NCGC00261009-01	0.47918	0
NCGC00261944-01	0.3795	0
NCGC00261166-01	0.44349	0
NCGC00261332-01	0.38667	0
NCGC00261333-01	0.34867	0
NCGC00261260-01	0.25796	0
NCGC00261915-01	0.21687	0
NCGC00261238-01	0.09999	0
NCGC00261682-01	0.30443	0
NCGC00261049-01	0.25787	0
NCGC00260910-01	0.29167	0
NCGC00261272-01	0.33647	0
NCGC00260708-01	0.00644	0
NCGC00261390-01	0.06227	0
NCGC00260948-01	0.01373	0
NCGC00261840-01	0.00364	0
NCGC00260881-01	0.00989	0
NCGC00261153-01	0.0769	0
NCGC00261406-01	0.00733	0
NCGC00261053-01	0.02183	0
NCGC00261129-01	0.03453	0
NCGC00261381-01	0.31174	0
NCGC00261426-01	0.43596	0
NCGC00260979-01	0.0355	0
NCGC00260993-01	0.14043	0
NCGC00261108-01	0.10909	0
NCGC00261441-01	0.18137	0
NCGC00261877-01	0.09561	0
NCGC00260815-01	0.17882	0
NCGC00261542-01	0.14393	0
NCGC00261958-01	0.10699	0
NCGC00261787-01	0.08583	0
NCGC00261065-01	0.4931	0
NCGC00261804-01	0.14633	0
NCGC00260875-01	0.15653	0
NCGC00261451-01	0.04188	0
NCGC00261739-01	0.43301	0
NCGC00261948-01	0.27917	0
NCGC00261382-01	0.25254	0
NCGC00261663-01	0.2421	0
NCGC00260892-01	0.2249	0
NCGC00261297-01	0.22046	0
NCGC00261321-01	0.42779	0
NCGC00261446-01	0.36306	0
NCGC00261474-01	0.32814	0
NCGC00260834-01	0.17422	0
NCGC00260840-01	0.15702	0
NCGC00260947-01	0.31136	0
NCGC00261080-01	0.0816	0
NCGC00261563-01	0.19527	0
NCGC00261873-01	0.22155	0
NCGC00260803-01	0.25356	0
NCGC00260833-01	0.21513	0
NCGC00261008-01	0.18728	0
NCGC00261155-01	0.10473	0
NCGC00261643-01	0.16414	0
NCGC00261037-01	0.25425	0
NCGC00261126-01	0.01267	0
NCGC00260871-01	0.31158	0
NCGC00260713-01	0.40016	0
NCGC00261487-01	0.49411	0
NCGC00261545-01	0.32401	0
NCGC00261480-01	0.17477	0
NCGC00261838-01	0.22413	0
NCGC00261627-01	0.00667	0
NCGC00261639-01	0.04539	0
NCGC00261177-01	0.01333	0
NCGC00260692-01	0.00444	0
NCGC00260775-01	0.00467	0
NCGC00260876-01	0.00333	0
NCGC00261598-01	0.00733	0
NCGC00260707-01	0.12266	0
NCGC00261554-01	0.30411	0
NCGC00261713-01	0.46825	0
NCGC00261737-01	0.18498	0
NCGC00261882-01	0.39761	0
NCGC00261933-01	0.16258	0
NCGC00261201-01	0.07902	0
NCGC00261398-01	0.11254	0
NCGC00261601-01	0.042	0
NCGC00261003-01	0.05113	0
NCGC00261019-01	0.03933	0
NCGC00261519-01	0.026	0
NCGC00261732-01	0.00644	0
NCGC00261718-01	0.04232	0
NCGC00260743-01	0.00267	0
NCGC00260751-01	0.17144	0
NCGC00260867-01	0.0	0
NCGC00260982-01	0.0315	0
NCGC00261176-01	0.03478	0
NCGC00261289-01	0.00933	0
NCGC00261440-01	0.02611	0
NCGC00261657-01	0.00933	0
NCGC00260822-01	0.29646	0
NCGC00261142-01	0.14794	0
NCGC00261582-01	0.01167	0
NCGC00261825-01	0.15144	0
NCGC00261833-01	0.22089	0
NCGC00261835-01	0.09693	0
NCGC00261860-01	0.16137	0
NCGC00261906-01	0.25857	0
NCGC00261916-01	0.17967	0
NCGC00261939-01	0.08533	0
NCGC00261869-01	0.02122	0
NCGC00261163-01	0.14601	0
NCGC00261653-01	0.03522	0
