Name	Score	Activity
NCGC00357026	0.97391137	1
NCGC00357259	0.708181468	1
NCGC00357053	0.028906935	0
NCGC00261611	0.232875204	0
NCGC00261563	0.00829019	0
NCGC00261075	0.334586013	0
NCGC00357227	0.032212031	0
NCGC00261495	0.003883469	0
NCGC00357018	0.373942542	0
NCGC00261544	0.813737446	1
NCGC00261817	0.583061762	0
NCGC00357252	0.015018808	0
NCGC00357140	0.969697654	1
NCGC00357057	0.947374153	1
NCGC00356975	0.019707475	0
NCGC00357062	0.875882319	1
NCGC00357235	0.118746924	0
NCGC00260716	0.07382161	0
NCGC00261336	0.09227012	0
NCGC00357014	0.965021178	1
NCGC00261272	0.957509861	1
NCGC00261238	0.419356961	0
NCGC00261935	0.264703986	0
NCGC00357264	0.012183095	0
NCGC00357182	0.018895224	0
NCGC00357153	0.57680867	0
NCGC00261142	0.562160803	0
NCGC00261752	0.760613976	1
NCGC00356983	0.015906607	0
NCGC00357118	0.46128421	0
NCGC00261828	0.481313751	0
NCGC00357191	0.770316434	1
NCGC00357167	0.862797499	1
NCGC00260911	0.46647702	0
NCGC00357025	0.160061662	0
NCGC00357101	0.009063236	0
NCGC00261065	0.835577422	1
NCGC00357229	0.011641224	0
NCGC00261053	0.003751241	0
NCGC00261183	0.533954934	0
NCGC00357147	0.057569577	0
NCGC00357209	0.81597842	1
NCGC00260822	0.943848507	1
NCGC00356954	0.002808779	0
NCGC00261330	0.046058953	0
NCGC00261835	0.409578606	0
NCGC00357081	0.736550871	1
NCGC00261404	0.04134624	0
NCGC00260713	0.605124023	0
NCGC00357056	0.430023693	0
NCGC00357095	0.351797734	0
NCGC00357138	0.007371871	0
NCGC00261686	0.046943385	0
NCGC00357189	0.013869261	0
NCGC00261582	0.005515611	0
NCGC00260802	0.02706784	0
NCGC00261395	0.890757462	1
NCGC00356951	0.123377068	0
NCGC00261767	0.04670408	0
NCGC00357187	0.850764917	1
NCGC00261638	0.409498072	0
NCGC00261155	0.089056269	0
NCGC00356984	0.59857516	0
NCGC00261704	0.958163183	1
NCGC00357102	0.008123897	0
NCGC00357276	0.048360465	0
NCGC00357251	0.661268524	0
NCGC00260921	0.897425738	1
NCGC00356944	0.003821459	0
NCGC00357260	0.005427301	0
NCGC00261633	0.001161013	0
NCGC00357093	0.072190073	0
NCGC00356985	0.006305255	0
NCGC00357085	0.577589242	0
NCGC00260708	0.034396168	0
NCGC00356980	0.12409923	0
NCGC00357009	0.005787133	0
NCGC00357016	0.038533775	0
NCGC00356998	0.028331275	0
NCGC00260782	0.031795388	0
NCGC00357074	0.005663814	0
NCGC00357171	0.007457402	0
NCGC00357230	0.970314422	1
NCGC00357002	0.176975873	0
NCGC00261866	0.852386017	1
NCGC00261825	0.886344285	1
NCGC00356965	0.979254795	1
NCGC00356952	0.821478925	1
NCGC00261662	0.983856902	1
NCGC00260826	0.038606883	0
NCGC00357133	0.249609358	0
NCGC00357006	0.006425127	0
NCGC00261653	0.003797241	0
NCGC00261826	0.058837348	0
NCGC00357061	0.171556716	0
NCGC00357165	0.005200088	0
NCGC00357172	0.762303357	1
NCGC00260821	0.044819211	0
NCGC00261392	0.50327453	0
NCGC00261873	0.017531645	0
NCGC00357181	0.950437555	1
NCGC00357143	0.025102929	0
NCGC00357089	0.003121087	0
NCGC00357205	0.42701884	0
NCGC00357173	0.004299144	0
NCGC00357079	0.006147964	0
NCGC00260830	0.063364329	0
NCGC00261163	0.127189749	0
NCGC00357237	0.011791877	0
NCGC00357214	0.010710175	0
NCGC00357144	0.100278537	0
NCGC00357220	0.098846877	0
NCGC00261529	0.524010849	0
NCGC00261583	0.958028249	1
NCGC00260803	0.737152421	1
NCGC00261663	0.056638862	0
NCGC00260751	0.039824958	0
NCGC00356973	0.004397718	0
NCGC00260833	0.381851171	0
NCGC00357265	0.003283957	0
NCGC00357059	0.325148004	0
NCGC00356972	0.035260177	0
NCGC00261824	0.012469769	0
NCGC00357103	0.021750183	0
NCGC00357130	0.02592686	0
NCGC00260795	0.734889436	1
NCGC00261294	0.064245154	0
NCGC00261507	0.153130244	0
NCGC00260817	0.164547027	0
NCGC00357076	0.047339793	0
NCGC00357097	0.952826039	1
NCGC00357163	0.013903494	0
NCGC00357215	0.257790545	0
NCGC00357278	0.02748598	0
NCGC00260728	0.454059217	0
NCGC00356979	0.025051013	0
NCGC00357267	0.009738637	0
NCGC00357044	0.309901458	0
NCGC00357152	0.029342186	0
NCGC00261246	0.061173058	0
NCGC00356948	0.54657968	0
NCGC00261906	0.962290825	1
NCGC00357088	0.008754703	0
NCGC00261342	0.04836202	0
NCGC00357065	0.570585095	0
NCGC00357250	0.018799002	0
NCGC00357255	0.557370725	0
NCGC00261808	0.454929396	0
NCGC00357040	0.045593981	0
NCGC00261627	0.010795795	0
NCGC00261519	0.040384678	0
NCGC00357032	0.192745886	0
NCGC00261924	0.292901595	0
NCGC00356986	0.34684529	0
NCGC00261333	0.51178477	0
NCGC00357011	0.971891886	1
NCGC00357128	0.840822382	1
NCGC00261008	0.095415413	0
NCGC00261162	0.275318798	0
NCGC00357000	0.104853354	0
NCGC00356938	0.229186264	0
NCGC00357176	0.087593602	0
NCGC00261348	0.006957695	0
NCGC00261190	0.317419767	0
NCGC00260972	0.783112404	1
NCGC00357272	0.29233974	0
NCGC00357277	0.423114759	0
NCGC00357271	0.84466884	1
NCGC00260785	0.893431232	1
NCGC00261473	0.423736805	0
NCGC00261683	0.707463729	0
NCGC00261541	0.002549822	0
NCGC00260947	0.218641807	0
NCGC00260692	0.008401669	0
NCGC00357049	0.00878158	0
NCGC00357003	0.632114812	0
NCGC00260696	0.722382838	1
NCGC00261568	0.904745195	1
NCGC00357037	0.004770024	0
NCGC00357083	0.108918658	0
NCGC00357145	0.042099833	0
NCGC00357112	0.00919515	0
NCGC00356970	0.823463356	1
NCGC00261787	0.53447142	0
NCGC00357012	0.804570734	1
NCGC00356994	0.858229221	1
NCGC00261578	0.007830827	0
NCGC00357188	0.121180073	0
NCGC00261321	0.804248613	1
NCGC00260869	0.080426522	0
NCGC00261542	0.56205469	0
NCGC00357281	0.690886998	1
NCGC00356966	0.022041056	0
NCGC00261030	0.111216973	0
NCGC00357127	0.025091029	0
NCGC00261406	0.010881123	0
NCGC00261037	0.686390785	1
NCGC00357022	0.091780889	0
NCGC00261840	0.006874591	0
NCGC00357195	0.461325423	0
NCGC00356976	0.339656916	0
NCGC00357262	0.233401455	0
NCGC00261304	0.884053502	1
NCGC00357116	0.185105616	0
NCGC00356950	0.960457184	1
NCGC00357190	0.213614749	0
NCGC00356977	0.150030246	0
NCGC00261812	0.958808649	1
NCGC00261602	0.535156985	0
NCGC00357270	0.016800435	0
NCGC00357284	0.803388538	1
NCGC00261440	0.013456451	0
NCGC00357111	0.815165187	1
NCGC00261290	0.980030036	1
NCGC00261113	0.04101605	0
NCGC00357178	0.982579931	1
NCGC00261192	0.080419304	0
NCGC00261364	0.015111735	0
NCGC00356942	0.886351273	1
NCGC00357287	0.136303669	0
NCGC00261577	0.469127053	0
NCGC00260889	0.552601108	0
NCGC00357060	0.01009489	0
NCGC00357051	0.950003613	1
NCGC00260980	0.385504284	0
NCGC00357197	0.042051197	0
NCGC00356961	0.224452536	0
NCGC00261716	0.186853859	0
NCGC00357005	0.068929301	0
NCGC00261869	0.024095292	0
NCGC00357038	0.907926739	1
NCGC00261176	0.017399657	0
NCGC00261607	0.658846938	0
NCGC00260706	0.393475037	0
NCGC00357177	0.02342092	0
NCGC00357039	0.016739087	0
NCGC00260962	0.02511077	0
NCGC00261737	0.837641256	1
NCGC00261732	0.06373611	0
NCGC00356959	0.025329124	0
NCGC00260770	0.038837112	0
NCGC00261820	0.085382366	0
NCGC00357132	0.10510462	0
