Sample ID	Score	Activity
NCGC00261900-01	0.12114	0
NCGC00260869-01	0.11846	0
NCGC00261776-01	0.14497	0
NCGC00261380-01	0.11846	0
NCGC00261842-01	0.09773	0
NCGC00261662-01	0.36725	0
NCGC00261190-01	0.11989	0
NCGC00260731-01	0.09013	0
NCGC00261926-01	0.11855	0
NCGC00261579-01	0.12538	0
NCGC00260921-01	0.31065	0
NCGC00261119-01	0.12803	0
NCGC00260957-01	0.13867	0
NCGC00261812-01	0.15132	0
NCGC00260831-01	0.20971	0
NCGC00261544-01	0.10971	0
NCGC00261619-01	0.13413	0
NCGC00261633-01	0.07167	0
NCGC00261395-01	0.1333	0
NCGC00261717-01	0.12054	0
NCGC00261947-01	0.12083	0
NCGC00261424-01	0.11115	0
NCGC00261861-01	0.0998	0
NCGC00261924-01	0.06641	0
NCGC00261052-01	0.14486	0
NCGC00261683-01	0.27446	0
NCGC00261026-01	0.12001	0
NCGC00261057-01	0.1137	0
NCGC00261738-01	0.10938	0
NCGC00261348-01	0.07594	0
NCGC00261503-01	0.10372	0
NCGC00260693-01	0.09011	0
NCGC00260703-01	0.08261	0
NCGC00260716-01	0.03726	0
NCGC00260782-01	0.06392	0
NCGC00260802-01	0.02798	0
NCGC00260823-01	0.04362	0
NCGC00261313-01	0.04098	0
NCGC00260757-01	0.0197	0
NCGC00260826-01	0.02488	0
NCGC00261005-01	0.06589	0
NCGC00260980-01	0.11582	0
NCGC00261816-01	0.11211	0
NCGC00260698-01	0.10035	0
NCGC00260889-01	0.10869	0
NCGC00260811-01	0.10822	0
NCGC00261165-01	0.1162	0
NCGC00261060-01	0.06357	0
NCGC00261541-01	0.05976	0
NCGC00261649-01	0.05372	0
NCGC00261110-01	0.3415	0
NCGC00261130-01	0.29389	0
NCGC00260846-01	0.18266	0
NCGC00261030-01	0.11991	0
NCGC00261162-01	0.12159	0
NCGC00261058-01	0.11825	0
NCGC00261404-01	0.10498	0
NCGC00261423-01	0.11302	0
NCGC00261856-01	0.12848	0
NCGC00261342-01	0.11964	0
NCGC00261935-01	0.04021	0
NCGC00261069-01	0.12114	0
NCGC00261101-01	0.11548	0
NCGC00261183-01	0.11125	0
NCGC00261716-01	0.10944	0
NCGC00260742-01	0.11659	0
NCGC00261529-01	0.11574	0
NCGC00261170-01	0.11205	0
NCGC00261565-01	0.11295	0
NCGC00260990-01	0.18519	0
NCGC00261340-01	0.3159	0
NCGC00261079-01	0.10841	0
NCGC00261389-01	0.12127	0
NCGC00261744-01	0.11584	0
NCGC00261420-01	0.09981	0
NCGC00261215-01	0.11772	0
NCGC00261826-01	0.11638	0
NCGC00260706-01	0.10066	0
NCGC00261123-01	0.14253	0
NCGC00261367-01	0.11695	0
NCGC00261507-01	0.1279	0
NCGC00261169-01	0.11779	0
NCGC00261730-01	0.09782	0
NCGC00261624-01	0.10245	0
NCGC00261641-01	0.11896	0
NCGC00261853-01	0.16674	0
NCGC00260911-01	0.13847	0
NCGC00260798-01	0.08026	0
NCGC00261384-01	0.13071	0
NCGC00260785-01	0.13006	0
NCGC00261597-01	0.14277	0
NCGC00261025-01	0.07324	0
NCGC00260789-01	0.19464	0
NCGC00260866-01	0.20326	0
NCGC00261189-01	0.11973	0
NCGC00261270-01	0.1193	0
NCGC00261611-01	0.11949	0
NCGC00261160-01	0.12207	0
NCGC00261085-01	0.09047	0
NCGC00261817-01	0.1208	0
NCGC00261866-01	0.1661	0
NCGC00260852-01	0.13636	0
NCGC00261290-01	0.20125	0
NCGC00261304-01	0.12696	0
NCGC00261704-01	0.14744	0
NCGC00260850-01	0.12153	0
NCGC00260972-01	0.11868	0
NCGC00261364-01	0.07562	0
NCGC00261392-01	0.1195	0
NCGC00261638-01	0.13022	0
NCGC00261820-01	0.09445	0
NCGC00261808-01	0.11499	0
NCGC00260790-01	0.10704	0
NCGC00260940-01	0.14592	0
NCGC00261081-01	0.11346	0
NCGC00261506-01	0.12606	0
NCGC00261133-01	0.10168	0
NCGC00261399-01	0.12336	0
NCGC00260696-01	0.18377	0
NCGC00261903-01	0.12246	0
NCGC00261178-01	0.11941	0
NCGC00261568-01	0.12212	0
NCGC00260830-01	0.1175	0
NCGC00261113-01	0.08733	0
NCGC00261327-01	0.10812	0
NCGC00261602-01	0.1219	0
NCGC00260858-01	0.12788	0
NCGC00261071-01	0.12562	0
NCGC00261076-01	0.11964	0
NCGC00261192-01	0.13362	0
NCGC00261495-01	0.09969	0
NCGC00261577-01	0.13602	0
NCGC00261510-01	0.12664	0
NCGC00261679-01	0.367	0
NCGC00261941-01	0.17099	0
NCGC00261343-01	0.11171	0
NCGC00261607-01	0.11805	0
NCGC00261782-01	0.12141	0
NCGC00261914-01	0.11938	0
NCGC00261475-01	0.12276	0
NCGC00261764-01	0.12911	0
NCGC00261802-01	0.12375	0
NCGC00261813-01	0.12132	0
NCGC00260795-01	0.09763	0
NCGC00261352-01	0.13004	0
NCGC00261009-01	0.1403	0
NCGC00261944-01	0.12511	0
NCGC00261166-01	0.14735	0
NCGC00261332-01	0.14489	0
NCGC00261333-01	0.12159	0
NCGC00261260-01	0.1233	0
NCGC00261915-01	0.12298	0
NCGC00261238-01	0.10459	0
NCGC00261682-01	0.12248	0
NCGC00261049-01	0.12157	0
NCGC00260910-01	0.12306	0
NCGC00261272-01	0.13528	0
NCGC00260708-01	0.01285	0
NCGC00261390-01	0.03953	0
NCGC00260948-01	0.04802	0
NCGC00261840-01	0.03951	0
NCGC00260881-01	0.04006	0
NCGC00261153-01	0.11529	0
NCGC00261406-01	0.05876	0
NCGC00261053-01	0.04489	0
NCGC00261129-01	0.04721	0
NCGC00261381-01	0.1222	0
NCGC00261426-01	0.14526	0
NCGC00260979-01	0.07982	0
NCGC00260993-01	0.11333	0
NCGC00261108-01	0.10545	0
NCGC00261441-01	0.11933	0
NCGC00261877-01	0.11057	0
NCGC00260815-01	0.12045	0
NCGC00261542-01	0.12836	0
NCGC00261958-01	0.11029	0
NCGC00261787-01	0.09962	0
NCGC00261065-01	0.13884	0
NCGC00261804-01	0.12089	0
NCGC00260875-01	0.11464	0
NCGC00261451-01	0.04024	0
NCGC00261739-01	0.12573	0
NCGC00261948-01	0.12166	0
NCGC00261382-01	0.12144	0
NCGC00261663-01	0.12213	0
NCGC00260892-01	0.13386	0
NCGC00261297-01	0.12498	0
NCGC00261321-01	0.40148	0
NCGC00261446-01	0.13561	0
NCGC00261474-01	0.16658	0
NCGC00260834-01	0.11969	0
NCGC00260840-01	0.11951	0
NCGC00260947-01	0.12121	0
NCGC00261080-01	0.09068	0
NCGC00261563-01	0.12061	0
NCGC00261873-01	0.11775	0
NCGC00260803-01	0.12015	0
NCGC00260833-01	0.12246	0
NCGC00261008-01	0.12121	0
NCGC00261155-01	0.11213	0
NCGC00261643-01	0.11746	0
NCGC00261037-01	0.15102	0
NCGC00261126-01	0.04023	0
NCGC00260871-01	0.14063	0
NCGC00260713-01	0.14513	0
NCGC00261487-01	0.16823	0
NCGC00261545-01	0.11943	0
NCGC00261480-01	0.11961	0
NCGC00261838-01	0.1295	0
NCGC00261627-01	0.06172	0
NCGC00261639-01	0.07375	0
NCGC00261177-01	0.01974	0
NCGC00260692-01	0.01196	0
NCGC00260775-01	0.01019	0
NCGC00260876-01	0.00667	0
NCGC00261598-01	0.00693	0
NCGC00260707-01	0.11759	0
NCGC00261554-01	0.18836	0
NCGC00261713-01	0.18941	0
NCGC00261737-01	0.12017	0
