Sample ID	Score	Activity
NCGC00261900-01	-2.25717	0
NCGC00260869-01	-0.41819	0
NCGC00261776-01	0.95013	1
NCGC00261380-01	-0.15209	0
NCGC00261842-01	0.07801	1
NCGC00261662-01	1.52988	1
NCGC00261190-01	0.29274	1
NCGC00260731-01	-0.45087	0
NCGC00261926-01	-0.88391	0
NCGC00261579-01	-0.41625	0
NCGC00260921-01	2.17262	1
NCGC00261119-01	0.70441	1
NCGC00260957-01	1.05787	1
NCGC00261812-01	1.63993	1
NCGC00260831-01	0.95125	1
NCGC00261544-01	-0.92741	0
NCGC00261619-01	1.25807	1
NCGC00261633-01	-2.66427	0
NCGC00261395-01	-0.13273	0
NCGC00261717-01	-2.17333	0
NCGC00261947-01	-2.49234	0
NCGC00261424-01	-1.83938	0
NCGC00261861-01	-1.69712	0
NCGC00261924-01	-1.70243	0
NCGC00261052-01	-0.34256	0
NCGC00261683-01	0.98571	1
NCGC00261026-01	0.40259	1
NCGC00261057-01	-0.29156	0
NCGC00261738-01	0.27667	1
NCGC00261348-01	-0.70523	0
NCGC00261503-01	-0.32341	0
NCGC00260693-01	-1.07264	0
NCGC00260703-01	-0.95279	0
NCGC00260716-01	-1.45185	0
NCGC00260782-01	-1.69878	0
NCGC00260802-01	-1.28709	0
NCGC00260823-01	-1.12289	0
NCGC00261313-01	-2.09415	0
NCGC00260757-01	-1.35707	0
NCGC00260826-01	-1.16062	0
NCGC00261005-01	-0.54358	0
NCGC00260980-01	0.35373	1
NCGC00261816-01	-0.52325	0
NCGC00260698-01	0.18843	1
NCGC00260889-01	-0.71763	0
NCGC00260811-01	-0.27828	0
NCGC00261165-01	-0.44434	0
NCGC00261060-01	-0.91353	0
NCGC00261541-01	-1.16167	0
NCGC00261649-01	-1.75891	0
NCGC00261110-01	0.66873	1
NCGC00261130-01	1.31063	1
NCGC00260846-01	0.73948	1
NCGC00261030-01	0.32248	1
NCGC00261162-01	0.19556	1
NCGC00261058-01	-0.19322	0
NCGC00261404-01	-1.00895	0
NCGC00261423-01	0.60869	1
NCGC00261856-01	-0.65811	0
NCGC00261342-01	-0.71809	0
NCGC00261935-01	0.4365	1
NCGC00261069-01	0.0461	1
NCGC00261101-01	-0.32958	0
NCGC00261183-01	-0.30534	0
NCGC00261716-01	-1.40172	0
NCGC00260742-01	-0.83312	0
NCGC00261529-01	0.08756	1
NCGC00261170-01	0.86944	1
NCGC00261565-01	-1.49019	0
NCGC00260990-01	0.89181	1
NCGC00261340-01	1.86834	1
NCGC00261079-01	-0.40394	0
NCGC00261389-01	-0.27923	0
NCGC00261744-01	-1.05834	0
NCGC00261420-01	-0.56519	0
NCGC00261215-01	-0.57296	0
NCGC00261826-01	-0.8315	0
NCGC00260706-01	-0.1988	0
NCGC00261123-01	0.33634	1
NCGC00261367-01	0.61629	1
NCGC00261507-01	0.48523	1
NCGC00261169-01	-0.28258	0
NCGC00261730-01	0.72498	1
NCGC00261624-01	-0.64083	0
NCGC00261641-01	-0.43255	0
NCGC00261853-01	0.66709	1
NCGC00260911-01	-0.62005	0
NCGC00260798-01	-1.5393	0
NCGC00261384-01	0.45044	1
NCGC00260785-01	0.38677	1
NCGC00261597-01	0.25053	1
NCGC00261025-01	-0.66319	0
NCGC00260789-01	-0.71027	0
NCGC00260866-01	0.78564	1
NCGC00261189-01	-1.09313	0
NCGC00261270-01	0.45006	1
NCGC00261611-01	-1.07412	0
NCGC00261160-01	-0.94051	0
NCGC00261085-01	-1.2543	0
NCGC00261817-01	0.03682	1
NCGC00261866-01	0.45894	1
NCGC00260852-01	1.19113	1
NCGC00261290-01	1.12783	1
NCGC00261304-01	0.16939	1
NCGC00261704-01	1.06377	1
NCGC00260850-01	-0.59253	0
NCGC00260972-01	0.50277	1
NCGC00261364-01	-0.56422	0
NCGC00261392-01	-0.63301	0
NCGC00261638-01	1.16262	1
NCGC00261820-01	-0.1027	0
NCGC00261808-01	-0.39749	0
NCGC00260790-01	0.29757	1
NCGC00260940-01	1.50389	1
NCGC00261081-01	-0.31167	0
NCGC00261506-01	0.80329	1
NCGC00261133-01	-0.27707	0
NCGC00261399-01	0.27698	1
NCGC00260696-01	2.05129	1
NCGC00261903-01	-0.55992	0
NCGC00261178-01	0.18766	1
NCGC00261568-01	0.26123	1
NCGC00260830-01	-0.16966	0
NCGC00261113-01	-0.12135	0
NCGC00261327-01	-0.02876	0
NCGC00261602-01	0.29713	1
NCGC00260858-01	1.21628	1
NCGC00261071-01	0.1673	1
NCGC00261076-01	0.08373	1
NCGC00261192-01	-1.02273	0
NCGC00261495-01	1.44752	1
NCGC00261577-01	0.97637	1
NCGC00261510-01	-0.80179	0
NCGC00261679-01	1.45959	1
NCGC00261941-01	1.37728	1
NCGC00261343-01	-0.57527	0
NCGC00261607-01	1.38587	1
NCGC00261782-01	0.25482	1
NCGC00261914-01	-1.10607	0
NCGC00261475-01	0.11044	1
NCGC00261764-01	1.64156	1
NCGC00261802-01	1.41759	1
NCGC00261813-01	-0.47187	0
NCGC00260795-01	1.27227	1
NCGC00261352-01	1.55788	1
NCGC00261009-01	1.21609	1
NCGC00261944-01	0.77747	1
NCGC00261166-01	1.39866	1
NCGC00261332-01	1.59402	1
NCGC00261333-01	0.20412	1
NCGC00261260-01	0.21234	1
NCGC00261915-01	-0.15563	0
NCGC00261238-01	-1.77424	0
NCGC00261682-01	0.95536	1
NCGC00261049-01	0.58817	1
NCGC00260910-01	0.65299	1
NCGC00261272-01	0.46196	1
NCGC00260708-01	-1.40677	0
NCGC00261390-01	-0.98612	0
NCGC00260948-01	-0.86074	0
NCGC00261840-01	-2.06942	0
NCGC00260881-01	-2.86752	0
NCGC00261153-01	-1.46725	0
NCGC00261406-01	-2.23319	0
NCGC00261053-01	-1.51095	0
NCGC00261129-01	-2.25868	0
NCGC00261381-01	0.62241	1
NCGC00261426-01	1.03131	1
NCGC00260979-01	-1.10748	0
NCGC00260993-01	-1.12639	0
NCGC00261108-01	-1.0282	0
NCGC00261441-01	-0.62074	0
NCGC00261877-01	-0.4747	0
NCGC00260815-01	-0.06901	0
NCGC00261542-01	-0.12953	0
NCGC00261958-01	-1.1354	0
NCGC00261787-01	-0.91886	0
NCGC00261065-01	1.05809	1
NCGC00261804-01	-0.5806	0
NCGC00260875-01	0.18308	1
NCGC00261451-01	0.95388	1
NCGC00261739-01	1.18643	1
NCGC00261948-01	-0.18174	0
NCGC00261382-01	-1.00722	0
NCGC00261663-01	0.04457	1
NCGC00260892-01	-0.42116	0
NCGC00261297-01	0.00862	1
NCGC00261321-01	0.03447	1
NCGC00261446-01	0.61144	1
NCGC00261474-01	1.22521	1
NCGC00260834-01	-0.70253	0
NCGC00260840-01	-0.35938	0
NCGC00260947-01	-0.25429	0
NCGC00261080-01	-0.88614	0
NCGC00261563-01	-0.96866	0
NCGC00261873-01	-0.49153	0
NCGC00260803-01	-0.53258	0
NCGC00260833-01	-0.34455	0
NCGC00261008-01	-0.59598	0
NCGC00261155-01	-1.07647	0
NCGC00261643-01	-0.89724	0
NCGC00261037-01	-0.12141	0
NCGC00261126-01	0.87517	1
NCGC00260871-01	-0.18792	0
NCGC00260713-01	0.51152	1
NCGC00261487-01	0.59083	1
NCGC00261545-01	-0.02215	0
NCGC00261480-01	-0.25378	0
NCGC00261838-01	0.10884	1
NCGC00261627-01	-2.03764	0
NCGC00261639-01	-1.4023	0
NCGC00261177-01	-1.79941	0
NCGC00260692-01	-0.2887	0
NCGC00260775-01	-0.16605	0
NCGC00260876-01	-0.76595	0
NCGC00261598-01	-0.76161	0
NCGC00260707-01	-1.08893	0
NCGC00261554-01	1.38997	1
NCGC00261713-01	0.29989	1
NCGC00261737-01	-0.9087	0
NCGC00261882-01	1.52327	1
NCGC00261933-01	-1.10258	0
NCGC00261201-01	-1.75863	0
NCGC00261398-01	-3.27915	0
NCGC00261601-01	-2.2084	0
NCGC00261003-01	-2.51888	0
NCGC00261019-01	-1.58495	0
NCGC00261519-01	-0.20589	0
NCGC00261732-01	0.2638	1
NCGC00261718-01	-1.36633	0
NCGC00260743-01	-2.55923	0
NCGC00260751-01	-1.03175	0
NCGC00260867-01	-2.87055	0
NCGC00260982-01	0.97243	1
NCGC00261176-01	-0.40477	0
NCGC00261289-01	-1.25642	0
NCGC00261440-01	0.69051	1
NCGC00261657-01	0.47047	1
NCGC00260822-01	1.12203	1
NCGC00261142-01	-0.7969	0
NCGC00261582-01	-3.5277	0
NCGC00261825-01	0.46985	1
NCGC00261833-01	0.42088	1
NCGC00261835-01	0.10976	1
NCGC00261860-01	-0.87855	0
NCGC00261906-01	0.82103	1
NCGC00261916-01	0.19404	1
NCGC00261939-01	-1.5671	0
NCGC00261869-01	0.18967	1
NCGC00261163-01	-2.14901	0
NCGC00261653-01	-3.21179	0
NCGC00261248-01	-0.12018	0
NCGC00260770-01	-0.61143	0
NCGC00261013-01	-0.03709	0
NCGC00261910-01	0.11649	1
NCGC00261686-01	-2.09163	0
NCGC00261147-01	-2.46955	0
NCGC00261578-01	-3.12416	0
NCGC00261336-01	-0.24249	0
NCGC00261593-01	-1.43122	0
NCGC00260821-01	-1.80605	0
NCGC00261007-01	-1.32861	0
NCGC00261246-01	-1.18722	0
NCGC00261949-01	-0.77282	0
NCGC00260890-01	1.21471	1
NCGC00261294-01	-1.4212	0
NCGC00261330-01	-0.26495	0
NCGC00261470-01	-0.25322	0
NCGC00260691-01	-1.31474	0
NCGC00261693-01	0.21855	1
NCGC00261293-01	-1.13857	0
NCGC00261018-01	0.71503	1
NCGC00261075-01	0.99188	1
NCGC00261150-01	0.22647	1
NCGC00261767-01	-0.51142	0
NCGC00261824-01	-0.62221	0
NCGC00261146-01	0.0888	1
NCGC00260817-01	0.72496	1
NCGC00261161-01	0.61247	1
NCGC00260728-01	1.04049	1
NCGC00261286-01	0.27801	1
NCGC00261254-01	-0.16369	0
NCGC00261261-01	-0.01202	0
NCGC00261691-01	-0.03234	0
NCGC00261921-01	-0.08327	0
NCGC00260962-01	-0.24444	0
NCGC00261028-01	2.05862	1
NCGC00261349-01	0.61996	1
NCGC00261583-01	1.2918	1
NCGC00261672-01	1.93589	1
NCGC00261620-01	-0.06556	0
NCGC00261141-01	-0.35903	0
NCGC00261752-01	0.36803	1
NCGC00261828-01	-0.80012	0
NCGC00261913-01	-0.714	0
NCGC00261473-01	-0.58729	0
NCGC00356953-01	0.59165	1
NCGC00357009-01	-3.22642	0
NCGC00357188-01	-0.19448	0
NCGC00357201-01	-0.75538	0
NCGC00357189-01	-1.59308	0
NCGC00357163-01	-1.68274	0
NCGC00357001-01	-0.25987	0
NCGC00357030-01	0.08945	1
NCGC00357123-01	0.49405	1
NCGC00357091-01	-0.73762	0
NCGC00357004-01	-0.80246	0
NCGC00357103-01	0.08749	1
NCGC00357289-01	0.95833	1
NCGC00357082-01	0.89593	1
NCGC00356999-01	-0.31589	0
NCGC00357116-01	0.19058	1
NCGC00357010-01	1.07034	1
NCGC00357057-01	0.33097	1
NCGC00357171-01	-0.50645	0
NCGC00356964-01	1.00034	1
NCGC00356995-01	-2.10537	0
NCGC00357205-01	-0.27897	0
NCGC00357185-01	1.86692	1
NCGC00357028-01	0.8504	1
NCGC00357064-01	1.97491	1
NCGC00357196-01	0.68425	1
NCGC00357271-01	1.31472	1
NCGC00357213-01	0.00706	1
NCGC00357198-01	-2.87638	0
NCGC00357079-01	-0.66628	0
NCGC00356984-01	-0.95887	0
NCGC00357080-01	-2.51056	0
