Sample ID	Score	Activity
NCGC00261900-01	0.000241	1
NCGC00261866-01	0.000522	1
NCGC00261643-01	0.000396	1
NCGC00357189-01	0.000518	1
NCGC00357184-01	0.000971	1
NCGC00357007-01	0.009901	1
NCGC00357119-01	0.000657	1
NCGC00260869-01	0.000507	1
NCGC00260852-01	0.000449	1
NCGC00261037-01	0.000511	1
NCGC00357163-01	0.000642	1
NCGC00357238-01	0.000480	1
NCGC00356989-01	0.000469	1
NCGC00357003-01	0.000647	1
NCGC00261776-01	0.000437	1
NCGC00261290-01	0.000600	1
NCGC00261126-01	0.000473	1
NCGC00357001-01	0.000411	1
NCGC00357220-01	0.000483	1
NCGC00357246-01	0.000547	1
NCGC00357058-01	0.000620	1
NCGC00261380-01	0.000353	1
NCGC00261304-01	0.000369	1
NCGC00260871-01	0.000400	1
NCGC00357030-01	0.010168	1
NCGC00357252-01	0.000592	1
NCGC00357081-01	0.000419	1
NCGC00357275-01	0.000435	1
NCGC00261842-01	0.000378	1
NCGC00261704-01	0.000362	1
NCGC00260713-01	0.000354	1
NCGC00357123-01	0.000256	1
NCGC00357159-01	0.000754	1
NCGC00357281-01	0.000481	1
NCGC00357014-01	0.000404	1
NCGC00261662-01	0.000477	1
NCGC00260850-01	0.000391	1
NCGC00261487-01	0.000360	1
NCGC00357091-01	0.000439	1
NCGC00356947-01	0.000598	1
NCGC00357244-01	0.000838	1
NCGC00357011-01	0.000386	1
NCGC00261190-01	0.000459	1
NCGC00260972-01	0.000459	1
NCGC00261545-01	0.000229	1
NCGC00357004-01	0.000364	1
NCGC00357063-01	0.000670	1
NCGC00357194-01	0.000565	1
NCGC00356976-01	0.000352	1
NCGC00260731-01	0.000396	1
NCGC00261364-01	0.000465	1
NCGC00261480-01	0.000572	1
NCGC00357103-01	0.000980	1
NCGC00356982-01	0.000541	1
NCGC00357193-01	0.000664	1
NCGC00357175-01	0.000412	1
NCGC00261926-01	0.000274	1
NCGC00261392-01	0.000628	1
NCGC00261838-01	0.000478	1
NCGC00357289-01	0.000317	1
NCGC00357219-01	0.000480	1
NCGC00357006-01	0.000612	1
NCGC00357021-01	0.000349	1
NCGC00261579-01	0.000544	1
NCGC00261638-01	0.000561	1
NCGC00261627-01	0.000676	1
NCGC00357082-01	0.000771	1
NCGC00357037-01	0.000677	1
NCGC00357041-01	0.000576	1
NCGC00357221-01	0.000480	1
NCGC00260921-01	0.000367	1
NCGC00261820-01	0.000551	1
NCGC00261639-01	0.000690	1
NCGC00356999-01	0.000502	1
NCGC00356975-01	0.000715	1
NCGC00357074-01	0.000918	1
NCGC00356972-01	0.000719	1
NCGC00261119-01	0.000503	1
NCGC00261808-01	0.000527	1
NCGC00261177-01	0.000448	1
NCGC00357116-01	0.000404	1
NCGC00357169-01	0.000547	1
NCGC00357166-01	0.000995	1
NCGC00357133-01	0.000524	1
NCGC00260957-01	0.000248	1
NCGC00260790-01	0.000488	1
NCGC00260692-01	0.000873	1
NCGC00357010-01	0.000379	1
NCGC00357022-01	0.000563	1
NCGC00357070-01	0.001068	1
NCGC00357181-01	0.000621	1
NCGC00261812-01	0.000453	1
NCGC00260940-01	0.000604	1
NCGC00260775-01	0.000859	1
NCGC00357057-01	0.000402	1
NCGC00357165-01	0.000687	1
NCGC00357222-01	0.000910	1
NCGC00357056-01	0.000386	1
NCGC00260831-01	0.000379	1
NCGC00261081-01	0.000402	1
NCGC00260876-01	0.000775	1
NCGC00357171-01	0.000782	1
NCGC00357122-01	0.000681	1
NCGC00357245-01	0.001027	1
NCGC00356980-01	0.000933	1
NCGC00261544-01	0.000562	1
NCGC00261506-01	0.000413	1
NCGC00261598-01	0.000867	1
NCGC00356964-01	0.001145	1
NCGC00357212-01	0.000873	1
NCGC00357217-01	0.000468	1
NCGC00357206-01	0.000543	1
NCGC00261619-01	0.000346	1
NCGC00261133-01	0.000434	1
NCGC00260707-01	0.000479	1
NCGC00356995-01	0.000637	1
NCGC00357263-01	0.008766	1
NCGC00357015-01	0.000825	1
NCGC00357250-01	0.000513	1
NCGC00261633-01	0.000528	1
NCGC00261399-01	0.000437	1
NCGC00261554-01	0.000572	1
NCGC00357062-01	0.000412	1
NCGC00357052-01	0.000775	1
NCGC00357261-01	0.000598	1
NCGC00357227-01	0.000510	1
NCGC00261395-01	0.000376	1
NCGC00260696-01	0.000517	1
NCGC00261713-01	0.000491	1
NCGC00357205-01	0.000646	1
NCGC00356952-01	0.000717	1
NCGC00357060-01	0.000922	1
NCGC00356997-01	0.000577	1
NCGC00261717-01	0.000209	0
NCGC00261903-01	0.000323	1
NCGC00261737-01	0.000261	1
NCGC00357185-01	0.000681	1
NCGC00357225-01	0.000571	1
NCGC00357104-01	0.000657	1
NCGC00356998-01	0.000595	1
NCGC00261947-01	0.000316	1
NCGC00261178-01	0.000408	1
NCGC00261882-01	0.000393	1
NCGC00357028-01	0.000565	1
NCGC00357105-01	0.000607	1
NCGC00357248-01	0.000667	1
NCGC00357282-01	0.000671	1
NCGC00261424-01	0.000502	1
NCGC00261568-01	0.000534	1
NCGC00261933-01	0.000432	1
NCGC00357064-01	0.000612	1
NCGC00356944-01	0.000889	1
NCGC00357176-01	0.000580	1
NCGC00357029-01	0.000444	1
NCGC00261861-01	0.000426	1
NCGC00260830-01	0.000403	1
NCGC00261201-01	0.000473	1
NCGC00357196-01	0.000553	1
NCGC00356977-01	0.000620	1
NCGC00357187-01	0.000740	1
NCGC00356948-01	0.000536	1
NCGC00261924-01	0.000449	1
NCGC00261113-01	0.000525	1
NCGC00261398-01	0.000433	1
NCGC00357271-01	0.000504	1
NCGC00357053-01	0.000810	1
NCGC00357066-01	0.000549	1
NCGC00357054-01	0.000558	1
NCGC00261052-01	0.000395	1
NCGC00261327-01	0.000595	1
NCGC00261601-01	0.000374	1
NCGC00357213-01	0.000561	1
NCGC00357202-01	0.000666	1
NCGC00357154-01	0.000765	1
NCGC00356956-01	0.000496	1
NCGC00261683-01	0.000443	1
NCGC00261602-01	0.000510	1
NCGC00261003-01	0.000725	1
NCGC00357198-01	0.000518	1
NCGC00357013-01	0.000621	1
NCGC00357216-01	0.000685	1
NCGC00356994-01	0.000490	1
NCGC00261026-01	0.000429	1
NCGC00260858-01	0.000365	1
NCGC00261019-01	0.000472	1
NCGC00357079-01	0.000918	1
NCGC00357131-01	0.000860	1
NCGC00357148-01	0.000515	1
NCGC00356949-01	0.000557	1
NCGC00261057-01	0.000417	1
NCGC00261071-01	0.000355	1
NCGC00261519-01	0.000739	1
NCGC00356984-01	0.000508	1
NCGC00357127-01	0.000838	1
NCGC00357078-01	0.000526	1
NCGC00357234-01	0.000585	1
NCGC00261738-01	0.000502	1
NCGC00261076-01	0.000599	1
NCGC00261732-01	0.000793	1
NCGC00357080-01	0.000601	1
NCGC00357147-01	0.000687	1
NCGC00357027-01	0.000862	1
NCGC00356967-01	0.000669	1
NCGC00261348-01	0.000699	1
NCGC00261192-01	0.000358	1
NCGC00261718-01	0.000901	1
NCGC00357173-01	0.000869	1
NCGC00357267-01	0.001029	1
NCGC00357134-01	0.000399	1
NCGC00357111-01	0.000517	1
NCGC00261503-01	0.000810	1
NCGC00261495-01	0.000192	0
NCGC00260743-01	0.000735	1
NCGC00357277-01	0.000893	1
NCGC00356979-01	0.000908	1
NCGC00357180-01	0.000370	1
