Sample ID	Score	Activity
NCGC00261662-01	0.695390782	1
NCGC00260731-01	0.204575818	0
NCGC00261190-01	0.185704743	0
NCGC00261842-01	0.049265197	0
NCGC00261380-01	0.103874415	0
NCGC00261776-01	0.129726119	0
NCGC00260869-01	0.069138277	0
NCGC00261579-01	0.188376754	0
NCGC00261119-01	0.061790247	0
NCGC00260831-01	0.112558450	0
NCGC00261812-01	0.154809619	0
NCGC00261544-01	0.094021376	0
NCGC00261926-01	0.099365397	0
NCGC00260921-01	0.244822979	0
NCGC00261619-01	0.109719439	0
NCGC00261633-01	0.013026052	0
NCGC00261924-01	0.138276553	0
NCGC00261052-01	0.113226453	0
NCGC00261861-01	0.089846359	0
NCGC00261424-01	0.858216433	1
NCGC00261395-01	0.182364729	0
NCGC00261947-01	0.173012692	0
NCGC00261717-01	0.171676687	0
NCGC00261683-01	0.192885772	0
NCGC00261057-01	0.074148297	0
NCGC00261348-01	0.037074148	0
NCGC00261738-01	0.098162993	0
NCGC00261503-01	0.063293253	0
NCGC00260693-01	0.101202405	0
NCGC00261026-01	0.110888444	0
NCGC00260716-01	0.040748163	0
NCGC00260802-01	0.022044088	0
NCGC00260703-01	0.047762191	0
NCGC00260823-01	0.041082164	0
NCGC00260782-01	0.098764195	0
NCGC00261313-01	0.034068136	0
NCGC00260757-01	0.095190381	0
NCGC00260826-01	0.047428190	0
NCGC00261005-01	0.002004008	0
NCGC00260698-01	0.101703407	0
NCGC00260980-01	0.088343353	0
NCGC00261816-01	0.053106212	0
NCGC00260889-01	0.071476286	0
NCGC00260811-01	0.043086172	0
NCGC00261060-01	0.062792251	0
NCGC00261541-01	0.043754175	0
NCGC00261649-01	0.113560454	0
NCGC00261165-01	0.063126253	0
NCGC00261162-01	0.067134269	0
NCGC00261030-01	0.139445558	0
NCGC00260846-01	0.097528390	0
NCGC00261130-01	0.075985304	0
NCGC00261110-01	0.056412826	0
NCGC00261423-01	0.358717435	0
NCGC00261856-01	0.429859719	1
NCGC00261058-01	0.135604542	0
NCGC00261404-01	0.073981296	0
NCGC00261935-01	0.109886440	0
NCGC00261069-01	0.202237809	0
NCGC00261183-01	0.043553774	0
NCGC00261101-01	0.132565130	0
NCGC00261716-01	0.048229793	0
NCGC00260742-01	0.100200401	0
NCGC00261529-01	0.061122244	0
NCGC00261340-01	0.041082164	0
NCGC00261079-01	0.138276553	0
NCGC00260990-01	0.317134269	0
NCGC00261565-01	0.082832331	0
NCGC00261342-01	0.817301269	1
NCGC00261744-01	0.085337341	0
NCGC00261389-01	0.065965264	0
NCGC00261420-01	0.167000668	0
NCGC00261123-01	0.080828323	0
NCGC00261507-01	0.044255177	0
NCGC00261826-01	0.043253173	0
NCGC00260706-01	0.648964596	1
NCGC00261367-01	0.022545090	0
NCGC00261730-01	0.060788243	0
NCGC00261624-01	0.104208417	0
NCGC00261169-01	0.263694055	0
NCGC00261215-01	0.108049432	0
NCGC00261853-01	0.127087508	0
NCGC00260911-01	0.096192385	0
NCGC00261641-01	0.079659319	0
NCGC00261384-01	0.091683367	0
NCGC00261170-01	0.114729459	0
NCGC00260798-01	0.136272545	0
NCGC00261025-01	0.117568470	0
NCGC00260785-01	0.088176353	0
NCGC00261597-01	0.126085504	0
NCGC00261189-01	0.072812291	0
NCGC00260789-01	0.107548430	0
NCGC00261160-01	0.143286573	0
NCGC00260866-01	0.295925184	0
NCGC00261085-01	0.112558450	0
NCGC00261611-01	0.034736139	0
NCGC00261817-01	0.047929192	0
NCGC00261866-01	0.114228457	0
NCGC00261270-01	0.171342685	0
NCGC00261304-01	0.112892452	0
NCGC00260972-01	0.067969272	0
NCGC00260850-01	0.032398130	0
NCGC00261704-01	0.209051436	0
NCGC00261290-01	0.223413494	0
NCGC00261364-01	0.034736139	0
NCGC00261392-01	0.107849031	0
NCGC00260852-01	0.146793587	0
NCGC00261820-01	0.089011356	0
NCGC00260790-01	0.103206413	0
NCGC00261638-01	0.130594522	0
NCGC00260940-01	0.279392118	0
NCGC00261808-01	0.076820307	0
NCGC00261133-01	0.091482966	0
NCGC00261903-01	0.148296593	0
NCGC00261081-01	0.060955244	0
NCGC00261399-01	0.149799599	0
NCGC00260696-01	0.149298597	0
NCGC00261506-01	0.225450902	0
NCGC00260957-01	0.079158317	0
NCGC00261178-01	0.134268537	0
NCGC00261113-01	0.023380094	0
NCGC00260830-01	0.041082164	0
NCGC00261602-01	0.099031396	0
NCGC00261327-01	0.035404142	0
NCGC00261900-01	0.220607882	0
NCGC00261568-01	0.309285237	0
NCGC00261071-01	0.205410822	0
NCGC00261076-01	0.054776219	0
NCGC00261192-01	0.068303273	0
NCGC00261679-01	0.305945224	0
NCGC00260858-01	0.152972612	0
NCGC00261343-01	0.092017368	0
NCGC00261607-01	0.175517702	0
NCGC00261782-01	0.112224449	0
NCGC00261577-01	0.199064796	0
NCGC00261941-01	0.292084168	0
NCGC00261510-01	0.029058116	0
NCGC00261914-01	0.036406146	0
NCGC00261764-01	0.136272545	0
NCGC00260795-01	0.048897796	0
NCGC00261802-01	0.140781563	0
NCGC00261352-01	0.185203741	0
NCGC00261009-01	0.264696059	0
NCGC00261166-01	0.201402806	0
NCGC00261944-01	0.200233801	0
NCGC00261238-01	0.145958584	0
NCGC00261915-01	0.189044756	0
NCGC00261332-01	0.204909820	0
NCGC00261813-01	0.074482298	0
NCGC00261260-01	0.191215765	0
NCGC00261475-01	0.084168337	0
NCGC00261682-01	0.073814295	0
NCGC00261333-01	0.057915832	0
NCGC00261272-01	0.243820975	0
NCGC00260708-01	0.095023380	0
NCGC00261049-01	0.116900468	0
NCGC00260948-01	0.278223113	0
NCGC00260881-01	0.009018036	0
NCGC00260910-01	0.034068136	0
NCGC00261153-01	0.158917836	0
NCGC00261840-01	0.067635271	0
NCGC00261053-01	0.101703407	0
NCGC00261129-01	0.146292585	0
NCGC00261390-01	0.029392118	0
NCGC00261406-01	0.029058116	0
NCGC00261108-01	0.026553106	0
NCGC00260979-01	0.098363393	0
NCGC00261877-01	0.044422178	0
NCGC00260993-01	0.012024048	0
NCGC00261381-01	0.081496326	0
NCGC00261426-01	0.243453574	0
NCGC00260815-01	0.087842351	0
NCGC00261495-01	0.062124248	0
NCGC00261065-01	0.224448898	0
NCGC00261441-01	0.064629259	0
NCGC00261542-01	0.142618570	0
NCGC00260875-01	0.194889780	0
NCGC00261787-01	0.120240481	0
NCGC00261451-01	0.171509686	0
NCGC00260892-01	0.098363393	0
NCGC00261958-01	0.047094188	0
NCGC00261804-01	0.173480294	0
NCGC00261321-01	0.060788243	0
NCGC00261297-01	0.132431530	0
NCGC00261663-01	0.077154309	0
NCGC00261382-01	0.088677355	0
NCGC00261474-01	0.136439546	0
NCGC00261948-01	0.181028724	0
NCGC00260840-01	0.055611222	0
NCGC00260834-01	0.134435538	0
NCGC00260947-01	0.123413494	0
NCGC00260833-01	0.018036072	0
NCGC00261739-01	0.101369405	0
NCGC00260803-01	0.022044088	0
NCGC00261873-01	0.129258517	0
NCGC00261446-01	0.168837675	0
NCGC00261563-01	0.267702071	0
NCGC00260871-01	0.063927856	0
NCGC00261155-01	0.033567134	0
NCGC00261008-01	0.054108216	0
NCGC00261080-01	0.317969272	0
NCGC00261037-01	0.085337341	0
NCGC00261643-01	0.045090180	0
NCGC00261487-01	0.060120240	0
NCGC00261126-01	0.325818303	0
NCGC00261480-01	0.077488310	0
NCGC00260713-01	0.134602538	0
NCGC00260775-01	0.052772211	0
NCGC00261177-01	0.032064128	0
NCGC00261838-01	0.034736139	0
NCGC00260707-01	0.034068136	0
NCGC00261554-01	0.119906480	0
NCGC00261627-01	0.054108216	0
NCGC00260692-01	0.112224449	0
NCGC00261639-01	0.044756179	0
NCGC00261713-01	0.501336005	1
NCGC00261882-01	0.285571142	0
NCGC00261545-01	0.037575150	0
NCGC00261598-01	0.035738143	0
NCGC00260876-01	0.029726119	0
NCGC00261737-01	0.225116900	0
NCGC00261519-01	0.030728123	0
NCGC00261933-01	0.329993320	0
NCGC00261019-01	0.037408150	0
NCGC00261003-01	0.116900468	0
NCGC00260867-01	0.017034068	0
NCGC00261201-01	0.099164997	0
NCGC00261718-01	0.029726119	0
NCGC00261601-01	0.057782231	0
NCGC00261289-01	0.054108216	0
NCGC00260743-01	0.030060120	0
NCGC00261732-01	0.014028056	0
NCGC00260751-01	0.024048096	0
NCGC00261440-01	0.035070140	0
NCGC00261176-01	0.019706079	0
NCGC00261142-01	0.104876420	0
NCGC00260982-01	0.025050100	0
NCGC00261825-01	0.303941216	0
NCGC00261582-01	0.686372745	1
NCGC00261860-01	0.133767535	0
NCGC00260822-01	0.193386774	0
NCGC00261939-01	0.142284569	0
NCGC00261906-01	0.142618570	0
NCGC00261916-01	0.215430862	0
NCGC00261833-01	0.186706747	0
NCGC00261835-01	0.157481630	0
NCGC00261163-01	0.269205077	0
NCGC00261657-01	0.034068136	0
NCGC00261013-01	0.053774215	0
NCGC00261653-01	0.645958584	1
NCGC00260770-01	0.038744155	0
NCGC00261147-01	0.030394122	0
NCGC00261869-01	0.107047428	0
NCGC00261248-01	0.068804275	0
NCGC00261336-01	0.060454242	0
NCGC00261910-01	0.597261189	1
NCGC00261686-01	0.060387442	0
NCGC00260821-01	0.036138945	0
NCGC00261593-01	0.062625251	0
NCGC00261578-01	0.018370073	0
NCGC00261246-01	0.044088176	0
NCGC00261294-01	0.026887108	0
NCGC00260890-01	0.033734135	0
NCGC00261949-01	0.108049432	0
NCGC00261330-01	0.070808283	0
NCGC00261007-01	0.052605210	0
NCGC00260691-01	0.063460254	0
NCGC00261693-01	0.145958584	0
NCGC00261018-01	0.105678023	0
NCGC00261470-01	0.105210421	0
NCGC00261075-01	0.034134937	0
NCGC00261293-01	0.116032064	0
NCGC00261150-01	0.130928524	0
NCGC00261824-01	0.092317969	0
NCGC00261767-01	0.032565130	0
NCGC00261146-01	0.068470274	0
NCGC00261286-01	0.059953240	0
NCGC00261161-01	0.042752171	0
NCGC00261254-01	0.080828323	0
NCGC00260728-01	0.063460254	0
NCGC00261261-01	0.000000000	0
NCGC00261921-01	0.061790247	0
NCGC00260817-01	0.071142285	0
NCGC00261691-01	0.047762191	0
NCGC00260962-01	0.146292585	0
NCGC00261349-01	0.102204409	0
NCGC00261583-01	0.328323313	0
NCGC00261028-01	0.093520374	0
NCGC00261141-01	0.260487642	0
NCGC00261672-01	0.226786907	0
NCGC00261620-01	0.494321977	1
NCGC00261752-01	0.535704743	1
NCGC00261473-01	0.113560454	0
NCGC00261828-01	0.187541750	0
NCGC00357009-01	0.000000000	0
NCGC00357189-01	0.105878424	0
NCGC00261913-01	0.057581830	0
NCGC00357201-01	0.098864395	0
NCGC00357163-01	0.136940548	0
NCGC00357001-01	0.116566466	0
NCGC00356953-01	0.000000000	0
NCGC00357091-01	0.125918504	0
NCGC00357004-01	0.051770207	0
NCGC00357082-01	0.025718103	0
NCGC00357123-01	0.105210421	0
NCGC00357030-01	0.075818303	0
NCGC00357103-01	0.113894456	0
NCGC00357010-01	0.258183033	0
NCGC00357057-01	0.207414830	0
NCGC00357188-01	0.289245157	0
NCGC00356999-01	0.073313293	0
NCGC00357171-01	0.008684035	0
NCGC00356964-01	0.027054108	0
NCGC00356995-01	0.013026052	0
NCGC00357116-01	0.044088176	0
NCGC00357289-01	0.989979960	1
NCGC00357028-01	0.103206413	0
NCGC00357062-01	0.139412158	0
NCGC00357213-01	0.179358717	0
NCGC00357064-01	0.017034068	0
NCGC00357205-01	0.111890448	0
NCGC00357185-01	0.016366065	0
NCGC00357198-01	0.006012024	0
NCGC00357196-01	0.081162325	0
NCGC00357080-01	0.015831663	0
NCGC00357271-01	0.171509686	0
NCGC00356984-01	0.098864395	0
NCGC00357079-01	0.065798263	0
NCGC00357240-01	0.034068136	0
NCGC00357173-01	0.019438878	0
NCGC00357277-01	0.053273213	0
NCGC00357107-01	0.007682031	0
NCGC00357157-01	0.000000000	0
NCGC00357160-01	0.052104208	0
NCGC00357047-01	0.088176353	0
NCGC00357204-01	0.001402806	0
NCGC00357145-01	0.000000000	0
NCGC00357174-01	0.127588510	0
NCGC00357106-01	0.013694055	0
NCGC00357214-01	0.009418838	0
NCGC00357090-01	0.129592518	0
NCGC00357092-01	0.095591182	0
NCGC00357124-01	0.007014028	0
NCGC00357042-01	0.048563794	0
NCGC00357132-01	0.071943888	0
NCGC00357089-01	0.108216433	0
NCGC00357170-01	0.029058116	0
NCGC00357265-01	0.018236473	0
NCGC00357260-01	0.009018036	0
NCGC00356963-01	0.018036072	0
NCGC00357036-01	0.041082164	0
NCGC00356983-01	0.014428858	0
NCGC00357114-01	0.014094856	0
NCGC00357055-01	0.770541082	1
NCGC00357033-01	0.024048096	0
NCGC00357023-01	0.002004008	0
NCGC00357026-01	0.278223113	0
NCGC00357139-01	0.024716099	0
NCGC00357120-01	0.040080160	0
NCGC00357242-01	0.300601202	0
NCGC00357161-01	0.026720107	0
NCGC00356973-01	0.000000000	0
NCGC00356971-01	0.076152305	0
NCGC00357182-01	0.048096192	0
NCGC00357288-01	0.209418838	0
NCGC00357084-01	0.077221109	0
NCGC00357112-01	0.002004008	0
NCGC00357143-01	0.023714095	0
NCGC00357279-01	0.011022044	0
NCGC00357000-01	0.027388110	0
NCGC00356962-01	0.002004008	0
NCGC00356993-01	0.104709419	0
NCGC00357012-01	0.159318637	0
NCGC00356939-01	0.187374749	0
NCGC00356991-01	0.300601202	0
NCGC00357284-01	0.072311289	0
NCGC00356955-01	0.079492318	0
NCGC00357046-01	0.041883768	0
NCGC00357262-01	0.077154309	0
NCGC00357049-01	0.153306613	0
NCGC00357269-01	0.075818303	0
NCGC00357043-01	0.051436206	0
NCGC00357203-01	0.097194389	0
NCGC00357073-01	0.048764195	0
NCGC00261398-01	0.179358717	0
NCGC00357138-01	0.005010020	0
NCGC00357164-01	0.011022044	0
NCGC00357153-01	0.037074148	0
NCGC00357266-01	0.042084168	0
NCGC00357076-01	0.020040080	0
NCGC00357278-01	0.034235137	0
NCGC00356981-01	0.006012024	0
NCGC00357274-01	0.014829659	0
NCGC00357018-01	0.997995992	1
NCGC00357071-01	0.037408150	0
NCGC00356941-01	0.092184369	0
NCGC00357048-01	0.062124248	0
NCGC00357252-01	0.037742151	0
NCGC00357218-01	0.945223781	1
NCGC00357113-01	0.062124248	0
NCGC00357162-01	0.099198397	0
NCGC00356947-01	0.081496326	0
NCGC00357159-01	0.024114896	0
NCGC00357238-01	0.032398130	0
NCGC00357220-01	0.038142953	0
NCGC00357184-01	0.007682031	0
NCGC00357219-01	0.541583166	1
NCGC00357037-01	0.002004008	0
NCGC00356982-01	0.242150969	0
NCGC00356975-01	0.027054108	0
NCGC00357212-01	0.255177021	0
NCGC00357165-01	0.027454910	0
NCGC00357122-01	0.147962592	0
NCGC00357063-01	0.084836339	0
NCGC00357022-01	0.067134269	0
NCGC00357169-01	0.035971944	0
NCGC00357052-01	0.081295925	0
NCGC00357263-01	0.384769539	0
NCGC00356952-01	0.065931864	0
NCGC00357105-01	0.048764195	0
NCGC00356944-01	0.046092184	0
NCGC00357225-01	0.034736139	0
NCGC00356977-01	0.120574482	0
NCGC00357127-01	0.038744155	0
NCGC00357131-01	0.040080160	0
NCGC00357053-01	0.049766199	0
NCGC00357013-01	0.228790915	0
NCGC00357202-01	0.031730127	0
NCGC00357267-01	0.006680027	0
NCGC00356945-01	0.049098196	0
NCGC00357147-01	0.000000000	0
NCGC00356979-01	0.009352037	0
NCGC00357002-01	0.000000000	0
NCGC00357179-01	0.040814963	0
NCGC00356974-01	0.000000000	0
NCGC00357068-01	0.011022044	0
NCGC00356988-01	0.294589178	0
NCGC00357239-01	0.038076152	0
NCGC00356950-01	0.112725451	0
NCGC00356996-01	0.147962592	0
NCGC00357109-01	0.662324649	1
NCGC00356966-01	0.005010020	0
NCGC00357117-01	0.329458918	0
NCGC00356969-01	0.011690047	0
NCGC00357186-01	0.017702071	0
NCGC00357050-01	0.011690047	0
NCGC00357115-01	0.066933868	0
NCGC00357130-01	0.044422178	0
NCGC00357125-01	0.016032064	0
NCGC00356940-01	0.083166333	0
NCGC00357258-01	0.065130261	0
NCGC00356985-01	0.026720107	0
NCGC00356961-01	0.981963928	1
NCGC00357031-01	0.341683367	0
NCGC00357137-01	0.277555110	0
NCGC00356959-01	0.032064128	0
NCGC00357151-01	0.332999332	0
NCGC00357228-01	0.118570474	0
NCGC00357270-01	0.028724115	0
NCGC00357102-01	0.019038076	0
NCGC00357097-01	0.150300601	0
NCGC00357272-01	0.023446894	0
NCGC00357200-01	0.019539078	0
NCGC00357229-01	0.015831663	0
NCGC00356965-01	0.445223781	1
NCGC00357101-01	0.017034068	0
NCGC00357273-01	0.003006012	0
NCGC00357287-01	0.026553106	0
NCGC00357280-01	0.113727455	0
NCGC00357152-01	0.010020040	0
NCGC00357086-01	0.012692051	0
NCGC00357088-01	0.015030060	0
NCGC00357140-01	0.078557114	0
NCGC00357253-01	0.097027388	0
NCGC00357177-01	0.243653975	0
NCGC00357040-01	0.055110220	0
NCGC00357232-01	0.056780227	0
NCGC00357207-01	0.248496994	0
