Sample ID	Score	Activity
NCGC00261900-01	0.057413441	0
NCGC00260869-01	0.040644497	0
NCGC00261776-01	0.671808235	1
NCGC00261380-01	0.393993256	0
NCGC00261842-01	0.103231872	0
NCGC00261662-01	0.915626547	1
NCGC00260731-01	0.400680303	0
NCGC00261926-01	0.329254637	0
NCGC00261579-01	0.352919785	0
NCGC00261119-01	0.476967964	0
NCGC00260957-01	0.244058470	0
NCGC00261812-01	0.754749550	1
NCGC00260831-01	0.841760655	1
NCGC00261544-01	0.141444618	0
NCGC00261619-01	0.511384115	1
NCGC00261633-01	0.017710829	0
NCGC00261395-01	0.551881856	1
NCGC00261717-01	0.030906210	0
NCGC00261947-01	0.066494411	0
NCGC00261424-01	0.096462608	0
NCGC00261861-01	0.101415630	0
NCGC00261924-01	0.050969043	0
NCGC00261683-01	0.701911892	1
NCGC00261026-01	0.225993608	0
NCGC00261057-01	0.152135252	0
NCGC00261738-01	0.034668019	0
NCGC00261348-01	0.012762744	0
NCGC00261503-01	0.038282608	0
NCGC00260693-01	0.013834309	0
NCGC00260703-01	0.003580596	0
NCGC00260716-01	0.004447083	0
NCGC00260782-01	0.013423059	0
NCGC00260802-01	0.004600349	0
NCGC00260823-01	0.005101603	0
NCGC00261313-01	0.012021591	0
NCGC00260757-01	0.004610285	0
NCGC00260826-01	0.005806404	0
NCGC00261005-01	0.021807554	0
NCGC00260980-01	0.033520038	0
NCGC00261816-01	0.101417592	0
NCGC00260698-01	0.060238819	0
NCGC00260889-01	0.090818258	0
NCGC00260811-01	0.193623635	0
NCGC00261165-01	0.028490788	0
NCGC00261060-01	0.008910572	0
NCGC00261541-01	0.042358808	0
NCGC00261649-01	0.013639175	0
NCGC00261110-01	0.348279994	0
NCGC00261130-01	0.596327045	1
NCGC00261162-01	0.156908334	0
NCGC00261058-01	0.115651570	0
NCGC00261404-01	0.020303523	0
NCGC00261423-01	0.247635650	0
NCGC00261856-01	0.171498192	0
NCGC00261342-01	0.041621819	0
NCGC00261935-01	0.186211759	0
NCGC00261101-01	0.065249403	0
NCGC00261183-01	0.119046925	0
NCGC00261716-01	0.065874320	0
NCGC00260742-01	0.024313000	0
NCGC00261529-01	0.140672385	0
