Sample ID	Score	Activity
NCGC00261663-01	-0.108	0
NCGC00261367-01	-0.1049	0
NCGC00357044-01	-0.103	0
NCGC00357166-01	-0.0919	0
NCGC00260830-01	-0.073	0
NCGC00357163-01	-0.073	0
NCGC00357074-01	-0.0651	0
NCGC00357027-01	-0.0638	0
NCGC00357113-01	-0.0622	0
NCGC00357136-01	-0.0593	0
NCGC00356977-01	-0.0591	0
NCGC00261007-01	-0.0573	0
NCGC00356991-01	-0.0573	0
NCGC00261949-01	-0.0571	0
NCGC00261192-01	-0.0546	0
NCGC00356975-01	-0.0544	0
NCGC00356955-01	-0.0543	0
NCGC00261541-01	-0.0521	0
NCGC00261947-01	-0.0519	0
NCGC00260821-01	-0.0507	0
NCGC00261641-01	-0.0501	0
NCGC00261565-01	-0.05	0
NCGC00261507-01	-0.0495	0
NCGC00261744-01	-0.0494	0
NCGC00357245-01	-0.0492	0
NCGC00356966-01	-0.0481	0
NCGC00357120-01	-0.0461	0
NCGC00357105-01	-0.0459	0
NCGC00357256-01	-0.0458	0
NCGC00357182-01	-0.0455	0
NCGC00260881-01	-0.0427	0
NCGC00357123-01	-0.0423	0
NCGC00357061-01	-0.0411	0
NCGC00260698-01	-0.0393	0
NCGC00357170-01	-0.0384	0
NCGC00357070-01	-0.0384	0
NCGC00357203-01	-0.0379	0
NCGC00357032-01	-0.0366	0
NCGC00357131-01	-0.0365	0
NCGC00357283-01	-0.0363	0
NCGC00357159-01	-0.0358	0
NCGC00357179-01	-0.0342	0
NCGC00357262-01	-0.034	0
NCGC00261126-01	-0.0338	0
NCGC00357040-01	-0.0337	0
NCGC00357004-01	-0.0333	0
NCGC00357036-01	-0.0331	0
NCGC00357218-01	-0.0328	0
NCGC00261861-01	-0.0304	0
NCGC00357108-01	-0.0304	0
NCGC00357251-01	-0.0304	0
NCGC00357107-01	-0.03	0
NCGC00357068-01	-0.0299	0
NCGC00357141-01	-0.0291	0
NCGC00357150-01	-0.0286	0
NCGC00357225-01	-0.0282	0
NCGC00261873-01	-0.0271	0
NCGC00357265-01	-0.0267	0
NCGC00261716-01	-0.0263	0
NCGC00261639-01	-0.0263	0
NCGC00356982-01	-0.0261	0
NCGC00260743-01	-0.0256	0
NCGC00357168-01	-0.025	0
NCGC00357193-01	-0.0245	0
NCGC00356981-01	-0.0233	0
NCGC00356947-01	-0.0229	0
NCGC00357227-01	-0.0228	0
NCGC00357049-01	-0.0226	0
NCGC00357050-01	-0.0222	0
NCGC00261933-01	-0.022	0
NCGC00357143-01	-0.0219	0
NCGC00357086-01	-0.0217	0
NCGC00260693-01	-0.0208	0
NCGC00357034-01	-0.0207	0
NCGC00357133-01	-0.0205	0
NCGC00357252-01	-0.0204	0
NCGC00260703-01	-0.0194	0
NCGC00357266-01	-0.0194	0
NCGC00261147-01	-0.0189	0
NCGC00357244-01	-0.0177	0
NCGC00357272-01	-0.0166	0
NCGC00357005-01	-0.016	0
NCGC00357100-01	-0.0158	0
NCGC00261398-01	-0.0157	0
NCGC00357030-01	-0.0149	0
NCGC00356995-01	-0.0148	0
NCGC00261633-01	-0.0147	0
NCGC00357213-01	-0.0142	0
NCGC00357089-01	-0.014	0
NCGC00357006-01	-0.012	0
NCGC00357063-01	-0.0115	0
NCGC00260751-01	-0.0112	0
NCGC00261404-01	-0.0108	0
NCGC00261563-01	-0.0108	0
NCGC00357124-01	-0.0108	0
NCGC00356979-01	-0.0107	0
NCGC00357194-01	-0.0107	0
NCGC00356997-01	-0.0102	0
NCGC00357035-01	-0.0097	0
NCGC00357214-01	-0.0094	0
NCGC00357016-01	-0.0092	0
NCGC00357274-01	-0.009	0
NCGC00357007-01	-0.0089	0
