Sample ID	Score	Activity
NCGC00261900-01	0.022516241	0
NCGC00260869-01	0.008231822	0
NCGC00261776-01	0.010125973	0
NCGC00261380-01	0.010657863	0
NCGC00261842-01	0.011142195	0
NCGC00261662-01	0.041666553	0
NCGC00261190-01	0.046413076	0
NCGC00260731-01	0.055407481	0
NCGC00261926-01	0.015408121	0
NCGC00261579-01	0.016332725	0
NCGC00260921-01	0.036563866	0
NCGC00261119-01	0.006486380	0
NCGC00260957-01	0.045916844	0
NCGC00261812-01	0.016023295	0
NCGC00260831-01	0.043692215	0
NCGC00261544-01	0.018675184	0
NCGC00261619-01	0.020724017	0
NCGC00261633-01	0.006875836	0
NCGC00261395-01	0.011999015	0
NCGC00261717-01	0.050836525	0
NCGC00261947-01	0.023327668	0
NCGC00261424-01	0.945238299	1
NCGC00261861-01	0.330424217	1
NCGC00261924-01	0.042623702	0
NCGC00261052-01	0.012972456	0
NCGC00261683-01	0.010494883	0
NCGC00261026-01	0.019194274	0
NCGC00261057-01	0.005949052	0
NCGC00261738-01	0.005978405	0
NCGC00261348-01	0.005846697	0
NCGC00261503-01	0.005921601	0
NCGC00260693-01	0.005877764	0
NCGC00260703-01	0.005850204	0
NCGC00260716-01	0.005837427	0
NCGC00260782-01	0.005897788	0
NCGC00260802-01	0.005860130	0
NCGC00260823-01	0.005858389	0
NCGC00261313-01	0.005891961	0
NCGC00260757-01	0.005852010	0
NCGC00260826-01	0.005852792	0
NCGC00261005-01	0.005878762	0
NCGC00260980-01	0.006228605	0
NCGC00261816-01	0.009768709	0
NCGC00260698-01	0.007823207	0
NCGC00260889-01	0.006074455	0
NCGC00260811-01	0.007374273	0
NCGC00261165-01	0.006021036	0
NCGC00261060-01	0.005855492	0
NCGC00261541-01	0.005969467	0
NCGC00261649-01	0.005851829	0
NCGC00261110-01	0.007857176	0
NCGC00261130-01	0.027956147	0
NCGC00260846-01	0.008638474	0
NCGC00261030-01	0.010414891	0
NCGC00261162-01	0.030952738	0
NCGC00261058-01	0.081075302	0
NCGC00261404-01	0.007778974	0
NCGC00261423-01	0.010164128	0
NCGC00261856-01	0.013825936	0
NCGC00261342-01	0.210528909	0
NCGC00261935-01	0.006456071	0
NCGC00261069-01	0.047438788	0
NCGC00261101-01	0.010836004	0
NCGC00261183-01	0.016783502	0
NCGC00261716-01	0.006152178	0
NCGC00260742-01	0.006972260	0
NCGC00261529-01	0.008793553	0
NCGC00261170-01	0.011705710	0
NCGC00261565-01	0.008893515	0
NCGC00260990-01	0.071199152	0
NCGC00261340-01	0.012674892	0
NCGC00261079-01	0.006398118	0
NCGC00261389-01	0.006251164	0
NCGC00261744-01	0.007198507	0
NCGC00261420-01	0.006599594	0
NCGC00261215-01	0.007338801	0
NCGC00261826-01	0.006286576	0
NCGC00260706-01	0.007425662	0
NCGC00261123-01	0.018773863	0
NCGC00261367-01	0.005991764	0
NCGC00261507-01	0.005978615	0
NCGC00261169-01	0.009078842	0
NCGC00261730-01	0.006171824	0
NCGC00261624-01	0.006151722	0
NCGC00261641-01	0.006419681	0
NCGC00261853-01	0.097590653	0
NCGC00260911-01	0.009024093	0
NCGC00260798-01	0.011106461	0
NCGC00261384-01	0.007187098	0
NCGC00260785-01	0.016606166	0
NCGC00261597-01	0.013192135	0
NCGC00261025-01	0.006121760	0
NCGC00260789-01	0.006553820	0
NCGC00260866-01	0.007974258	0
NCGC00261189-01	0.006803539	0
NCGC00261270-01	0.036662212	0
NCGC00261611-01	0.007709939	0
NCGC00261160-01	0.083813391	0
NCGC00261085-01	0.005885687	0
NCGC00261817-01	0.007962615	0
NCGC00261866-01	0.006263627	0
NCGC00260852-01	0.006492299	0
NCGC00261290-01	0.007491008	0
NCGC00261304-01	0.025526413	0
NCGC00261704-01	0.008563722	0
NCGC00260850-01	0.008016430	0
NCGC00260972-01	0.007034732	0
NCGC00261364-01	0.006021114	0
NCGC00261392-01	0.006953681	0
NCGC00261638-01	0.006635551	0
NCGC00261820-01	0.005858621	0
NCGC00261808-01	0.006041115	0
NCGC00260790-01	0.007308863	0
NCGC00260940-01	0.015871312	0
NCGC00261081-01	0.007316795	0
NCGC00261506-01	0.023808160	0
NCGC00261133-01	0.007394505	0
NCGC00261399-01	0.011190912	0
NCGC00260696-01	0.013865361	0
NCGC00261903-01	0.023145062	0
NCGC00261178-01	0.019218347	0
NCGC00261568-01	0.007214265	0
NCGC00260830-01	0.005977574	0
NCGC00261113-01	0.005899971	0
NCGC00261327-01	0.005863935	0
NCGC00261602-01	0.006238319	0
NCGC00260858-01	0.101977960	0
NCGC00261071-01	0.014549153	0
NCGC00261076-01	0.006064877	0
NCGC00261192-01	0.006786764	0
NCGC00261495-01	0.007234135	0
NCGC00261577-01	0.064394105	0
NCGC00261510-01	0.007501775	0
NCGC00261679-01	0.010251570	0
NCGC00261941-01	0.010687801	0
NCGC00261343-01	0.007550209	0
NCGC00261607-01	0.006929082	0
NCGC00261782-01	0.008845184	0
NCGC00261914-01	0.006782970	0
NCGC00261475-01	0.025639072	0
NCGC00261764-01	0.045545197	0
NCGC00261802-01	0.167319727	0
NCGC00261813-01	0.007161105	0
NCGC00260795-01	0.008569795	0
NCGC00261352-01	0.090305143	0
NCGC00261009-01	0.012501351	0
NCGC00261944-01	0.008958707	0
NCGC00261166-01	0.165998464	0
NCGC00261332-01	0.028272136	0
NCGC00261333-01	0.009676759	0
NCGC00261260-01	0.402306172	1
NCGC00261915-01	0.011137199	0
NCGC00261238-01	0.011527775	0
NCGC00261682-01	0.006854250	0
NCGC00261049-01	0.008985718	0
NCGC00260910-01	0.007025090	0
NCGC00261272-01	0.009969677	0
NCGC00260708-01	0.005842646	0
NCGC00261390-01	0.005838060	0
NCGC00260948-01	0.005858844	0
NCGC00261840-01	0.008002153	0
NCGC00260881-01	0.006101123	0
NCGC00261153-01	0.007658568	0
NCGC00261406-01	0.006018433	0
NCGC00261053-01	0.005842148	0
NCGC00261129-01	0.005860094	0
NCGC00261381-01	0.011957559	0
NCGC00261426-01	0.023868624	0
NCGC00260979-01	0.008322046	0
NCGC00260993-01	0.008661384	0
NCGC00261108-01	0.006858304	0
NCGC00261441-01	0.007898172	0
NCGC00261877-01	0.006574532	0
NCGC00260815-01	0.006562552	0
NCGC00261542-01	0.013843207	0
NCGC00261958-01	0.006587272	0
NCGC00261787-01	0.007335895	0
NCGC00261065-01	0.197460386	0
NCGC00261804-01	0.036064145	0
NCGC00260875-01	0.031721218	0
NCGC00261451-01	0.009997578	0
NCGC00261739-01	0.016674062	0
NCGC00261948-01	0.101662168	0
NCGC00261382-01	0.010902467	0
NCGC00261663-01	0.006239044	0
NCGC00260892-01	0.007746854	0
NCGC00261297-01	0.006626423	0
NCGC00261321-01	0.007336308	0
NCGC00261446-01	0.011702534	0
NCGC00261474-01	0.006200735	0
NCGC00260834-01	0.009866716	0
NCGC00260840-01	0.008005418	0
NCGC00260947-01	0.014314859	0
NCGC00261080-01	0.007857939	0
NCGC00261563-01	0.008041188	0
NCGC00261873-01	0.009488594	0
NCGC00260803-01	0.009775311	0
NCGC00260833-01	0.008919105	0
NCGC00261008-01	0.007151725	0
NCGC00261155-01	0.006585654	0
NCGC00261643-01	0.008135124	0
NCGC00261037-01	0.006014247	0
NCGC00261126-01	0.034333860	0
NCGC00260871-01	0.036079134	0
NCGC00260713-01	0.008934616	0
NCGC00261487-01	0.047230505	0
NCGC00261545-01	0.014344383	0
NCGC00261480-01	0.006539490	0
NCGC00261838-01	0.006518004	0
NCGC00261627-01	0.007170527	0
NCGC00261639-01	0.005954856	0
NCGC00261177-01	0.006136802	0
NCGC00260692-01	0.005863541	0
NCGC00260775-01	0.005901530	0
NCGC00260876-01	0.005934114	0
NCGC00261598-01	0.005862492	0
NCGC00260707-01	0.008987428	0
NCGC00261554-01	0.012559530	0
NCGC00261713-01	0.024763152	0
NCGC00261737-01	0.793520910	1
NCGC00261882-01	0.188753245	0
NCGC00261933-01	0.075242709	0
NCGC00261201-01	0.007457772	0
NCGC00261398-01	0.025997277	0
NCGC00261601-01	0.010937456	0
NCGC00261003-01	0.006111000	0
NCGC00261019-01	0.006229117	0
NCGC00261519-01	0.005861856	0
NCGC00261732-01	0.005883026	0
NCGC00261718-01	0.006605500	0
NCGC00260743-01	0.005940867	0
NCGC00260751-01	0.005843262	0
NCGC00260867-01	0.005862024	0
NCGC00260982-01	0.006076177	0
NCGC00261176-01	0.006000323	0
NCGC00261289-01	0.006477744	0
NCGC00261440-01	0.005992928	0
NCGC00261657-01	0.005848408	0
NCGC00260822-01	0.081440740	0
NCGC00261142-01	0.110325487	0
NCGC00261582-01	0.271389443	1
NCGC00261825-01	0.655447107	1
NCGC00261833-01	0.166818396	0
NCGC00261835-01	0.013841614	0
NCGC00261860-01	0.545926796	1
NCGC00261906-01	0.280551614	1
NCGC00261916-01	0.305746747	1
NCGC00261939-01	0.523996774	1
NCGC00261869-01	0.006489430	0
NCGC00261163-01	0.082711252	0
NCGC00261653-01	0.262694547	1
NCGC00261248-01	0.006093037	0
NCGC00260770-01	0.005914133	0
NCGC00261013-01	0.009945255	0
NCGC00261910-01	0.210808771	0
NCGC00261686-01	0.006006925	0
NCGC00261147-01	0.007981339	0
NCGC00261578-01	0.007538010	0
NCGC00261336-01	0.006047807	0
NCGC00261593-01	0.014018417	0
NCGC00260821-01	0.006051141	0
NCGC00261007-01	0.005858693	0
NCGC00261246-01	0.005859574	0
NCGC00261949-01	0.005875012	0
NCGC00260890-01	0.006766831	0
NCGC00261294-01	0.005863782	0
NCGC00261330-01	0.006082525	0
NCGC00261470-01	0.009761429	0
NCGC00260691-01	0.005935037	0
NCGC00261693-01	0.006425314	0
NCGC00261293-01	0.008218238	0
NCGC00261018-01	0.006259337	0
NCGC00261075-01	0.006454183	0
NCGC00261150-01	0.009599481	0
NCGC00261767-01	0.044534190	0
NCGC00261824-01	0.006313243	0
NCGC00261146-01	0.005913867	0
NCGC00260817-01	0.005905091	0
NCGC00261161-01	0.006024115	0
NCGC00260728-01	0.006117629	0
NCGC00261286-01	0.007973855	0
NCGC00261254-01	0.024542070	0
NCGC00261261-01	0.009677211	0
NCGC00261691-01	0.018712558	0
NCGC00261921-01	0.010317518	0
NCGC00260962-01	0.008284715	0
NCGC00261028-01	0.006880874	0
NCGC00261349-01	0.006632762	0
NCGC00261583-01	0.015280800	0
NCGC00261672-01	0.006953345	0
NCGC00261620-01	0.007388523	0
NCGC00261141-01	0.016953033	0
NCGC00261752-01	0.015074886	0
NCGC00261828-01	0.025388713	0
NCGC00261913-01	0.006389299	0
NCGC00261473-01	0.006178048	0
NCGC00356953-01	0.059053620	0
NCGC00357009-01	0.000000000	0
NCGC00357188-01	0.065218990	0
NCGC00357201-01	0.000000000	0
NCGC00357189-01	0.000000000	0
NCGC00357163-01	0.006128061	0
NCGC00357001-01	0.007154495	0
NCGC00357030-01	0.006178528	0
NCGC00357123-01	0.009665500	0
NCGC00357091-01	0.006514310	0
NCGC00357004-01	0.005946512	0
NCGC00357103-01	0.005898675	0
NCGC00357289-01	0.023332623	0
NCGC00357082-01	0.022128130	0
NCGC00356999-01	0.006025130	0
NCGC00357116-01	0.006367153	0
NCGC00357010-01	0.006185570	0
NCGC00357057-01	0.099927067	0
NCGC00357171-01	0.005998340	0
NCGC00356964-01	0.006069375	0
NCGC00356995-01	0.019476502	0
NCGC00357062-01	0.032751934	0
NCGC00357205-01	0.006938990	0
NCGC00357185-01	0.006443754	0
NCGC00357028-01	0.009414324	0
NCGC00357064-01	0.005996931	0
NCGC00357196-01	0.028584102	0
NCGC00357271-01	0.250707417	1
NCGC00357213-01	0.006439640	0
NCGC00357198-01	0.006047385	0
NCGC00357079-01	0.005870468	0
NCGC00356984-01	0.110722800	0
NCGC00357080-01	0.006099111	0
NCGC00357173-01	0.005849311	0
NCGC00357277-01	0.006111798	0
NCGC00357240-01	0.006023962	0
NCGC00357145-01	0.005923085	0
NCGC00357157-01	0.005841730	0
NCGC00357160-01	0.006135524	0
NCGC00357107-01	0.005864279	0
NCGC00357106-01	0.005908213	0
NCGC00357047-01	0.013314553	0
NCGC00357174-01	0.017615214	0
NCGC00357090-01	0.011393251	0
NCGC00357204-01	0.005896865	0
NCGC00357214-01	0.006062271	0
NCGC00357124-01	0.006010416	0
NCGC00356983-01	0.006409690	0
NCGC00357092-01	0.005844361	0
NCGC00357042-01	0.005838488	0
NCGC00357036-01	0.005937599	0
NCGC00357089-01	0.010083296	0
NCGC00357170-01	0.028239952	0
NCGC00357132-01	0.121535440	0
NCGC00357265-01	0.005877254	0
NCGC00357260-01	0.005894933	0
NCGC00357023-01	0.006141915	0
NCGC00357114-01	0.006092434	0
NCGC00357033-01	0.005858730	0
NCGC00357120-01	0.005985364	0
NCGC00356963-01	0.005864685	0
NCGC00357055-01	0.026644896	0
NCGC00357139-01	0.006028440	0
NCGC00357026-01	0.011086974	0
NCGC00357242-01	0.211564595	0
NCGC00357161-01	0.005999373	0
NCGC00357279-01	0.005990822	0
NCGC00357288-01	0.264849847	1
NCGC00356973-01	0.005936102	0
NCGC00357143-01	0.005946120	0
NCGC00357182-01	0.005846741	0
NCGC00356971-01	0.005855877	0
NCGC00357084-01	0.005944413	0
NCGC00357112-01	0.006883727	0
NCGC00356962-01	0.000000000	0
NCGC00356993-01	0.008120703	0
NCGC00357284-01	0.030803789	0
NCGC00357046-01	0.016691517	0
NCGC00357000-01	0.006431918	0
NCGC00357012-01	0.043573453	0
NCGC00356939-01	0.017621403	0
NCGC00356955-01	0.048808860	0
NCGC00357262-01	0.526548361	1
NCGC00356991-01	0.015424938	0
NCGC00357203-01	0.752126376	1
NCGC00357049-01	0.006149357	0
NCGC00357164-01	0.006256525	0
NCGC00357073-01	0.006566390	0
NCGC00357043-01	0.006009667	0
NCGC00357269-01	0.005800361	0
NCGC00357266-01	0.005893164	0
NCGC00357076-01	0.005841801	0
NCGC00357153-01	0.005977349	0
NCGC00357138-01	0.005851011	0
NCGC00357071-01	0.005847711	0
NCGC00357274-01	0.006177819	0
NCGC00356981-01	0.000000000	0
NCGC00357278-01	0.006001264	0
NCGC00357113-01	0.005942427	0
NCGC00357218-01	0.939518938	1
NCGC00357018-01	1.000000000	1
NCGC00357048-01	0.005839064	0
NCGC00357162-01	0.005860806	0
NCGC00356941-01	0.005844157	0
NCGC00357184-01	0.005849891	0
NCGC00357238-01	0.066422051	0
NCGC00357220-01	0.007490337	0
NCGC00357252-01	0.006404994	0
NCGC00357159-01	0.005877924	0
NCGC00356947-01	0.005852485	0
NCGC00357063-01	0.005838173	0
NCGC00356982-01	0.005949018	0
NCGC00357219-01	0.005863460	0
NCGC00357037-01	0.005926516	0
NCGC00356975-01	0.005899173	0
NCGC00357169-01	0.005863842	0
NCGC00357022-01	0.006005330	0
NCGC00357165-01	0.005877254	0
NCGC00357122-01	0.008765457	0
NCGC00357212-01	0.006074525	0
NCGC00357263-01	0.027255271	0
NCGC00357052-01	0.026301889	0
NCGC00356952-01	0.005951907	0
NCGC00357225-01	0.005982848	0
NCGC00357105-01	0.005945930	0
NCGC00356944-01	0.005939132	0
NCGC00356977-01	0.006618143	0
NCGC00357053-01	0.005920475	0
NCGC00357202-01	0.006029484	0
NCGC00357013-01	0.016801903	0
NCGC00357131-01	0.005852031	0
NCGC00357127-01	0.005915494	0
NCGC00357147-01	0.000000000	0
NCGC00357267-01	0.005844301	0
NCGC00356979-01	0.005855450	0
NCGC00357179-01	0.005883423	0
NCGC00356945-01	0.005843111	0
NCGC00357068-01	0.005869157	0
NCGC00357002-01	0.012954709	0
NCGC00356974-01	0.006058779	0
NCGC00357109-01	0.147622246	0
NCGC00356988-01	0.015313025	0
NCGC00357117-01	0.013224461	0
NCGC00357239-01	0.000000000	0
NCGC00356961-01	0.000000000	0
NCGC00356966-01	0.005854152	0
NCGC00356996-01	0.005839675	0
NCGC00356950-01	0.007584200	0
NCGC00356969-01	0.005869875	0
NCGC00357050-01	0.005854552	0
NCGC00357258-01	0.005880213	0
NCGC00357186-01	0.005842877	0
NCGC00357115-01	0.005904796	0
NCGC00356940-01	0.046105254	0
NCGC00357130-01	0.006686748	0
NCGC00356959-01	0.007704050	0
NCGC00356985-01	0.006583790	0
NCGC00357125-01	0.005891490	0
NCGC00357270-01	0.005834651	0
NCGC00357031-01	0.006119711	0
NCGC00357137-01	0.006069059	0
NCGC00357102-01	0.005863882	0
NCGC00357228-01	0.006112348	0
NCGC00356965-01	0.059442729	0
NCGC00357151-01	0.008121484	0
NCGC00357280-01	0.035368350	0
NCGC00357097-01	0.010663271	0
