Sample ID	Score	Activity
NCGC00261776-01	-1.757	0
NCGC00261380-01	-2.236	0
NCGC00261842-01	-1.909	0
NCGC00261662-01	-0.553	0
NCGC00261190-01	0.936	1
NCGC00260731-01	-2.039	0
NCGC00261926-01	-1.697	0
NCGC00261579-01	-1.775	0
NCGC00260921-01	-0.709	0
NCGC00261119-01	-2.706	0
NCGC00261812-01	0.095	1
NCGC00260831-01	-0.451	0
NCGC00261544-01	-0.511	0
NCGC00261619-01	-3.065	0
NCGC00261395-01	-0.449	0
NCGC00261717-01	1.283	1
NCGC00261947-01	0.598	1
NCGC00261424-01	7.742	1
NCGC00261861-01	1.627	1
NCGC00261924-01	0.014	1
NCGC00261026-01	-3.152	0
NCGC00261057-01	-3.231	0
NCGC00261738-01	-2.475	0
NCGC00261348-01	-2.497	0
NCGC00261503-01	-3.576	0
NCGC00260693-01	-1.695	0
NCGC00260703-01	-1.637	0
NCGC00260716-01	-1.507	0
NCGC00260782-01	-1.371	0
NCGC00260802-01	-0.84	0
NCGC00260823-01	0.406	1
NCGC00260757-01	-0.853	0
NCGC00260826-01	-0.606	0
NCGC00260889-01	-2.814	0
NCGC00260811-01	-1.914	0
NCGC00261165-01	-3.639	0
NCGC00261060-01	-2.053	0
NCGC00261541-01	-2.013	0
NCGC00261649-01	-1.942	0
NCGC00261110-01	-0.201	0
NCGC00261130-01	1.018	1
NCGC00260846-01	-1.58	0
NCGC00261030-01	-1.739	0
NCGC00261162-01	0.665	1
NCGC00261058-01	-0.403	0
NCGC00261404-01	-0.05	0
NCGC00261423-01	-1.68	0
NCGC00261856-01	-1.484	0
NCGC00261342-01	1.823	1
NCGC00261069-01	-0.539	0
NCGC00261101-01	-1.155	0
NCGC00261716-01	-2.579	0
NCGC00260742-01	-3.123	0
NCGC00261529-01	-0.477	0
NCGC00261170-01	-1.645	0
NCGC00261565-01	-2.677	0
NCGC00260990-01	-1.095	0
NCGC00261340-01	-0.284	0
NCGC00261079-01	-1.954	0
NCGC00261389-01	-2.599	0
NCGC00261744-01	-2.053	0
NCGC00261420-01	-3.088	0
NCGC00261215-01	-3.71	0
NCGC00261826-01	-1.748	0
NCGC00261123-01	-1.116	0
NCGC00261367-01	-3.904	0
NCGC00261507-01	-4.366	0
NCGC00261169-01	-2.707	0
NCGC00261730-01	-4.303	0
NCGC00261624-01	-2.58	0
NCGC00261641-01	-1.189	0
NCGC00261853-01	-0.928	0
NCGC00260911-01	-2.104	0
NCGC00261384-01	-1.508	0
NCGC00260785-01	-2.815	0
NCGC00261025-01	-1.604	0
NCGC00260789-01	-2.366	0
NCGC00260866-01	-3.032	0
NCGC00261189-01	-2.915	0
NCGC00261270-01	-1.192	0
NCGC00261611-01	-2.301	0
NCGC00261817-01	-1.78	0
NCGC00261866-01	-0.818	0
NCGC00260852-01	-2.549	0
NCGC00261290-01	-1.339	0
NCGC00261304-01	-2.12	0
NCGC00261704-01	-2.427	0
NCGC00260850-01	-2.487	0
NCGC00260972-01	-2.448	0
NCGC00261392-01	-3.607	0
NCGC00261638-01	-0.967	0
NCGC00261820-01	-2.501	0
NCGC00261808-01	-2.959	0
NCGC00260790-01	-3.182	0
NCGC00260940-01	-4.133	0
NCGC00261081-01	-1.657	0
NCGC00261506-01	-3.532	0
NCGC00261133-01	-3.303	0
NCGC00261399-01	-3.269	0
NCGC00260696-01	-0.199	0
NCGC00261903-01	-1.192	0
NCGC00261178-01	-1.733	0
NCGC00261568-01	-4.682	0
NCGC00260830-01	-4.211	0
NCGC00261113-01	-2.529	0
NCGC00261327-01	-4.236	0
NCGC00261602-01	-3.265	0
NCGC00260858-01	-1.169	0
NCGC00261071-01	-1.927	0
NCGC00261076-01	-3.089	0
NCGC00261192-01	-3.071	0
NCGC00261577-01	-2.205	0
NCGC00261510-01	-2.495	0
NCGC00261679-01	-0.989	0
NCGC00261941-01	-2.137	0
NCGC00261343-01	-2.413	0
NCGC00261607-01	-2.103	0
NCGC00261782-01	-2.995	0
NCGC00261475-01	0.609	1
NCGC00261764-01	-1.274	0
NCGC00261802-01	-2.33	0
NCGC00261813-01	-3.36	0
NCGC00260795-01	0.631	1
NCGC00261352-01	-0.737	0
NCGC00261009-01	-2.475	0
NCGC00261944-01	-3.244	0
NCGC00261166-01	-0.305	0
NCGC00261332-01	-1.431	0
NCGC00261333-01	-3.062	0
NCGC00261260-01	-0.052	0
NCGC00261915-01	-0.63	0
NCGC00261682-01	-4.621	0
NCGC00260910-01	-3.278	0
NCGC00261272-01	-0.407	0
NCGC00260708-01	-1.892	0
NCGC00261390-01	-1.448	0
NCGC00260948-01	-1.075	0
NCGC00261840-01	-1.609	0
NCGC00261153-01	-0.25	0
NCGC00261406-01	-0.71	0
NCGC00261053-01	-2.294	0
NCGC00261129-01	-1.417	0
NCGC00261381-01	-0.964	0
NCGC00261426-01	-2.199	0
NCGC00260979-01	-2.725	0
NCGC00260993-01	-2.871	0
NCGC00261108-01	-2.152	0
NCGC00261877-01	-4.148	0
NCGC00261542-01	-1.728	0
NCGC00261787-01	-0.782	0
NCGC00261065-01	-0.41	0
NCGC00261804-01	1.483	1
NCGC00260875-01	-1.471	0
NCGC00261451-01	-5.589	0
NCGC00261948-01	-4.628	0
NCGC00261382-01	-5.268	0
NCGC00261297-01	-1.121	0
NCGC00261321-01	0.673	1
