Sample ID	Score	Activity
NCGC00260691	0.18495	0
NCGC00260692	0.09794	0
NCGC00260693	0.18490	0
NCGC00260696	0.52951	1
NCGC00260698	0.43564	0
NCGC00260703	0.16568	0
NCGC00260706	0.22729	0
NCGC00260707	0.51176	1
NCGC00260708	0.07126	0
NCGC00260713	0.35274	0
NCGC00260716	0.08524	0
NCGC00260728	0.18717	0
NCGC00260731	0.35849	0
NCGC00260742	0.39924	0
NCGC00260743	0.13228	0
NCGC00260751	0.13991	0
NCGC00260757	0.08950	0
NCGC00260770	0.14103	0
NCGC00260775	0.08769	0
NCGC00260782	0.16816	0
NCGC00260785	0.40593	0
NCGC00260789	0.33648	0
NCGC00260790	0.31142	0
NCGC00260795	0.52807	1
NCGC00260798	0.51595	1
NCGC00260802	0.13573	0
NCGC00260803	0.33947	0
NCGC00260811	0.36959	0
NCGC00260815	0.32399	0
NCGC00260817	0.21384	0
NCGC00260821	0.26272	0
NCGC00260822	0.66632	1
NCGC00260823	0.13880	0
NCGC00260826	0.12159	0
NCGC00260830	0.29795	0
NCGC00260831	0.42186	0
NCGC00260833	0.35640	0
NCGC00260834	0.40158	0
NCGC00260840	0.39695	0
NCGC00260846	0.32419	0
NCGC00260850	0.44957	0
NCGC00260852	0.28116	0
NCGC00260858	0.63235	1
NCGC00260866	0.32419	0
NCGC00260867	0.08507	0
NCGC00260869	0.30504	0
NCGC00260871	0.44137	0
NCGC00260875	0.39172	0
NCGC00260876	0.05671	0
NCGC00260881	0.11920	0
NCGC00260889	0.30138	0
NCGC00260890	0.45350	0
NCGC00260892	0.47114	0
NCGC00260910	0.42402	0
NCGC00260911	0.37141	0
NCGC00260921	0.43048	0
NCGC00260940	0.38486	0
NCGC00260947	0.44740	0
NCGC00260948	0.12061	0
NCGC00260957	0.61691	1
NCGC00260962	0.36734	0
NCGC00260972	0.46193	0
NCGC00260979	0.33594	0
NCGC00260980	0.49248	0
NCGC00260982	0.25372	0
NCGC00260990	0.64856	1
NCGC00260993	0.27062	0
NCGC00261003	0.30478	0
NCGC00261005	0.16437	0
NCGC00261007	0.17974	0
NCGC00261008	0.37753	0
NCGC00261009	0.46798	0
NCGC00261013	0.45629	0
NCGC00261018	0.29503	0
NCGC00261019	0.29041	0
NCGC00261025	0.33203	0
NCGC00261026	0.44153	0
NCGC00261028	0.24535	0
NCGC00261030	0.36043	0
NCGC00261037	0.32160	0
NCGC00261049	0.36494	0
NCGC00261052	0.39760	0
NCGC00261053	0.17096	0
NCGC00261057	0.35538	0
NCGC00261058	0.52785	1
NCGC00261060	0.17168	0
NCGC00261065	0.47198	0
NCGC00261071	0.48636	0
NCGC00261075	0.49303	0
NCGC00261076	0.20965	0
NCGC00261079	0.45847	0
NCGC00261080	0.42830	0
NCGC00261081	0.39073	0
NCGC00261085	0.18358	0
NCGC00261101	0.46833	0
NCGC00261108	0.25689	0
NCGC00261110	0.47631	0
NCGC00261113	0.27539	0
NCGC00261119	0.35669	0
NCGC00261123	0.46459	0
NCGC00261129	0.17637	0
NCGC00261130	0.60730	1
NCGC00261133	0.44059	0
NCGC00261141	0.53567	1
NCGC00261142	0.51934	1
NCGC00261146	0.18112	0
NCGC00261147	0.53054	1
NCGC00261150	0.49540	0
NCGC00261153	0.43991	0
NCGC00261155	0.28250	0
NCGC00261160	0.45320	0
NCGC00261161	0.27384	0
NCGC00261162	0.53045	1
NCGC00261163	0.60747	1
NCGC00261165	0.31527	0
NCGC00261166	0.45571	0
NCGC00261169	0.41941	0
NCGC00261170	0.39292	0
NCGC00261176	0.13007	0
NCGC00261177	0.12830	0
NCGC00261178	0.51892	1
NCGC00261183	0.53066	1
NCGC00261189	0.24103	0
NCGC00261190	0.48703	0
NCGC00261192	0.36652	0
NCGC00261201	0.37863	0
NCGC00261215	0.37892	0
NCGC00261238	0.39834	0
NCGC00261246	0.13988	0
NCGC00261248	0.54946	1
NCGC00261254	0.47850	0
NCGC00261260	0.65432	1
NCGC00261261	0.45233	0
NCGC00261270	0.40381	0
NCGC00261272	0.38968	0
NCGC00261286	0.39593	0
NCGC00261290	0.30334	0
NCGC00261293	0.42345	0
NCGC00261294	0.07134	0
NCGC00261297	0.42691	0
NCGC00261304	0.45063	0
NCGC00261313	0.19524	0
NCGC00261321	0.47826	0
NCGC00261327	0.18024	0
NCGC00261330	0.16462	0
NCGC00261332	0.41720	0
NCGC00261333	0.42504	0
NCGC00261336	0.14622	0
NCGC00261340	0.33076	0
NCGC00261342	0.50936	1
NCGC00261343	0.41921	0
NCGC00261348	0.15173	0
NCGC00261349	0.30318	0
NCGC00261352	0.56174	1
NCGC00261364	0.30899	0
NCGC00261367	0.34918	0
NCGC00261380	0.50619	1
NCGC00261381	0.41636	0
NCGC00261382	0.35141	0
NCGC00261384	0.33693	0
NCGC00261389	0.43714	0
NCGC00261390	0.09036	0
NCGC00261392	0.29472	0
NCGC00261395	0.58123	1
NCGC00261398	0.49846	0
NCGC00261399	0.39374	0
NCGC00261404	0.31437	0
NCGC00261406	0.34777	0
NCGC00261420	0.40006	0
NCGC00261423	0.29744	0
NCGC00261424	0.83909	1
NCGC00261426	0.63396	1
NCGC00261440	0.13816	0
NCGC00261441	0.34645	0
NCGC00261446	0.52349	1
NCGC00261470	0.55887	1
NCGC00261473	0.20767	0
NCGC00261474	0.43442	0
NCGC00261475	0.43143	0
NCGC00261480	0.48134	0
NCGC00261487	0.44534	0
NCGC00261503	0.25833	0
NCGC00261506	0.45223	0
NCGC00261507	0.31705	0
NCGC00261510	0.43057	0
NCGC00261519	0.12317	0
NCGC00261529	0.42066	0
NCGC00261541	0.16992	0
NCGC00261542	0.46622	0
NCGC00261544	0.44966	0
NCGC00261545	0.47022	0
NCGC00261554	0.31083	0
NCGC00261563	0.42016	0
NCGC00261565	0.50312	1
NCGC00261568	0.26474	0
NCGC00261577	0.47230	0
NCGC00261578	0.48742	0
NCGC00261579	0.40053	0
NCGC00261582	0.78918	1
NCGC00261583	0.33735	0
NCGC00261593	0.38525	0
NCGC00261597	0.37523	0
NCGC00261598	0.08941	0
NCGC00261601	0.36387	0
NCGC00261602	0.24625	0
NCGC00261607	0.30537	0
NCGC00261611	0.37911	0
NCGC00261619	0.51219	1
NCGC00261620	0.29637	0
NCGC00261624	0.28303	0
NCGC00261627	0.37656	0
NCGC00261633	0.35486	0
NCGC00261638	0.28211	0
NCGC00261639	0.17763	0
NCGC00261641	0.30559	0
NCGC00261643	0.31268	0
NCGC00261649	0.13538	0
NCGC00261653	0.77738	1
NCGC00261657	0.08111	0
NCGC00261662	0.46836	0
NCGC00261663	0.45633	0
NCGC00261672	0.17764	0
NCGC00261679	0.36659	0
NCGC00261682	0.38573	0
NCGC00261683	0.37369	0
NCGC00261686	0.23486	0
NCGC00261691	0.49501	0
NCGC00261693	0.46650	0
NCGC00261704	0.28788	0
NCGC00261713	0.76422	1
NCGC00261716	0.32781	0
NCGC00261717	0.46963	0
NCGC00261718	0.10863	0
NCGC00261730	0.31070	0
NCGC00261732	0.10679	0
NCGC00261737	0.67651	1
NCGC00261738	0.29986	0
NCGC00261739	0.48000	0
NCGC00261744	0.45225	0
NCGC00261752	0.60528	1
NCGC00261764	0.58258	1
NCGC00261767	0.50990	1
NCGC00261776	0.45338	0
NCGC00261782	0.45070	0
NCGC00261787	0.37255	0
NCGC00261802	0.54044	1
NCGC00261804	0.56681	1
NCGC00261808	0.26937	0
NCGC00261812	0.50532	1
NCGC00261813	0.35247	0
NCGC00261816	0.45129	0
NCGC00261817	0.38031	0
NCGC00261820	0.12227	0
NCGC00261824	0.23436	0
NCGC00261825	0.56011	1
NCGC00261826	0.42686	0
NCGC00261828	0.60854	1
NCGC00261833	0.43793	0
NCGC00261835	0.46421	0
NCGC00261838	0.48632	0
NCGC00261840	0.45631	0
NCGC00261842	0.46654	0
NCGC00261853	0.51266	1
NCGC00261856	0.33761	0
