Sample ID	Score	Activity
NCGC00260698-01	0.001860379	0
NCGC00260707-01	0.908624228	1
NCGC00260713-01	1.000000000	1
NCGC00260742-01	0.999979660	1
NCGC00260785-01	1.000000000	1
NCGC00260798-01	0.999999982	1
NCGC00260803-01	1.000000000	1
NCGC00260811-01	1.000000000	1
NCGC00260822-01	1.000000000	1
NCGC00260830-01	1.000000000	1
NCGC00260833-01	1.000000000	1
NCGC00260834-01	1.000000000	1
NCGC00260840-01	1.000000000	1
NCGC00260850-01	1.000000000	1
NCGC00260910-01	0.999995430	1
NCGC00260911-01	1.000000000	1
NCGC00260947-01	1.000000000	1
NCGC00260957-01	1.000000000	1
NCGC00260972-01	0.999993268	1
NCGC00260980-01	1.000000000	1
NCGC00260993-01	1.000000000	1
NCGC00261008-01	1.000000000	1
NCGC00261026-01	1.000000000	1
NCGC00261049-01	1.000000000	1
NCGC00261058-01	0.999994079	1
NCGC00261080-01	1.000000000	1
NCGC00261081-01	1.000000000	1
NCGC00261101-01	1.000000000	1
NCGC00261110-01	1.000000000	1
NCGC00261142-01	1.000000000	1
NCGC00261147-01	0.000000000	0
NCGC00261153-01	1.000000000	1
NCGC00261160-01	1.000000000	1
NCGC00261163-01	1.000000000	1
NCGC00261165-01	0.000000005	0
NCGC00261169-01	0.998592595	1
NCGC00261170-01	1.000000000	1
NCGC00261178-01	1.000000000	1
NCGC00261183-01	0.274994022	0
NCGC00261192-01	1.000000000	1
NCGC00261215-01	1.000000000	1
NCGC00261260-01	1.000000000	1
NCGC00261293-01	0.997538177	1
NCGC00261304-01	1.000000000	1
NCGC00261333-01	1.000000000	1
NCGC00261342-01	1.000000000	1
NCGC00261343-01	1.000000000	1
NCGC00261381-01	1.000000000	1
NCGC00261382-01	1.000000000	1
NCGC00261384-01	1.000000000	1
NCGC00261389-01	1.000000000	1
NCGC00261398-01	1.000000000	1
NCGC00261399-01	1.000000000	1
NCGC00261404-01	1.000000000	1
NCGC00261406-01	0.000000000	0
NCGC00261424-01	1.000000000	1
NCGC00261441-01	1.000000000	1
NCGC00261475-01	1.000000000	1
NCGC00261487-01	1.000000000	1
NCGC00261495-01	1.000000000	1
NCGC00261510-01	1.000000000	1
NCGC00261529-01	0.999969359	1
NCGC00261544-01	0.999988919	1
NCGC00261545-01	1.000000000	1
NCGC00261563-01	1.000000000	1
NCGC00261565-01	0.999171677	1
NCGC00261578-01	0.000000000	0
NCGC00261582-01	1.000000000	1
