SampleID	Score	Activity
NCGC00261949	0.2386	0
NCGC00357083	0.0270	0
NCGC00260731	0.0322	0
NCGC00357288	0.0975	0
NCGC00357081	0.0390	0
NCGC00260982	0.2170	0
NCGC00260980	0.0309	0
NCGC00357068	0.0181	0
NCGC00357069	0.0093	0
NCGC00357060	0.0232	0
NCGC00357061	0.0127	0
NCGC00357063	0.2257	0
NCGC00357064	0.0118	0
NCGC00357065	0.2212	0
NCGC00357066	0.2101	0
NCGC00357067	0.2207	0
NCGC00260698	0.0263	0
NCGC00261866	0.0263	0
NCGC00357201	0.2848	0
NCGC00357202	0.2086	0
NCGC00357203	0.0314	0
NCGC00357204	0.0130	0
NCGC00357205	0.0152	0
NCGC00261860	0.0431	0
NCGC00261861	0.0367	0
NCGC00357208	0.5637	1
NCGC00357209	0.0124	0
NCGC00261906	0.0888	0
NCGC00261900	0.0786	0
NCGC00261903	0.0317	0
NCGC00261869	0.0156	0
NCGC00261510	0.0392	0
NCGC00357284	0.0294	0
NCGC00261519	0.0120	0
NCGC00260742	0.0315	0
NCGC00260743	0.0157	0
NCGC00357287	0.0124	0
NCGC00260890	0.0240	0
NCGC00260892	0.0720	0
NCGC00357020	0.0152	0
NCGC00357021	0.4747	0
NCGC00261349	0.0206	0
NCGC00261348	0.0327	0
NCGC00261343	0.0310	0
NCGC00261342	0.2946	0
NCGC00261340	0.0699	0
NCGC00261583	0.0241	0
NCGC00261582	0.4239	0
NCGC00261163	0.0393	0
NCGC00261162	0.0198	0
NCGC00261248	0.0207	0
NCGC00261160	0.0488	0
NCGC00261166	0.0518	0
NCGC00261165	0.0368	0
NCGC00261169	0.0266	0
NCGC00261313	0.0118	0
NCGC00261246	0.0177	0
NCGC00261649	0.0144	0
NCGC00260803	0.0328	0
NCGC00261643	0.0265	0
NCGC00261641	0.2252	0
NCGC00261764	0.0724	0
NCGC00261767	0.0712	0
NCGC00261882	0.0784	0
NCGC00357037	0.0142	0
NCGC00357036	0.2105	0
NCGC00357035	0.2143	0
NCGC00357034	0.0357	0
NCGC00357033	0.0113	0
NCGC00357032	0.2066	0
NCGC00261019	0.0304	0
NCGC00357030	0.0435	0
NCGC00261013	0.0303	0
NCGC00357156	0.3249	0
NCGC00357039	0.0093	0
NCGC00357038	0.0142	0
NCGC00357119	0.2097	0
NCGC00357151	0.0156	0
NCGC00260940	0.0257	0
NCGC00260947	0.0651	0
NCGC00260948	0.0100	0
NCGC00261085	0.0193	0
NCGC00357109	0.0269	0
NCGC00357108	0.0348	0
NCGC00261080	0.0172	0
NCGC00261081	0.0331	0
NCGC00357103	0.0111	0
NCGC00357102	0.0070	0
NCGC00357101	0.0130	0
NCGC00357100	0.0081	0
NCGC00357107	0.0098	0
NCGC00357106	0.0152	0
NCGC00357105	0.2091	0
NCGC00357104	0.0188	0
NCGC00260790	0.0342	0
NCGC00260795	0.0317	0
NCGC00357158	0.1907	0
NCGC00260798	0.0498	0
NCGC00261941	0.0237	0
NCGC00357088	0.0105	0
NCGC00357089	0.2714	0
NCGC00261944	0.0521	0
NCGC00261947	0.0520	0
NCGC00357082	0.0118	0
NCGC00261948	0.0588	0
NCGC00357080	0.0176	0
NCGC00261133	0.0270	0
NCGC00357086	0.0417	0
NCGC00357087	0.0321	0
NCGC00357084	0.0099	0
NCGC00357085	0.0143	0
NCGC00260708	0.0130	0
NCGC00260703	0.0294	0
NCGC00260706	0.0247	0
NCGC00260707	0.2309	0
NCGC00356959	0.2124	0
