Sample ID	Score	Activity
NCGC00261900-01	0.110398857	0
NCGC00260869-01	0.007842087	0
NCGC00261776-01	0.007068843	0
NCGC00261380-01	0.033100145	0
NCGC00261842-01	0.058784824	0
NCGC00261662-01	0.031751194	0
NCGC00261190-01	0.050904446	0
NCGC00260731-01	0.010186666	0
NCGC00261926-01	0.011770950	0
NCGC00261579-01	0.053176785	0
NCGC00260921-01	0.007915764	0
NCGC00261119-01	0.006145818	0
NCGC00260957-01	0.031303079	0
NCGC00261812-01	0.045746600	0
NCGC00260831-01	0.191937184	0
NCGC00261544-01	0.068123539	0
NCGC00261619-01	0.034580519	0
NCGC00261633-01	0.044204184	0
NCGC00261395-01	0.063568122	0
NCGC00261717-01	0.133671273	0
NCGC00261947-01	0.028196716	0
NCGC00261424-01	0.768940362	1
NCGC00261861-01	0.154583784	0
NCGC00261924-01	0.043275880	0
NCGC00261052-01	0.109287213	0
NCGC00261683-01	0.010560064	0
NCGC00261026-01	0.013210544	0
NCGC00261057-01	0.007559575	0
NCGC00261738-01	0.041592194	0
NCGC00261348-01	0.014462316	0
NCGC00261503-01	0.010910637	0
NCGC00260693-01	0.127451854	0
NCGC00260703-01	0.123725447	0
NCGC00260716-01	0.008312560	0
NCGC00260782-01	0.007337050	0
NCGC00260802-01	0.007962160	0
NCGC00260823-01	0.002827994	0
NCGC00261313-01	0.020676906	0
NCGC00260757-01	0.009594429	0
NCGC00260826-01	0.002692075	0
NCGC00261005-01	0.037649479	0
NCGC00260980-01	0.090162667	0
NCGC00261816-01	0.005312778	0
NCGC00260698-01	0.029556363	0
NCGC00260889-01	0.015542991	0
NCGC00260811-01	0.040395371	0
NCGC00261165-01	0.074254015	0
NCGC00261060-01	0.004778643	0
NCGC00261541-01	0.011276012	0
NCGC00261649-01	0.006957366	0
NCGC00261110-01	0.012711746	0
NCGC00261130-01	0.042718372	0
NCGC00260846-01	0.016052515	0
NCGC00261030-01	0.010804787	0
NCGC00261162-01	0.263535462	0
NCGC00261058-01	0.030413066	0
NCGC00261404-01	0.029976184	0
NCGC00261423-01	0.011550325	0
NCGC00261856-01	0.011550325	0
NCGC00261342-01	0.173537787	0
NCGC00261935-01	0.007249974	0
NCGC00261069-01	0.016236991	0
NCGC00261101-01	0.090509232	0
NCGC00261183-01	0.025295316	0
NCGC00261716-01	0.078268569	0
NCGC00260742-01	0.038460789	0
NCGC00261529-01	0.030468244	0
