Sample ID	Score	Activity
NCGC00261900-01	0.053666828	0
NCGC00260869-01	0.010985668	0
NCGC00261776-01	0.014236996	0
NCGC00261380-01	0.011231902	0
NCGC00261842-01	0.010275608	0
NCGC00261662-01	0.031880832	0
NCGC00261190-01	0.034203108	0
NCGC00260731-01	0.025905711	0
NCGC00261926-01	0.013585482	0
NCGC00261579-01	0.016787063	0
NCGC00260921-01	0.021097610	0
NCGC00261119-01	0.007569918	0
NCGC00260957-01	0.041166890	0
NCGC00261812-01	0.012344368	0
NCGC00260831-01	0.026905230	0
NCGC00261544-01	0.015457059	0
NCGC00261619-01	0.020162940	0
NCGC00261633-01	0.007737547	0
NCGC00261395-01	0.010906116	0
NCGC00261717-01	0.040969161	0
NCGC00261947-01	0.021477769	0
NCGC00261424-01	0.995515649	1
NCGC00261861-01	0.074005938	0
NCGC00261924-01	0.031344195	0
NCGC00261052-01	0.016431838	0
NCGC00261683-01	0.010191008	0
NCGC00261026-01	0.015048601	0
NCGC00261057-01	0.008310201	0
NCGC00261738-01	0.007203822	0
NCGC00261348-01	0.007423350	0
NCGC00261503-01	0.007468540	0
NCGC00260693-01	0.007819384	0
NCGC00260703-01	0.007072277	0
NCGC00260716-01	0.007064030	0
NCGC00260782-01	0.007110176	0
NCGC00260802-01	0.007078829	0
NCGC00260823-01	0.007079653	0
NCGC00261313-01	0.007112209	0
NCGC00260757-01	0.007427986	0
NCGC00260826-01	0.007075306	0
NCGC00261005-01	0.007829929	0
NCGC00260980-01	0.008138100	0
NCGC00261816-01	0.010057794	0
NCGC00260698-01	0.008655614	0
NCGC00260889-01	0.007264530	0
NCGC00260811-01	0.008910228	0
NCGC00261165-01	0.007946969	0
NCGC00261060-01	0.007071528	0
NCGC00261541-01	0.008255209	0
NCGC00261649-01	0.007420540	0
NCGC00261110-01	0.010422657	0
NCGC00261130-01	0.025916663	0
NCGC00260846-01	0.012000153	0
NCGC00261030-01	0.011360694	0
NCGC00261162-01	0.023485520	0
NCGC00261058-01	0.038819248	0
NCGC00261404-01	0.010203037	0
NCGC00261423-01	0.010494710	0
NCGC00261856-01	0.013298068	0
NCGC00261342-01	0.566349318	1
NCGC00261935-01	0.007612819	0
NCGC00261069-01	0.085005613	0
NCGC00261101-01	0.010914380	0
NCGC00261183-01	0.016494684	0
NCGC00261716-01	0.008027234	0
NCGC00260742-01	0.010039643	0
NCGC00261529-01	0.011059468	0
NCGC00261170-01	0.020479630	0
NCGC00261565-01	0.010577894	0
NCGC00260990-01	0.054471595	0
NCGC00261340-01	0.015244626	0
NCGC00261079-01	0.008612538	0
NCGC00261389-01	0.007365700	0
NCGC00261744-01	0.010885751	0
NCGC00261420-01	0.008351795	0
NCGC00261215-01	0.008831717	0
NCGC00261826-01	0.007436070	0
NCGC00260706-01	0.009992373	0
NCGC00261123-01	0.020726523	0
NCGC00261367-01	0.007534886	0
NCGC00261507-01	0.007170278	0
NCGC00261169-01	0.010216767	0
NCGC00261730-01	0.008535063	0
NCGC00261624-01	0.008856797	0
NCGC00261641-01	0.007549122	0
NCGC00261853-01	0.066713305	0
NCGC00260911-01	0.013196224	0
NCGC00260798-01	0.012609968	0
NCGC00261384-01	0.008002977	0
NCGC00260785-01	0.013459650	0
NCGC00261597-01	0.010236998	0
NCGC00261025-01	0.007261535	0
NCGC00260789-01	0.007884572	0
NCGC00260866-01	0.009493413	0
NCGC00261189-01	0.007765206	0
NCGC00261270-01	0.052114431	0
NCGC00261611-01	0.008439683	0
NCGC00261160-01	0.037273408	0
NCGC00261085-01	0.007104544	0
NCGC00261817-01	0.008806813	0
NCGC00261866-01	0.009897245	0
NCGC00260852-01	0.007997912	0
NCGC00261290-01	0.013100307	0
NCGC00261304-01	0.020012251	0
NCGC00261704-01	0.010209010	0
NCGC00260850-01	0.009908153	0
NCGC00260972-01	0.008099346	0
NCGC00261364-01	0.007586889	0
NCGC00261392-01	0.008787691	0
NCGC00261638-01	0.008148885	0
NCGC00261820-01	0.007439988	0
NCGC00261808-01	0.007225248	0
NCGC00260790-01	0.009079711	0
NCGC00260940-01	0.015846313	0
NCGC00261081-01	0.009034388	0
NCGC00261506-01	0.015816364	0
NCGC00261133-01	0.008410921	0
NCGC00261399-01	0.011159020	0
NCGC00260696-01	0.015404817	0
NCGC00261903-01	0.019775740	0
NCGC00261178-01	0.017702244	0
NCGC00261568-01	0.008517716	0
NCGC00260830-01	0.007187520	0
NCGC00261113-01	0.008664573	0
NCGC00261327-01	0.007094448	0
NCGC00261602-01	0.008237218	0
NCGC00260858-01	0.082762746	0
NCGC00261071-01	0.013896476	0
NCGC00261076-01	0.007649559	0
NCGC00261192-01	0.010534201	0
NCGC00261495-01	0.021396393	0
NCGC00261577-01	0.063805708	0
NCGC00261510-01	0.008615873	0
NCGC00261679-01	0.012896094	0
NCGC00261941-01	0.018148640	0
NCGC00261343-01	0.008699492	0
NCGC00261607-01	0.011106620	0
NCGC00261782-01	0.010393946	0
NCGC00261914-01	0.009064618	0
NCGC00261475-01	0.024543222	0
NCGC00261764-01	0.030012874	0
NCGC00261802-01	0.102155409	0
NCGC00261813-01	0.010270729	0
NCGC00260795-01	0.010110624	0
NCGC00261352-01	0.038488001	0
NCGC00261009-01	0.021198168	0
NCGC00261944-01	0.012957511	0
NCGC00261166-01	0.050612813	0
NCGC00261332-01	0.033271011	0
NCGC00261333-01	0.009986125	0
NCGC00261260-01	0.121437631	1
NCGC00261915-01	0.013476205	0
NCGC00261238-01	0.019911927	0
NCGC00261682-01	0.009218076	0
NCGC00261049-01	0.009942857	0
NCGC00260910-01	0.008589283	0
NCGC00261272-01	0.014062689	0
NCGC00260708-01	0.007419039	0
NCGC00261390-01	0.007062272	0
NCGC00260948-01	0.009955790	0
NCGC00261840-01	0.009220998	0
NCGC00260881-01	0.007615851	0
NCGC00261153-01	0.009680924	0
NCGC00261406-01	0.008340818	0
NCGC00261053-01	0.007066423	0
NCGC00261129-01	0.007075765	0
NCGC00261381-01	0.010596469	0
NCGC00261426-01	0.041152616	0
NCGC00260979-01	0.009233368	0
NCGC00260993-01	0.009782387	0
NCGC00261108-01	0.007856662	0
NCGC00261441-01	0.009365702	0
NCGC00261877-01	0.007695643	0
NCGC00260815-01	0.009307783	0
NCGC00261542-01	0.012974656	0
NCGC00261958-01	0.007836796	0
NCGC00261787-01	0.008701798	0
NCGC00261065-01	0.057657581	0
NCGC00261804-01	0.023302110	0
NCGC00260875-01	0.026369367	0
NCGC00261451-01	0.015692690	0
NCGC00261739-01	0.032521233	0
NCGC00261948-01	0.049200694	0
NCGC00261382-01	0.011365492	0
NCGC00261663-01	0.008979572	0
NCGC00260892-01	0.018390424	0
NCGC00261297-01	0.008925837	0
NCGC00261321-01	0.014562920	0
NCGC00261446-01	0.013939086	0
NCGC00261474-01	0.007414124	0
NCGC00260834-01	0.019157635	0
NCGC00260840-01	0.009481146	0
NCGC00260947-01	0.011619976	0
NCGC00261080-01	0.013317779	0
NCGC00261563-01	0.009592116	0
NCGC00261873-01	0.010628442	0
NCGC00260803-01	0.010003683	0
NCGC00260833-01	0.009583712	0
NCGC00261008-01	0.009143876	0
NCGC00261155-01	0.007601917	0
NCGC00261643-01	0.008403187	0
NCGC00261037-01	0.007592557	0
NCGC00261126-01	0.042658413	0
NCGC00260871-01	0.014846764	0
NCGC00260713-01	0.009858730	0
NCGC00261487-01	0.020187133	0
NCGC00261545-01	0.011611494	0
NCGC00261480-01	0.007563096	0
NCGC00261838-01	0.007611378	0
NCGC00261627-01	0.008220315	0
NCGC00261639-01	0.007169248	0
NCGC00261177-01	0.007617590	0
NCGC00260692-01	0.007082247	0
NCGC00260775-01	0.007108400	0
NCGC00260876-01	0.007116211	0
NCGC00261598-01	0.007437389	0
NCGC00260707-01	0.009054450	0
NCGC00261554-01	0.011754930	0
NCGC00261713-01	0.021068937	0
NCGC00261737-01	0.266382210	1
NCGC00261882-01	0.153676653	1
NCGC00261933-01	0.037510606	0
NCGC00261201-01	0.011091376	0
NCGC00261398-01	0.017927063	0
NCGC00261601-01	0.010927262	0
NCGC00261003-01	0.007552364	0
NCGC00261019-01	0.007752456	0
NCGC00261519-01	0.007076900	0
NCGC00261732-01	0.007092428	0
NCGC00261718-01	0.007461620	0
NCGC00260743-01	0.007127118	0
NCGC00260751-01	0.007069015	0
NCGC00260867-01	0.007080986	0
NCGC00260982-01	0.009215366	0
NCGC00261176-01	0.007199438	0
NCGC00261289-01	0.007810320	0
NCGC00261440-01	0.007187925	0
NCGC00261657-01	0.007071240	0
NCGC00260822-01	0.036499714	0
NCGC00261142-01	0.035923492	0
NCGC00261582-01	0.496115120	1
NCGC00261825-01	0.508734102	1
NCGC00261833-01	0.053729864	0
NCGC00261835-01	0.011522539	0
NCGC00261860-01	0.139245496	1
NCGC00261906-01	0.088834929	0
NCGC00261916-01	0.134817325	1
NCGC00261939-01	0.105458377	0
NCGC00261869-01	0.011771841	0
NCGC00261163-01	0.025707896	0
NCGC00261653-01	0.207859144	1
NCGC00261248-01	0.008017850	0
NCGC00260770-01	0.007114522	0
NCGC00261013-01	0.012449065	0
NCGC00261910-01	0.075420530	0
NCGC00261686-01	0.007206763	0
NCGC00261147-01	0.009965160	0
NCGC00261578-01	0.008895287	0
NCGC00261336-01	0.007949501	0
NCGC00261593-01	0.012344434	0
NCGC00260821-01	0.007991842	0
NCGC00261007-01	0.007435069	0
NCGC00261246-01	0.007078382	0
NCGC00261949-01	0.007101506	0
NCGC00260890-01	0.009837963	0
NCGC00261294-01	0.007082667	0
NCGC00261330-01	0.007255292	0
NCGC00261470-01	0.020993004	0
NCGC00260691-01	0.007125189	0
NCGC00261693-01	0.007508987	0
NCGC00261293-01	0.009104371	0
NCGC00261018-01	0.007355946	0
NCGC00261075-01	0.009112758	0
NCGC00261150-01	0.019791995	0
NCGC00261767-01	0.028761215	0
NCGC00261824-01	0.008610246	0
NCGC00261146-01	0.007133691	0
NCGC00260817-01	0.007100737	0
NCGC00261161-01	0.007577452	0
NCGC00260728-01	0.007318806	0
NCGC00261286-01	0.011356124	0
NCGC00261254-01	0.021302085	0
NCGC00261261-01	0.010424128	0
NCGC00261691-01	0.015056432	0
NCGC00261921-01	0.012884048	0
NCGC00260962-01	0.008721174	0
NCGC00261028-01	0.008862699	0
NCGC00261349-01	0.009884586	0
NCGC00261583-01	0.014282097	0
NCGC00261672-01	0.008557549	0
NCGC00261620-01	0.012298028	0
NCGC00261141-01	0.015878463	0
NCGC00261752-01	0.015961584	0
NCGC00261828-01	0.026044760	0
NCGC00261913-01	0.007861574	0
NCGC00261473-01	0.007355303	0
NCGC00356953-01	0.023660343	0
NCGC00357009-01	0.000000000	0
NCGC00357188-01	0.068961627	0
NCGC00357201-01	0.000000000	0
NCGC00357189-01	0.000000000	0
NCGC00357163-01	0.007635658	0
NCGC00357001-01	0.008580634	0
NCGC00357030-01	0.008854671	0
NCGC00357123-01	0.025118006	0
NCGC00357091-01	0.009144771	0
NCGC00357004-01	0.011081542	0
NCGC00357103-01	0.009513556	0
NCGC00357289-01	0.015889409	0
NCGC00357082-01	0.032330266	0
NCGC00356999-01	0.008372865	0
NCGC00357116-01	0.007907405	0
