Sample ID	Score	Activity
NCGC00261900-01	0.080857354	0
NCGC00260869-01	0.013543181	0
NCGC00261776-01	0.044116878	0
NCGC00261380-01	0.010658286	0
NCGC00261842-01	0.090865746	0
NCGC00261662-01	0.187691741	0
NCGC00261190-01	0.026337254	0
NCGC00260731-01	0.066057969	0
NCGC00261926-01	0.015550291	0
NCGC00261579-01	0.023523516	0
NCGC00260921-01	0.041888266	0
NCGC00261119-01	0.032365582	0
NCGC00260957-01	0.119347694	0
NCGC00261812-01	0.065878809	0
NCGC00260831-01	0.043701484	0
NCGC00261544-01	0.012851011	0
NCGC00261619-01	0.067569058	0
NCGC00261633-01	0.010545647	0
NCGC00261395-01	0.009163671	0
NCGC00261717-01	0.081238897	0
NCGC00261947-01	0.07729928	0
NCGC00261424-01	0.305126408	0
NCGC00261861-01	0.111709731	0
NCGC00261924-01	0.052221733	0
NCGC00261052-01	0.128695566	0
NCGC00261683-01	0.018824405	0
NCGC00261026-01	0.014459462	0
NCGC00261057-01	0.008718199	0
NCGC00261738-01	0.000192072	0
NCGC00261348-01	0.007099986	0
NCGC00261503-01	0.023292454	0
NCGC00260693-01	0.016822084	0
NCGC00260703-01	0.012763184	0
NCGC00260716-01	0.000111408	0
NCGC00260782-01	0.000119193	0
NCGC00260802-01	0.000106214	0
NCGC00260823-01	0.000100037	0
NCGC00261313-01	0.009257635	0
NCGC00260757-01	0.001897617	0
NCGC00260826-01	0.000111523	0
NCGC00261005-01	0.003884298	0
NCGC00260980-01	0.007309336	0
NCGC00261816-01	0.003862727	0
NCGC00260698-01	0.021237326	0
NCGC00260889-01	0.016064323	0
NCGC00260811-01	0.009905678	0
NCGC00261165-01	0.004015698	0
NCGC00261060-01	0.000123765	0
NCGC00261541-01	0.003769527	0
NCGC00261649-01	0.000157119	0
NCGC00261110-01	0.053872353	0
NCGC00261130-01	0.040835842	0
NCGC00260846-01	0.029022461	0
NCGC00261030-01	0.03189721	0
NCGC00261162-01	0.039205091	0
NCGC00261058-01	0.024090939	0
NCGC00261404-01	0.005609881	0
NCGC00261423-01	0.008604651	0
NCGC00261856-01	0.008294392	0
NCGC00261342-01	0.037527449	0
NCGC00261935-01	0.009476128	0
NCGC00261069-01	0.052358091	0
NCGC00261101-01	0.02761822	0
NCGC00261183-01	0.00748509	0
NCGC00261716-01	0.009468779	0
NCGC00260742-01	0.015784949	0
NCGC00261529-01	0.03267223	0
NCGC00261170-01	0.09515957	0
NCGC00261565-01	0.021748243	0
NCGC00260990-01	0.123763944	0
NCGC00261340-01	0.045483974	0
NCGC00261079-01	0.036436094	0
NCGC00261389-01	0.018317385	0
NCGC00261744-01	0.031123443	0
NCGC00261420-01	0.015824324	0
NCGC00261215-01	0.010910434	0
NCGC00261826-01	0.009866734	0
NCGC00260706-01	0.007626818	0
NCGC00261123-01	0.012199777	0
NCGC00261367-01	0.007343669	0
NCGC00261507-01	0.033695388	0
NCGC00261169-01	0.000791414	0
NCGC00261730-01	0.000290927	0
NCGC00261624-01	0.002950475	0
NCGC00261641-01	0.017086066	0
NCGC00261853-01	0.011036549	0
NCGC00260911-01	0.011964386	0
NCGC00260798-01	0.058016689	0
NCGC00261384-01	0.018242777	0
NCGC00260785-01	0.004126467	0
NCGC00261597-01	0.018463544	0
NCGC00261025-01	0.036936095	0
NCGC00260789-01	0.008914495	0
NCGC00260866-01	0.01116343	0
NCGC00261189-01	0.018332054	0
NCGC00261270-01	0.15391568	0
NCGC00261611-01	0.0073283	0
NCGC00261160-01	0.043084435	0
NCGC00261085-01	0.000219945	0
NCGC00261817-01	0.024721507	0
NCGC00261866-01	0.037424168	0
NCGC00260852-01	0.000153985	0
NCGC00261290-01	0.038397089	0
NCGC00261304-01	0.054463037	0
NCGC00261704-01	0.047333931	0
NCGC00260850-01	0.004026412	0
NCGC00260972-01	0.000249081	0
NCGC00261364-01	0.01670889	0
NCGC00261392-01	0.008528117	0
NCGC00261638-01	0.016829508	0
NCGC00261820-01	0.009854121	0
NCGC00261808-01	0.026518206	0
NCGC00260790-01	0.0264972	0
NCGC00260940-01	0.018958622	0
NCGC00261081-01	0.000404203	0
NCGC00261506-01	0.025019099	0
NCGC00261133-01	0.01610568	0
NCGC00261399-01	0.037558144	0
NCGC00260696-01	0.025152881	0
NCGC00261903-01	0.003461273	0
