Sample ID	Score	Activity
NCGC00261424-01	0.7418184913	1
NCGC00261260-01	0.7351094891	1
NCGC00261737-01	0.7024681111	1
NCGC00357017-01	0.6944682381	1
NCGC00357018-01	0.6920226664	1
NCGC00357255-01	0.6884006252	1
NCGC00357218-01	0.6861366967	1
NCGC00357007-01	0.674687721	1
NCGC00357207-01	0.6660607679	1
NCGC00357259-01	0.6465873095	1
NCGC00261882-01	0.6379248941	1
NCGC00357011-01	0.6359782332	1
NCGC00357056-01	0.6205767879	1
NCGC00261939-01	0.6201751617	1
NCGC00357201-01	0.6190888291	1
NCGC00261752-01	0.6135522103	1
NCGC00261860-01	0.6055537211	1
NCGC00357019-01	0.6027318885	1
NCGC00357208-01	0.6001460357	1
NCGC00357099-01	0.6001460357	1
NCGC00357203-01	0.5998958844	1
NCGC00357175-01	0.5873304462	1
NCGC00357021-01	0.5871141838	1
NCGC00261352-01	0.5858736953	1
NCGC00261582-01	0.5783140068	1
NCGC00357148-01	0.5767375368	1
NCGC00261802-01	0.5766957444	1
NCGC00357262-01	0.5755919137	1
NCGC00261342-01	0.5753149878	1
NCGC00261916-01	0.5746815238	1
NCGC00261713-01	0.57425776	1
NCGC00357111-01	0.5722112296	1
NCGC00261166-01	0.5680066108	1
NCGC00357271-01	0.5657713395	1
NCGC00261141-01	0.565616112	1
NCGC00261238-01	0.5652127098	1
NCGC00357288-01	0.5622969082	1
NCGC00261764-01	0.5611992053	1
NCGC00261861-01	0.5536183974	1
NCGC00357251-01	0.5536183974	1
NCGC00261825-01	0.5532913735	1
NCGC00261739-01	0.5521777266	1
NCGC00261833-01	0.5495096611	1
NCGC00261130-01	0.5488697576	1
NCGC00356955-01	0.5478865317	1
NCGC00260892-01	0.547766345	1
NCGC00357280-01	0.5467635543	1
NCGC00357123-01	0.5432761431	1
NCGC00357188-01	0.5416542515	1
NCGC00261828-01	0.5409989271	1
NCGC00261426-01	0.5408745233	1
NCGC00261577-01	0.5391085902	1
NCGC00261545-01	0.5365654855	1
NCGC00356949-01	0.5362704783	1
NCGC00357230-01	0.5360949562	1
NCGC00261653-01	0.5356815351	1
NCGC00261619-01	0.5350845828	1
NCGC00357014-01	0.5349723382	1
NCGC00357110-01	0.5331714025	1
NCGC00357289-01	0.532833438	1
NCGC00356984-01	0.5319804664	1
NCGC00356953-01	0.531798765	1
NCGC00260921-01	0.531438913	1
NCGC00357109-01	0.5306586858	1
NCGC00357231-01	0.5269299688	1
NCGC00261693-01	0.5254556845	1
NCGC00261065-01	0.5239574646	1
NCGC00261398-01	0.5206110842	1
NCGC00357149-01	0.5204410926	1
NCGC00357180-01	0.5203910239	1
NCGC00261381-01	0.5203198466	1
NCGC00357062-01	0.5195899086	1
NCGC00357281-01	0.5183413042	1
NCGC00261058-01	0.5173241743	1
NCGC00261395-01	0.516245148	1
NCGC00261903-01	0.5128956303	1
NCGC00261948-01	0.5120020819	1
NCGC00357183-01	0.5110424564	1
NCGC00261142-01	0.5100731797	1
NCGC00260990-01	0.5097012966	1
NCGC00261915-01	0.5093494601	1
NCGC00357187-01	0.5087820678	1
NCGC00261804-01	0.5084216128	1
NCGC00261178-01	0.5065098963	1
NCGC00261679-01	0.5063370176	1
NCGC00261593-01	0.5058067786	1
NCGC00261812-01	0.5054888461	1
NCGC00357072-01	0.5054888461	1
NCGC00260785-01	0.5046338375	1
NCGC00261332-01	0.503948672	1
NCGC00261933-01	0.5037686266	1
NCGC00357082-01	0.5034216346	1
NCGC00261123-01	0.5033345158	1
