Sample ID	Score	Activity
NCGC00261900-01	0.007499507	0
NCGC00260869-01	0.000937740	0
NCGC00261776-01	0.001271692	0
NCGC00261380-01	0.001048912	0
NCGC00261842-01	0.547723326	1
NCGC00261662-01	0.005236998	0
NCGC00261190-01	0.007445586	0
NCGC00260731-01	0.005733889	0
NCGC00261926-01	0.001516510	0
NCGC00261579-01	0.001772197	0
NCGC00260921-01	0.003429327	0
NCGC00261119-01	0.000579035	0
NCGC00260957-01	0.007733844	0
NCGC00261812-01	0.001577072	0
NCGC00260831-01	0.004518923	0
NCGC00261544-01	0.002026450	0
NCGC00261619-01	0.002603090	0
NCGC00261633-01	0.000613803	0
NCGC00261395-01	0.001124722	0
NCGC00261717-01	0.005798322	0
NCGC00261947-01	0.002531537	0
NCGC00261424-01	0.998299373	1
NCGC00261861-01	0.274832304	1
NCGC00261924-01	0.004628470	0
NCGC00261052-01	0.001710635	0
NCGC00261683-01	0.000983717	0
NCGC00261026-01	0.001713737	0
NCGC00261057-01	0.000614718	0
NCGC00261738-01	0.000533686	0
NCGC00261348-01	0.000548008	0
NCGC00261503-01	0.000555029	0
NCGC00260693-01	0.000578448	0
NCGC00260703-01	0.000522242	0
NCGC00260716-01	0.000521101	0
NCGC00260782-01	0.000526489	0
NCGC00260802-01	0.000523128	0
NCGC00260823-01	0.000522972	0
NCGC00261313-01	0.000525969	0
NCGC00260757-01	0.000548506	0
NCGC00260826-01	0.000522473	0
NCGC00261005-01	0.000578546	0
NCGC00260980-01	0.000612976	0
NCGC00261816-01	0.000915644	0
NCGC00260698-01	0.000733275	0
NCGC00260889-01	0.000542261	0
NCGC00260811-01	0.000725731	0
NCGC00261165-01	0.000592548	0
NCGC00261060-01	0.000522714	0
NCGC00261541-01	0.000616827	0
NCGC00261649-01	0.000548489	0
NCGC00261110-01	0.000852464	0
NCGC00261130-01	0.003512108	0
NCGC00260846-01	0.001084867	0
NCGC00261030-01	0.001076213	0
NCGC00261162-01	0.004726383	0
NCGC00261058-01	0.010724940	0
NCGC00261404-01	0.000843979	0
NCGC00261423-01	0.000907372	0
NCGC00261856-01	0.001360756	0
NCGC00261342-01	0.258423639	1
NCGC00261935-01	0.000576329	0
NCGC00261069-01	0.019216957	0
NCGC00261101-01	0.001066446	0
NCGC00261183-01	0.001498429	0
NCGC00261716-01	0.000605455	0
NCGC00260742-01	0.000794248	0
NCGC00261529-01	0.000954063	0
NCGC00261170-01	0.001875984	0
NCGC00261565-01	0.000918990	0
NCGC00260990-01	0.010893794	0
NCGC00261340-01	0.001516095	0
NCGC00261079-01	0.000661122	0
NCGC00261389-01	0.000558036	0
NCGC00261744-01	0.000860996	0
NCGC00261420-01	0.000649488	0
NCGC00261215-01	0.481572753	1
NCGC00261826-01	0.000561197	0
NCGC00260706-01	0.000805644	0
NCGC00261123-01	0.002245829	0
NCGC00261367-01	0.000561605	0
NCGC00261507-01	0.000533705	0
NCGC00261169-01	0.000850975	0
NCGC00261730-01	0.000637738	0
NCGC00261624-01	0.000667423	0
NCGC00261641-01	0.000573080	0
NCGC00261853-01	0.016497009	0
NCGC00260911-01	0.001189927	0
NCGC00260798-01	0.001265243	0
NCGC00261384-01	0.000641590	0
NCGC00260785-01	0.001634456	0
NCGC00261597-01	0.001298366	0
NCGC00261025-01	0.000546484	0
NCGC00260789-01	0.000614289	0
NCGC00260866-01	0.000784781	0
NCGC00261189-01	0.000607348	0
NCGC00261270-01	0.007502045	0
NCGC00261611-01	0.000688267	0
NCGC00261160-01	0.009580676	0
NCGC00261085-01	0.000525409	0
NCGC00261817-01	0.000746342	0
NCGC00261866-01	0.000749173	0
NCGC00260852-01	0.000608522	0
NCGC00261290-01	0.001037116	0
NCGC00261304-01	0.003366883	0
