Sample ID	Score	Activity
NCGC00261260-01	0.875653961	1
NCGC00357021-01	0.819325317	1
NCGC00357218-01	0.590710882	1
NCGC00261424-01	0.584161678	1
NCGC00261653-01	0.509084216	1
NCGC00357018-01	0.47453789	1
NCGC00261342-01	0.457082153	1
NCGC00356967-01	0.347837923	1
NCGC00260858-01	0.339191481	1
NCGC00357262-01	0.312872078	0
NCGC00260707-01	0.288935016	0
NCGC00261582-01	0.282255118	0
NCGC00356955-01	0.269819945	0
NCGC00261882-01	0.267518772	0
NCGC00261825-01	0.258452797	0
NCGC00261812-01	0.24778297	0
NCGC00357072-01	0.24778297	0
NCGC00357201-01	0.246224489	0
NCGC00356940-01	0.245847975	0
NCGC00357111-01	0.238031342	0
NCGC00261470-01	0.237521865	0
NCGC00357019-01	0.233749451	0
NCGC00261737-01	0.230102278	0
NCGC00357110-01	0.229405628	0
NCGC00356984-01	0.227475878	0
NCGC00357191-01	0.221123061	0
NCGC00261270-01	0.217104402	0
NCGC00356959-01	0.213979419	0
NCGC00357224-01	0.211315707	0
NCGC00357121-01	0.207856472	0
NCGC00261192-01	0.206856407	0
NCGC00261767-01	0.200251418	0
NCGC00357167-01	0.188233604	0
NCGC00357132-01	0.186116369	0
NCGC00261924-01	0.185713577	0
NCGC00357017-01	0.18339917	0
NCGC00261254-01	0.182707975	0
NCGC00261130-01	0.181863499	0
NCGC00261013-01	0.175784968	0
NCGC00357255-01	0.17266087	0
NCGC00261475-01	0.171689571	0
NCGC00357155-01	0.169193936	0
NCGC00357007-01	0.168929163	0
NCGC00357135-01	0.167032215	0
NCGC00260921-01	0.164764646	0
NCGC00357288-01	0.161732368	0
NCGC00357011-01	0.157720569	0
NCGC00357271-01	0.155925195	0
NCGC00261165-01	0.154278943	0
NCGC00261933-01	0.153784736	0
NCGC00357124-01	0.152701509	0
NCGC00261313-01	0.152132559	0
NCGC00357230-01	0.147413577	0
NCGC00357097-01	0.146950685	0
NCGC00357118-01	0.1460658	0
NCGC00261915-01	0.14417913	0
NCGC00357175-01	0.141948712	0
NCGC00261833-01	0.139421541	0
NCGC00357207-01	0.131381766	0
NCGC00260795-01	0.128993539	0
NCGC00356994-01	0.128127037	0
NCGC00261704-01	0.126304984	0
NCGC00260947-01	0.125192818	0
NCGC00357029-01	0.122527488	0
NCGC00261065-01	0.122376358	0
NCGC00261381-01	0.120352456	0
NCGC00357208-01	0.120064085	0
NCGC00357099-01	0.120064085	0
NCGC00356988-01	0.117518155	0
NCGC00356949-01	0.117293068	0
NCGC00261739-01	0.114320104	0
NCGC00261005-01	0.113419776	0
NCGC00261713-01	0.113159786	0
NCGC00357130-01	0.109115713	0
NCGC00357073-01	0.10868929	0
NCGC00261058-01	0.108228386	0
NCGC00357095-01	0.108019913	0
NCGC00357108-01	0.107233878	0
NCGC00356995-01	0.106458788	0
NCGC00357081-01	0.103944903	0
NCGC00261352-01	0.101808356	0
NCGC00357281-01	0.101604424	0
NCGC00357149-01	0.099393221	0
NCGC00357183-01	0.098942336	0
NCGC00261916-01	0.09883989	0
NCGC00261153-01	0.097215607	0
NCGC00261304-01	0.096531227	0
NCGC00261802-01	0.09629905	0
NCGC00261426-01	0.094648782	0
NCGC00261764-01	0.094459077	0
NCGC00261487-01	0.093996311	0
NCGC00357051-01	0.09354122	0
NCGC00261860-01	0.0930607	0
NCGC00261939-01	0.09149922	0
NCGC00261718-01	0.090280362	0
NCGC00261861-01	0.088830998	0
NCGC00357251-01	0.088830998	0
NCGC00356942-01	0.088140365	0
NCGC00356978-01	0.088026521	0
NCGC00261554-01	0.087638515	0
NCGC00261611-01	0.086359972	0
NCGC00261906-01	0.086118018	0
NCGC00261272-01	0.085120323	0
NCGC00260850-01	0.085030435	0
NCGC00357246-01	0.085008397	0
NCGC00357172-01	0.083942094	0
NCGC00261286-01	0.08352845	0
NCGC00261142-01	0.083502115	0
NCGC00357098-01	0.083146744	0
NCGC00357052-01	0.083069809	0
NCGC00357014-01	0.082353316	0
NCGC00357085-01	0.080878443	0
NCGC00357266-01	0.080670265	0
NCGC00261828-01	0.080658596	0
NCGC00260866-01	0.080279671	0
NCGC00261190-01	0.079937812	0
NCGC00357226-01	0.079352409	0
NCGC00261052-01	0.078961858	0
NCGC00261079-01	0.078219744	0
NCGC00357177-01	0.077673305	0
NCGC00356965-01	0.076857039	0
NCGC00357259-01	0.076642993	0
NCGC00261049-01	0.075855274	0
NCGC00261238-01	0.075498824	0
NCGC00260696-01	0.075479862	0
NCGC00261529-01	0.074711943	0
