Sample ID	Score	Activity
NCGC00261776-01	-0.3744	0
NCGC00261380-01	-0.3329	0
NCGC00261842-01	-0.2054	0
NCGC00261662-01	-0.0896	0
NCGC00261190-01	0.6392	1
NCGC00260731-01	-0.5367	0
NCGC00261926-01	-0.1846	0
NCGC00261579-01	-0.3104	0
NCGC00260921-01	-0.0424	0
NCGC00261119-01	-0.7612	0
NCGC00261812-01	0.153	1
NCGC00260831-01	-0.1762	0
NCGC00261544-01	-0.03	0
NCGC00261619-01	-0.5639	0
NCGC00261395-01	0.0158	1
NCGC00261717-01	0.2597	1
NCGC00261947-01	0.2156	1
NCGC00261424-01	0.8229	1
NCGC00261861-01	0.4092	1
NCGC00261924-01	0.1523	1
NCGC00261026-01	-0.4567	0
NCGC00261057-01	-0.5784	0
NCGC00261738-01	-0.7636	0
NCGC00261348-01	-0.6389	0
NCGC00261503-01	-0.8103	0
NCGC00260693-01	-0.5105	0
NCGC00260703-01	-0.5129	0
NCGC00260716-01	-0.5366	0
NCGC00260782-01	-0.4892	0
NCGC00260802-01	-0.2943	0
NCGC00260823-01	0.1511	1
NCGC00260757-01	-0.3173	0
NCGC00260826-01	-0.1471	0
NCGC00260889-01	-0.4468	0
NCGC00260811-01	-0.3623	0
NCGC00261165-01	-0.636	0
NCGC00261060-01	-0.5107	0
NCGC00261541-01	-0.6623	0
NCGC00261649-01	-0.6198	0
NCGC00261110-01	0.1534	1
NCGC00261130-01	0.365	1
NCGC00260846-01	-0.5288	0
NCGC00261030-01	-0.7527	0
NCGC00261162-01	0.3674	1
NCGC00261058-01	0.1422	1
NCGC00261404-01	0.1246	1
NCGC00261423-01	-0.7154	0
NCGC00261856-01	-0.4934	0
NCGC00261342-01	0.3368	1
NCGC00261069-01	0.0336	1
NCGC00261101-01	-0.067	0
NCGC00261716-01	-0.456	0
NCGC00260742-01	-0.6738	0
NCGC00261529-01	0.1727	1
NCGC00261170-01	-0.6134	0
NCGC00261565-01	-0.5677	0
NCGC00260990-01	-0.0874	0
NCGC00261340-01	0.1278	1
NCGC00261079-01	-0.5877	0
NCGC00261389-01	-0.2915	0
NCGC00261744-01	-0.2193	0
NCGC00261420-01	-0.811	0
NCGC00261215-01	-0.6125	0
NCGC00261826-01	-0.3789	0
NCGC00261123-01	-0.0573	0
NCGC00261367-01	-0.8454	0
NCGC00261507-01	-0.9194	0
NCGC00261169-01	-0.3119	0
NCGC00261730-01	-0.9121	0
NCGC00261624-01	-0.5851	0
NCGC00261641-01	-0.2377	0
NCGC00261853-01	0.0113	1
NCGC00260911-01	-0.6673	0
NCGC00261384-01	-0.3802	0
NCGC00260785-01	-0.672	0
NCGC00261025-01	-0.5786	0
NCGC00260789-01	-0.5722	0
NCGC00260866-01	-0.5884	0
NCGC00261189-01	-0.6446	0
NCGC00261270-01	-0.0982	0
NCGC00261611-01	-0.3683	0
NCGC00261817-01	-0.3933	0
NCGC00261866-01	-0.1492	0
NCGC00260852-01	-0.8391	0
NCGC00261290-01	-0.4262	0
NCGC00261304-01	-0.3785	0
NCGC00261704-01	-0.6793	0
NCGC00260850-01	-0.3914	0
NCGC00260972-01	-0.3906	0
NCGC00261392-01	-0.8818	0
NCGC00261638-01	-0.3289	0
NCGC00261820-01	-0.7769	0
NCGC00261808-01	-0.6209	0
NCGC00260790-01	-0.8578	0
NCGC00260940-01	-0.9012	0
NCGC00261081-01	-0.3291	0
NCGC00261506-01	-0.5963	0
NCGC00261133-01	-0.7902	0
NCGC00261399-01	-0.7663	0
NCGC00260696-01	0.1594	1
NCGC00261903-01	-0.1909	0
NCGC00261178-01	-0.0804	0
NCGC00261568-01	-0.8261	0
NCGC00260830-01	-0.755	0
NCGC00261113-01	-0.6725	0
NCGC00261327-01	-0.8906	0
NCGC00261602-01	-0.8323	0
NCGC00260858-01	-0.0969	0
NCGC00261071-01	-0.2824	0
NCGC00261076-01	-0.7817	0
NCGC00261192-01	-0.3818	0
NCGC00261577-01	-0.4145	0
NCGC00261510-01	-0.3328	0
NCGC00261679-01	-0.2236	0
NCGC00261941-01	-0.3969	0
NCGC00261343-01	-0.3263	0
NCGC00261607-01	-0.7402	0
NCGC00261782-01	-0.5336	0
NCGC00261475-01	0.2125	1
NCGC00261764-01	-0.0178	0
NCGC00261802-01	-0.2818	0
NCGC00261813-01	-0.4757	0
NCGC00260795-01	0.1473	1
NCGC00261352-01	0.0598	1
NCGC00261009-01	-0.4532	0
NCGC00261944-01	-0.5912	0
NCGC00261166-01	0.157	1
NCGC00261332-01	-0.3539	0
NCGC00261333-01	-0.4518	0
NCGC00261260-01	0.1917	1
NCGC00261915-01	0.066	1
NCGC00261682-01	-0.693	0
NCGC00260910-01	-0.6662	0
NCGC00261272-01	0.1759	1
NCGC00260708-01	-0.7044	0
NCGC00261390-01	-0.5082	0
NCGC00260948-01	-0.4293	0
NCGC00261840-01	-0.5841	0
NCGC00261153-01	0.0254	1
NCGC00261406-01	-0.0827	0
NCGC00261053-01	-0.6755	0
