Sample ID	Score	Activity
NCGC00260691	0.12234	0
NCGC00260692	0.03155	0
NCGC00260693	0.08042	0
NCGC00260696	0.36384	0
NCGC00260698	0.23200	0
NCGC00260703	0.06695	0
NCGC00260706	0.09581	0
NCGC00260707	0.33067	0
NCGC00260708	0.02184	0
NCGC00260713	0.23277	0
NCGC00260716	0.03175	0
NCGC00260728	0.10080	0
NCGC00260731	0.22511	0
NCGC00260742	0.28180	0
NCGC00260743	0.05376	0
NCGC00260751	0.06936	0
NCGC00260757	0.03135	0
NCGC00260770	0.06230	0
NCGC00260775	0.03601	0
NCGC00260782	0.07367	0
NCGC00260785	0.26614	0
NCGC00260789	0.25792	0
NCGC00260790	0.14888	0
NCGC00260795	0.33331	0
NCGC00260798	0.36351	0
NCGC00260802	0.05361	0
NCGC00260803	0.22331	0
NCGC00260811	0.22665	0
NCGC00260815	0.25447	0
NCGC00260817	0.08137	0
NCGC00260821	0.21822	0
NCGC00260822	0.48629	0
NCGC00260823	0.09426	0
NCGC00260826	0.04461	0
NCGC00260830	0.19447	0
NCGC00260831	0.29413	0
NCGC00260833	0.24423	0
NCGC00260834	0.33055	0
NCGC00260840	0.33275	0
NCGC00260846	0.15360	0
NCGC00260850	0.28396	0
NCGC00260852	0.16460	0
NCGC00260858	0.51589	1
NCGC00260866	0.17007	0
NCGC00260867	0.03335	0
NCGC00260869	0.21397	0
NCGC00260871	0.30372	0
NCGC00260875	0.28051	0
NCGC00260876	0.02138	0
NCGC00260881	0.05750	0
NCGC00260889	0.13978	0
NCGC00260890	0.35332	0
NCGC00260892	0.36386	0
NCGC00260910	0.27823	0
NCGC00260911	0.20580	0
NCGC00260921	0.32811	0
NCGC00260940	0.21149	0
NCGC00260947	0.36601	0
NCGC00260948	0.04187	0
NCGC00260957	0.50125	1
NCGC00260962	0.22576	0
NCGC00260972	0.31788	0
NCGC00260979	0.22463	0
NCGC00260980	0.35886	0
NCGC00260982	0.15420	0
NCGC00260990	0.51097	1
NCGC00260993	0.13205	0
NCGC00261003	0.19272	0
NCGC00261005	0.07822	0
NCGC00261007	0.08516	0
NCGC00261008	0.27787	0
NCGC00261009	0.32106	0
NCGC00261013	0.34121	0
NCGC00261018	0.14572	0
NCGC00261019	0.13707	0
NCGC00261025	0.20537	0
NCGC00261026	0.31632	0
NCGC00261028	0.12175	0
NCGC00261030	0.27068	0
NCGC00261037	0.19146	0
NCGC00261049	0.25230	0
NCGC00261052	0.32005	0
NCGC00261053	0.05211	0
NCGC00261057	0.20682	0
NCGC00261058	0.41150	0
NCGC00261060	0.06498	0
NCGC00261065	0.34004	0
NCGC00261071	0.33903	0
NCGC00261075	0.42562	0
NCGC00261076	0.09448	0
NCGC00261079	0.29179	0
NCGC00261080	0.37048	0
