Sample ID	Score	Activity
NCGC00261900-01	0.15378	0
NCGC00260869-01	0.07453	0
NCGC00261776-01	0.04847	0
NCGC00261380-01	0.03486	0
NCGC00261842-01	0.046	0
NCGC00261662-01	0.03273	0
NCGC00261190-01	0.09972	0
NCGC00260731-01	0.04476	0
NCGC00261926-01	0.07186	0
NCGC00261579-01	0.04503	0
NCGC00260921-01	0.04764	0
NCGC00261119-01	0.02619	0
NCGC00260957-01	0.13654	0
NCGC00261812-01	0.04623	0
NCGC00260831-01	0.05793	0
NCGC00261544-01	0.02613	0
NCGC00261619-01	0.05213	0
NCGC00261633-01	0.01444	0
NCGC00261395-01	0.08275	0
NCGC00261717-01	0.04784	0
NCGC00261947-01	0.0872	0
NCGC00261424-01	0.70178	1
NCGC00261861-01	0.04377	0
NCGC00261924-01	0.02247	0
NCGC00261052-01	0.13238	0
NCGC00261683-01	0.02954	0
NCGC00261026-01	0.03973	0
NCGC00261057-01	0.04444	0
NCGC00261738-01	0.02928	0
NCGC00261348-01	0.04269	0
NCGC00261503-01	0.03144	0
NCGC00260693-01	0.02409	0
NCGC00260703-01	0.03209	0
NCGC00260716-01	0.00578	0
NCGC00260782-01	0.05661	0
NCGC00260802-01	0.01737	0
NCGC00260823-01	0.01378	0
NCGC00261313-01	0.00108	0
NCGC00260757-01	0.01105	0
NCGC00260826-01	0.0109	0
NCGC00261005-01	0.01582	0
NCGC00260980-01	0.03589	0
NCGC00261816-01	0.0344	0
NCGC00260698-01	0.02644	0
NCGC00260889-01	0.01881	0
NCGC00260811-01	0.0289	0
NCGC00261165-01	0.05026	0
NCGC00261060-01	0.01136	0
NCGC00261541-01	0.02485	0
NCGC00261649-01	0.00348	0
NCGC00261110-01	0.03206	0
NCGC00261130-01	0.19766	0
NCGC00260846-01	0.0202	0
NCGC00261030-01	0.00913	0
NCGC00261162-01	0.01356	0
NCGC00261058-01	0.09202	0
NCGC00261404-01	0.03434	0
NCGC00261423-01	0.03708	0
NCGC00261856-01	0.02417	0
NCGC00261342-01	0.69074	1
NCGC00261935-01	0.01561	0
