ID	Score	Activity
NCGC00260869-01	0.325464532	0
NCGC00261776-01	0.464073598	0
NCGC00261380-01	0.44399332	0
NCGC00261842-01	0.435826302	0
NCGC00261662-01	0.69074152	1
NCGC00261190-01	0.411398386	0
NCGC00260731-01	0.47829781	0
NCGC00261926-01	0.356579332	0
NCGC00261579-01	0.384981637	0
NCGC00260921-01	0.53964421	1
NCGC00261119-01	0.363768073	0
NCGC00260957-01	0.556911202	1
NCGC00261812-01	0.430876501	0
NCGC00260831-01	0.51741038	1
NCGC00261544-01	0.406700316	0
NCGC00261619-01	0.50591279	1
NCGC00261633-01	0.255223528	0
NCGC00261395-01	0.465982144	0
NCGC00261717-01	0.514949388	1
NCGC00261947-01	0.472200437	0
NCGC00261424-01	0.831702728	1
NCGC00261861-01	0.630377508	1
NCGC00261924-01	0.618896201	1
NCGC00261052-01	0.532926091	1
NCGC00261026-01	0.415819958	0
NCGC00261057-01	0.27707184	0
NCGC00261738-01	0.259784088	0
NCGC00261348-01	0.275243185	0
NCGC00261503-01	0.337208783	0
NCGC00260693-01	0.264617414	0
NCGC00260703-01	0.25755933	0
NCGC00260716-01	0.201639371	0
NCGC00260782-01	0.239382604	0
NCGC00260802-01	0.208953212	0
NCGC00260823-01	0.22460052	0
NCGC00261313-01	0.255154972	0
NCGC00260757-01	0.248246376	0
NCGC00260826-01	0.200739167	0
NCGC00260980-01	0.372691942	0
NCGC00260889-01	0.278402395	0
NCGC00260811-01	0.329692237	0
NCGC00261165-01	0.311176407	0
NCGC00261060-01	0.255834108	0
NCGC00261541-01	0.267752535	0
NCGC00261649-01	0.230555556	0
NCGC00261110-01	0.471907774	0
NCGC00261130-01	0.622617291	1
NCGC00260846-01	0.392213657	0
NCGC00261030-01	0.386387703	0
NCGC00261162-01	0.404759144	0
NCGC00261058-01	0.472133882	0
NCGC00261404-01	0.362515158	0
NCGC00261423-01	0.550299116	1
NCGC00261856-01	0.575044715	1
NCGC00261342-01	0.578200985	1
NCGC00261935-01	0.355103791	0
NCGC00261069-01	0.419735301	0
NCGC00261101-01	0.457073408	0
NCGC00261183-01	0.388697371	0
NCGC00261716-01	0.325540648	0
NCGC00260742-01	0.435266409	0
NCGC00261529-01	0.39295148	0
NCGC00261170-01	0.535422283	1
NCGC00261565-01	0.310828383	0
NCGC00260990-01	0.745582155	1
NCGC00261340-01	0.592994197	1
NCGC00261079-01	0.291377822	0
NCGC00261389-01	0.316675045	0
NCGC00261744-01	0.386762467	0
NCGC00261420-01	0.305994869	0
NCGC00261215-01	0.468430723	0
NCGC00261826-01	0.322819905	0
NCGC00261123-01	0.520636306	1
NCGC00261367-01	0.321830025	0
NCGC00261507-01	0.308614636	0
NCGC00261169-01	0.411010949	0
NCGC00261730-01	0.266799402	0
NCGC00261624-01	0.269937884	0
NCGC00261641-01	0.280168928	0
NCGC00261853-01	0.460413113	0
NCGC00260911-01	0.452008496	0
NCGC00260798-01	0.340286384	0
NCGC00261384-01	0.305507986	0
NCGC00260785-01	0.513870857	1
NCGC00261597-01	0.382344847	0
NCGC00261025-01	0.236108492	0
NCGC00260789-01	0.29563006	0
NCGC00260866-01	0.285455079	0
NCGC00261189-01	0.275621652	0
NCGC00261270-01	0.521822598	1
NCGC00261611-01	0.390099087	0
NCGC00261160-01	0.457861325	0
NCGC00261085-01	0.254107629	0
NCGC00261817-01	0.373284598	0
NCGC00261866-01	0.388302602	0
NCGC00260852-01	0.329135764	0
NCGC00261290-01	0.48265652	0
NCGC00261304-01	0.438154257	0
NCGC00261704-01	0.375803938	0
NCGC00260850-01	0.371662393	0
NCGC00260972-01	0.318761997	0
NCGC00261364-01	0.295979765	0
NCGC00261392-01	0.393274564	0
NCGC00261638-01	0.292423077	0
NCGC00261820-01	0.239011242	0
NCGC00261808-01	0.27563637	0
NCGC00260790-01	0.454775679	0
NCGC00260940-01	0.346492834	0
NCGC00261081-01	0.373486558	0
NCGC00261506-01	0.478800286	0
NCGC00261133-01	0.337592441	0
NCGC00261399-01	0.47356742	0
NCGC00260696-01	0.601649227	1
NCGC00261903-01	0.464101798	0
NCGC00261178-01	0.461816741	0
NCGC00261568-01	0.267944441	0
NCGC00260830-01	0.296047092	0
NCGC00261113-01	0.243234422	0
NCGC00261327-01	0.262129028	0
NCGC00261602-01	0.273434411	0
NCGC00260858-01	0.644325951	1
NCGC00261071-01	0.377884835	0
NCGC00261076-01	0.253989487	0
NCGC00261192-01	0.402640792	0
NCGC00261495-01	0.490668653	0
NCGC00261577-01	0.542127788	1
NCGC00261510-01	0.423702395	0
NCGC00261679-01	0.582077088	1
NCGC00261941-01	0.334625249	0
NCGC00261343-01	0.392234732	0
NCGC00261607-01	0.345500821	0
NCGC00261782-01	0.365721683	0
NCGC00261914-01	0.339923528	0
NCGC00261475-01	0.454287779	0
NCGC00261764-01	0.501084826	1
NCGC00261802-01	0.524522745	1
NCGC00261813-01	0.386505592	0
NCGC00260795-01	0.400965291	0
NCGC00261352-01	0.584358311	1
NCGC00261009-01	0.422370685	0
NCGC00261944-01	0.380426413	0
NCGC00261166-01	0.441392168	0
NCGC00261332-01	0.513761205	1
NCGC00261333-01	0.413328707	0
NCGC00261260-01	0.644883303	1
NCGC00261915-01	0.540596484	1
NCGC00261682-01	0.416075463	0
NCGC00260910-01	0.329776665	0
NCGC00261272-01	0.412448333	0
NCGC00260708-01	0.219941775	0
NCGC00261390-01	0.193387228	0
NCGC00260948-01	0.264548877	0
NCGC00261840-01	0.291013665	0
NCGC00260881-01	0.247288681	0
NCGC00261153-01	0.381195026	0
NCGC00261406-01	0.377102803	0
NCGC00261053-01	0.217357472	0
NCGC00261129-01	0.220280085	0
NCGC00261381-01	0.364571585	0
NCGC00261426-01	0.516732394	1
NCGC00260979-01	0.265309227	0
NCGC00260993-01	0.25329223	0
NCGC00261108-01	0.280053972	0
NCGC00261877-01	0.248684435	0
NCGC00260815-01	0.324170299	0
NCGC00261542-01	0.367854329	0
NCGC00261958-01	0.27124674	0
NCGC00261787-01	0.397739356	0
NCGC00261065-01	0.541930662	1
NCGC00261804-01	0.422512942	0
NCGC00260875-01	0.384248686	0
NCGC00261451-01	0.330161507	0
NCGC00261739-01	0.434881073	0
NCGC00261948-01	0.508020026	1
NCGC00261382-01	0.465989888	0
NCGC00261663-01	0.371928425	0
NCGC00261297-01	0.408651015	0
NCGC00261321-01	0.440011518	0
NCGC00261446-01	0.406573386	0
NCGC00261474-01	0.28002701	0
NCGC00260834-01	0.401646366	0
NCGC00260840-01	0.359459378	0
NCGC00260947-01	0.368093198	0
NCGC00261563-01	0.375303981	0
NCGC00261873-01	0.393342161	0
NCGC00260803-01	0.266148089	0
NCGC00260833-01	0.240399059	0
NCGC00261008-01	0.284466276	0
NCGC00261155-01	0.242807757	0
NCGC00261643-01	0.261897344	0
NCGC00261126-01	0.459972253	0
NCGC00260871-01	0.425920283	0
NCGC00260713-01	0.434104287	0
NCGC00261487-01	0.503505652	1
NCGC00261545-01	0.490338554	0
NCGC00261480-01	0.337261266	0
NCGC00261838-01	0.365169338	0
NCGC00261627-01	0.270358261	0
NCGC00261639-01	0.250549132	0
NCGC00261177-01	0.195390576	0
NCGC00260692-01	0.206365826	0
NCGC00260775-01	0.20652544	0
NCGC00260876-01	0.305654901	0
NCGC00261598-01	0.351154708	0
NCGC00260707-01	0.365962291	0
NCGC00261554-01	0.357342433	0
NCGC00261713-01	0.615694356	1
NCGC00261737-01	0.635540782	1
NCGC00261882-01	0.722638591	1
NCGC00261933-01	0.42499203	0
NCGC00261201-01	0.295144784	0
NCGC00261398-01	0.536850524	1
NCGC00261003-01	0.280946343	0
NCGC00261019-01	0.22902439	0
NCGC00261519-01	0.248127823	0
NCGC00261732-01	0.240802924	0
NCGC00260743-01	0.250773436	0
NCGC00260751-01	0.293758594	0
NCGC00260867-01	0.204784298	0
NCGC00260982-01	0.31187426	0
NCGC00261176-01	0.221601799	0
NCGC00261289-01	0.455037727	0
NCGC00261657-01	0.209312689	0
NCGC00260822-01	0.458290624	0
NCGC00261142-01	0.516756237	1
NCGC00261582-01	0.756866928	1
NCGC00261825-01	0.437375825	0
NCGC00261833-01	0.49967727	0
NCGC00261835-01	0.387492861	0
NCGC00261860-01	0.441930838	0
NCGC00261906-01	0.443046837	0
NCGC00261916-01	0.455810499	0
NCGC00261939-01	0.463628799	0
NCGC00261869-01	0.413877525	0
NCGC00261163-01	0.470973547	0
NCGC00261653-01	0.593099934	1
NCGC00260770-01	0.195965669	0
NCGC00261013-01	0.353257765	0
NCGC00261910-01	0.654983626	1
NCGC00261686-01	0.279210419	0
NCGC00261147-01	0.408977794	0
NCGC00261578-01	0.353780512	0
NCGC00261336-01	0.328403677	0
NCGC00261593-01	0.402094416	0
NCGC00260821-01	0.257041786	0
NCGC00261007-01	0.281842935	0
NCGC00261246-01	0.195439263	0
NCGC00261949-01	0.277312028	0
NCGC00260890-01	0.386047154	0
NCGC00261294-01	0.21830524	0
NCGC00261330-01	0.267060788	0
NCGC00261470-01	0.415371232	0
NCGC00260691-01	0.194246327	0
NCGC00261693-01	0.343349801	0
NCGC00261293-01	0.439094977	0
NCGC00261018-01	0.282090404	0
NCGC00261075-01	0.41110706	0
NCGC00261150-01	0.454991195	0
NCGC00261767-01	0.418884591	0
NCGC00261824-01	0.286692643	0
NCGC00261146-01	0.311612343	0
NCGC00260817-01	0.301176247	0
NCGC00261161-01	0.30523378	0
NCGC00260728-01	0.214064049	0
NCGC00261254-01	0.461633759	0
NCGC00261261-01	0.457651331	0
NCGC00261691-01	0.417170425	0
NCGC00261921-01	0.478466829	0
NCGC00260962-01	0.256769501	0
NCGC00261028-01	0.336111133	0
NCGC00261349-01	0.429479116	0
NCGC00261583-01	0.400011566	0
NCGC00261672-01	0.326589661	0
NCGC00261620-01	0.523400054	1
NCGC00261141-01	0.468388986	0
NCGC00261752-01	0.519866428	1
NCGC00261828-01	0.511389788	1
NCGC00261913-01	0.400597164	0
NCGC00357009-01	0.254293442	0
NCGC00357188-01	0.566636207	1
NCGC00357201-01	0.455072609	0
NCGC00357189-01	0.281798607	0
NCGC00357163-01	0.268616365	0
NCGC00357030-01	0.337050866	0
NCGC00357123-01	0.409345264	0
NCGC00357091-01	0.327517862	0
NCGC00357004-01	0.355843485	0
NCGC00357103-01	0.378553977	0
NCGC00357289-01	0.436815547	0
NCGC00357082-01	0.577868438	1
NCGC00356999-01	0.317490204	0
NCGC00357116-01	0.339903036	0
NCGC00357010-01	0.352808395	0
NCGC00357057-01	0.431603722	0
NCGC00356964-01	0.440513888	0
NCGC00356995-01	0.331969751	0
NCGC00357062-01	0.559653576	1
NCGC00357205-01	0.539168588	1
NCGC00357185-01	0.340566872	0
NCGC00357028-01	0.412653718	0
NCGC00357064-01	0.2511908	0
NCGC00357196-01	0.590403194	1
NCGC00357271-01	0.668923659	1
NCGC00357213-01	0.291497062	0
NCGC00357198-01	0.247651493	0
NCGC00357079-01	0.194545507	0
NCGC00357080-01	0.436665287	0
NCGC00357173-01	0.178281882	0
NCGC00357277-01	0.235439989	0
NCGC00357240-01	0.258237477	0
NCGC00357145-01	0.311219192	0
NCGC00357157-01	0.046841802	0
NCGC00357160-01	0.283269766	0
NCGC00357107-01	0.237474196	0
NCGC00357106-01	0.299450309	0
NCGC00357047-01	0.408147711	0
NCGC00357174-01	0.396912449	0
NCGC00357090-01	0.396187608	0
NCGC00357204-01	0.224487882	0
NCGC00357214-01	0.461963775	0
NCGC00357124-01	0.526151598	1
NCGC00356983-01	0.342798135	0
NCGC00357092-01	0.174381576	0
NCGC00357042-01	0.169605292	0
NCGC00357036-01	0.307138912	0
NCGC00357089-01	0.461300105	0
NCGC00357170-01	0.416316727	0
NCGC00357132-01	0.486554407	0
NCGC00357265-01	0.19938228	0
NCGC00357260-01	0.227843373	0
NCGC00357023-01	0.310963944	0
NCGC00357114-01	0.286140194	0
NCGC00357033-01	0.175454039	0
NCGC00357120-01	0.224850067	0
NCGC00356963-01	0.262083959	0
NCGC00357055-01	0.663887642	1
NCGC00357139-01	0.267594576	0
NCGC00357026-01	0.644374403	1
NCGC00357242-01	0.592206904	1
NCGC00357161-01	0.324094675	0
NCGC00357279-01	0.292644291	0
NCGC00357288-01	0.4982939	0
NCGC00356973-01	0.224086813	0
NCGC00357143-01	0.160411211	0
NCGC00357182-01	0.185600194	0
NCGC00356971-01	0.194374715	0
NCGC00357084-01	0.226688582	0
NCGC00357112-01	0.310915939	0
NCGC00356962-01	0.494976321	0
NCGC00356993-01	0.4541643	0
NCGC00357284-01	0.407341902	0
NCGC00357046-01	0.407837607	0
