Sample ID	Score	Activity
NCGC00261900-01	0.04282	0
NCGC00260869-01	0.04194	0
NCGC00261776-01	0.04162	0
NCGC00261380-01	0.04031	0
NCGC00261842-01	0.03864	0
NCGC00261662-01	0.03818	0
NCGC00261190-01	0.04373	0
NCGC00260731-01	0.03581	0
NCGC00261926-01	0.04218	0
NCGC00261579-01	0.04097	0
NCGC00260921-01	0.0418	0
NCGC00261119-01	0.03593	0
NCGC00260957-01	0.04283	0
NCGC00261812-01	0.04059	0
NCGC00260831-01	0.0418	0
NCGC00261544-01	0.03986	0
NCGC00261619-01	0.04084	0
NCGC00261633-01	0.03552	0
NCGC00261395-01	0.04212	0
NCGC00261717-01	0.04271	0
NCGC00261947-01	0.04274	0
NCGC00261424-01	0.07607	0
NCGC00261861-01	0.04332	0
NCGC00261924-01	0.03776	0
NCGC00261052-01	0.04444	0
NCGC00261683-01	0.03816	0
NCGC00261026-01	0.04192	0
NCGC00261057-01	0.04017	0
NCGC00261738-01	0.0374	0
NCGC00261348-01	0.03914	0
NCGC00261503-01	0.039	0
NCGC00260693-01	0.04094	0
NCGC00260703-01	0.04135	0
NCGC00260716-01	0.02174	0
NCGC00260782-01	0.04086	0
NCGC00260802-01	0.03552	0
NCGC00260823-01	0.03351	0
NCGC00261313-01	0.02844	0
NCGC00260757-01	0.03154	0
NCGC00260826-01	0.02729	0
NCGC00261005-01	0.03548	0
NCGC00260980-01	0.04139	0
NCGC00261816-01	0.04173	0
NCGC00260698-01	0.03937	0
NCGC00260889-01	0.03906	0
NCGC00260811-01	0.03934	0
NCGC00261165-01	0.04167	0
NCGC00261060-01	0.03359	0
NCGC00261541-01	0.0316	0
NCGC00261649-01	0.03261	0
NCGC00261110-01	0.04019	0
NCGC00261130-01	0.04463	0
NCGC00260846-01	0.03567	0
NCGC00261030-01	0.03237	0
NCGC00261162-01	0.03597	0
NCGC00261058-01	0.04197	0
NCGC00261404-01	0.04112	0
NCGC00261423-01	0.04041	0
NCGC00261856-01	0.03439	0
NCGC00261342-01	0.04575	0
NCGC00261935-01	0.02875	0
NCGC00261069-01	0.03947	0
NCGC00261101-01	0.04079	0
NCGC00261183-01	0.04098	0
NCGC00261716-01	0.04028	0
NCGC00260742-01	0.04144	0
NCGC00261529-01	0.0407	0
NCGC00261170-01	0.03931	0
NCGC00261565-01	0.04121	0
NCGC00260990-01	0.04438	0
NCGC00261340-01	0.05055	0
NCGC00261079-01	0.03982	0
NCGC00261389-01	0.0423	0
NCGC00261744-01	0.04181	0
NCGC00261420-01	0.03849	0
NCGC00261215-01	0.04239	0
NCGC00261826-01	0.04126	0
NCGC00260706-01	0.03967	0
NCGC00261123-01	0.03862	0
NCGC00261367-01	0.04083	0
NCGC00261507-01	0.04024	0
NCGC00261169-01	0.04084	0
NCGC00261730-01	0.03649	0
NCGC00261624-01	0.03608	0
NCGC00261641-01	0.03719	0
NCGC00261853-01	0.04315	0
NCGC00260911-01	0.04257	0
NCGC00260798-01	0.04047	0
NCGC00261384-01	0.04054	0
NCGC00260785-01	0.04156	0
NCGC00261597-01	0.04172	0
NCGC00261025-01	0.03291	0
NCGC00260789-01	0.03894	0
NCGC00260866-01	0.04182	0
NCGC00261189-01	0.04094	0
NCGC00261270-01	0.0642	0
NCGC00261611-01	0.04248	0
NCGC00261160-01	0.04251	0
NCGC00261085-01	0.03103	0
NCGC00261817-01	0.03975	0
NCGC00261866-01	0.03924	0
NCGC00260852-01	0.03875	0
NCGC00261290-01	0.03952	0
NCGC00261304-01	0.04189	0
NCGC00261704-01	0.04085	0
NCGC00260850-01	0.04147	0
NCGC00260972-01	0.04134	0
NCGC00261364-01	0.02702	0
NCGC00261392-01	0.03961	0
NCGC00261638-01	0.04297	0
NCGC00261820-01	0.03865	0
NCGC00261808-01	0.04006	0
NCGC00260790-01	0.03807	0
NCGC00260940-01	0.03981	0
NCGC00261081-01	0.0408	0
NCGC00261506-01	0.04241	0
NCGC00261133-01	0.0389	0
NCGC00261399-01	0.04257	0
NCGC00260696-01	0.04149	0
NCGC00261903-01	0.04121	0
NCGC00261178-01	0.04142	0
NCGC00261568-01	0.04194	0
NCGC00260830-01	0.04074	0
NCGC00261113-01	0.03796	0
NCGC00261327-01	0.03695	0
NCGC00261602-01	0.03808	0
NCGC00260858-01	0.04951	0
NCGC00261071-01	0.0396	0
NCGC00261076-01	0.03862	0
NCGC00261192-01	0.04288	0
NCGC00261495-01	0.0385	0
NCGC00261577-01	0.044	0
NCGC00261510-01	0.04188	0
NCGC00261679-01	0.03246	0
NCGC00261941-01	0.03943	0
NCGC00261343-01	0.04169	0
NCGC00261607-01	0.04122	0
NCGC00261782-01	0.04064	0
NCGC00261914-01	0.0422	0
NCGC00261475-01	0.0427	0
NCGC00261764-01	0.04276	0
NCGC00261802-01	0.04266	0
NCGC00261813-01	0.04247	0
NCGC00260795-01	0.03846	0
NCGC00261352-01	0.04371	0
NCGC00261009-01	0.04051	0
NCGC00261944-01	0.04222	0
NCGC00261166-01	0.04292	0
NCGC00261332-01	0.0421	0
NCGC00261333-01	0.04272	0
NCGC00261260-01	0.04946	0
NCGC00261915-01	0.04103	0
NCGC00261238-01	0.04986	0
NCGC00261682-01	0.04241	0
NCGC00261049-01	0.04255	0
NCGC00260910-01	0.04183	0
NCGC00261272-01	0.04164	0
NCGC00260708-01	0.02829	0
NCGC00261390-01	0.04008	0
NCGC00260948-01	0.02418	0
NCGC00261840-01	0.02875	0
NCGC00260881-01	0.02709	0
NCGC00261153-01	0.04233	0
NCGC00261406-01	0.03335	0
NCGC00261053-01	0.03495	0
NCGC00261129-01	0.0318	0
NCGC00261381-01	0.04254	0
NCGC00261426-01	0.04334	0
NCGC00260979-01	0.03406	0
