Sample ID	Score	Activity
NCGC00261900-01	0.08877	1
NCGC00260869-01	-0.81773	0
NCGC00261776-01	-0.06613	0
NCGC00261380-01	-0.86535	0
NCGC00261842-01	-0.86714	0
NCGC00261662-01	-0.83415	0
NCGC00261190-01	-0.71818	0
NCGC00260731-01	-0.89413	0
NCGC00261926-01	-0.5666	0
NCGC00261579-01	-1.7671	0
NCGC00260921-01	-0.80852	0
NCGC00261119-01	-0.87572	0
NCGC00260957-01	-1.11543	0
NCGC00261812-01	-0.2994	0
NCGC00260831-01	-0.37695	0
NCGC00261544-01	-0.35753	0
NCGC00261619-01	-0.7279	0
NCGC00261633-01	-1.38082	0
NCGC00261395-01	-0.08186	0
NCGC00261717-01	-0.13182	0
NCGC00261947-01	-0.59198	0
NCGC00261424-01	2.83253	1
NCGC00261861-01	0.34013	1
NCGC00261924-01	-0.2699	0
NCGC00261052-01	-0.35896	0
NCGC00261683-01	-0.74065	0
NCGC00261026-01	-0.16699	0
NCGC00261057-01	-1.59719	0
NCGC00261738-01	-0.87921	0
NCGC00261348-01	-0.82479	0
NCGC00261503-01	-0.59298	0
NCGC00260693-01	-0.91589	0
NCGC00260703-01	-0.79923	0
NCGC00260716-01	-1.21376	0
NCGC00260782-01	0.72028	1
NCGC00260802-01	0.01849	1
NCGC00260823-01	0.18144	1
NCGC00261313-01	-1.11402	0
NCGC00260757-01	0.86105	1
NCGC00260826-01	-0.11584	0
NCGC00261005-01	-0.6085	0
NCGC00260980-01	-0.94534	0
NCGC00261816-01	-1.13183	0
NCGC00260698-01	-0.15718	0
NCGC00260889-01	-0.72901	0
NCGC00260811-01	-0.55894	0
NCGC00261165-01	-0.46924	0
NCGC00261060-01	-0.71887	0
NCGC00261541-01	-0.76618	0
NCGC00261649-01	-0.26748	0
NCGC00261110-01	0.08711	1
NCGC00261130-01	1.45439	1
NCGC00260846-01	-0.2825	0
NCGC00261030-01	0.10974	1
NCGC00261162-01	1.37627	1
NCGC00261058-01	-0.09992	0
NCGC00261404-01	-0.30467	0
NCGC00261423-01	-0.64015	0
NCGC00261856-01	0.2928	1
NCGC00261342-01	1.44035	1
NCGC00261935-01	-0.38046	0
NCGC00261069-01	-0.61992	0
NCGC00261101-01	-0.24396	0
NCGC00261183-01	-0.56574	0
NCGC00261716-01	-1.02782	0
NCGC00260742-01	-1.16176	0
NCGC00261529-01	-0.14157	0
NCGC00261170-01	-0.23439	0
NCGC00261565-01	-0.86428	0
NCGC00260990-01	0.92911	1
NCGC00261340-01	0.56447	1
NCGC00261079-01	-0.91953	0
NCGC00261389-01	-0.9106	0
NCGC00261744-01	-0.7393	0
NCGC00261420-01	-0.38663	0
NCGC00261215-01	-0.08957	0
NCGC00261826-01	-1.02412	0
NCGC00260706-01	-0.77956	0
NCGC00261123-01	0.81618	1
NCGC00261367-01	0.01602	1
NCGC00261507-01	-0.66928	0
NCGC00261169-01	-0.88781	0
NCGC00261730-01	-0.67301	0
NCGC00261624-01	-0.45233	0
NCGC00261641-01	-0.45563	0
NCGC00261853-01	0.38416	1
NCGC00260911-01	-0.43971	0
NCGC00260798-01	-0.8484	0
NCGC00261384-01	-0.21834	0
NCGC00260785-01	-0.98393	0
NCGC00261597-01	-0.40384	0
NCGC00261025-01	-0.44995	0
NCGC00260789-01	-1.00332	0
NCGC00260866-01	-0.62962	0
NCGC00261189-01	-1.17269	0
NCGC00261270-01	0.60219	1
NCGC00261611-01	-1.19358	0
NCGC00261160-01	-1.15987	0
NCGC00261085-01	-2.36924	0
NCGC00261817-01	-0.80303	0
NCGC00261866-01	-0.67525	0
NCGC00260852-01	-0.66787	0
NCGC00261290-01	-0.17732	0
NCGC00261304-01	-0.20049	0
NCGC00261704-01	-1.18106	0
NCGC00260850-01	-0.92048	0
NCGC00260972-01	-0.86988	0
NCGC00261364-01	-1.3801	0
NCGC00261392-01	-1.10958	0
NCGC00261638-01	-0.74172	0
NCGC00261820-01	-0.39775	0
NCGC00261808-01	-0.87462	0
NCGC00260790-01	-0.59212	0
NCGC00260940-01	-1.21813	0
NCGC00261081-01	-0.62224	0
NCGC00261506-01	-0.5153	0
NCGC00261133-01	-1.20825	0
NCGC00261399-01	-0.43429	0
NCGC00260696-01	-0.46071	0
NCGC00261903-01	-0.02835	0
NCGC00261178-01	-0.27894	0
NCGC00261568-01	-0.81687	0
NCGC00260830-01	-0.49285	0
NCGC00261113-01	-0.11427	0
NCGC00261327-01	-0.31821	0
NCGC00261602-01	0.26013	1
NCGC00260858-01	0.74649	1
NCGC00261071-01	-0.74258	0
NCGC00261076-01	-0.35113	0
NCGC00261192-01	-0.76415	0
NCGC00261495-01	-0.88503	0
NCGC00261577-01	0.44446	1
NCGC00261510-01	-0.93058	0
NCGC00261679-01	-0.07698	0
NCGC00261941-01	-0.66281	0
NCGC00261343-01	-0.99444	0
NCGC00261607-01	-1.28836	0
NCGC00261782-01	-0.57294	0
NCGC00261914-01	-1.96729	0
NCGC00261475-01	-0.36216	0
NCGC00261764-01	-0.64452	0
NCGC00261802-01	-0.40409	0
NCGC00261813-01	-0.53238	0
NCGC00260795-01	0.09734	1
NCGC00261352-01	0.74793	1
NCGC00261009-01	-0.29312	0
NCGC00261944-01	-0.14285	0
NCGC00261166-01	-0.29467	0
NCGC00261332-01	-0.9678	0
NCGC00261333-01	-0.75618	0
NCGC00261260-01	0.57312	1
NCGC00261915-01	-0.54271	0
NCGC00261238-01	0.47016	1
NCGC00261682-01	-1.03614	0
NCGC00261049-01	-0.72773	0
NCGC00260910-01	-1.34657	0
NCGC00261272-01	-0.9594	0
NCGC00260708-01	0.17337	1
NCGC00261390-01	0.10676	1
NCGC00260948-01	-0.47472	0
NCGC00261840-01	-1.33134	0
NCGC00260881-01	-1.35041	0
NCGC00261153-01	0.14483	1
NCGC00261406-01	-0.59962	0
NCGC00261053-01	-1.34113	0
NCGC00261129-01	-1.01855	0
NCGC00261381-01	-0.60707	0
NCGC00261426-01	-0.21531	0
NCGC00260979-01	-1.67862	0
NCGC00260993-01	-1.52137	0
NCGC00261108-01	-1.46919	0
NCGC00261441-01	-0.6643	0
NCGC00261877-01	-1.3071	0
NCGC00260815-01	-0.85572	0
NCGC00261542-01	-0.33959	0
NCGC00261958-01	-1.1768	0
NCGC00261787-01	-0.74503	0
NCGC00261065-01	0.40511	1
NCGC00261804-01	-0.03889	0
NCGC00260875-01	-0.74033	0
NCGC00261451-01	-1.50732	0
NCGC00261739-01	-0.97327	0
NCGC00261948-01	0.12808	1
NCGC00261382-01	-1.02238	0
NCGC00261663-01	-0.40458	0
NCGC00260892-01	-0.19672	0
NCGC00261297-01	-0.25748	0
NCGC00261321-01	0.52482	1
NCGC00261446-01	-0.76916	0
NCGC00261474-01	-0.55917	0
NCGC00260834-01	-0.90239	0
NCGC00260840-01	-1.25218	0
NCGC00260947-01	-0.9553	0
NCGC00261080-01	-1.1239	0
NCGC00261563-01	-0.48224	0
NCGC00261873-01	-0.71575	0
NCGC00260803-01	-1.42399	0
NCGC00260833-01	-0.8889	0
NCGC00261008-01	-1.25745	0
NCGC00261155-01	-1.34727	0
NCGC00261643-01	-1.31654	0
NCGC00261037-01	-0.83709	0
NCGC00261126-01	-0.84278	0
NCGC00260871-01	-0.43991	0
NCGC00260713-01	-0.28847	0
NCGC00261487-01	0.12508	1
NCGC00261545-01	0.31407	1
NCGC00261480-01	-1.23271	0
NCGC00261838-01	-0.17026	0
NCGC00261627-01	-1.23302	0
NCGC00261639-01	-0.68427	0
NCGC00261177-01	-1.55448	0
NCGC00260692-01	-0.38556	0
NCGC00260775-01	-0.20912	0
NCGC00260876-01	-0.9211	0
NCGC00261598-01	-0.084	0
NCGC00260707-01	-0.22785	0
NCGC00261554-01	-0.28627	0
NCGC00261713-01	0.97294	1
NCGC00261737-01	-0.12182	0
NCGC00261882-01	1.90158	1
NCGC00261933-01	1.12336	1
NCGC00261201-01	-0.31233	0
NCGC00261398-01	-0.81276	0
NCGC00261601-01	-0.93908	0
NCGC00261003-01	0.27954	1
NCGC00261019-01	-1.67881	0
NCGC00261519-01	-1.06351	0
NCGC00261732-01	-1.72224	0
NCGC00261718-01	-1.33804	0
NCGC00260743-01	-1.09805	0
NCGC00260751-01	-2.26313	0
NCGC00260867-01	-0.93464	0
NCGC00260982-01	-1.22747	0
NCGC00261176-01	-1.14237	0
NCGC00261289-01	1.57396	1
NCGC00261440-01	-0.94457	0
NCGC00261657-01	-1.26586	0
NCGC00260822-01	0.11704	1
NCGC00261142-01	-0.59461	0
NCGC00261582-01	1.52564	1
NCGC00261825-01	1.31499	1
NCGC00261833-01	0.51061	1
NCGC00261835-01	0.11633	1
NCGC00261860-01	0.59358	1
NCGC00261906-01	0.89135	1
NCGC00261916-01	1.67089	1
NCGC00261939-01	0.719	1
NCGC00261869-01	-0.78099	0
NCGC00261163-01	-1.4116	0
NCGC00261653-01	1.2556	1
NCGC00261248-01	0.21893	1
NCGC00260770-01	-0.72685	0
NCGC00261013-01	0.81561	1
NCGC00261910-01	-0.35408	0
NCGC00261686-01	0.21816	1
NCGC00261147-01	-1.02965	0
NCGC00261578-01	-1.53709	0
NCGC00261336-01	-0.37197	0
NCGC00261593-01	1.14585	1
NCGC00260821-01	-0.01766	0
NCGC00261007-01	-1.2958	0
NCGC00261246-01	0.57809	1
NCGC00261949-01	0.78296	1
NCGC00260890-01	-0.31515	0
NCGC00261294-01	-0.7886	0
NCGC00261330-01	-1.09853	0
NCGC00261470-01	0.78331	1
NCGC00260691-01	-0.45735	0
NCGC00261693-01	-0.13499	0
NCGC00261293-01	-1.64574	0
NCGC00261018-01	-0.76821	0
NCGC00261075-01	0.61139	1
NCGC00261150-01	0.50586	1
NCGC00261767-01	0.262	1
NCGC00261824-01	-0.58622	0
NCGC00261146-01	-0.14998	0
NCGC00260817-01	-1.04436	0
NCGC00261161-01	-0.64047	0
NCGC00260728-01	-0.44444	0
NCGC00261286-01	-0.36321	0
NCGC00261254-01	1.5217	1
NCGC00261261-01	0.73422	1
NCGC00261691-01	0.26826	1
NCGC00261921-01	0.56283	1
NCGC00260962-01	-0.52402	0
NCGC00261028-01	-0.81728	0
NCGC00261349-01	-1.06562	0
NCGC00261583-01	-0.43286	0
NCGC00261672-01	-0.76691	0
NCGC00261620-01	-0.67338	0
NCGC00261141-01	0.38254	1
NCGC00261752-01	0.30496	1
NCGC00261828-01	0.53256	1
NCGC00261913-01	-0.44945	0
NCGC00261473-01	-0.51847	0
NCGC00356953-01	-0.14457	0
NCGC00357009-01	-1.6094	0
NCGC00357188-01	-0.27759	0
NCGC00357201-01	-0.36391	0
NCGC00357189-01	-1.18939	0
NCGC00357163-01	-0.47643	0
NCGC00357001-01	-0.84759	0
NCGC00357030-01	-0.1929	0
NCGC00357123-01	-0.44772	0
NCGC00357091-01	-0.00741	0
