Sample ID	Score	Activity
NCGC00261900-01	0.099077	1
NCGC00261866-01	0.022777	0
NCGC00261643-01	0.028438	0
NCGC00357189-01	0.030906	0
NCGC00357184-01	0.019443	0
NCGC00357007-01	0.015839	0
NCGC00357119-01	0.018182	0
NCGC00260869-01	0.014368	0
NCGC00260852-01	0.020287	0
NCGC00261037-01	0.024735	0
NCGC00357163-01	0.025387	0
NCGC00357238-01	0.035365	0
NCGC00356989-01	0.154097	1
NCGC00357003-01	0.015285	0
NCGC00261776-01	0.049778	0
NCGC00261290-01	0.039394	0
NCGC00261126-01	0.063808	0
NCGC00357001-01	0.022904	0
NCGC00357220-01	0.031495	0
NCGC00357246-01	0.115686	1
NCGC00357058-01	0.030998	0
NCGC00261380-01	0.050271	0
NCGC00261304-01	0.036870	0
NCGC00260871-01	0.046008	0
NCGC00357030-01	0.003437	0
NCGC00357252-01	0.030631	0
NCGC00357081-01	0.054835	0
NCGC00357275-01	0.038510	0
NCGC00261842-01	0.059453	0
NCGC00261704-01	0.034470	0
NCGC00260713-01	0.073480	1
NCGC00357123-01	0.277403	1
NCGC00357159-01	0.020193	0
NCGC00357281-01	0.173031	1
NCGC00357014-01	0.069106	1
NCGC00261662-01	0.040445	0
NCGC00260850-01	0.066418	1
NCGC00261487-01	0.026044	0
NCGC00357091-01	0.027748	0
NCGC00356947-01	0.018080	0
NCGC00357244-01	0.016599	0
NCGC00357011-01	0.484678	1
NCGC00261190-01	0.033963	0
NCGC00260972-01	0.044571	0
NCGC00261545-01	0.057507	0
NCGC00357004-01	0.024972	0
NCGC00357063-01	0.019247	0
NCGC00357194-01	0.066273	1
NCGC00356976-01	0.036484	0
NCGC00260731-01	0.040918	0
NCGC00261364-01	0.033664	0
NCGC00261480-01	0.031044	0
NCGC00357103-01	0.013240	0
NCGC00356982-01	0.018986	0
NCGC00357193-01	0.019296	0
NCGC00357175-01	0.149396	1
NCGC00261926-01	0.042792	0
NCGC00261392-01	0.022426	0
NCGC00261838-01	0.020586	0
NCGC00357289-01	0.051094	0
NCGC00357219-01	0.038300	0
NCGC00357006-01	0.029959	0
NCGC00357021-01	0.622185	1
NCGC00261579-01	0.030227	0
NCGC00261638-01	0.021157	0
NCGC00261627-01	0.031785	0
NCGC00357082-01	0.024060	0
NCGC00357037-01	0.026478	0
NCGC00357041-01	0.018388	0
NCGC00357221-01	0.055184	0
NCGC00260921-01	0.101040	1
NCGC00261820-01	0.019941	0
NCGC00261639-01	0.014541	0
NCGC00356999-01	0.024489	0
NCGC00356975-01	0.021956	0
NCGC00357074-01	0.016078	0
NCGC00356972-01	0.017860	0
NCGC00261119-01	0.032916	0
NCGC00261808-01	0.021049	0
NCGC00261177-01	0.020754	0
NCGC00357116-01	0.026183	0
NCGC00357169-01	0.020912	0
NCGC00357166-01	0.021204	0
NCGC00357133-01	0.022204	0
NCGC00260957-01	0.075008	1
NCGC00260790-01	0.032831	0
NCGC00260692-01	0.009908	0
NCGC00357010-01	0.032955	0
NCGC00357022-01	0.026140	0
NCGC00357070-01	0.015094	0
NCGC00357181-01	0.028354	0
NCGC00261812-01	0.085224	1
NCGC00260940-01	0.033609	0
NCGC00260775-01	0.017895	0
NCGC00357057-01	0.034279	0
NCGC00357165-01	0.028451	0
NCGC00357222-01	0.016719	0
NCGC00357056-01	0.065383	0
NCGC00260831-01	0.048971	0
NCGC00261081-01	0.031499	0
NCGC00260876-01	0.018387	0
NCGC00357171-01	0.016198	0
NCGC00357122-01	0.033163	0
NCGC00357245-01	0.013590	0
NCGC00356980-01	0.019448	0
NCGC00261544-01	0.069886	1
NCGC00261506-01	0.050512	0
NCGC00261598-01	0.011924	0
NCGC00356964-01	0.015935	0
NCGC00357212-01	0.023707	0
NCGC00357217-01	0.027426	0
NCGC00357206-01	0.033743	0
NCGC00261619-01	0.073104	1
NCGC00261133-01	0.037102	0
NCGC00260707-01	0.192561	1
NCGC00356995-01	0.025614	0
NCGC00357263-01	0.010248	0
NCGC00357015-01	0.015052	0
NCGC00357250-01	0.027210	0
NCGC00261633-01	0.021161	0
NCGC00261399-01	0.044953	0
NCGC00261554-01	0.036190	0
NCGC00357062-01	0.044989	0
NCGC00357052-01	0.028852	0
NCGC00357261-01	0.037317	0
NCGC00357227-01	0.028759	0
NCGC00261395-01	0.429865	1
NCGC00260696-01	0.048146	0
NCGC00261713-01	0.527739	1
NCGC00357205-01	0.036833	0
NCGC00356952-01	0.021319	0
NCGC00357060-01	0.023046	0
NCGC00356997-01	0.034481	0
NCGC00261717-01	0.073735	1
NCGC00261903-01	0.078180	1
NCGC00261737-01	0.711545	1
NCGC00357185-01	0.038202	0
NCGC00357225-01	0.028407	0
NCGC00357104-01	0.032171	0
NCGC00356998-01	0.033614	0
NCGC00261947-01	0.069241	1
NCGC00261178-01	0.087758	1
NCGC00261882-01	0.057150	0
NCGC00357028-01	0.048551	0
NCGC00357105-01	0.028627	0
NCGC00357248-01	0.024516	0
NCGC00357282-01	0.020591	0
NCGC00261424-01	0.929593	1
NCGC00261568-01	0.023526	0
NCGC00261933-01	0.064711	0
NCGC00357064-01	0.025719	0
NCGC00356944-01	0.023666	0
NCGC00357176-01	0.029501	0
NCGC00357029-01	0.035227	0
NCGC00261861-01	0.414850	1
NCGC00260830-01	0.034108	0
NCGC00261201-01	0.026258	0
NCGC00357196-01	0.082587	1
NCGC00356977-01	0.037354	0
NCGC00357187-01	0.089018	1
NCGC00356948-01	0.093282	1
NCGC00261924-01	0.107068	1
NCGC00261113-01	0.016529	0
NCGC00261398-01	0.113405	1
NCGC00357271-01	0.258955	1
NCGC00357053-01	0.028192	0
NCGC00357066-01	0.028241	0
NCGC00357054-01	0.024224	0
NCGC00261052-01	0.057562	0
NCGC00261327-01	0.018834	0
NCGC00261601-01	0.033493	0
NCGC00357213-01	0.035537	0
NCGC00357202-01	0.043285	0
NCGC00357154-01	0.022716	0
NCGC00356956-01	0.360527	1
NCGC00261683-01	0.022663	0
NCGC00261602-01	0.028300	0
NCGC00261003-01	0.020759	0
NCGC00357198-01	0.028107	0
NCGC00357013-01	0.046769	0
NCGC00357216-01	0.021453	0
NCGC00356994-01	0.335670	1
NCGC00261026-01	0.066627	1
NCGC00260858-01	0.062220	0
NCGC00261019-01	0.019332	0
NCGC00357079-01	0.018348	0
NCGC00357131-01	0.061553	0
NCGC00357148-01	0.059010	0
NCGC00356949-01	0.431036	1
NCGC00261057-01	0.019159	0
NCGC00261071-01	0.034635	0
NCGC00261519-01	0.010005	0
NCGC00356984-01	0.068018	1
NCGC00357127-01	0.022049	0
NCGC00357078-01	0.030399	0
NCGC00357234-01	0.056923	0
NCGC00261738-01	0.018866	0
NCGC00261076-01	0.020354	0
NCGC00261732-01	0.009259	0
NCGC00357080-01	0.031724	0
NCGC00357147-01	0.043338	0
NCGC00357027-01	0.018342	0
NCGC00356967-01	0.034510	0
NCGC00261348-01	0.009957	0
NCGC00261192-01	0.032696	0
NCGC00261718-01	0.038184	0
NCGC00357173-01	0.022155	0
NCGC00357267-01	0.020994	0
NCGC00357134-01	0.036477	0
NCGC00357111-01	0.040396	0
NCGC00261503-01	0.012338	0
NCGC00261495-01	0.149291	1
NCGC00260743-01	0.012617	0
NCGC00357277-01	0.016450	0
NCGC00356979-01	0.057529	0
NCGC00357180-01	0.066014	0
NCGC00357155-01	0.030632	0
NCGC00260693-01	0.017960	0
NCGC00261577-01	0.051976	0
NCGC00260751-01	0.014490	0
NCGC00357240-01	0.020407	0
NCGC00357179-01	0.021790	0
NCGC00356986-01	0.035775	0
NCGC00357098-01	0.045383	0
NCGC00260703-01	0.016393	0
NCGC00261510-01	0.029613	0
NCGC00260867-01	0.012070	0
NCGC00357145-01	0.028988	0
NCGC00356945-01	0.017011	0
NCGC00356946-01	0.056864	0
NCGC00357156-01	0.029554	0
NCGC00260716-01	0.011488	0
NCGC00261679-01	0.049364	0
NCGC00260982-01	0.010241	0
NCGC00357157-01	0.019377	0
NCGC00357068-01	0.018189	0
NCGC00356970-01	0.036525	0
NCGC00357019-01	0.229908	1
NCGC00260782-01	0.018338	0
NCGC00261941-01	0.027257	0
NCGC00261176-01	0.016597	0
NCGC00357160-01	0.028622	0
NCGC00357002-01	0.027861	0
NCGC00357191-01	0.030038	0
NCGC00357095-01	0.023974	0
NCGC00260802-01	0.012851	0
NCGC00261343-01	0.031801	0
NCGC00261289-01	0.016904	0
NCGC00357107-01	0.022313	0
NCGC00356974-01	0.024110	0
NCGC00357077-01	0.028094	0
NCGC00357226-01	0.022823	0
NCGC00260823-01	0.016369	0
NCGC00261607-01	0.024042	0
NCGC00261440-01	0.013715	0
NCGC00357106-01	0.004285	0
NCGC00357109-01	0.059399	0
NCGC00357069-01	0.015140	0
NCGC00357249-01	0.062387	0
NCGC00261313-01	0.019874	0
NCGC00261782-01	0.054487	0
NCGC00261657-01	0.009636	0
NCGC00357047-01	0.026884	0
NCGC00356988-01	0.060855	0
NCGC00356958-01	0.019774	0
NCGC00357017-01	0.453275	1
NCGC00260757-01	0.013031	0
NCGC00261914-01	0.037055	0
NCGC00260822-01	0.159536	1
NCGC00357174-01	0.005499	0
NCGC00357117-01	0.054907	0
NCGC00357121-01	0.023064	0
NCGC00357259-01	0.451880	1
NCGC00260826-01	0.017523	0
NCGC00261475-01	0.042194	0
NCGC00261142-01	0.907541	1
NCGC00357090-01	0.005510	0
NCGC00357239-01	0.010097	0
NCGC00357067-01	0.024959	0
NCGC00357051-01	0.185797	1
NCGC00261005-01	0.008397	0
NCGC00261764-01	0.085088	1
NCGC00261582-01	0.534913	1
NCGC00357204-01	0.025801	0
NCGC00356961-01	0.035190	0
NCGC00357243-01	0.023434	0
NCGC00356954-01	0.016457	0
NCGC00260980-01	0.042717	0
NCGC00261802-01	0.084490	1
NCGC00261825-01	0.022391	0
NCGC00357214-01	0.056758	0
NCGC00356966-01	0.029780	0
NCGC00357100-01	0.015294	0
NCGC00357020-01	0.023986	0
NCGC00261816-01	0.052481	0
NCGC00261813-01	0.021057	0
NCGC00261833-01	0.070890	1
NCGC00357124-01	0.040503	0
NCGC00356996-01	0.017803	0
NCGC00356960-01	0.013173	0
NCGC00357168-01	0.018574	0
NCGC00260698-01	0.028670	0
NCGC00260795-01	0.096394	1
NCGC00261835-01	0.024648	0
NCGC00356983-01	0.025704	0
NCGC00356950-01	0.028997	0
NCGC00357136-01	0.019174	0
NCGC00357283-01	0.012320	0
NCGC00260889-01	0.032770	0
NCGC00261352-01	0.105538	1
NCGC00261860-01	0.044111	0
NCGC00357092-01	0.022259	0
NCGC00356969-01	0.029451	0
NCGC00357158-01	0.019729	0
NCGC00357210-01	0.014225	0
NCGC00260811-01	0.048167	0
NCGC00261009-01	0.034620	0
NCGC00261906-01	0.028874	0
NCGC00357042-01	0.020384	0
NCGC00357050-01	0.022176	0
NCGC00356942-01	0.026867	0
NCGC00357118-01	0.038639	0
NCGC00261165-01	0.021109	0
NCGC00261944-01	0.031396	0
NCGC00261916-01	0.014936	0
NCGC00357036-01	0.065860	0
NCGC00357258-01	0.022374	0
NCGC00357126-01	0.024928	0
NCGC00357144-01	0.025953	0
NCGC00261060-01	0.019799	0
NCGC00261166-01	0.045840	0
NCGC00261939-01	0.034766	0
NCGC00357089-01	0.041510	0
NCGC00357186-01	0.017792	0
NCGC00357110-01	0.383729	1
NCGC00261541-01	0.018154	0
NCGC00261332-01	0.075070	1
NCGC00261869-01	0.021412	0
NCGC00357170-01	0.030246	0
NCGC00357115-01	0.022797	0
NCGC00357178-01	0.147013	1
NCGC00261649-01	0.017692	0
NCGC00261333-01	0.059503	0
NCGC00261163-01	0.051789	0
NCGC00357132-01	0.032231	0
NCGC00356940-01	0.144498	1
NCGC00357167-01	0.024880	0
NCGC00261110-01	0.033290	0
NCGC00261260-01	0.072157	1
NCGC00261653-01	0.391067	1
NCGC00357265-01	0.020961	0
NCGC00357130-01	0.212291	1
NCGC00357096-01	0.020292	0
NCGC00261130-01	0.043499	0
NCGC00261915-01	0.119171	1
NCGC00261248-01	0.026419	0
NCGC00357260-01	0.016359	0
NCGC00356959-01	0.254027	1
NCGC00357230-01	0.093612	1
NCGC00260846-01	0.026123	0
NCGC00261238-01	0.024605	0
NCGC00260770-01	0.011489	0
NCGC00357023-01	0.030762	0
NCGC00356985-01	0.073907	1
NCGC00357257-01	0.022496	0
NCGC00261030-01	0.027755	0
NCGC00261682-01	0.066699	1
NCGC00261013-01	0.022968	0
NCGC00357114-01	0.026417	0
NCGC00357125-01	0.021080	0
NCGC00356951-01	0.019045	0
NCGC00261162-01	0.022912	0
NCGC00261049-01	0.038588	0
NCGC00261910-01	0.053062	0
NCGC00357033-01	0.022108	0
NCGC00357270-01	0.017615	0
NCGC00357241-01	0.005750	0
NCGC00261058-01	0.046466	0
NCGC00260910-01	0.035234	0
NCGC00261686-01	0.029678	0
NCGC00357120-01	0.021282	0
NCGC00357031-01	0.027512	0
NCGC00357024-01	0.005711	0
NCGC00261404-01	0.034376	0
NCGC00261272-01	0.026127	0
NCGC00261147-01	0.036088	0
NCGC00356963-01	0.021274	0
NCGC00357137-01	0.026846	0
NCGC00357233-01	0.005378	0
NCGC00261423-01	0.060263	0
NCGC00260708-01	0.016811	0
NCGC00261578-01	0.032852	0
NCGC00357055-01	0.111513	1
NCGC00357102-01	0.018331	0
NCGC00357197-01	0.017062	0
NCGC00261856-01	0.096923	1
NCGC00261390-01	0.017236	0
NCGC00261336-01	0.016259	0
NCGC00357139-01	0.027690	0
NCGC00357228-01	0.026275	0
NCGC00357149-01	0.050591	0
NCGC00261342-01	0.923358	1
NCGC00260948-01	0.016047	0
NCGC00261593-01	0.032204	0
NCGC00357026-01	0.043042	0
NCGC00356965-01	0.064810	0
NCGC00357142-01	0.019458	0
NCGC00261935-01	0.021573	0
NCGC00261840-01	0.033429	0
NCGC00260821-01	0.020096	0
NCGC00357242-01	0.260966	1
NCGC00357151-01	0.027854	0
NCGC00357231-01	0.175110	1
NCGC00261069-01	0.025720	0
NCGC00260881-01	0.021233	0
NCGC00261007-01	0.016616	0
NCGC00357161-01	0.022714	0
NCGC00357280-01	0.313782	1
NCGC00357044-01	0.030417	0
NCGC00261101-01	0.128402	1
NCGC00261153-01	0.026756	0
NCGC00261246-01	0.013926	0
NCGC00357279-01	0.019158	0
NCGC00357097-01	0.076823	1
NCGC00357209-01	0.025781	0
NCGC00261183-01	0.041543	0
NCGC00261406-01	0.017151	0
NCGC00261949-01	0.021539	0
NCGC00357288-01	0.274320	1
NCGC00357272-01	0.020173	0
NCGC00357045-01	0.025474	0
NCGC00261716-01	0.026918	0
NCGC00261053-01	0.016726	0
NCGC00260890-01	0.015433	0
NCGC00356973-01	0.025747	0
NCGC00357229-01	0.027769	0
NCGC00357075-01	0.021396	0
NCGC00260742-01	0.083918	1
NCGC00261129-01	0.010432	0
NCGC00261294-01	0.014140	0
NCGC00357143-01	0.020644	0
NCGC00357200-01	0.020116	0
NCGC00356938-01	0.025749	0
NCGC00261529-01	0.043749	0
NCGC00261381-01	0.145533	1
NCGC00261330-01	0.018311	0
NCGC00357182-01	0.017261	0
NCGC00357273-01	0.036546	0
NCGC00357065-01	0.027107	0
NCGC00261170-01	0.152205	1
NCGC00261426-01	0.111187	1
NCGC00261470-01	0.018580	0
NCGC00356971-01	0.022616	0
NCGC00357088-01	0.020067	0
NCGC00357094-01	0.038056	0
NCGC00261565-01	0.044000	0
NCGC00260979-01	0.021780	0
NCGC00260691-01	0.014961	0
NCGC00357084-01	0.022565	0
NCGC00357101-01	0.018814	0
NCGC00357083-01	0.032802	0
NCGC00260990-01	0.043975	0
NCGC00260993-01	0.018440	0
NCGC00261693-01	0.040782	0
NCGC00357112-01	0.024865	0
NCGC00357287-01	0.024612	0
NCGC00357085-01	0.051713	0
NCGC00261340-01	0.078206	1
NCGC00261108-01	0.022649	0
NCGC00261293-01	0.026074	0
NCGC00356962-01	0.030949	0
NCGC00357253-01	0.028527	0
NCGC00357236-01	0.027822	0
NCGC00261079-01	0.061156	0
NCGC00261441-01	0.029650	0
NCGC00261018-01	0.032060	0
NCGC00356993-01	0.074927	1
NCGC00357177-01	0.026611	0
NCGC00357035-01	0.021426	0
NCGC00261389-01	0.036885	0
NCGC00261877-01	0.016827	0
NCGC00261075-01	0.017071	0
NCGC00357284-01	0.155190	1
NCGC00357152-01	0.012408	0
NCGC00357108-01	0.021734	0
NCGC00261744-01	0.025504	0
NCGC00260815-01	0.018222	0
NCGC00261150-01	0.033708	0
NCGC00357046-01	0.030094	0
NCGC00357140-01	0.016512	0
NCGC00357235-01	0.035040	0
NCGC00261420-01	0.030532	0
NCGC00261542-01	0.044840	0
NCGC00261767-01	0.037763	0
NCGC00357000-01	0.019377	0
NCGC00357086-01	0.012086	0
NCGC00357224-01	0.163529	1
NCGC00261215-01	0.065170	0
NCGC00261958-01	0.036754	0
NCGC00261824-01	0.031199	0
NCGC00357012-01	0.048452	0
NCGC00357150-01	0.013115	0
NCGC00357211-01	0.024120	0
NCGC00261826-01	0.021444	0
NCGC00261787-01	0.048043	0
NCGC00261146-01	0.019641	0
NCGC00356939-01	0.035600	0
NCGC00357040-01	0.012212	0
NCGC00357039-01	0.023073	0
NCGC00260706-01	0.027811	0
NCGC00261065-01	0.342114	1
NCGC00260817-01	0.019565	0
NCGC00356955-01	0.123271	1
NCGC00357232-01	0.011098	0
NCGC00357264-01	0.042148	0
NCGC00261123-01	0.038659	0
NCGC00261804-01	0.033785	0
NCGC00261161-01	0.020819	0
NCGC00357262-01	0.230141	1
NCGC00357172-01	0.074207	1
NCGC00357285-01	0.018585	0
NCGC00261367-01	0.020863	0
NCGC00260875-01	0.019724	0
NCGC00260728-01	0.025517	0
NCGC00356991-01	0.038072	0
NCGC00357135-01	0.055395	0
NCGC00357032-01	0.034232	0
NCGC00261507-01	0.040754	0
NCGC00261451-01	0.066390	1
NCGC00261286-01	0.018115	0
NCGC00357203-01	0.131079	1
NCGC00357207-01	0.593664	1
NCGC00357146-01	0.035820	0
NCGC00261169-01	0.024238	0
NCGC00261739-01	0.105055	1
NCGC00261254-01	0.035806	0
NCGC00357049-01	0.029978	0
NCGC00356990-01	0.058092	0
NCGC00357059-01	0.032315	0
NCGC00261730-01	0.017403	0
NCGC00261948-01	0.063211	0
NCGC00261261-01	0.034746	0
NCGC00357164-01	0.026433	0
NCGC00357276-01	0.023093	0
NCGC00357061-01	0.028287	0
NCGC00261624-01	0.022034	0
NCGC00261382-01	0.070150	1
NCGC00261691-01	0.036266	0
NCGC00357073-01	0.024872	0
NCGC00357016-01	0.026386	0
NCGC00357190-01	0.021570	0
NCGC00261641-01	0.030490	0
NCGC00261663-01	0.030356	0
NCGC00261921-01	0.023172	0
NCGC00357043-01	0.027306	0
NCGC00357247-01	0.020551	0
NCGC00356943-01	0.033655	0
NCGC00261853-01	0.043525	0
NCGC00260892-01	0.032284	0
NCGC00260962-01	0.022832	0
NCGC00357269-01	0.020991	0
NCGC00357183-01	0.100438	1
NCGC00357237-01	0.024818	0
