Sample ID	Score	Activity
NCGC00261662-01	0.107008761	0
NCGC00260731-01	0.034626617	0
NCGC00261190-01	0.119315811	0
NCGC00261842-01	0.017104714	0
NCGC00261380-01	0.020859408	0
NCGC00261776-01	0.061952441	0
NCGC00260869-01	0.029828953	0
NCGC00261579-01	0.035982478	0
NCGC00261119-01	0.018773467	0
NCGC00260831-01	0.042657489	0
NCGC00261812-01	0.013767209	0
NCGC00261544-01	0.049228202	0
NCGC00261926-01	0.021276596	0
NCGC00260921-01	0.051522737	0
NCGC00261619-01	0.056111806	0
NCGC00261633-01	0.001877347	0
NCGC00261924-01	0.040258657	0
NCGC00261052-01	0.055694618	0
NCGC00261861-01	0.105131414	0
NCGC00261424-01	0.841677096	1
NCGC00261395-01	0.032332082	0
NCGC00261947-01	0.046725073	0
NCGC00261717-01	0.054651648	0
NCGC00261683-01	0.009803922	0
NCGC00261057-01	0.011889862	0
NCGC00261348-01	0.025031289	0
NCGC00261738-01	0.011889862	0
NCGC00261503-01	0.032165207	0
NCGC00260693-01	0.017521902	0
NCGC00261026-01	0.016583229	0
NCGC00260716-01	0.000000000	0
NCGC00260802-01	0.000000000	0
NCGC00260703-01	0.010846892	0
NCGC00260823-01	0.001251564	0
NCGC00260782-01	0.006466416	0
NCGC00261313-01	0.009595327	0
NCGC00260757-01	0.001251564	0
NCGC00260826-01	0.001251564	0
NCGC00261005-01	0.000000000	0
NCGC00260698-01	0.015018773	0
NCGC00260980-01	0.020859408	0
NCGC00261816-01	0.007509387	0
NCGC00260889-01	0.005006258	0
NCGC00260811-01	0.016583229	0
NCGC00261060-01	0.007509387	0
NCGC00261541-01	0.007509387	0
NCGC00261649-01	0.001668753	0
NCGC00261165-01	0.016061744	0
NCGC00261162-01	0.058197747	0
NCGC00261030-01	0.068523154	0
NCGC00260846-01	0.058823529	0
NCGC00261130-01	0.002503129	0
NCGC00261110-01	0.014392991	0
NCGC00261423-01	0.027117230	0
NCGC00261856-01	0.016478932	0
NCGC00261058-01	0.055381727	0
NCGC00261404-01	0.021068002	0
NCGC00261935-01	0.047976637	0
NCGC00261069-01	0.148936170	0
NCGC00261183-01	0.015018773	0
NCGC00261101-01	0.042657489	0
NCGC00261716-01	0.009386733	0
NCGC00260742-01	0.057363371	0
NCGC00261529-01	0.015227368	0
NCGC00261340-01	0.104192741	0
NCGC00261079-01	0.010012516	0
NCGC00260990-01	0.114726742	0
NCGC00261565-01	0.040258657	0
NCGC00261342-01	0.299332499	0
NCGC00261744-01	0.029828953	0
NCGC00261389-01	0.032540676	0
NCGC00261420-01	0.038172716	0
NCGC00261123-01	0.046620776	0
NCGC00261507-01	0.015018773	0
NCGC00261826-01	0.002503129	0
NCGC00260706-01	0.044326241	0
NCGC00261367-01	0.002503129	0
NCGC00261730-01	0.004589070	0
NCGC00261624-01	0.003546099	0
NCGC00261169-01	0.010012516	0
NCGC00261215-01	0.018147685	0
NCGC00261853-01	0.038798498	0
NCGC00260911-01	0.024405507	0
NCGC00261641-01	0.014810179	0
NCGC00261384-01	0.042866083	0
NCGC00261170-01	0.041718815	0
NCGC00260798-01	0.095536087	0
NCGC00261025-01	0.007926575	0
NCGC00260785-01	0.010325407	0
NCGC00261597-01	0.060075094	0
NCGC00261189-01	0.010012516	0
NCGC00260789-01	0.012932833	0
NCGC00261160-01	0.054234460	0
NCGC00260866-01	0.024196913	0
NCGC00261085-01	0.006466416	0
NCGC00261611-01	0.005632040	0
NCGC00261817-01	0.015018773	0
NCGC00261866-01	0.017939091	0
NCGC00261270-01	0.083541927	0
NCGC00261304-01	0.024405507	0
NCGC00260972-01	0.025344180	0
NCGC00260850-01	0.009386733	0
NCGC00261704-01	0.046203588	0
NCGC00261290-01	0.135690446	0
NCGC00261364-01	0.004797664	0
NCGC00261392-01	0.013350021	0
NCGC00260852-01	0.019399249	0
NCGC00261820-01	0.021902378	0
NCGC00260790-01	0.017939091	0
NCGC00261638-01	0.053504380	0
NCGC00260940-01	0.039841469	0
NCGC00261808-01	0.021693784	0
NCGC00261133-01	0.007926575	0
NCGC00261903-01	0.024822695	0
NCGC00261081-01	0.022945348	0
NCGC00261399-01	0.036191072	0
NCGC00260696-01	0.050062578	0
NCGC00261506-01	0.035669587	0
NCGC00260957-01	0.038172716	0
NCGC00261178-01	0.041093033	0
NCGC00261113-01	0.011994159	0
NCGC00260830-01	0.009178139	0
NCGC00261602-01	0.015018773	0
NCGC00261327-01	0.000625782	0
NCGC00261900-01	0.095118899	0
NCGC00261568-01	0.009386733	0
NCGC00261071-01	0.034209428	0
NCGC00261076-01	0.007822278	0
NCGC00261192-01	0.041718815	0
NCGC00261679-01	0.078014184	0
NCGC00260858-01	0.070400501	0
NCGC00261343-01	0.030037547	0
NCGC00261607-01	0.062682520	0
NCGC00261782-01	0.031914894	0
NCGC00261577-01	0.092198582	0
NCGC00261941-01	0.058614935	0
NCGC00261510-01	0.016270338	0
NCGC00261914-01	0.016583229	0
NCGC00261764-01	0.014705882	0
NCGC00260795-01	0.010325407	0
NCGC00261802-01	0.089173967	0
NCGC00261352-01	0.060909470	0
NCGC00261009-01	0.079161452	0
NCGC00261166-01	0.066645807	0
NCGC00261944-01	0.043804756	0
NCGC00261238-01	0.146954526	0
NCGC00261915-01	0.053087192	0
NCGC00261332-01	0.115248227	0
NCGC00261813-01	0.027534418	0
NCGC00261260-01	0.066958698	0
NCGC00261475-01	0.103879850	0
NCGC00261682-01	0.028785982	0
NCGC00261333-01	0.036086775	0
NCGC00261272-01	0.057154777	0
NCGC00260708-01	0.001251564	0
NCGC00261049-01	0.031706300	0
NCGC00260948-01	0.001251564	0
NCGC00260881-01	0.005423446	0
NCGC00260910-01	0.004693367	0
NCGC00261153-01	0.065394243	0
NCGC00261840-01	0.063621193	0
NCGC00261053-01	0.000000000	0
NCGC00261129-01	0.000000000	0
NCGC00261390-01	0.000000000	0
NCGC00261406-01	0.015435962	0
NCGC00261108-01	0.005632040	0
NCGC00260979-01	0.000000000	0
NCGC00261877-01	0.001668753	0
NCGC00260993-01	0.003754693	0
NCGC00261381-01	0.048185232	0
NCGC00261426-01	0.064038381	0
NCGC00260815-01	0.045682103	0
NCGC00261495-01	0.023779725	0
NCGC00261065-01	0.062369629	0
NCGC00261441-01	0.010012516	0
NCGC00261542-01	0.013767209	0
NCGC00260875-01	0.120984564	0
NCGC00261787-01	0.023571131	0
NCGC00261451-01	0.040988736	0
NCGC00260892-01	0.056320401	0
NCGC00261958-01	0.013767209	0
NCGC00261804-01	0.075823947	0
NCGC00261321-01	0.037546934	0
NCGC00261297-01	0.033166458	0
NCGC00261663-01	0.020233625	0
NCGC00261382-01	0.050062578	0
NCGC00261474-01	0.048602420	0
NCGC00261948-01	0.076971214	0
NCGC00260840-01	0.003754693	0
NCGC00260834-01	0.032540676	0
NCGC00260947-01	0.043178974	0
NCGC00260833-01	0.003754693	0
NCGC00261739-01	0.051105549	0
NCGC00260803-01	0.000000000	0
NCGC00261873-01	0.025448477	0
NCGC00261446-01	0.037859825	0
NCGC00261563-01	0.039632874	0
NCGC00260871-01	0.053817272	0
NCGC00261155-01	0.002503129	0
NCGC00261008-01	0.016270338	0
NCGC00261080-01	0.030454735	0
NCGC00261037-01	0.036295369	0
NCGC00261643-01	0.003128911	0
NCGC00261487-01	0.033166458	0
NCGC00261126-01	0.071339174	0
NCGC00261480-01	0.015957447	0
NCGC00260713-01	0.023571131	0
NCGC00260775-01	0.000000000	0
NCGC00261177-01	0.001564456	0
NCGC00261838-01	0.012515645	0
NCGC00260707-01	0.009386733	0
NCGC00261554-01	0.056987902	0
NCGC00261627-01	0.003128911	0
NCGC00260692-01	0.006049228	0
NCGC00261639-01	0.006299541	0
NCGC00261713-01	0.055590321	0
NCGC00261882-01	0.227367543	0
NCGC00261545-01	0.007926575	0
NCGC00261598-01	0.010012516	0
NCGC00260876-01	0.009386733	0
NCGC00261737-01	0.117855653	0
NCGC00261519-01	0.007717981	0
NCGC00261933-01	0.064455569	0
NCGC00261019-01	0.007509387	0
NCGC00261003-01	0.018147685	0
NCGC00260867-01	0.000000000	0
NCGC00261201-01	0.031956612	0
NCGC00261718-01	0.020963705	0
NCGC00261601-01	0.011681268	0
NCGC00261289-01	0.045056320	0
NCGC00260743-01	0.009178139	0
NCGC00261732-01	0.015018773	0
NCGC00260751-01	0.000000000	0
NCGC00261440-01	0.021172299	0
NCGC00261176-01	0.002920317	0
NCGC00261142-01	0.037338340	0
NCGC00260982-01	0.018147685	0
NCGC00261825-01	0.196078431	0
NCGC00261582-01	0.323529412	0
NCGC00261860-01	0.149144764	0
NCGC00260822-01	0.049853984	0
NCGC00261939-01	0.123904881	0
NCGC00261906-01	0.097309136	0
NCGC00261916-01	0.166040884	0
NCGC00261833-01	0.079891531	0
NCGC00261835-01	0.037964122	0
NCGC00261163-01	0.041093033	0
NCGC00261657-01	0.002503129	0
NCGC00261013-01	0.021276596	0
NCGC00261653-01	0.187734668	0
NCGC00260770-01	0.006362119	0
NCGC00261147-01	0.035669587	0
NCGC00261869-01	0.029620359	0
NCGC00261248-01	0.059032123	0
NCGC00261336-01	0.016583229	0
NCGC00261910-01	0.060116813	0
NCGC00261686-01	0.016061744	0
NCGC00260821-01	0.023863162	0
NCGC00261593-01	0.027576137	0
NCGC00261578-01	0.004589070	0
NCGC00261246-01	0.002503129	0
NCGC00261294-01	0.003754693	0
NCGC00260890-01	0.025657071	0
NCGC00261949-01	0.015477680	0
NCGC00261330-01	0.026804339	0
NCGC00261007-01	0.017104714	0
NCGC00260691-01	0.004005006	0
NCGC00261693-01	0.049228202	0
NCGC00261018-01	0.020442219	0
NCGC00261470-01	0.059032123	0
NCGC00261075-01	0.010638298	0
NCGC00261293-01	0.045994994	0
NCGC00261150-01	0.030454735	0
