Sample ID	Score	Activity
NCGC00261900-01	0.049096153	0
NCGC00260869-01	0.019031555	0
NCGC00261776-01	0.106299450	0
NCGC00261380-01	0.029698471	0
NCGC00261842-01	0.021603580	0
NCGC00261662-01	0.154953135	0
NCGC00260731-01	0.034061633	0
NCGC00261926-01	0.024743390	0
NCGC00261579-01	0.028660143	0
NCGC00261119-01	0.017952008	0
NCGC00260957-01	0.102747463	0
NCGC00261812-01	0.030237934	0
NCGC00260831-01	0.099433711	0
NCGC00261544-01	0.017038562	0
NCGC00261619-01	0.035009199	0
NCGC00261633-01	0.029043825	0
NCGC00261395-01	0.034154261	0
NCGC00261717-01	0.027748800	0
NCGC00261947-01	0.054174838	0
NCGC00261424-01	0.581885181	1
NCGC00261861-01	0.135412182	0
NCGC00261924-01	0.142314963	0
NCGC00261683-01	0.026635840	0
NCGC00261026-01	0.090830297	0
NCGC00261057-01	0.015058067	0
NCGC00261738-01	0.016988884	0
NCGC00261348-01	0.014624345	0
NCGC00261503-01	0.019833256	0
NCGC00260693-01	0.011008665	0
NCGC00260703-01	0.006888290	0
NCGC00260716-01	0.013881434	0
NCGC00260782-01	0.012582120	0
NCGC00260802-01	0.010998997	0
NCGC00260823-01	0.011699465	0
NCGC00261313-01	0.011345105	0
NCGC00260757-01	0.008012466	0
NCGC00260826-01	0.006268044	0
NCGC00261005-01	0.019999207	0
NCGC00260980-01	0.022833110	0
NCGC00261816-01	0.051859051	0
NCGC00260698-01	0.022771062	0
NCGC00260889-01	0.015845694	0
NCGC00260811-01	0.033895408	0
NCGC00261165-01	0.025538941	0
NCGC00261060-01	0.012276805	0
NCGC00261541-01	0.028911656	0
NCGC00261649-01	0.008176547	0
NCGC00261110-01	0.039397956	0
NCGC00261130-01	0.164711871	0
NCGC00261162-01	0.063235519	0
NCGC00261058-01	0.044949604	0
NCGC00261404-01	0.026920597	0
NCGC00261423-01	0.097236190	0
NCGC00261856-01	0.043397609	0
NCGC00261342-01	0.076115323	0
NCGC00261935-01	0.023432336	0
NCGC00261101-01	0.042796743	0
NCGC00261183-01	0.053165993	0
NCGC00261716-01	0.022259317	0
NCGC00260742-01	0.014216204	0
NCGC00261529-01	0.022820158	0
NCGC00261170-01	0.038833680	0
NCGC00261565-01	0.033512349	0
NCGC00260990-01	0.219434024	0
NCGC00261340-01	0.099194639	0
NCGC00261079-01	0.039451211	0
NCGC00261389-01	0.027552197	0
NCGC00261744-01	0.058779179	0
NCGC00261420-01	0.018680768	0
NCGC00261215-01	0.019536205	0
NCGC00261826-01	0.033325131	0
NCGC00260706-01	0.018601781	0
NCGC00261123-01	0.034425128	0
NCGC00261367-01	0.015337768	0
NCGC00261507-01	0.016809009	0
NCGC00261169-01	0.034447648	0
NCGC00261730-01	0.020672743	0
NCGC00261624-01	0.020952413	0
NCGC00261641-01	0.007098049	0
NCGC00261853-01	0.030365107	0
NCGC00260911-01	0.024869401	0
NCGC00260798-01	0.029112347	0
NCGC00261384-01	0.042568821	0
NCGC00260785-01	0.025173859	0
NCGC00261597-01	0.045887069	0
NCGC00261025-01	0.019884141	0
NCGC00260789-01	0.023104311	0
NCGC00260866-01	0.028202451	0
NCGC00261189-01	0.021000316	0
NCGC00261270-01	0.068933567	0
NCGC00261611-01	0.019486264	0
NCGC00261160-01	0.033318702	0
NCGC00261085-01	0.021926158	0
NCGC00261817-01	0.028447359	0
NCGC00261866-01	0.017127901	0
NCGC00260852-01	0.009913031	0
NCGC00261290-01	0.047557519	0
NCGC00261304-01	0.030953878	0
NCGC00261704-01	0.022433742	0
NCGC00260850-01	0.026333818	0
NCGC00260972-01	0.031962691	0
NCGC00261364-01	0.019462679	0
NCGC00261392-01	0.025909928	0
NCGC00261820-01	0.007317501	0
NCGC00261808-01	0.013519636	0
NCGC00260790-01	0.027736714	0
NCGC00260940-01	0.032373400	0
NCGC00261081-01	0.027767277	0
NCGC00261506-01	0.061375473	0
NCGC00261133-01	0.024394844	0
