Sample ID	Score	Activity
NCGC00261900	0.5976	0
NCGC00260869	0.2186	0
NCGC00261776	0.438	0
NCGC00261380	0.433	0
NCGC00261842	0.6066	1
NCGC00261662	0.611	1
NCGC00261190	0.7408	1
NCGC00260731	0.7054	1
NCGC00261926	0.3772	0
NCGC00261579	0.567	0
NCGC00260921	0.5918	0
NCGC00261119	0.3034	0
NCGC00260957	0.622	1
NCGC00261812	0.398	0
NCGC00260831	0.5506	0
NCGC00261544	0.5484	0
NCGC00261619	0.5568	0
NCGC00261633	0.3496	0
NCGC00261395	0.4086	0
NCGC00261717	0.3564	0
NCGC00261947	0.4134	0
NCGC00261424	0.9656	1
NCGC00261861	0.7496	1
NCGC00261924	0.7198	1
NCGC00261052	0.1248	0
NCGC00261683	0.3136	0
NCGC00261026	0.4286	0
NCGC00261057	0.3404	0
NCGC00261738	0.3422	0
NCGC00261348	0.1316	0
NCGC00261503	0.205	0
NCGC00260693	0.181	0
NCGC00260703	0.0544	0
NCGC00260716	0.01	0
NCGC00260782	0.098	0
NCGC00260802	0.0488	0
NCGC00260823	0.0144	0
NCGC00261313	0.1292	0
NCGC00260757	0.129	0
NCGC00260826	0.0344	0
NCGC00261005	0.1684	0
NCGC00260980	0.4694	0
NCGC00261816	0.38	0
NCGC00260698	0.5622	0
NCGC00260889	0.2734	0
NCGC00260811	0.2022	0
NCGC00261165	0.4142	0
NCGC00261060	0.107	0
NCGC00261541	0.1624	0
NCGC00261649	0.0634	0
NCGC00261110	0.4856	0
NCGC00261130	0.5964	0
NCGC00260846	0.2566	0
NCGC00261030	0.5594	0
NCGC00261162	0.23	0
NCGC00261058	0.4138	0
NCGC00261404	0.3688	0
NCGC00261423	0.4328	0
NCGC00261856	0.4228	0
NCGC00261342	0.732	1
NCGC00261935	0.1502	0
NCGC00261069	0.529	0
NCGC00261101	0.503	0
NCGC00261183	0.3236	0
NCGC00261716	0.3484	0
NCGC00260742	0.5436	0
NCGC00261529	0.4692	0
NCGC00261170	0.5568	0
NCGC00261565	0.4312	0
NCGC00260990	0.5866	0
NCGC00261340	0.1266	0
NCGC00261079	0.4754	0
NCGC00261389	0.5978	0
NCGC00261744	0.4656	0
NCGC00261420	0.6554	1
NCGC00261215	0.668	1
NCGC00261826	0.2974	0
NCGC00260706	0.483	0
NCGC00261123	0.5448	0
NCGC00261367	0.3774	0
NCGC00261507	0.3432	0
NCGC00261169	0.3096	0
NCGC00261730	0.286	0
NCGC00261624	0.3766	0
NCGC00261641	0.6676	1
NCGC00261853	0.5076	0
NCGC00260911	0.4226	0
NCGC00260798	0.5858	0
NCGC00261384	0.2506	0
NCGC00260785	0.582	0
NCGC00261597	0.5032	0
NCGC00261025	0.4116	0
NCGC00260789	0.2926	0
NCGC00260866	0.2688	0
NCGC00261189	0.2052	0
NCGC00261270	0.4808	0
NCGC00261611	0.5396	0
NCGC00261160	0.563	0
NCGC00261085	0.2242	0
NCGC00261817	0.4828	0
NCGC00261866	0.2932	0
NCGC00260852	0.1862	0
NCGC00261290	0.2988	0
NCGC00261304	0.6168	1
NCGC00261704	0.365	0
NCGC00260850	0.4234	0
NCGC00260972	0.2552	0
NCGC00261364	0.3096	0
NCGC00261392	0.2424	0
NCGC00261638	0.3332	0
NCGC00261820	0.0826	0
NCGC00261808	0.5152	0
NCGC00260790	0.2594	0
NCGC00260940	0.2444	0
NCGC00261081	0.3848	0
NCGC00261506	0.3372	0
NCGC00261133	0.1798	0
NCGC00261399	0.4182	0
NCGC00260696	0.74	1
NCGC00261903	0.4866	0
NCGC00261178	0.3542	0
NCGC00261568	0.169	0
NCGC00260830	0.4526	0
NCGC00261113	0.2582	0
NCGC00261327	0.2498	0
NCGC00261602	0.3854	0
NCGC00260858	0.4792	0
NCGC00261071	0.3942	0
NCGC00261076	0.346	0
NCGC00261192	0.681	1
NCGC00261577	0.6704	1
NCGC00261510	0.541	0
NCGC00261679	0.4844	0
NCGC00261941	0.446	0
NCGC00261343	0.6414	1
NCGC00261607	0.4468	0
NCGC00261782	0.4574	0
NCGC00261914	0.4784	0
NCGC00261475	0.64	1
NCGC00261764	0.5296	0
NCGC00261802	0.5948	0
NCGC00261813	0.6002	1
NCGC00260795	0.424	0
NCGC00261352	0.5416	0
NCGC00261009	0.4186	0
NCGC00261944	0.384	0
NCGC00261166	0.5234	0
NCGC00261332	0.5448	0
NCGC00261333	0.5864	0
NCGC00261260	0.6054	1
NCGC00261915	0.3874	0
NCGC00261238	0.409	0
NCGC00261682	0.6858	1
NCGC00261049	0.6406	1
NCGC00260910	0.4522	0
NCGC00261272	0.4698	0
NCGC00260708	0.1132	0
NCGC00261390	0.0336	0
NCGC00260948	0.0996	0
NCGC00261840	0.0754	0
NCGC00260881	0.0568	0
NCGC00261153	0.4604	0
NCGC00261406	0.458	0
NCGC00261053	0.0434	0
NCGC00261129	0.0512	0
NCGC00261381	0.6294	1
NCGC00261426	0.6766	1
NCGC00260979	0.1762	0
NCGC00260993	0.1638	0
NCGC00261108	0.2352	0
NCGC00261441	0.3322	0
NCGC00261877	0.2502	0
NCGC00260815	0.343	0
NCGC00261542	0.518	0
