Sample ID	Score	Activity
NCGC00260708-01	-0.0592	0
NCGC00261390-01	-0.0529	0
NCGC00357088-01	-0.0515	0
NCGC00357136-01	-0.0471	0
NCGC00260751-01	-0.0317	0
NCGC00357119-01	-0.031	0
NCGC00357232-01	-0.0251	0
NCGC00357222-01	-0.0228	0
NCGC00261657-01	-0.021	0
NCGC00357270-01	-0.0201	0
NCGC00261649-01	-0.0192	0
NCGC00356975-01	-0.0174	0
NCGC00357168-01	-0.016	0
NCGC00357115-01	-0.0155	0
NCGC00357254-01	-0.0092	0
NCGC00357039-01	-0.0062	0
NCGC00357256-01	-0.0057	0
NCGC00357068-01	-0.0026	0
NCGC00357157-01	-0.0019	0
NCGC00357084-01	-0.0007	0
NCGC00356941-01	-0.0003	0
NCGC00357171-01	0.001	0
NCGC00357048-01	0.0027	0
NCGC00357033-01	0.0058	0
NCGC00261732-01	0.0064	0
NCGC00357060-01	0.0083	0
NCGC00261246-01	0.0104	0
NCGC00261294-01	0.0136	0
NCGC00261519-01	0.0168	0
NCGC00357050-01	0.0198	0
NCGC00357079-01	0.022	0
NCGC00357101-01	0.0228	0
NCGC00357125-01	0.0229	0
NCGC00357162-01	0.0237	0
NCGC00356971-01	0.024	0
NCGC00357216-01	0.0248	0
NCGC00261336-01	0.0264	0
NCGC00357193-01	0.0283	0
NCGC00357169-01	0.0323	0
NCGC00357267-01	0.0365	0
NCGC00357070-01	0.0388	0
NCGC00357071-01	0.0391	0
NCGC00261568-01	0.042	0
NCGC00357182-01	0.0431	0
NCGC00356954-01	0.0431	0
NCGC00260826-01	0.0436	0
NCGC00357142-01	0.0456	0
NCGC00357184-01	0.0478	0
NCGC00357092-01	0.0492	0
NCGC00357186-01	0.0492	0
NCGC00357215-01	0.0516	0
NCGC00261327-01	0.0527	0
NCGC00356945-01	0.0529	0
NCGC00356996-01	0.0554	0
NCGC00261602-01	0.0576	0
NCGC00261639-01	0.0593	0
NCGC00357200-01	0.0605	0
NCGC00357041-01	0.0606	0
NCGC00261146-01	0.061	0
NCGC00357074-01	0.0618	0
NCGC00261730-01	0.0633	0
NCGC00261076-01	0.0645	0
NCGC00357035-01	0.0654	0
NCGC00357100-01	0.0682	0
NCGC00261598-01	0.0687	0
NCGC00260770-01	0.0689	0
NCGC00260691-01	0.0694	0
NCGC00357198-01	0.071	0
NCGC00357141-01	0.071	0
