Sample ID	Score	Activity
NCGC00261776-01	-2.052	0
NCGC00261380-01	-4.668	0
NCGC00261842-01	-2.608	0
NCGC00261662-01	0.523	1
NCGC00261190-01	-3.598	0
NCGC00260731-01	0.373	1
NCGC00261926-01	-2.943	0
NCGC00261579-01	-1.904	0
NCGC00260921-01	-1.206	0
NCGC00261119-01	-3.765	0
NCGC00261812-01	-0.959	0
NCGC00260831-01	-0.687	0
NCGC00261544-01	-0.354	0
NCGC00261619-01	-4.288	0
NCGC00261395-01	0.829	1
NCGC00261717-01	-0.145	0
NCGC00261947-01	-0.461	0
NCGC00261424-01	7.273	1
NCGC00261861-01	0.042	1
NCGC00261924-01	0.182	1
NCGC00261026-01	-2.615	0
NCGC00261057-01	-3.013	0
NCGC00261738-01	-2.492	0
NCGC00261348-01	-4.645	0
NCGC00261503-01	-6.657	0
NCGC00260693-01	-4.903	0
NCGC00260703-01	-4.874	0
NCGC00260716-01	-1.311	0
NCGC00260782-01	-0.426	0
NCGC00260802-01	0.153	1
NCGC00260823-01	-0.178	0
NCGC00260757-01	0.17	1
NCGC00260826-01	-1.544	0
NCGC00260889-01	-3.717	0
NCGC00260811-01	-2.438	0
NCGC00261165-01	-6.459	0
NCGC00261060-01	-3.462	0
NCGC00261541-01	-1.672	0
NCGC00261649-01	-1.652	0
NCGC00261110-01	-1.251	0
NCGC00261130-01	-0.067	0
NCGC00260846-01	-2.297	0
NCGC00261030-01	-1.069	0
NCGC00261162-01	-0.02	0
NCGC00261058-01	0.934	1
NCGC00261404-01	-0.822	0
NCGC00261423-01	-2.6	0
NCGC00261856-01	-1.247	0
NCGC00261342-01	1.282	1
NCGC00261069-01	-1.292	0
NCGC00261101-01	-0.923	0
NCGC00261716-01	-2.558	0
NCGC00260742-01	-4.248	0
NCGC00261529-01	0.312	1
NCGC00261170-01	-2.016	0
NCGC00261565-01	-3.981	0
NCGC00260990-01	-1.211	0
NCGC00261340-01	-0.326	0
NCGC00261079-01	-1.921	0
NCGC00261389-01	-3.545	0
NCGC00261744-01	-3.68	0
NCGC00261420-01	-3.243	0
NCGC00261215-01	-2.715	0
NCGC00261826-01	-2.021	0
NCGC00261123-01	-0.221	0
NCGC00261367-01	-2.977	0
NCGC00261507-01	-2.959	0
NCGC00261169-01	-2.361	0
NCGC00261730-01	-3.773	0
NCGC00261624-01	-3.439	0
NCGC00261641-01	-1.693	0
NCGC00261853-01	0.35	1
