Sample ID	Score	Activity
NCGC00260691	0.38522	0
NCGC00260692	0.16648	0
NCGC00260693	0.31319	0
NCGC00260696	0.74334	1
NCGC00260698	0.48214	0
NCGC00260703	0.28154	0
NCGC00260706	0.49143	0
NCGC00260707	0.42726	0
NCGC00260708	0.23364	0
NCGC00260713	0.36062	0
NCGC00260716	0.29608	0
NCGC00260728	0.32316	0
NCGC00260731	0.61576	1
NCGC00260742	0.43158	0
NCGC00260743	0.24705	0
NCGC00260751	0.27343	0
NCGC00260757	0.26026	0
NCGC00260770	0.26590	0
NCGC00260775	0.27699	0
NCGC00260782	0.34634	0
NCGC00260785	0.49373	0
NCGC00260789	0.53287	1
NCGC00260790	0.64740	1
NCGC00260795	0.55395	1
NCGC00260798	0.51588	1
NCGC00260802	0.34034	0
NCGC00260803	0.50353	1
NCGC00260811	0.40559	0
NCGC00260815	0.39000	0
NCGC00260817	0.34473	0
NCGC00260821	0.30753	0
NCGC00260822	0.79651	1
NCGC00260823	0.26375	0
NCGC00260826	0.22798	0
NCGC00260830	0.31132	0
NCGC00260831	0.62202	1
NCGC00260833	0.44350	0
NCGC00260834	0.40790	0
NCGC00260840	0.40617	0
NCGC00260846	0.27300	0
NCGC00260850	0.42084	0
NCGC00260852	0.51329	1
NCGC00260858	0.70931	1
NCGC00260866	0.55537	1
NCGC00260867	0.21323	0
NCGC00260869	0.33984	0
NCGC00260871	0.42988	0
NCGC00260875	0.41961	0
NCGC00260876	0.16868	0
NCGC00260881	0.22874	0
NCGC00260889	0.40937	0
NCGC00260890	0.33209	0
NCGC00260892	0.58051	1
NCGC00260910	0.50492	1
NCGC00260911	0.49455	0
NCGC00260921	0.59265	1
NCGC00260940	0.66849	1
NCGC00260947	0.47293	0
NCGC00260948	0.33847	0
NCGC00260957	0.50939	1
NCGC00260962	0.59075	1
NCGC00260972	0.56147	1
NCGC00260979	0.33894	0
NCGC00260980	0.47295	0
NCGC00260982	0.28282	0
NCGC00260990	0.71537	1
NCGC00260993	0.42744	0
NCGC00261003	0.46455	0
NCGC00261005	0.26511	0
NCGC00261007	0.29793	0
NCGC00261008	0.39341	0
NCGC00261009	0.64800	1
NCGC00261013	0.36295	0
NCGC00261018	0.42160	0
NCGC00261019	0.20548	0
NCGC00261025	0.45487	0
NCGC00261026	0.47570	0
NCGC00261028	0.39440	0
NCGC00261030	0.42991	0
NCGC00261037	0.42794	0
NCGC00261049	0.46925	0
NCGC00261052	0.59888	1
NCGC00261053	0.29117	0
NCGC00261057	0.45677	0
NCGC00261058	0.57953	1
NCGC00261060	0.31522	0
NCGC00261065	0.66143	1
NCGC00261071	0.43583	0
NCGC00261075	0.32387	0
NCGC00261076	0.36316	0
NCGC00261079	0.51831	1
NCGC00261080	0.45325	0
NCGC00261081	0.45469	0
NCGC00261085	0.44875	0
NCGC00261101	0.56849	1
NCGC00261108	0.26127	0
