Sample ID	Score	Activity
NCGC00261900-01	0.026485114	0
NCGC00260869-01	0.012144592	0
NCGC00261776-01	0.063065585	1
NCGC00261380-01	0.016251074	0
NCGC00261842-01	0.015518025	0
NCGC00261662-01	0.983842866	1
NCGC00261190-01	0.023795126	0
NCGC00260731-01	0.101164845	1
NCGC00261926-01	0.009029029	0
NCGC00261579-01	0.057020522	1
NCGC00260921-01	0.073261302	1
NCGC00261119-01	0.007457376	0
NCGC00260957-01	0.012108748	0
NCGC00261812-01	0.029477133	0
NCGC00260831-01	0.152698615	1
NCGC00261544-01	0.009551541	0
NCGC00261619-01	0.014354117	0
NCGC00261633-01	0.008273628	0
NCGC00261395-01	0.018719355	0
NCGC00261717-01	0.015449482	0
NCGC00261947-01	0.009980657	0
NCGC00261424-01	0.997861190	1
NCGC00261861-01	0.135301860	1
NCGC00261924-01	0.054510921	1
NCGC00261052-01	0.024528133	0
NCGC00261683-01	0.030893517	0
NCGC00261026-01	0.022094556	0
NCGC00261057-01	0.011387385	0
NCGC00261738-01	0.008600648	0
NCGC00261348-01	0.007740864	0
NCGC00261503-01	0.008132965	0
NCGC00260693-01	0.008301223	0
NCGC00260703-01	0.007092595	0
NCGC00260716-01	0.008637222	0
NCGC00260782-01	0.007809431	0
NCGC00260802-01	0.008443668	0
NCGC00260823-01	0.007563331	0
NCGC00261313-01	0.009078569	0
NCGC00260757-01	0.007641011	0
NCGC00260826-01	0.007234285	0
NCGC00261005-01	0.008390737	0
NCGC00260980-01	0.008288273	0
NCGC00261816-01	0.012557890	0
NCGC00260698-01	0.012078473	0
NCGC00260889-01	0.010443390	0
NCGC00260811-01	0.008094265	0
NCGC00261165-01	0.008334487	0
NCGC00261060-01	0.006491181	0
NCGC00261541-01	0.008301598	0
NCGC00261649-01	0.008448361	0
NCGC00261110-01	0.019536838	0
NCGC00261130-01	0.032095795	1
NCGC00260846-01	0.008579061	0
NCGC00261030-01	0.009830832	0
NCGC00261162-01	0.007614863	0
NCGC00261058-01	0.019301496	0
NCGC00261404-01	0.016030129	0
NCGC00261423-01	0.226313322	1
NCGC00261856-01	0.611703402	1
NCGC00261342-01	0.415802221	1
NCGC00261935-01	0.007600394	0
NCGC00261069-01	0.059391733	1
NCGC00261101-01	0.014287425	0
NCGC00261183-01	0.010305832	0
NCGC00261716-01	0.008067484	0
NCGC00260742-01	0.009334001	0
NCGC00261529-01	0.012405117	0
NCGC00261170-01	0.013216196	0
NCGC00261565-01	0.011899432	0
NCGC00260990-01	0.669212752	1
NCGC00261340-01	0.010445473	0
NCGC00261079-01	0.029539751	0
NCGC00261389-01	0.007405930	0
NCGC00261744-01	0.009651269	0
NCGC00261420-01	0.010438698	0
NCGC00261215-01	0.009216695	0
NCGC00261826-01	0.009231800	0
NCGC00260706-01	0.026843785	0
NCGC00261123-01	0.009078609	0
NCGC00261367-01	0.008953762	0
NCGC00261507-01	0.009598742	0
NCGC00261169-01	0.009578192	0
NCGC00261730-01	0.009162213	0
NCGC00261624-01	0.017573534	0
NCGC00261641-01	0.011223033	0
NCGC00261853-01	0.030421906	0
NCGC00260911-01	0.009985733	0
NCGC00260798-01	0.013040236	0
NCGC00261384-01	0.011180236	0
