Sample ID	Score	Activity
NCGC00261900	0.5416	1
NCGC00260869	0.1808	0
NCGC00261776	0.4564	0
NCGC00261380	0.5438	1
NCGC00261842	0.4662	0
NCGC00261662	0.9444	1
NCGC00261190	0.6294	1
NCGC00260731	0.8496	1
NCGC00261926	0.2762	0
NCGC00261579	0.6562	1
NCGC00260921	0.5222	1
NCGC00261119	0.2574	0
NCGC00260957	0.5048	1
NCGC00261812	0.5484	1
NCGC00260831	0.6072	1
NCGC00261544	0.3356	0
NCGC00261619	0.4464	0
NCGC00261633	0.21	0
NCGC00261395	0.4716	0
NCGC00261717	0.5044	1
NCGC00261947	0.5512	1
NCGC00261424	0.9652	1
NCGC00261861	0.3884	0
NCGC00261924	0.6912	1
NCGC00261052	0.2348	0
NCGC00261683	0.6266	1
NCGC00261026	0.3874	0
NCGC00261057	0.3732	0
NCGC00261738	0.3592	0
NCGC00261348	0.2648	0
NCGC00261503	0.315	0
NCGC00260693	0.266	0
NCGC00260703	0.195	0
NCGC00260716	0.1334	0
NCGC00260782	0.2452	0
NCGC00260802	0.2212	0
NCGC00260823	0.083	0
NCGC00261313	0.2354	0
NCGC00260757	0.3424	0
NCGC00260826	0.1554	0
NCGC00261005	0.3028	0
NCGC00260980	0.4186	0
NCGC00261816	0.3606	0
NCGC00260698	0.55	1
NCGC00260889	0.4752	0
NCGC00260811	0.2254	0
NCGC00261165	0.2912	0
NCGC00261060	0.1006	0
NCGC00261541	0.3406	0
NCGC00261649	0.2758	0
NCGC00261110	0.4238	0
NCGC00261130	0.4678	0
NCGC00260846	0.2014	0
NCGC00261030	0.4606	0
NCGC00261162	0.085	0
NCGC00261058	0.4392	0
NCGC00261404	0.3796	0
NCGC00261423	0.8458	1
NCGC00261856	0.8274	1
NCGC00261342	0.8218	1
NCGC00261935	0.1328	0
NCGC00261069	0.4122	0
NCGC00261101	0.4814	0
NCGC00261183	0.3236	0
NCGC00261716	0.2426	0
NCGC00260742	0.4572	0
NCGC00261529	0.3642	0
NCGC00261170	0.416	0
NCGC00261565	0.4374	0
NCGC00260990	0.8592	1
NCGC00261340	0.0948	0
NCGC00261079	0.701	1
NCGC00261389	0.4598	0
NCGC00261744	0.286	0
NCGC00261420	0.5304	1
NCGC00261215	0.5288	1
NCGC00261826	0.2868	0
NCGC00260706	0.6394	1
NCGC00261123	0.3864	0
NCGC00261367	0.309	0
NCGC00261507	0.3558	0
NCGC00261169	0.2792	0
NCGC00261730	0.3132	0
NCGC00261624	0.6274	1
NCGC00261641	0.448	0
NCGC00261853	0.6046	1
NCGC00260911	0.3846	0
NCGC00260798	0.3526	0
NCGC00261384	0.2498	0
NCGC00260785	0.494	0
NCGC00261597	0.3506	0
NCGC00261025	0.6534	1
NCGC00260789	0.4968	0
NCGC00260866	0.6386	1
NCGC00261189	0.4036	0
NCGC00261270	0.5824	1
NCGC00261611	0.29	0
NCGC00261160	0.4638	0
NCGC00261085	0.3556	0
NCGC00261817	0.4214	0
NCGC00261866	0.4564	0
NCGC00260852	0.5348	1
NCGC00261290	0.4238	0
NCGC00261304	0.425	0
NCGC00261704	0.6388	1
NCGC00260850	0.2058	0
NCGC00260972	0.2532	0
NCGC00261364	0.2622	0
NCGC00261392	0.4912	0
NCGC00261638	0.2346	0
NCGC00261820	0.1506	0
NCGC00261808	0.5048	1
NCGC00260790	0.5788	1
NCGC00260940	0.6512	1
NCGC00261081	0.2932	0
NCGC00261506	0.5152	1
NCGC00261133	0.333	0
NCGC00261399	0.437	0
NCGC00260696	0.8788	1
NCGC00261903	0.435	0
NCGC00261178	0.4508	0
NCGC00261568	0.5394	1
NCGC00260830	0.3892	0
NCGC00261113	0.2766	0
NCGC00261327	0.2818	0
NCGC00261602	0.4024	0
NCGC00260858	0.547	1
NCGC00261071	0.3822	0
NCGC00261076	0.3098	0
NCGC00261192	0.5172	1
NCGC00261577	0.579	1
NCGC00261510	0.302	0
NCGC00261679	0.7304	1
NCGC00261941	0.6288	1
NCGC00261343	0.3476	0
NCGC00261607	0.3284	0
NCGC00261782	0.448	0
NCGC00261914	0.2988	0
NCGC00261475	0.3536	0
NCGC00261764	0.4958	0
NCGC00261802	0.4372	0
NCGC00261813	0.2964	0
NCGC00260795	0.4086	0
NCGC00261352	0.4688	0
NCGC00261009	0.6144	1
NCGC00261944	0.488	0
NCGC00261166	0.4162	0
NCGC00261332	0.617	1
NCGC00261333	0.3944	0
NCGC00261260	0.4922	0
NCGC00261915	0.5042	1
NCGC00261238	0.3636	0
NCGC00261682	0.3714	0
NCGC00261049	0.4764	0
NCGC00260910	0.4036	0
NCGC00261272	0.656	1
NCGC00260708	0.1884	0
NCGC00261390	0.0976	0
NCGC00260948	0.2776	0
NCGC00261840	0.2226	0
NCGC00260881	0.3454	0
NCGC00261153	0.352	0
NCGC00261406	0.3158	0
NCGC00261053	0.1604	0
NCGC00261129	0.0882	0
NCGC00261381	0.446	0
NCGC00261426	0.6954	1
NCGC00260979	0.0626	0
NCGC00260993	0.1024	0
NCGC00261108	0.1812	0
NCGC00261441	0.2924	0
NCGC00261877	0.2682	0
NCGC00260815	0.296	0
NCGC00261542	0.675	1
NCGC00261958	0.3308	0
NCGC00261787	0.5516	1
NCGC00261065	0.4922	0
NCGC00261804	0.487	0
NCGC00260875	0.4692	0
NCGC00261451	0.1698	0
NCGC00261739	0.4046	0
NCGC00261948	0.5536	1
NCGC00261382	0.3964	0
NCGC00261663	0.382	0
NCGC00260892	0.531	1
NCGC00261297	0.51	1
NCGC00261321	0.3216	0
NCGC00261446	0.6736	1
NCGC00261474	0.5432	1
NCGC00260834	0.4588	0
NCGC00260840	0.3328	0
NCGC00260947	0.4288	0
NCGC00261080	0.432	0
NCGC00261563	0.5104	1
NCGC00261873	0.505	1
NCGC00260803	0.1684	0
NCGC00260833	0.2786	0
NCGC00261008	0.4524	0
NCGC00261155	0.164	0
NCGC00261643	0.1584	0
NCGC00261037	0.4468	0
NCGC00261126	0.695	1
NCGC00260871	0.4206	0
NCGC00260713	0.484	0
NCGC00261487	0.4506	0
NCGC00261545	0.4326	0
NCGC00261480	0.4278	0
NCGC00261838	0.3176	0
NCGC00261627	0.3498	0
NCGC00261639	0.3068	0
NCGC00261177	0.1392	0
NCGC00260692	0.2754	0
NCGC00260775	0.4056	0
NCGC00260876	0.0756	0
NCGC00261598	0.1982	0
NCGC00260707	0.279	0
NCGC00261554	0.252	0
NCGC00261713	0.816	1
NCGC00261737	0.5026	1
NCGC00261882	0.4096	0
NCGC00261933	0.5892	1
NCGC00261201	0.4184	0
NCGC00261398	0.5682	1
NCGC00261601	0.083	0
NCGC00261003	0.246	0
NCGC00261019	0.0846	0
NCGC00261519	0.3354	0
NCGC00261732	0.2604	0
NCGC00261718	0.265	0
NCGC00260743	0.2764	0
NCGC00260751	0.0804	0
NCGC00260867	0.474	0
NCGC00260982	0.2386	0
NCGC00261176	0.3164	0
NCGC00261440	0.1552	0
NCGC00261657	0.4152	0
NCGC00260822	0.7062	1
NCGC00261142	0.5118	1
NCGC00261582	0.783	1
NCGC00261825	0.5858	1
NCGC00261833	0.4572	0
NCGC00261835	0.4668	0
NCGC00261860	0.5238	1
NCGC00261906	0.37	0
NCGC00261916	0.5464	1
NCGC00261939	0.5536	1
NCGC00261869	0.4238	0
NCGC00261163	0.7466	1
NCGC00261653	0.6798	1
NCGC00261248	0.1786	0
NCGC00260770	0.213	0
NCGC00261013	0.1258	0
NCGC00261910	0.7818	1
NCGC00261686	0.408	0
NCGC00261147	0.198	0
NCGC00261578	0.0892	0
NCGC00261336	0.196	0
NCGC00261593	0.3356	0
NCGC00260821	0.4088	0
NCGC00261007	0.3956	0
NCGC00261246	0.1002	0
NCGC00261949	0.1074	0
NCGC00260890	0.1356	0
NCGC00261294	0.1236	0
NCGC00261330	0.3908	0
NCGC00261470	0.5344	1
NCGC00260691	0.2668	0
NCGC00261693	0.4378	0
NCGC00261293	0.26	0
NCGC00261018	0.565	1
NCGC00261075	0.4106	0
NCGC00261150	0.4738	0
NCGC00261767	0.3028	0
NCGC00261824	0.6652	1
NCGC00261146	0.6456	1
NCGC00260817	0.3918	0
NCGC00261161	0.057	0
NCGC00260728	0.2652	0
NCGC00261286	0.3166	0
NCGC00261254	0.5112	1
NCGC00261261	0.4918	0
NCGC00261691	0.2436	0
NCGC00261921	0.5346	1
NCGC00260962	0.5716	1
NCGC00261028	0.3828	0
NCGC00261349	0.5188	1
NCGC00261583	0.7396	1
NCGC00261672	0.5374	1
NCGC00261620	0.6924	1
NCGC00261141	0.6276	1
NCGC00261752	0.5824	1
NCGC00261828	0.53	1
NCGC00261913	0.4994	0
NCGC00261473	0.4976	0
NCGC00356953	0.5546	1
NCGC00357009	0.0712	0
NCGC00357188	0.4346	0
NCGC00357201	0.1384	0
NCGC00357189	0.2736	0
NCGC00357163	0.3084	0
NCGC00357001	0.6588	1
NCGC00357030	0.063	0
NCGC00357123	0.4338	0
NCGC00357091	0.3014	0
NCGC00357004	0.4526	0
NCGC00357289	0.5476	1
NCGC00357082	0.031	0
NCGC00356999	0.4198	0
NCGC00357116	0.0632	0
NCGC00357010	0.4836	0
NCGC00357057	0.4674	0
NCGC00357171	0.1144	0
NCGC00356964	0.7776	1
NCGC00356995	0.2658	0
NCGC00357205	0.3862	0
NCGC00357185	0.0724	0
NCGC00357028	0.0844	0
NCGC00357064	0.0956	0
NCGC00357196	0.2356	0
NCGC00357271	0.4224	0
NCGC00357213	0.4996	0
NCGC00357198	0.5556	1
NCGC00357079	0.4866	0
NCGC00357080	0.114	0
NCGC00357173	0.0928	0
NCGC00357277	0.2472	0
NCGC00357240	0.283	0
NCGC00357145	0.073	0
NCGC00357157	0.0162	0
NCGC00357160	0.1178	0
NCGC00357107	0.1464	0
NCGC00357106	0.364	0
NCGC00357204	0.0684	0
NCGC00357214	0.1666	0
NCGC00357124	0.1522	0
NCGC00356983	0.3626	0
NCGC00357092	0.3514	0
NCGC00357042	0.1822	0
NCGC00357036	0.2232	0
NCGC00357089	0.373	0
NCGC00357170	0.0772	0
NCGC00357132	0.3734	0
NCGC00357265	0.1392	0
NCGC00357260	0.2156	0
NCGC00357023	0.332	0
NCGC00357114	0.1226	0
NCGC00357033	0.2302	0
NCGC00357120	0.3124	0
NCGC00356963	0.301	0
NCGC00357055	0.9456	1
NCGC00357139	0.1738	0
NCGC00357161	0.2368	0
NCGC00357279	0.3914	0
NCGC00357288	0.1718	0
NCGC00356973	0.062	0
NCGC00357143	0.5006	1
NCGC00357182	0.3518	0
NCGC00356971	0.2924	0
NCGC00357084	0.4436	0
NCGC00357112	0.0644	0
