SampleID	Score	Activity
NCGC00261949	0.2715	0
NCGC00357083	0.0890	0
NCGC00260731	0.2884	0
NCGC00357288	0.3828	0
NCGC00357081	0.0951	0
NCGC00260982	0.0360	0
NCGC00260980	0.0935	0
NCGC00357068	0.0424	0
NCGC00357069	0.0227	0
NCGC00357060	0.0435	0
NCGC00357061	0.0385	0
NCGC00357063	0.0422	0
NCGC00357064	0.0264	0
NCGC00357065	0.0600	0
NCGC00357066	0.0667	0
NCGC00357067	0.0598	0
NCGC00260698	0.1144	0
NCGC00261866	0.0905	0
NCGC00357201	0.3639	0
NCGC00357202	0.0265	0
NCGC00357203	0.0670	0
NCGC00357204	0.0301	0
NCGC00357205	0.0529	0
NCGC00261860	0.0806	0
NCGC00261861	0.3028	0
NCGC00357208	0.3055	0
NCGC00357209	0.0483	0
NCGC00261906	0.2964	0
NCGC00261900	0.3890	0
NCGC00261903	0.3399	0
NCGC00261869	0.0453	0
NCGC00261510	0.0979	0
NCGC00357284	0.1619	0
NCGC00261519	0.0364	0
NCGC00260742	0.1132	0
NCGC00260743	0.0514	0
NCGC00357287	0.0501	0
NCGC00260890	0.0515	0
NCGC00260892	0.1415	0
NCGC00357020	0.0491	0
NCGC00357021	0.5668	1
NCGC00261349	0.0534	0
NCGC00261348	0.0696	0
NCGC00261343	0.0901	0
NCGC00261342	0.6307	1
NCGC00261340	0.0886	0
NCGC00261583	0.3214	0
NCGC00261582	0.5001	1
NCGC00261163	0.3602	0
NCGC00261162	0.0604	0
NCGC00261248	0.0552	0
NCGC00261160	0.1474	0
NCGC00261166	0.1281	0
NCGC00261165	0.1155	0
NCGC00261169	0.1217	0
NCGC00261313	0.0485	0
NCGC00261246	0.0377	0
NCGC00261649	0.0581	0
NCGC00260803	0.3114	0
NCGC00261643	0.1259	0
NCGC00261641	0.0811	0
NCGC00261764	0.3566	0
NCGC00261767	0.3366	0
NCGC00261882	0.1682	0
NCGC00357037	0.0336	0
NCGC00357036	0.0352	0
NCGC00357035	0.0347	0
NCGC00357034	0.0385	0
NCGC00357033	0.0518	0
NCGC00357032	0.0302	0
NCGC00261019	0.0909	0
NCGC00357030	0.0565	0
