Sample ID	Score	Activity
NCGC00261900-01	0.256975065	0
NCGC00260869-01	0.067605151	0
NCGC00261776-01	0.101647829	0
NCGC00261380-01	0.140560342	0
NCGC00261842-01	0.165375301	0
NCGC00261662-01	0.344966960	0
NCGC00261190-01	0.145100897	0
NCGC00260731-01	0.083043973	0
NCGC00261926-01	0.098402524	0
NCGC00261579-01	0.189258325	0
NCGC00260921-01	0.163679225	0
NCGC00261119-01	0.068610262	0
NCGC00260957-01	0.110280135	0
NCGC00261812-01	0.201788683	0
NCGC00260831-01	0.259394721	0
NCGC00261544-01	0.105185950	0
NCGC00261619-01	0.097127839	0
NCGC00261633-01	0.104618783	0
NCGC00261395-01	0.168822281	0
NCGC00261717-01	0.235660802	0
NCGC00261947-01	0.131569754	0
NCGC00261424-01	0.880616237	1
NCGC00261861-01	0.114756893	0
NCGC00261924-01	0.123710710	0
NCGC00261052-01	0.122603317	0
NCGC00261683-01	0.155758433	0
NCGC00261026-01	0.108431220	0
NCGC00261057-01	0.087686341	0
NCGC00261738-01	0.064389120	0
NCGC00261348-01	0.064092902	0
NCGC00261503-01	0.061286279	0
NCGC00260693-01	0.069353414	0
NCGC00260703-01	0.061258265	0
NCGC00260716-01	0.056378806	0
NCGC00260782-01	0.061599948	0
NCGC00260802-01	0.062430748	0
NCGC00260823-01	0.068219590	0
NCGC00261313-01	0.124655729	0
NCGC00260757-01	0.056535007	0
NCGC00260826-01	0.060633913	0
NCGC00261005-01	0.057406551	0
NCGC00260980-01	0.135226896	0
NCGC00261816-01	0.103536472	0
NCGC00260698-01	0.152030618	0
NCGC00260889-01	0.148722776	0
NCGC00260811-01	0.204327104	0
NCGC00261165-01	0.133719244	0
NCGC00261060-01	0.061719410	0
NCGC00261541-01	0.053629698	0
NCGC00261649-01	0.062677704	0
NCGC00261110-01	0.109125482	0
NCGC00261130-01	0.138049420	0
NCGC00260846-01	0.082086291	0
NCGC00261030-01	0.085085836	0
NCGC00261162-01	0.074868358	0
NCGC00261058-01	0.122698535	0
NCGC00261404-01	0.130732713	0
NCGC00261423-01	0.225451314	0
NCGC00261856-01	0.225451314	0
NCGC00261342-01	0.163859384	0
NCGC00261935-01	0.083614497	0
NCGC00261069-01	0.082023439	0
NCGC00261101-01	0.143685034	0
NCGC00261183-01	0.118612567	0
NCGC00261716-01	0.162086137	0
NCGC00260742-01	0.119769994	0
NCGC00261529-01	0.138554787	0
NCGC00261170-01	0.147543010	0
NCGC00261565-01	0.097773534	0
NCGC00260990-01	0.266695387	0
NCGC00261340-01	0.077068288	0
NCGC00261079-01	0.116426161	0
NCGC00261389-01	0.122823128	0
NCGC00261744-01	0.128772762	0
NCGC00261420-01	0.071683733	0
NCGC00261215-01	0.100343563	0
NCGC00261826-01	0.092980142	0
NCGC00260706-01	0.118771200	0
NCGC00261123-01	0.101416631	0
NCGC00261367-01	0.084379809	0
NCGC00261507-01	0.071522922	0
NCGC00261169-01	0.168201436	0
NCGC00261730-01	0.116873979	0
NCGC00261624-01	0.098222010	0
NCGC00261641-01	0.152206664	0
NCGC00261853-01	0.128411621	0
NCGC00260911-01	0.110700914	0
NCGC00260798-01	0.164396823	0
NCGC00261384-01	0.084350458	0
NCGC00260785-01	0.173983525	0
NCGC00261597-01	0.115068071	0
NCGC00261025-01	0.103181085	0
NCGC00260789-01	0.098139603	0
NCGC00260866-01	0.131262148	0
NCGC00261189-01	0.149580812	0
NCGC00261270-01	0.105061414	0
NCGC00261611-01	0.100247397	0
NCGC00261160-01	0.090758961	0
NCGC00261085-01	0.067481948	0
NCGC00261817-01	0.109519156	0
NCGC00261866-01	0.071641198	0
NCGC00260852-01	0.107337921	0
NCGC00261290-01	0.085854884	0
NCGC00261304-01	0.099698593	0
NCGC00261704-01	0.110998234	0
NCGC00260850-01	0.097972820	0
NCGC00260972-01	0.114424190	0
NCGC00261364-01	0.067427955	0
NCGC00261392-01	0.156425839	0
NCGC00261638-01	0.076026506	0
NCGC00261820-01	0.065215857	0
NCGC00261808-01	0.080833026	0
NCGC00260790-01	0.103799972	0
NCGC00260940-01	0.103277887	0
NCGC00261081-01	0.110960227	0
NCGC00261506-01	0.102239657	0
NCGC00261133-01	0.111693015	0
NCGC00261399-01	0.135325510	0
NCGC00260696-01	0.162029259	0
NCGC00261903-01	0.157200633	0
NCGC00261178-01	0.184162450	0
NCGC00261568-01	0.095199718	0
NCGC00260830-01	0.083300723	0
NCGC00261113-01	0.055488959	0
NCGC00261327-01	0.056439042	0
NCGC00261602-01	0.099708907	0
NCGC00260858-01	0.314847309	0
NCGC00261071-01	0.105446639	0
NCGC00261076-01	0.088352655	0
NCGC00261192-01	0.102582823	0
NCGC00261495-01	0.134168620	0
NCGC00261577-01	0.253301153	0
NCGC00261510-01	0.100601881	0
NCGC00261679-01	0.223174424	0
NCGC00261941-01	0.131398508	0
NCGC00261343-01	0.125753441	0
NCGC00261607-01	0.071205273	0
NCGC00261782-01	0.172258109	0
NCGC00261914-01	0.095829122	0
