Sample ID	Score	Activity
NCGC00261900-01	0.087423286	0
NCGC00260869-01	0.055651425	0
NCGC00261776-01	0.154521632	0
NCGC00261380-01	0.073927567	0
NCGC00261842-01	0.065595987	0
NCGC00261662-01	0.973466823	1
NCGC00261190-01	0.086992265	0
NCGC00260731-01	0.175061770	0
NCGC00261926-01	0.042350177	0
NCGC00261579-01	0.122801772	0
NCGC00260921-01	0.163056765	0
NCGC00261119-01	0.035787703	0
NCGC00260957-01	0.055662889	0
NCGC00261812-01	0.110914610	0
NCGC00260831-01	0.221079941	1
NCGC00261544-01	0.045275477	0
NCGC00261619-01	0.064864986	0
NCGC00261633-01	0.040210153	0
NCGC00261395-01	0.072693576	0
NCGC00261717-01	0.070291662	0
NCGC00261947-01	0.048813094	0
NCGC00261424-01	0.991290328	1
NCGC00261861-01	0.270383842	1
NCGC00261924-01	0.161614512	0
NCGC00261052-01	0.070909849	0
NCGC00261683-01	0.117835578	0
NCGC00261026-01	0.091453730	0
NCGC00261057-01	0.056236557	0
NCGC00261738-01	0.042887583	0
NCGC00261348-01	0.038141785	0
NCGC00261503-01	0.039355708	0
NCGC00260693-01	0.040469561	0
NCGC00260703-01	0.034632416	0
NCGC00260716-01	0.042816445	0
NCGC00260782-01	0.038316113	0
NCGC00260802-01	0.041933508	0
NCGC00260823-01	0.036739917	0
NCGC00261313-01	0.044626824	0
NCGC00260757-01	0.037984605	0
NCGC00260826-01	0.035432277	0
NCGC00261005-01	0.039380326	0
NCGC00260980-01	0.041215665	0
NCGC00261816-01	0.056761160	0
NCGC00260698-01	0.056310198	0
NCGC00260889-01	0.051431735	0
NCGC00260811-01	0.039697703	0
NCGC00261165-01	0.041134209	0
NCGC00261060-01	0.032128104	0
NCGC00261541-01	0.040528802	0
NCGC00261649-01	0.041887389	0
NCGC00261110-01	0.091141763	0
NCGC00261130-01	0.128612531	0
NCGC00260846-01	0.040158193	0
NCGC00261030-01	0.047652122	0
NCGC00261162-01	0.036737997	0
NCGC00261058-01	0.065542779	0
NCGC00261404-01	0.070722860	0
NCGC00261423-01	0.559787866	1
NCGC00261856-01	0.754791994	1
NCGC00261342-01	0.649694246	1
NCGC00261935-01	0.037431098	0
NCGC00261069-01	0.157485003	0
NCGC00261101-01	0.060806260	0
NCGC00261183-01	0.048272422	0
NCGC00261716-01	0.039777130	0
NCGC00260742-01	0.045957196	0
NCGC00261529-01	0.056179208	0
NCGC00261170-01	0.061211547	0
NCGC00261565-01	0.056079113	0
NCGC00260990-01	0.781829721	1
NCGC00261340-01	0.048472742	0
NCGC00261079-01	0.097623406	0
NCGC00261389-01	0.036902120	0
NCGC00261744-01	0.044260210	0
NCGC00261420-01	0.050911839	0
NCGC00261215-01	0.044352238	0
NCGC00261826-01	0.045246309	0
NCGC00260706-01	0.098539149	0
NCGC00261123-01	0.044245259	0
NCGC00261367-01	0.044382586	0
NCGC00261507-01	0.047545660	0
NCGC00261169-01	0.045686692	0
NCGC00261730-01	0.044772455	0
NCGC00261624-01	0.074450523	0
NCGC00261641-01	0.055498941	0
NCGC00261853-01	0.109767518	0
NCGC00260911-01	0.045977848	0
NCGC00260798-01	0.054587420	0
NCGC00261384-01	0.053346365	0
NCGC00260785-01	0.075530634	0
NCGC00261597-01	0.045950337	0
NCGC00261025-01	0.099172183	0
NCGC00260789-01	0.063432922	0
NCGC00260866-01	0.164756000	0
NCGC00261189-01	0.050688237	0
NCGC00261270-01	0.236251362	1
NCGC00261611-01	0.045645447	0
NCGC00261160-01	0.110877973	0
NCGC00261085-01	0.047812002	0
NCGC00261817-01	0.045499737	0
NCGC00261866-01	0.080651285	0
NCGC00260852-01	0.139732626	0
NCGC00261290-01	0.086972708	0
NCGC00261304-01	0.055667956	0
NCGC00261704-01	0.109867657	0
NCGC00260850-01	0.041753322	0
NCGC00260972-01	0.053223048	0
NCGC00261364-01	0.041947157	0
NCGC00261392-01	0.064908528	0
NCGC00261638-01	0.045075061	0
NCGC00261820-01	0.030036908	0
NCGC00261808-01	0.058102211	0
NCGC00260790-01	0.092739506	0
NCGC00260940-01	0.336252018	1
NCGC00261081-01	0.050562754	0
NCGC00261506-01	0.114337816	0
NCGC00261133-01	0.051210545	0
NCGC00261399-01	0.064150122	0
NCGC00260696-01	0.626305052	1
NCGC00261903-01	0.084072851	0
NCGC00261178-01	0.056715524	0
NCGC00261568-01	0.073005668	0
NCGC00260830-01	0.039199704	0
NCGC00261113-01	0.029662909	0
NCGC00261327-01	0.031716879	0
NCGC00261602-01	0.108341285	0
NCGC00260858-01	0.255829351	1
NCGC00261071-01	0.067520967	0
NCGC00261076-01	0.053823744	0
NCGC00261192-01	0.044123637	0
NCGC00261495-01	0.043982844	0
NCGC00261577-01	0.104239628	0
NCGC00261510-01	0.042424674	0
NCGC00261679-01	0.189554474	1
NCGC00261941-01	0.261575849	1
NCGC00261343-01	0.044255317	0
NCGC00261607-01	0.048335406	0
NCGC00261782-01	0.062299832	0
NCGC00261914-01	0.039192823	0
NCGC00261475-01	0.110866631	0
NCGC00261764-01	0.112723409	0
NCGC00261802-01	0.090915994	0
NCGC00261813-01	0.041278947	0
NCGC00260795-01	0.060357764	0
NCGC00261352-01	0.182783459	1
NCGC00261009-01	0.146364761	0
NCGC00261944-01	0.072292073	0
NCGC00261166-01	0.074797200	0
NCGC00261332-01	0.190533653	1
NCGC00261333-01	0.043664173	0
NCGC00261260-01	0.286312986	1
NCGC00261915-01	0.104989481	0
NCGC00261238-01	0.060919888	0
NCGC00261682-01	0.036941245	0
NCGC00261049-01	0.048085666	0
NCGC00260910-01	0.043818571	0
NCGC00261272-01	0.212808807	1
NCGC00260708-01	0.044795760	0
NCGC00261390-01	0.036323794	0
NCGC00260948-01	0.048817942	0
NCGC00261840-01	0.045197888	0
NCGC00260881-01	0.039430107	0
NCGC00261153-01	0.055152016	0
NCGC00261406-01	0.045740760	0
NCGC00261053-01	0.041346194	0
NCGC00261129-01	0.036930541	0
NCGC00261381-01	0.075802124	0
NCGC00261426-01	0.533746700	1
NCGC00260979-01	0.044217417	0
NCGC00260993-01	0.049332650	0
NCGC00261108-01	0.040673131	0
NCGC00261441-01	0.047011870	0
NCGC00261877-01	0.048030881	0
NCGC00260815-01	0.040110282	0
NCGC00261542-01	0.176434270	1
NCGC00261958-01	0.055948621	0
NCGC00261787-01	0.065832153	0
NCGC00261065-01	0.090680411	0
NCGC00261804-01	0.181156065	1
NCGC00260875-01	0.101877630	0
NCGC00261451-01	0.058136042	0
NCGC00261739-01	0.047300397	0
NCGC00261948-01	0.068273855	0
NCGC00261382-01	0.064463580	0
NCGC00261663-01	0.041523120	0
NCGC00260892-01	0.060062777	0
NCGC00261297-01	0.061724168	0
NCGC00261321-01	0.041169619	0
NCGC00261446-01	0.086109595	0
NCGC00261474-01	0.047488808	0
NCGC00260834-01	0.053595578	0
NCGC00260840-01	0.049356876	0
NCGC00260947-01	0.047735797	0
NCGC00261080-01	0.056679923	0
NCGC00261563-01	0.061676106	0
NCGC00261873-01	0.061649565	0
NCGC00260803-01	0.055805944	0
NCGC00260833-01	0.041770403	0
NCGC00261008-01	0.047748288	0
NCGC00261155-01	0.038405702	0
NCGC00261643-01	0.047375309	0
NCGC00261037-01	0.046489014	0
NCGC00261126-01	0.144836859	0
NCGC00260871-01	0.059239467	0
NCGC00260713-01	0.050127309	0
NCGC00261487-01	0.048554147	0
NCGC00261545-01	0.056758471	0
NCGC00261480-01	0.046337681	0
NCGC00261838-01	0.043506411	0
NCGC00261627-01	0.043083698	0
NCGC00261639-01	0.056855770	0
NCGC00261177-01	0.034887549	0
NCGC00260692-01	0.035071996	0
NCGC00260775-01	0.038901064	0
NCGC00260876-01	0.033800425	0
NCGC00261598-01	0.039905430	0
NCGC00260707-01	0.050821088	0
NCGC00261554-01	0.052895996	0
NCGC00261713-01	0.668227315	1
NCGC00261737-01	0.110454125	0
NCGC00261882-01	0.154904875	0
NCGC00261933-01	0.054090565	0
NCGC00261201-01	0.039692606	0
NCGC00261398-01	0.102645064	0
NCGC00261601-01	0.049247163	0
NCGC00261003-01	0.039354936	0
NCGC00261019-01	0.033535805	0
NCGC00261519-01	0.037757705	0
NCGC00261732-01	0.039267405	0
NCGC00261718-01	0.040926461	0
NCGC00260743-01	0.038850824	0
NCGC00260751-01	0.037807357	0
NCGC00260867-01	0.035898772	0
NCGC00260982-01	0.042039541	0
NCGC00261176-01	0.042284512	0
NCGC00261289-01	0.037733567	0
NCGC00261440-01	0.038176370	0
NCGC00261657-01	0.034746382	0
NCGC00260822-01	0.131696401	0
NCGC00261142-01	0.097436201	0
NCGC00261582-01	0.939594222	1
NCGC00261825-01	0.722972514	1
NCGC00261833-01	0.048958216	0
NCGC00261835-01	0.097724578	0
NCGC00261860-01	0.098794239	0
NCGC00261906-01	0.090049250	0
NCGC00261916-01	0.086408730	0
NCGC00261939-01	0.116197191	0
NCGC00261869-01	0.040735572	0
NCGC00261163-01	0.102896112	0
NCGC00261653-01	0.423312137	1
NCGC00261248-01	1.000000000	1
NCGC00260770-01	0.038682963	0
NCGC00261013-01	0.039917925	0
NCGC00261910-01	0.476190506	1
NCGC00261686-01	0.036750134	0
NCGC00261147-01	0.056375223	0
NCGC00261578-01	0.042784839	0
NCGC00261336-01	0.030455216	0
NCGC00261593-01	0.048149205	0
NCGC00260821-01	0.045720487	0
NCGC00261007-01	0.037389335	0
NCGC00261246-01	0.035310485	0
NCGC00261949-01	0.039794961	0
NCGC00260890-01	0.037661409	0
NCGC00261294-01	0.027224333	0
NCGC00261330-01	0.038670986	0
NCGC00261470-01	0.070694737	0
NCGC00260691-01	0.038855308	0
NCGC00261693-01	0.057587411	0
NCGC00261293-01	0.049058336	0
NCGC00261018-01	0.063485958	0
NCGC00261075-01	0.047449594	0
NCGC00261150-01	0.088532660	0
NCGC00261767-01	0.094202868	0
NCGC00261824-01	0.058264615	0
NCGC00261146-01	0.063160572	0
NCGC00260817-01	0.038974896	0
