Sample ID	Score	Activity
NCGC00261900-01	0.063275678	0
NCGC00260869-01	0.060009804	0
NCGC00261776-01	0.348548882	0
NCGC00261380-01	0.190110489	0
NCGC00261842-01	0.253606325	0
NCGC00261662-01	0.610321096	1
NCGC00261190-01	0.205354427	0
NCGC00260731-01	0.377422144	0
NCGC00261926-01	0.087920983	0
NCGC00261579-01	0.184313945	0
NCGC00260921-01	0.265828721	0
NCGC00261119-01	0.042739791	0
NCGC00260957-01	0.139029599	0
NCGC00261812-01	0.252745546	0
NCGC00260831-01	0.254823362	0
NCGC00261544-01	0.022692338	0
NCGC00261619-01	0.14297702	0
NCGC00261633-01	0.017220635	0
NCGC00261395-01	0.291512017	0
NCGC00261717-01	0.169730844	0
NCGC00261947-01	0.143721181	0
NCGC00261424-01	0.780195412	1
NCGC00261861-01	0.075800883	0
NCGC00261924-01	0.099069952	0
NCGC00261052-01	0.143860089	0
NCGC00261683-01	0.175322377	0
NCGC00261026-01	0.131150849	0
NCGC00261057-01	0.007295235	0
NCGC00261738-01	0.069269004	0
NCGC00261348-01	0.05123402	0
NCGC00261503-01	0.066599199	0
NCGC00260693-01	0.052186217	0
NCGC00260703-01	0.046162986	0
NCGC00260716-01	0.024362098	0
NCGC00260782-01	0.041197203	0
NCGC00260802-01	0.032840685	0
NCGC00260823-01	0.040517632	0
NCGC00261313-01	0.049259886	0
NCGC00260757-01	0.081885323	0
NCGC00260826-01	0.031968397	0
NCGC00261005-01	0.059355241	0
NCGC00260980-01	0.090450763	0
NCGC00261816-01	0.101179922	0
NCGC00260698-01	0.09534872	0
NCGC00260889-01	0.046683603	0
NCGC00260811-01	0.133673494	0
NCGC00261165-01	0.09963406	0
NCGC00261060-01	0.001186733	0
NCGC00261541-01	0.015824347	0
NCGC00261649-01	0.040937258	0
NCGC00261110-01	0.108423263	0
NCGC00261130-01	0.118251541	0
NCGC00260846-01	0.019991736	0
NCGC00261030-01	0.052615801	0
NCGC00261162-01	0.052878673	0
NCGC00261058-01	0.157730684	0
NCGC00261404-01	0.150210899	0
NCGC00261423-01	0.491922512	0
NCGC00261856-01	0.432278696	0
NCGC00261342-01	0.086756803	0
NCGC00261935-01	0.11425277	0
NCGC00261069-01	0.10694966	0
NCGC00261101-01	0.121723434	0
NCGC00261183-01	0.073742524	0
NCGC00261716-01	0.031609781	0
NCGC00260742-01	0.169715704	0
NCGC00261529-01	0.095106701	0
NCGC00261170-01	0.112202947	0
NCGC00261565-01	0.041364919	0
NCGC00260990-01	0.638886158	1
NCGC00261340-01	0.095899565	0
NCGC00261079-01	0.172757491	0
NCGC00261389-01	0.029939912	0
NCGC00261744-01	0.12921561	0
NCGC00261420-01	0.145201248	0
NCGC00261215-01	0.099120938	0
NCGC00261826-01	0.055619792	0
NCGC00260706-01	0.335119181	0
NCGC00261123-01	0.038684334	0
NCGC00261367-01	0.113236429	0
